energy_ev,total_up,Ga_p_up,Ga_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.55118479,0.00811037,0.00000000,0.42016906,0.09987443,0.37870260,0.00000000
-5.99399700,0.48882854,0.00707434,0.00000000,0.37280530,0.08888541,0.33581145,0.00000000
-5.98799400,0.43075068,0.00613770,0.00000000,0.32865755,0.07858872,0.29577961,0.00000000
-5.98199100,0.37720847,0.00530088,0.00000000,0.28792907,0.06903943,0.25877344,0.00000000
-5.97598799,0.32835346,0.00456309,0.00000000,0.25074208,0.06027343,0.22488279,0.00000000
-5.96998499,0.28424343,0.00392262,0.00000000,0.21714682,0.05230920,0.19412830,0.00000000
-5.96398199,0.24485637,0.00337725,0.00000000,0.18713206,0.04514997,0.16647003,0.00000000
-5.95797899,0.21010550,0.00292460,0.00000000,0.16063664,0.03878613,0.14181692,0.00000000
-5.95197599,0.17985490,0.00256246,0.00000000,0.13756124,0.03319786,0.12003647,0.00000000
-5.94597299,0.15393496,0.00228913,0.00000000,0.11778018,0.02835770,0.10096439,0.00000000
-5.93996998,0.13215712,0.00210372,0.00000000,0.10115269,0.02423314,0.08441390,0.00000000
-5.93396698,0.11432747,0.00200645,0.00000000,0.08753320,0.02078897,0.07018421,0.00000000
-5.92796398,0.10025878,0.00199881,0.00000000,0.07678053,0.01798948,0.05806824,0.00000000
-5.92196098,0.08978069,0.00208381,0.00000000,0.06876562,0.01580030,0.04785921,0.00000000
-5.91595798,0.08274780,0.00226606,0.00000000,0.06337765,0.01418994,0.03935620,0.00000000
-5.90995498,0.07904556,0.00255184,0.00000000,0.06052845,0.01313098,0.03236862,0.00000000
-5.90395198,0.07859385,0.00294915,0.00000000,0.06015513,0.01260088,0.02671955,0.00000000
-5.89794897,0.08134830,0.00346760,0.00000000,0.06222087,0.01258235,0.02224817,0.00000000
-5.89194597,0.08729924,0.00411835,0.00000000,0.06671406,0.01306348,0.01881128,0.00000000
-5.88594297,0.09646856,0.00491386,0.00000000,0.07364551,0.01403737,0.01628402,0.00000000
-5.87993997,0.10890451,0.00586770,0.00000000,0.08304430,0.01550155,0.01455999,0.00000000
-5.87393697,0.12467460,0.00699418,0.00000000,0.09495197,0.01745703,0.01355082,0.00000000
-5.86793397,0.14385692,0.00830800,0.00000000,0.10941560,0.01990713,0.01318539,0.00000000
-5.86193097,0.16653021,0.00982384,0.00000000,0.12647975,0.02285610,0.01340870,0.00000000
-5.85592796,0.19276289,0.01155581,0.00000000,0.14617776,0.02630760,0.01418056,0.00000000
-5.84992496,0.22260165,0.01351705,0.00000000,0.16852254,0.03026308,0.01547420,0.00000000
-5.84392196,0.25605990,0.01571912,0.00000000,0.19349749,0.03472018,0.01727473,0.00000000
-5.83791896,0.29310666,0.01817156,0.00000000,0.22104760,0.03967113,0.01957770,0.00000000
-5.83191596,0.33365649,0.02088136,0.00000000,0.25107157,0.04510133,0.02238757,0.00000000
-5.82591296,0.37756076,0.02385250,0.00000000,0.28341501,0.05098818,0.02571620,0.00000000
-5.81990995,0.42460107,0.02708559,0.00000000,0.31786545,0.05730006,0.02958149,0.00000000
-5.81390695,0.47448500,0.03057754,0.00000000,0.35414937,0.06399584,0.03400583,0.00000000
-5.80790395,0.52684478,0.03432133,0.00000000,0.39193161,0.07102463,0.03901474,0.00000000
-5.80190095,0.58123900,0.03830584,0.00000000,0.43081741,0.07832607,0.04463533,0.00000000
-5.79589795,0.63715761,0.04251588,0.00000000,0.47035727,0.08583104,0.05089483,0.00000000
-5.78989495,0.69403014,0.04693220,0.00000000,0.51005451,0.09346279,0.05781900,0.00000000
-5.78389195,0.75123689,0.05153165,0.00000000,0.54937548,0.10113858,0.06543045,0.00000000
-5.77788894,0.80812294,0.05628741,0.00000000,0.58776212,0.10877160,0.07374698,0.00000000
-5.77188594,0.86401424,0.06116928,0.00000000,0.62464641,0.11627326,0.08277975,0.00000000
-5.76588294,0.91823527,0.06614402,0.00000000,0.65946623,0.12355563,0.09253152,0.00000000
-5.75987994,0.97012753,0.07117572,0.00000000,0.69168193,0.13053405,0.10299493,0.00000000
