energy_ev,total_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.81426530,0.18486943,0.14724713,0.63242088,0.07659549,0.03817323,0.03298729,0.01617455,0.33600974
-5.99399700,0.83797212,0.19777472,0.14795688,0.64480946,0.08053119,0.03833145,0.03470802,0.01716485,0.34865121
-5.98799400,0.86574963,0.21238844,0.14911058,0.65934717,0.08500305,0.03853566,0.03676693,0.01824153,0.36333458
-5.98199100,0.89757002,0.22870069,0.15069197,0.67600009,0.09002061,0.03877717,0.03917410,0.01939635,0.38007271
-5.97598799,0.93329818,0.24665988,0.15266786,0.69466389,0.09558643,0.03904437,0.04193211,0.02061819,0.39883144
-5.96998499,0.97269269,0.26617133,0.15498926,0.71516483,0.10169593,0.03932306,0.04503559,0.02189327,0.41952854
-5.96398199,1.01540985,0.28709709,0.15759298,0.73726265,0.10833735,0.03959707,0.04847086,0.02320560,0.44203389
-5.95797899,1.06101039,0.30925687,0.16040372,0.76065544,0.11549189,0.03984874,0.05221579,0.02453740,0.46617083
-5.95197599,1.10896899,0.33243014,0.16333654,0.78498609,0.12313410,0.04005963,0.05623988,0.02586968,0.49171856
-5.94597299,1.15868610,0.35635939,0.16629961,0.80985033,0.13123242,0.04021113,0.06050447,0.02718289,0.51841577
-5.93996998,1.20950186,0.38075442,0.16919713,0.83480606,0.13975010,0.04028512,0.06496322,0.02845761,0.54596521
-5.93396698,1.26071183,0.40529764,0.17193234,0.85938360,0.14864624,0.04026465,0.06956273,0.02967518,0.57403939
-5.92796398,1.31158403,0.42965022,0.17441051,0.88309678,0.15787723,0.04013446,0.07424342,0.03081847,0.60228707
-5.92196098,1.36137690,0.45345894,0.17654180,0.90545438,0.16739836,0.03988158,0.07894052,0.03187246,0.63034067
-5.91595798,1.40935784,0.47636366,0.17824392,0.92597175,0.17716569,0.03949575,0.08358531,0.03282487,0.65782426
-5.90995498,1.45482166,0.49800511,0.17944445,0.94418232,0.18713803,0.03896973,0.08810646,0.03366663,0.68436214
-5.90395198,1.49710863,0.51803289,0.18008285,0.95964859,0.19727905,0.03829958,0.09243151,0.03439226,0.70958765
-5.89794897,1.53562152,0.53611349,0.18011195,0.97197244,0.20755936,0.03748474,0.09648850,0.03500013,0.73315214
-5.89194597,1.56984115,0.55193804,0.17949912,0.98080455,0.21795846,0.03652806,0.10020758,0.03549261,0.75473373
-5.88594297,1.59933997,0.56522967,0.17822680,0.98585252,0.22846637,0.03543563,0.10352273,0.03587598,0.77404567
-5.87993997,1.62379319,0.57575023,0.17629269,0.98688772,0.23908496,0.03421657,0.10637338,0.03616031,0.79084394
-5.87393697,1.64298697,0.58330614,0.17370937,0.98375053,0.24982855,0.03288271,0.10870595,0.03635912,0.80493388
-5.86793397,1.65682345,0.58775327,0.17050355,0.97635395,0.26072400,0.03144816,0.11047535,0.03648890,0.81617542
-5.86193097,1.66532203,0.58900062,0.16671487,0.96468542,0.27180986,0.02992887,0.11164617,0.03656855,0.82448684
-5.85592796,1.66861705,0.58701268,0.16239444,0.94880693,0.28313471,0.02834209,0.11219370,0.03661870,0.82984664
-5.84992496,1.66695147,0.58181039,0.15760301,0.92885325,0.29475450,0.02670588,0.11210467,0.03666093,0.83229349
-5.84392196,1.66066685,0.57347063,0.15240899,0.90502840,0.30672908,0.02503857,0.11137767,0.03671694,0.83192406
-5.83791896,1.65018966,0.56212423,0.14688635,0.87760059,0.31911777,0.02335829,0.11002318,0.03680767,0.82888882
-5.83191596,1.63601452,0.54795253,0.14111243,0.84689547,0.33197430,0.02168251,0.10806334,0.03695251,0.82338584
-5.82591296,1.61868465,0.53118262,0.13516569,0.81328818,0.34534128,0.02002762,0.10553130,0.03716836,0.81565274
-5.81990995,1.59877058,0.51208134,0.12912371,0.77719425,0.35924435,0.01840868,0.10247024,0.03746896,0.80595725
-5.81390695,1.57684762,0.49094828,0.12306112,0.73905969,0.37368645,0.01683910,0.09893216,0.03786416,0.79458653
-5.80790395,1.55347337,0.46810807,0.11704788,0.69935053,0.38864252,0.01533048,0.09497635,0.03835935,0.78183597
-5.80190095,1.52916608,0.44390204,0.11114774,0.65854222,0.40405496,0.01389256,0.09066768,0.03895510,0.76799781
-5.79589795,1.50438499,0.41867977,0.10541695,0.61710912,0.41983021,0.01253314,0.08607483,0.03964689,0.75335020
-5.78989495,1.47951371,0.39279068,0.09990339,0.57551450,0.43583681,0.01125815,0.08126840,0.04042502,0.73814727
-5.78389195,1.45484730,0.36657605,0.09464594,0.53420140,0.45190521,0.01007178,0.07631905,0.04127483,0.72261079
-5.77788894,1.43058415,0.34036160,0.08967425,0.49358452,0.46782942,0.00897656,0.07129578,0.04217699,0.70692365
-5.77188594,1.40682277,0.31445111,0.08500888,0.45404350,0.48337081,0.00797363,0.06626434,0.04310807,0.69122579
-5.76588294,1.38356412,0.28912105,0.08066171,0.41591780,0.49826378,0.00706292,0.06128585,0.04404121,0.67561262
-5.75987994,1.36071919,0.26461645,0.07663680,0.37950322,0.51222345,0.00624337,0.05641569,0.04494709,0.66013610
-5.75387694,1.33812168,0.24114823,0.07293138,0.34505018,0.52495491,0.00551324,0.05170269,0.04579486,0.64480839
-5.74787394,1.31554517,0.21889173,0.06953721,0.31276372,0.53616378,0.00487029,0.04718859,0.04655330,0.62960789
-5.74187094,1.29272380,0.19798670,0.06644205,0.28280517,0.54556771,0.00431208,0.04290784,0.04719193,0.61448725
-5.73586793,1.26937566,0.17853839,0.06363131,0.25529521,0.55290808,0.00383615,0.03888764,0.04768222,0.59938305
-5.72986493,1.24522738,0.16061983,0.06108969,0.23031826,0.55796165,0.00344028,0.03514825,0.04799866,0.58422636
-5.72386193,1.22003888,0.14427491,0.05880286,0.20792773,0.56055130,0.00312263,0.03170357,0.04811977,0.56895382
-5.71785893,1.19362675,0.12952216,0.05675900,0.18815205,0.56055559,0.00288194,0.02856176,0.04802901,0.55351842
-5.71185593,1.16588520,0.11635897,0.05495025,0.17100085,0.55791637,0.00271760,0.02572615,0.04771546,0.53789942
-5.70585293,1.13680332,0.10476601,0.05337380,0.15647125,0.55264431,0.00262979,0.02319604,0.04717431,0.52211097
-5.69984992,1.10647778,0.09471153,0.05203287,0.14455368,0.54482181,0.00261947,0.02096766,0.04640713,0.50620870
-5.69384692,1.07512028,0.08615554,0.05093720,0.13523707,0.53460328,0.00268844,0.01903501,0.04542189,0.49029416
-5.68784392,1.04305934,0.07905347,0.05010326,0.12851314,0.52221261,0.00283922,0.01739064,0.04423277,0.47451669
-5.68184092,1.01073630,0.07335925,0.04955404,0.12437948,0.50793802,0.00307504,0.01602638,0.04285968,0.45907271
-5.67583792,0.97869562,0.06902775,0.04931847,0.12284131,0.49212443,0.00339961,0.01493385,0.04132762,0.44420234
-5.66983492,0.94757005,0.06601640,0.04943047,0.12391189,0.47516367,0.00381700,0.01410489,0.03966589,0.43018365
-5.66383192,0.91806120,0.06428608,0.04992758,0.12761148,0.45748297,0.00433137,0.01353180,0.03790713,0.41732465
-5.65782891,0.89091642,0.06380124,0.05084939,0.13396489,0.43953224,0.00494670,0.01320746,0.03608623,0.40595351
-5.65182591,0.86690300,0.06452929,0.05223565,0.14299781,0.42177051,0.00566650,0.01312527,0.03423928,0.39640733
-5.64582291,0.84678077,0.06643937,0.05412420,0.15473200,0.40465230,0.00649344,0.01327901,0.03240243,0.38902006
-5.63981991,0.83127426,0.06950068,0.05654887,0.16917969,0.38861418,0.00742906,0.01366255,0.03061087,0.38410999
-5.63381691,0.82104544,0.07368033,0.05953731,0.18633736,0.37406221,0.00847337,0.01426949,0.02889781,0.38196738
-5.62781391,0.81666826,0.07894112,0.06310887,0.20617929,0.36136054,0.00962459,0.01509279,0.02729359,0.38284267
-5.62181091,0.81860579,0.08523913,0.06727277,0.22865123,0.35082162,0.01087880,0.01612437,0.02582498,0.38693581
-5.61580790,0.82719083,0.09252151,0.07202642,0.25366448,0.34269821,0.01222973,0.01735462,0.02451456,0.39438695
-5.60980490,0.84261071,0.10072448,0.07735410,0.28109078,0.33717740,0.01366859,0.01877213,0.02338029,0.40526904
-5.60380190,0.86489668,0.10977172,0.08322614,0.31075833,0.33437680,0.01518399,0.02036332,0.02243527,0.41958234
-5.59779890,0.89391825,0.11957332,0.08959846,0.34244922,0.33434273,0.01676194,0.02211224,0.02168761,0.43725125
-5.59179590,0.92938257,0.13002527,0.09641269,0.37589847,0.33705061,0.01838595,0.02400043,0.02114050,0.45812337
-5.58579290,0.97083889,0.14100967,0.10359681,0.41079492,0.34240719,0.02003729,0.02600695,0.02079238,0.48197094
-5.57978989,1.01768777,0.15239565,0.11106630,0.44678396,0.35025453,0.02169532,0.02810848,0.02063728,0.50849449
-5.57378689,1.06919478,0.16404094,0.11872584,0.48347224,0.36037561,0.02333796,0.03027954,0.02066518,0.53732869
-5.56778389,1.12450823,0.17579422,0.12647147,0.52043417,0.37250115,0.02494219,0.03249291,0.02086254,0.56805009
-5.56178089,1.18268021,0.18749792,0.13419311,0.55722011,0.38631747,0.02648473,0.03472007,0.02121279,0.60018661
-5.55577789,1.24269050,0.19899173,0.14177742,0.59336601,0.40147528,0.02794267,0.03693176,0.02169700,0.63322844
-5.54977489,1.30347243,0.21011637,0.14911095,0.62840424,0.41759879,0.02929424,0.03909869,0.02229439,0.66664012
-5.54377189,1.36394006,0.22071768,0.15608327,0.66187520,0.43429530,0.03051952,0.04119222,0.02298303,0.69987336
-5.53776888,1.42301590,0.23065087,0.16259023,0.69333934,0.45116478,0.03160110,0.04318512,0.02374038,0.73238036
-5.53176588,1.47965845,0.23978469,0.16853701,0.72238924,0.46780928,0.03252475,0.04505235,0.02454391,0.76362723
-5.52576288,1.53288880,0.24800543,0.17384098,0.74866130,0.48384216,0.03327998,0.04677182,0.02537163,0.79310724
-5.51975988,1.58181570,0.25522069,0.17843424,0.77184667,0.49889666,0.03386043,0.04832510,0.02620265,0.82035344
-5.51375688,1.62565834,0.26136254,0.18226571,0.79170105,0.51263403,0.03426425,0.04969806,0.02701760,0.84495058
-5.50775388,1.66376658,0.26639029,0.18530279,0.80805310,0.52475075,0.03449421,0.05088148,0.02779905,0.86654574
-5.50175088,1.69563783,0.27029248,0.18753235,0.82081107,0.53498499,0.03455772,0.05187153,0.02853190,0.88485766
-5.49574787,1.72093040,0.27308826,0.18896133,0.82996769,0.54312204,0.03446667,0.05267006,0.02920365,0.89968446
-5.48974487,1.73947300,0.27482783,0.18961660,0.83560291,0.54899877,0.03423715,0.05328488,0.02980463,0.91090946
-5.48374187,1.75126998,0.27559225,0.18954431,0.83788458,0.55250680,0.03388898,0.05372982,0.03032814,0.91850502
-5.47773887,1.75650235,0.27549235,0.18880870,0.83706698,0.55359465,0.03344516,0.05402462,0.03077053,0.92253425
-5.47173587,1.75552446,0.27466680,0.18749040,0.83348733,0.55226847,0.03293120,0.05419468,0.03113116,0.92315047
-5.46573287,1.74885619,0.27327949,0.18568433,0.82756014,0.54859156,0.03237442,0.05427067,0.03141238,0.92059435
-5.45972986,1.73717104,0.27151611,0.18349716,0.81976979,0.54268258,0.03180310,0.05428791,0.03161929,0.91518879
-5.45372686,1.72128006,0.26958006,0.18104457,0.81066129,0.53471243,0.03124578,0.05428563,0.03175951,0.90733150
-5.44772386,1.70211205,0.26768773,0.17844829,0.80082950,0.52489984,0.03073044,0.05430607,0.03184288,0.89748551
-5.44172086,1.68069045,0.26606331,0.17583302,0.79090698,0.51350587,0.03028378,0.05439339,0.03188106,0.88616765
-5.43571786,1.65810733,0.26493304,0.17332334,0.78155080,0.50082723,0.02993058,0.05459248,0.03188709,0.87393540
-5.42971486,1.63549513,0.26451925,0.17104068,0.77342843,0.48718871,0.02969312,0.05494769,0.03187494,0.86137223
-5.42371186,1.61399689,0.26503411,0.16910047,0.76720314,0.47293485,0.02959072,0.05550140,0.03185897,0.84907203
-5.41770885,1.59473565,0.26667334,0.16760944,0.76351913,0.45842112,0.02963940,0.05629258,0.03185348,0.83762284
-5.41170585,1.57878387,0.26961000,0.16666325,0.76298667,0.44400468,0.02985162,0.05735535,0.03187215,0.82759048
-5.40570285,1.56713377,0.27398853,0.16634440,0.76616776,0.43003519,0.03023617,0.05871757,0.03192762,0.81950248
-5.39969985,1.56066940,0.27991924,0.16672054,0.77356234,0.41684581,0.03079818,0.06039947,0.03203104,0.81383291
-5.39369685,1.56014127,0.28747340,0.16784315,0.78559573,0.40474466,0.03153919,0.06241245,0.03219170,0.81098853
-5.38769385,1.56614442,0.29667916,0.16974661,0.80260727,0.39400696,0.03245730,0.06475807,0.03241672,0.81129673
-5.38169085,1.57910042,0.30751846,0.17244767,0.82484075,0.38486825,0.03354746,0.06742726,0.03271083,0.81499566
-5.37568784,1.59924406,0.31992511,0.17594537,0.85243666,0.37751857,0.03480170,0.07039980,0.03307617,0.82222695
-5.36968484,1.62661515,0.33378416,0.18022119,0.88542658,0.37209812,0.03620946,0.07364422,0.03351229,0.83303114
-5.36368184,1.66105550,0.34893276,0.18523969,0.92372996,0.36869419,0.03775791,0.07711790,0.03401608,0.84734619
-5.35767884,1.70221142,0.36516240,0.19094939,0.96715313,0.36733969,0.03943229,0.08076777,0.03458190,0.86500883
-5.35167584,1.74954154,0.38222280,0.19728385,1.01539095,0.36801307,0.04121614,0.08453120,0.03520166,0.88575901
