energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.64101612,1.36857514,1.48562594,0.01698879,1.10389701,0.06196205,1.99073017,1.20755144,0.47680931
-5.99399700,5.58666001,1.38039698,1.47732341,0.01680770,1.09137160,0.06084242,1.97795618,1.21246821,0.46649233
-5.98799400,5.54699185,1.39324711,1.47181066,0.01663497,1.08028213,0.05997739,1.97225633,1.22387247,0.45804049
-5.98199100,5.52164736,1.40702218,1.46896445,0.01647148,1.07052014,0.05937439,1.97352412,1.24172034,0.45145238
-5.97598799,5.51006566,1.42162579,1.46862679,0.01631805,1.06196760,0.05903757,1.98155091,1.26585849,0.44669375
-5.96998499,5.51150957,1.43696913,1.47061009,0.01617541,1.05450064,0.05896748,1.99603378,1.29602583,0.44370057
-5.96398199,5.52508519,1.45296997,1.47470216,0.01604410,1.04799233,0.05916089,2.01658360,1.33185639,0.44238243
-5.95797899,5.54976082,1.46955061,1.48067111,0.01592446,1.04231494,0.05961055,2.04273329,1.37288330,0.44262620
-5.95197599,5.58438585,1.48663498,1.48827053,0.01581656,1.03734164,0.06030507,2.07394624,1.41854424,0.44429984
-5.94597299,5.62771031,1.50414552,1.49724495,0.01572009,1.03294811,0.06122883,2.10962506,1.46818852,0.44725643
-5.93996998,5.67840581,1.52200017,1.50733594,0.01563441,1.02901423,0.06236199,2.14912093,1.52108597,0.45133835
-5.93396698,5.73508874,1.54011006,1.51828870,0.01555846,1.02542602,0.06368068,2.19174359,1.57643801,0.45638147
-5.92796398,5.79634597,1.55837825,1.52985944,0.01549079,1.02207798,0.06515719,2.23677244,1.63339074,0.46221957
-5.92196098,5.86076344,1.57669974,1.54182308,0.01542958,1.01887600,0.06676044,2.28346867,1.69105036,0.46868871
-5.91595798,5.92695732,1.59496285,1.55398137,0.01537271,1.01574055,0.06845648,2.33108864,1.74850053,0.47563166
