energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,3.61052899,1.13465759,3.12712784,0.00619190,0.04719752,0.62720755,0.00000000,0.29278668,0.13464076
-5.99399700,3.42589380,1.07852337,2.97439186,0.00580639,0.04574257,0.58187241,0.00000000,0.27183192,0.12761412
-5.98799400,3.24707942,1.02563728,2.82605307,0.00542411,0.04429053,0.53810842,0.00000000,0.25146405,0.12073398
-5.98199100,3.07581348,0.97663087,2.68354801,0.00505295,0.04285317,0.49630647,0.00000000,0.23191524,0.11405664
-5.97598799,2.91377621,0.93210151,2.54829569,0.00470051,0.04144238,0.45682579,0.00000000,0.21340070,0.10763644
-5.96998499,2.76256934,0.89260252,2.42167005,0.00437391,0.04007008,0.41998832,0.00000000,0.19611569,0.10152483
-5.96398199,2.62368392,0.85863335,2.30497033,0.00407975,0.03874794,0.38607404,0.00000000,0.18023319,0.09576950
-5.95797899,2.49846792,0.83063006,2.19939036,0.00382395,0.03748723,0.35531724,0.00000000,0.16590212,0.09041350
-5.95197599,2.38809475,0.80895638,2.10598789,0.00361176,0.03629856,0.32790388,0.00000000,0.15324613,0.08549448
-5.94597299,2.29353388,0.79389533,2.02565512,0.00344766,0.03519163,0.30396990,0.00000000,0.14236283,0.08104396
-5.93996998,2.21552434,0.78564172,1.95909164,0.00333537,0.03417500,0.28360060,0.00000000,0.13332357,0.07708675
-5.93396698,2.15455214,0.78429546,1.90678067,0.00327777,0.03325580,0.26683088,0.00000000,0.12617351,0.07364044
-5.92796398,2.11083239,0.78985608,1.86896965,0.00327695,0.03243956,0.25364627,0.00000000,0.12093201,0.07071504
-5.92196098,2.08429665,0.80221835,1.84565582,0.00333416,0.03172996,0.24398474,0.00000000,0.11759325,0.06831272
-5.91595798,2.07458615,0.82116935,1.83657749,0.00344981,0.03112867,0.23773896,0.00000000,0.11612699,0.06642771
-5.90995498,2.08105114,0.84638705,1.84121145,0.00362349,0.03063522,0.23475917,0.00000000,0.11647946,0.06504637
-5.90395198,2.10275658,0.87744064,1.85877659,0.00385391,0.03024696,0.23485632,0.00000000,0.11857432,0.06414737
-5.89794897,2.13849432,0.91379279,1.88824412,0.00413893,0.02995904,0.23780565,0.00000000,0.12231366,0.06370201
-5.89194597,2.18680179,0.95480407,1.92835407,0.00447557,0.02976453,0.24335043,0.00000000,0.12757917,0.06367478
-5.88594297,2.24598683,0.99973969,1.97763795,0.00485997,0.02965450,0.25120606,0.00000000,0.13423337,0.06402401
-5.87993997,2.31415853,1.04777867,2.03444719,0.00528744,0.02961832,0.26106434,0.00000000,0.14212100,0.06470269
-5.87393697,2.38926361,1.09802565,2.09698676,0.00575246,0.02964394,0.27259802,0.00000000,0.15107071,0.06565943
-5.86793397,2.46912760,1.14952522,2.16335336,0.00624876,0.02971825,0.28546564,0.00000000,0.16089694,0.06683961
-5.86193097,2.55150017,1.20127867,2.23157723,0.00676934,0.02982752,0.29931659,0.00000000,0.17140219,0.06818653
