energy_ev,total_up,Li_s_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.26251141,0.57678121,2.39311703,0.84815467,0.01917128,0.62707021,0.02578034,1.26627852
-5.99399700,3.19217020,0.56122850,2.30936583,0.83424725,0.01863653,0.60011914,0.02666516,1.25053490
-5.98799400,3.11307303,0.54469834,2.22005230,0.81785497,0.01800786,0.57258554,0.02752546,1.23050156
-5.98199100,3.02646268,0.52745144,2.12653169,0.79922091,0.01729613,0.54496989,0.02834799,1.20644915
-5.97598799,2.93363507,0.50973689,2.03016170,0.77861043,0.01651324,0.51775099,0.02911967,1.17869445
-5.96998499,2.83590576,0.49178470,1.93227227,0.75630458,0.01567182,0.49137427,0.02982772,1.14759110
-5.96398199,2.73457760,0.47379980,1.83413720,0.73259339,0.01478490,0.46624137,0.03045984,1.11352011
-5.95797899,2.63091048,0.45595737,1.73694830,0.70776925,0.01386554,0.44270129,0.03100432,1.07688036
-5.95197599,2.52609436,0.43840010,1.64179282,0.68212051,0.01292654,0.42104335,0.03145024,1.03807948
-5.94597299,2.42122612,0.42123707,1.54963454,0.65592560,0.01198017,0.40149202,0.03178768,0.99752552
-5.93996998,2.31729120,0.40454443,1.46129908,0.62944782,0.01103793,0.38420390,0.03200793,0.95561962
-5.93396698,2.21515026,0.38836775,1.37746359,0.60293096,0.01011031,0.36926668,0.03210369,0.91274992
-5.92796398,2.11553129,0.37272587,1.29865101,0.57659590,0.00920668,0.35670019,0.03206929,0.86928697
-5.92196098,2.01902713,0.35761586,1.22522908,0.55063824,0.00833517,0.34645944,0.03190091,0.82558061
-5.91595798,1.92609839,0.34301901,1.15741368,0.52522710,0.00750260,0.33843935,0.03159677,0.78195839
-5.90995498,1.83708130,0.32890737,1.09527667,0.50050502,0.00671447,0.33248123,0.03115727,0.73872547
-5.90395198,1.75220007,0.31525049,1.03875758,0.47658887,0.00597497,0.32838055,0.03058514,0.69616585
-5.89794897,1.67158313,0.30202208,0.98767888,0.45357195,0.00528707,0.32589585,0.02988550,0.65454478
-5.89194597,1.59528239,0.28920633,0.94176417,0.43152678,0.00465257,0.32475850,0.02906587,0.61411213
-5.88594297,1.52329471,0.27680337,0.90065881,0.41050879,0.00407223,0.32468298,0.02813616,0.57510637
-5.87993997,1.45558472,0.26483394,0.86395211,0.39056047,0.00354589,0.32537736,0.02710851,0.53775905
-5.87393697,1.39210792,0.25334287,0.83120046,0.37171599,0.00307261,0.32655365,0.02599720,0.50229936
-5.86793397,1.33283330,0.24240134,0.80195060,0.35400589,0.00265080,0.32793776,0.02481835,0.46895861
-5.86193097,1.27776435,0.23210779,0.77576218,0.33746178,0.00227837,0.32927873,0.02358966,0.43797428
-5.85592796,1.22695790,0.22258759,0.75222900,0.32212071,0.00195286,0.33035694,0.02233013,0.40959351
-5.84992496,1.18053976,0.21399132,0.73099796,0.30802911,0.00167156,0.33099104,0.02105961,0.38407578
-5.84392196,1.13871669,0.20649187,0.71178537,0.29524600,0.00143164,0.33104346,0.01979850,0.36169451
-5.83791896,1.10178403,0.20028043,0.69438984,0.28384547,0.00123022,0.33042418,0.01856729,0.34273764
-5.83191596,1.07012862,0.19556141,0.67870128,0.27391798,0.00106451,0.32909282,0.01738620,0.32750683
-5.82591296,1.04422666,0.19254659,0.66470588,0.26557078,0.00093181,0.32705885,0.01627479,0.31631536
-5.81990995,1.02463642,0.19144846,0.65248663,0.25892694,0.00082960,0.32437992,0.01525160,0.30948450
-5.81390695,1.01198579,0.19247313,0.64221952,0.25412332,0.00075560,0.32115845,0.01433380,0.30733846
-5.80790395,1.00695479,0.19581272,0.63416539,0.25130721,0.00070773,0.31753652,0.01353694,0.31019778
-5.80190095,1.01025347,0.20163774,0.62865778,0.25063191,0.00068420,0.31368932,0.01287463,0.31837135
-5.79589795,1.02259574,0.21008928,0.62608710,0.25225111,0.00068343,0.30981728,0.01235838,0.33214696
-5.78989495,1.04466975,0.22127158,0.62688180,0.25631251,0.00070411,0.30613729,0.01199739,0.35178079
-5.78389195,1.07710577,0.23524491,0.63148707,0.26295062,0.00074511,0.30287327,0.01179845,0.37748584
-5.77788894,1.12044274,0.25201919,0.64034185,0.27227910,0.00080551,0.30024648,0.01176576,0.40941979
-5.77188594,1.17509447,0.27154849,0.65385523,0.28438298,0.00088453,0.29846587,0.01190094,0.44767260
-5.76588294,1.24131717,0.29372669,0.67238290,0.29931097,0.00098154,0.29771899,0.01220294,0.49225441
-5.75987994,1.31917942,0.31838464,0.69620476,0.31706829,0.00109595,0.29816365,0.01266805,0.54308417
-5.75387694,1.40853626,0.34528882,0.72550467,0.33761034,0.00122725,0.29992078,0.01328990,0.59997983
-5.74787394,1.50900884,0.37414201,0.76035323,0.36083760,0.00137494,0.30306875,0.01405950,0.66265042
-5.74187094,1.61997090,0.40458591,0.80069434,0.38659211,0.00153850,0.30763941,0.01496535,0.73069107
-5.73586793,1.74054335,0.43620586,0.84633656,0.41465580,0.00171737,0.31361594,0.01599353,0.80358111
-5.72986493,1.86959795,0.46853778,0.89694945,0.44475097,0.00191093,0.32093280,0.01712785,0.88068628
-5.72386193,2.00577063,0.50107711,0.95206569,0.47654310,0.00211847,0.32947757,0.01835006,0.96126497
-5.71785893,2.14748479,0.53328979,1.01108887,0.50964598,0.00233919,0.33909486,0.01964011,1.04447915
-5.71185593,2.29298446,0.56462481,1.07330695,0.54362934,0.00257220,0.34959190,0.02097641,1.12940977
-5.70585293,2.44037650,0.59452816,1.13791111,0.57802872,0.00281652,0.36074589,0.02233621,1.21507655
-5.69984992,2.58768096,0.62245761,1.20401934,0.61235728,0.00307107,0.37231255,0.02369601,1.30046174
-5.69384692,2.73288781,0.64789793,1.27070387,0.64611942,0.00333467,0.38403568,0.02503195,1.38453712
-5.68784392,2.87401804,0.67037588,1.33702148,0.67882547,0.00360609,0.39565731,0.02632038,1.46629341
-5.68184092,3.00918682,0.68947442,1.40204519,0.71000711,0.00388401,0.40692799,0.02753827,1.54477082
-5.67583792,3.13666591,0.70484556,1.46489620,0.73923276,0.00416707,0.41761677,0.02866383,1.61908963
-5.66983492,3.25494270,0.71622135,1.52477430,0.76612228,0.00445384,0.42752042,0.02967693,1.68847923
-5.66383192,3.36277278,0.72342243,1.58098546,0.79036036,0.00474286,0.43647161,0.03055970,1.75230431
-5.65782891,3.45922362,0.72636378,1.63296515,0.81170781,0.00503264,0.44434542,0.03129691,1.81008673
-5.65182591,3.54370682,0.72505745,1.68029606,0.83001032,0.00532165,0.45106412,0.03187639,1.86152184
-5.64582291,3.61599694,0.71961203,1.72271937,0.84520393,0.00560831,0.45659985,0.03228935,1.90648819
-5.63981991,3.67623570,0.71022895,1.76013876,0.85731710,0.00589100,0.46097512,0.03253062,1.94504983
-5.63381691,3.72492057,0.69719557,1.79261690,0.86646895,0.00616809,0.46426094,0.03259872,1.97745078
-5.62781391,3.76287807,0.68087560,1.82036441,0.87286366,0.00643787,0.46657294,0.03249589,2.00410164
-5.62181091,3.79122230,0.66169694,1.84372189,0.87678123,0.00669862,0.46806525,0.03222800,2.02555858
-5.61580790,3.81130048,0.64013764,1.86313570,0.87856482,0.00694856,0.46892277,0.03180424,2.04249570
-5.60980490,3.82462766,0.61671047,1.87912875,0.87860526,0.00718590,0.46935184,0.03123685,2.05567158
-5.60380190,3.83281350,0.59194669,1.89226793,0.87732330,0.00740884,0.46957006,0.03054063,2.06589184
-5.59779890,3.83748443,0.56637966,1.90312959,0.87515039,0.00761558,0.46979540,0.02973243,2.07396914
-5.59179590,3.84020503,0.54052900,1.91226518,0.87250900,0.00780437,0.47023534,0.02883060,2.08068277
-5.58579290,3.84240208,0.51488569,1.92016864,0.86979314,0.00797355,0.47107645,0.02785434,2.08673959
-5.57978989,3.84529529,0.48989880,1.92724743,0.86735025,0.00812157,0.47247486,0.02682310,2.09273848
-5.57378689,3.84983790,0.46596414,1.93379864,0.86546519,0.00824705,0.47454820,0.02575596,2.09913991
-5.56778389,3.85667015,0.44341529,1.93999148,0.86434718,0.00834883,0.47736920,0.02467112,2.10624231
