energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.28119014,3.29148839,2.32832309,0.05276060,0.62406155,0.02283349,3.68078986,1.45281343,0.55537349
-5.99399700,6.18546659,3.22763388,2.27363087,0.05333202,0.62246998,0.02285451,3.61242162,1.43230129,0.54762991
-5.98799400,6.07351346,3.15525261,2.21309572,0.05372129,0.62031088,0.02285537,3.53228040,1.40666423,0.53826385
-5.98199100,5.94739912,3.07537170,2.14784461,0.05393282,0.61772681,0.02283934,3.44169204,1.37612447,0.52739703
-5.97598799,5.80943135,2.98916162,2.07905543,0.05397440,0.61485688,0.02281065,3.34217154,1.34100702,0.51518211
-5.96998499,5.66207619,2.89789692,2.00791857,0.05385648,0.61183148,0.02277422,3.23537072,1.30173108,0.50179921
-5.96398199,5.50787436,2.80291452,1.93559986,0.05359143,0.60876756,0.02273530,3.12302334,1.25879821,0.48745162
-5.95797899,5.34935907,2.70557132,1.86320641,0.05319275,0.60576456,0.02269916,3.00688991,1.21277790,0.47236089
-5.95197599,5.18897877,2.60720314,1.79175678,0.05267426,0.60290135,0.02267070,2.88870472,1.16429112,0.45676148
-5.94597299,5.02902818,2.50908664,1.72215659,0.05204947,0.60023431,0.02265417,2.77012725,1.11399253,0.44089514
-5.93996998,4.87159023,2.41240579,1.65518035,0.05133088,0.59779650,0.02265289,2.65269977,1.06255224,0.42500538
-5.93396698,4.71849118,2.31822411,1.59145998,0.05052953,0.59559828,0.02266899,2.53781267,1.01063779,0.40933210
-5.92796398,4.57127003,2.22746366,1.53148004,0.04965469,0.59362907,0.02270329,2.42667853,0.95889723,0.39410671
-5.92196098,4.43116293,2.14089118,1.47557958,0.04871365,0.59186031,0.02275520,2.32031544,0.90794389,0.37954779
-5.91595798,4.29910218,2.05911162,1.42395985,0.04771171,0.59024949,0.02282270,2.21953959,0.85834339,0.36585755
-5.90995498,4.17572874,1.98256868,1.37669725,0.04665236,0.58874492,0.02290244,2.12496666,0.81060331,0.35321899
-5.90395198,4.06141669,1.91155196,1.33376032,0.04553754,0.58729109,0.02298986,2.03702105,0.76516565,0.34179386
-5.89794897,3.95630714,1.84620959,1.29502964,0.04436800,0.58583434,0.02307943,1.95595184,0.72240228,0.33172139
-5.89194597,3.86034904,1.78656549,1.26031948,0.04314382,0.58432842,0.02316490,1.88185380,0.68261312,0.32311753
-5.88594297,3.77334405,1.73253973,1.22939975,0.04186486,0.58273974,0.02323963,1.81469188,0.64602683,0.31607482
-5.87993997,3.69499246,1.68397091,1.20201736,0.04053130,0.58105193,0.02329690,1.75432752,0.61280373,0.31066248
-5.87393697,3.62493745,1.64063906,1.17791555,0.03914410,0.57926955,0.02333025,1.70054493,0.58304044,0.30692679
-5.86793397,3.56280519,1.60228792,1.15685066,0.03770542,0.57742059,0.02333385,1.65307617,0.55677570,0.30489141
-5.86193097,3.50823882,1.56864548,1.13860541,0.03621895,0.57555768,0.02330274,1.61162349,0.53399712,0.30455775
-5.85592796,3.46092462,1.53944197,1.12299837,0.03469018,0.57375800,0.02323312,1.57587819,0.51464811,0.30590516
-5.84992496,3.42060971,1.51442452,1.10988931,0.03312645,0.57212161,0.02312257,1.54553523,0.49863497,0.30889102
-5.84392196,3.38711077,1.49336828,1.09918064,0.03153702,0.57076857,0.02297015,1.52030356,0.48583358,0.31345073
-5.83791896,3.36031424,1.47608369,1.09081490,0.02993292,0.56983472,0.02277649,1.49991198,0.47609560,0.31949773
-5.83191596,3.34016877,1.46242026,1.08476912,0.02832679,0.56946651,0.02254380,1.48411114,0.46925420,0.32692365
-5.82591296,3.32667135,1.45226696,1.08104634,0.02673254,0.56981494,0.02227574,1.47267225,0.46512915,0.33559875
-5.81990995,3.31984878,1.44554989,1.07966526,0.02516505,0.57102914,0.02197736,1.46538335,0.46353144,0.34537298
-5.81390695,3.31973633,1.44222788,1.08064871,0.02363974,0.57324969,0.02165485,1.46204400,0.46426754,0.35607757
-5.80790395,3.32635581,1.44228666,1.08401185,0.02217214,0.57660226,0.02131532,1.46245958,0.46714351,0.36752754
-5.80190095,3.33969479,1.44573247,1.08975090,0.02077754,0.58119169,0.02096651,1.46643590,0.47196901,0.37952521
-5.79589795,3.35968901,1.45258569,1.09783320,0.01947049,0.58709699,0.02061654,1.47377514,0.47856138,0.39186457
-5.78989495,3.38620930,1.46287522,1.10818915,0.01826452,0.59436756,0.02027356,1.48427365,0.48674991,0.40433681
-5.78389195,3.41905423,1.47663406,1.12070677,0.01717177,0.60302067,0.01994552,1.49772211,0.49638029,0.41673657
