energy_ev,total_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.75127129,0.20866889,0.18132497,0.11284890,0.22373920,0.08371200,0.00016464
-5.99399700,0.74814047,0.20999244,0.17952850,0.11290983,0.21694521,0.08443494,0.00016842
-5.98799400,0.74350488,0.21080622,0.17750167,0.11268134,0.20957900,0.08491952,0.00017179
-5.98199100,0.73738041,0.21109141,0.17523079,0.11215583,0.20176100,0.08516408,0.00017471
-5.97598799,0.72980601,0.21084103,0.17270683,0.11132897,0.19362105,0.08517125,0.00017717
-5.96998499,0.72084421,0.21006103,0.16992586,0.11019994,0.18529561,0.08494833,0.00017913
-5.96398199,0.71058137,0.20877095,0.16688929,0.10877157,0.17692492,0.08450763,0.00018058
-5.95797899,0.69912751,0.20700413,0.16360409,0.10705052,0.16865024,0.08386666,0.00018151
-5.95197599,0.68661555,0.20480753,0.16008277,0.10504737,0.16061119,0.08304805,0.00018193
-5.94597299,0.67320015,0.20224093,0.15634325,0.10277664,0.15294328,0.08207945,0.00018183
-5.93996998,0.65905582,0.19937564,0.15240865,0.10025668,0.14577564,0.08099300,0.00018125
-5.93396698,0.64437438,0.19629267,0.14830688,0.09750955,0.13922903,0.07982470,0.00018019
-5.92796398,0.62936181,0.19308036,0.14407017,0.09456072,0.13341408,0.07861348,0.00017870
-5.92196098,0.61423435,0.18983161,0.13973447,0.09143871,0.12842983,0.07740000,0.00017681
-5.91595798,0.59921414,0.18664076,0.13533880,0.08817457,0.12436258,0.07622531,0.00017457
-5.90995498,0.58452424,0.18360021,0.13092445,0.08480133,0.12128496,0.07512938,0.00017202
-5.90395198,0.57038343,0.18079691,0.12653422,0.08135332,0.11925532,0.07414945,0.00016923
-5.89794897,0.55700076,0.17830903,0.12221154,0.07786543,0.11831738,0.07331848,0.00016624
-5.89194597,0.54457025,0.17620271,0.11799964,0.07437237,0.11850019,0.07266360,0.00016311
