energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,6.20880279,0.55343767,0.09217822,1.12313204,3.70471739,0.12594178,0.23353534,0.81094523
-5.99399700,6.18967767,0.55068890,0.09220503,1.11464929,3.70063380,0.12347622,0.23268187,0.80295780
-5.98799400,6.13540049,0.54481862,0.09164330,1.09996608,3.67512416,0.12052249,0.23057373,0.79077461
-5.98199100,6.04713754,0.53594217,0.09050251,1.07936361,3.62876484,0.11715403,0.22725802,0.77464460
-5.97598799,5.92664853,0.52422597,0.08880325,1.05322093,3.56250304,0.11344897,0.22280183,0.75487962
-5.96998499,5.77623469,0.50988269,0.08657674,1.02200408,3.47762767,0.10948787,0.21729014,0.73184598
-5.96398199,5.59867156,0.49316502,0.08386394,0.98625293,3.37573014,0.10535151,0.21082345,0.70595472
-5.95797899,5.39712917,0.47435844,0.08071432,0.94656623,3.25865670,0.10111892,0.20351479,0.67765098
-5.95197599,5.17508281,0.45377322,0.07718448,0.90358540,3.12845438,0.09686550,0.19548666,0.64740289
-5.94597299,4.93621793,0.43173591,0.07333655,0.85797780,2.98731266,0.09266153,0.18686772,0.61569043
-5.93996998,4.68433307,0.40858083,0.06923642,0.81041993,2.83750333,0.08857094,0.17778949,0.58299449
-5.93396698,4.42324425,0.38464163,0.06495201,0.76158128,2.68132070,0.08465043,0.16838319,0.54978672
-5.92796398,4.15669461,0.36024337,0.06055152,0.71210938,2.52102471,0.08094893,0.15877675,0.51652029
-5.92196098,3.88827225,0.33569540,0.05610173,0.66261649,2.35878857,0.07750739,0.14909221,0.48362197
-5.91595798,3.62133883,0.31128519,0.05166655,0.61366830,2.19665301,0.07435881,0.13944348,0.45148568
-5.90995498,3.35897106,0.28727328,0.04730567,0.56577503,2.03648816,0.07152860,0.12993461,0.42046756
-5.90395198,3.10391616,0.26388950,0.04307350,0.51938495,1.87996402,0.06903501,0.12065852,0.39088282
-5.89794897,2.85856207,0.24133047,0.03901837,0.47488047,1.72853006,0.06688987,0.11169622,0.36300415
-5.89194597,2.62492201,0.21975835,0.03518201,0.43257662,1.58340366,0.06509924,0.10311661,0.33706171
-5.88594297,2.40463291,0.19930078,0.03159927,0.39272193,1.44556725,0.06366426,0.09497664,0.31324456
-5.87993997,2.19896618,0.18005194,0.02829816,0.35550121,1.31577318,0.06258187,0.08732194,0.29170335
-5.87393697,2.00884921,0.16207443,0.02530011,0.32104013,1.19455533,0.06184563,0.08018767,0.27255398
-5.86793397,1.83489543,0.14540200,0.02262038,0.28941103,1.08224624,0.06144640,0.07359980,0.25588209
