energy_ev,total_up,P_s_up,P_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,4.30503957,0.00568890,1.12748277,2.48977277,2.98943095,0.01404420,0.45222787
-5.99399700,4.45186344,0.00616033,1.15312427,2.57421937,3.08251864,0.01379059,0.48731417
-5.98799400,4.59886070,0.00666384,1.17706045,2.66089689,3.17451570,0.01356804,0.52407974
-5.98199100,4.74424227,0.00719723,1.19886937,2.74922669,3.26415197,0.01337624,0.56224956
-5.97598799,4.88630143,0.00775772,1.21817191,2.83867091,3.35023600,0.01321389,0.60153219
-5.96998499,5.02346823,0.00834204,1.23464277,2.92875470,3.43169399,0.01307897,0.64162740
-5.96398199,5.15436142,0.00894653,1.24802017,3.01908717,3.50760621,0.01296891,0.68223438
-5.95797899,5.27783540,0.00956731,1.25811376,3.10937980,3.57723939,0.01288083,0.72306034
-5.95197599,5.39301997,0.01020039,1.26481034,3.19946120,3.64007333,0.01281177,0.76382897
-5.94597299,5.49935067,0.01084184,1.26807715,3.28928722,3.69582021,0.01275891,0.80428847
-5.93996998,5.59658820,0.01148799,1.26796253,3.37894587,3.74443576,0.01271969,0.84421875
-5.93396698,5.68482580,0.01213554,1.26459402,3.46865639,3.78612132,0.01269201,0.88343747
-5.92796398,5.76448386,0.01278172,1.25817379,3.55876247,3.82131656,0.01267426,0.92180456
-5.92196098,5.83629183,0.01342443,1.24897183,3.64971963,3.85068304,0.01266547,0.95922503
-5.91595798,5.90125781,0.01406231,1.23731695,3.74207705,3.87507882,0.01266524,0.99564981
-5.90995498,5.96062682,0.01469482,1.22358614,3.83645454,3.89552526,0.01267379,1.03107461
-5.90395198,6.01582929,0.01532221,1.20819256,3.93351520,3.91316701,0.01269189,1.06553668
-5.89794897,6.06842151,0.01594554,1.19157258,4.03393498,3.92922671,0.01272081,1.09910965
-5.89194597,6.12002029,0.01656655,1.17417247,4.13836988,3.94495611,0.01276219,1.13189656
-5.88594297,6.17223421,0.01718755,1.15643498,4.24742208,3.96158537,0.01281795,1.16402127
-5.87993997,6.22659389,0.01781123,1.13878632,4.36160612,3.98027244,0.01289017,1.19561876
-5.87393697,6.28448396,0.01844044,1.12162388,4.48131618,4.00205443,0.01298097,1.22682446
-5.86793397,6.34707917,0.01907795,1.10530502,4.60679570,4.02780275,0.01309235,1.25776330
-5.86193097,6.41528696,0.01972617,1.09013729,4.73811014,4.05818373,0.01322611,1.28853870
-5.85592796,6.48969866,0.02038685,1.07637013,4.87512402,4.09362606,0.01338368,1.31922221
-5.84992496,6.57055109,0.02106083,1.06418847,5.01748284,4.13429641,0.01356607,1.34984406
-5.84392196,6.65770005,0.02174780,1.05370821,5.16460064,4.18008412,0.01377373,1.38038518
-5.83791896,6.75060678,0.02244604,1.04497371,5.31565351,4.23059540,0.01400649,1.41077104
-5.83191596,6.84833789,0.02315230,1.03795737,5.46957958,4.28515753,0.01426349,1.44086759
-5.82591296,6.94957894,0.02386166,1.03256134,5.62508555,4.34283272,0.01454314,1.47047959
-5.81990995,7.05266137,0.02456754,1.02862111,5.78065966,4.40244137,0.01484311,1.49935145
-5.81390695,7.15560183,0.02526175,1.02591117,5.93459119,4.46259369,0.01516026,1.52717056
-5.80790395,7.25615283,0.02593459,1.02415232,6.08499601,4.52172889,0.01549076,1.55357321
-5.80190095,7.35186284,0.02657510,1.02302065,6.22984789,4.57816027,0.01583002,1.57815268
-5.79589795,7.44014415,0.02717133,1.02215768,6.36701495,4.63012482,0.01617282,1.60046957
-5.78989495,7.51834599,0.02771073,1.02118169,6.49430073,4.67583560,0.01651336,1.62006376
