energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-4.13306653,6.38456667,0.00852654,1.31914192,0.08020990,2.25993684,2.28404052,1.93603047,0.65928683,0.05427887
-4.12706353,6.65356595,0.00819822,1.36666935,0.08033686,2.36959178,2.31042337,2.03559785,0.69105832,0.05515171
-4.12106053,6.93269897,0.00786363,1.41859558,0.08057893,2.47987924,2.33808238,2.14214371,0.72357709,0.05597269
-4.11505753,7.21896049,0.00752102,1.47469343,0.08094455,2.58914173,2.36661150,2.25496860,0.75624808,0.05672455
-4.10905453,7.50892173,0.00716985,1.53457349,0.08144802,2.69566486,2.39551858,2.37310090,0.78845320,0.05739079
-4.10305153,7.79877037,0.00681064,1.59768120,0.08210826,2.79770828,2.42423155,2.49529992,0.81956377,0.05795583
-4.09704852,8.08437012,0.00644484,1.66330093,0.08294734,2.89353979,2.45210874,2.62007085,0.84895389,0.05840518
-4.09104552,8.36133973,0.00607466,1.73056756,0.08398886,2.98147200,2.47845342,2.74569209,0.87601438,0.05872562
-4.08504252,8.62515092,0.00570287,1.79848567,0.08525633,3.05990076,2.50253267,2.87025465,0.90016714,0.05890540
-4.07903952,8.87124282,0.00533265,1.86595606,0.08677147,3.12734445,2.52360034,2.99171273,0.92087940,0.05893449
-4.07303652,9.09515018,0.00496737,1.93180885,0.08855273,3.18248293,2.54092370,3.10794426,0.93767760,0.05880481
-4.06703352,9.29264114,0.00461042,1.99484233,0.09061396,3.22419501,2.55381323,3.21681907,0.95016027,0.05851055
-4.06103052,9.45985967,0.00426514,2.05386605,0.09296323,3.25159286,2.56165467,3.31627247,0.95800971,0.05804842
-4.05502751,9.59346707,0.00393461,2.10774660,0.09560212,3.26405226,2.56394224,3.40438110,0.96100180,0.05741793
-4.04902451,9.69077668,0.00362162,2.15545417,0.09852512,3.26123693,2.56031186,3.47943804,0.95901366,0.05662167
-4.04302151,9.74987568,0.00332859,2.19610806,0.10171947,3.24311614,2.55057302,3.54002390,0.95202871,0.05566546
-4.03701851,9.76972817,0.00305754,2.22901901,0.10516526,3.20997412,2.53473774,3.58507074,0.94013891,0.05455856
-4.03101551,9.75025450,0.00281008,2.25372662,0.10883582,3.16241075,2.51304547,3.61391591,0.92354394,0.05331363
-4.02501251,9.69238224,0.00258741,2.27002998,0.11269840,3.10133296,2.48598230,3.62634334,0.90254729,0.05194676
-4.01900950,9.59806586,0.00239033,2.27801024,0.11671497,3.02793670,2.45429357,3.62261026,0.87754917,0.05047726
-4.01300650,9.47027304,0.00221930,2.27804392,0.12084325,2.94367978,2.41898875,3.60345814,0.84903661,0.04892740
-4.00700350,9.31293730,0.00207446,2.27080619,0.12503777,2.85024632,2.38133799,3.57010709,0.81757078,0.04732197
-4.00100050,9.13087787,0.00195566,2.25726403,0.12925102,2.74950382,2.34285995,3.52423393,0.78377224,0.04568778
-3.99499750,8.92968931,0.00186250,2.23865913,0.13343449,2.64345419,2.30530081,3.46793462,0.74830425,0.04405307
-3.98899450,8.71560448,0.00179437,2.21648131,0.13753975,2.53418055,2.27060478,3.40367265,0.71185510,0.04244674
-3.98299150,8.49533575,0.00175046,2.19243309,0.14151930,2.42379160,2.24087655,3.33421511,0.67511971,0.04089762
-3.97698849,8.27589979,0.00172979,2.16838685,0.14532735,2.31436541,2.21833674,3.26255906,0.63878148,0.03943368
-3.97098549,8.06443228,0.00173119,2.14633582,0.14892039,2.20789492,2.20527108,3.19185074,0.60349472,0.03808125
-3.96498249,7.86799858,0.00175333,2.12834047,0.15225765,2.10623668,2.20397494,3.12530046,0.56986841,0.03686419
-3.95897949,7.69340664,0.00179471,2.11647211,0.15530131,2.01106499,2.21669431,3.06609600,0.53845181,0.03580330
-3.95297649,7.54702798,0.00185368,2.11275524,0.15801666,1.92383254,2.24556488,3.01731711,0.50972223,0.03491560
-3.94697349,7.43463206,0.00192838,2.11911027,0.16037210,1.84573908,2.29255071,2.98185376,0.48407539,0.03421395
-3.94097049,7.36123841,0.00201678,2.13729824,0.16233911,1.77770883,2.35938406,2.96233007,0.46181863,0.03370661
-3.93496748,7.33099041,0.00211670,2.16886888,0.16389210,1.72037713,2.44750801,2.96103596,0.44316683,0.03339710
-3.92896448,7.34705333,0.00222578,2.21511333,0.16500842,1.67408651,2.55802328,2.97986779,0.42824134,0.03328415
-3.92296148,7.41153852,0.00234152,2.27702254,0.16566827,1.63889186,2.69164090,3.02027919,0.41707159,0.03336183
-3.91695848,7.52545486,0.00246132,2.35525241,0.16585476,1.61457428,2.84864200,3.08324280,0.40959919,0.03361981
-3.91095548,7.68868755,0.00258253,2.45009636,0.16555410,1.60066255,3.02884617,3.16922334,0.40568439,0.03404382
-3.90495248,7.90000383,0.00270243,2.56146615,0.16475581,1.59646127,3.23158956,3.27816229,0.40511431,0.03461618
-3.89894947,8.15708444,0.00281840,2.68888122,0.16345308,1.60108426,3.45571370,3.40947403,0.40761280,0.03531646
-3.89294647,8.45657941,0.00292788,2.83146711,0.16164324,1.61349191,3.69956603,3.56205340,0.41285140,0.03612221
-3.88694347,8.79418591,0.00302850,2.98796311,0.15932820,1.63253090,3.96101261,3.73429421,0.42046099,0.03700976
-3.88094047,9.16474610,0.00311814,3.15673908,0.15651498,1.65697483,4.23746346,3.92411839,0.43004381,0.03795496
-3.87493747,9.56236217,0.00319496,3.33582150,0.15321618,1.68556428,4.52591037,4.12901497,0.44118541,0.03893400
-3.86893447,9.98052579,0.00325755,3.52292817,0.14945032,1.71704511,4.82297677,4.34608843,0.45346621,0.03992408
-3.86293147,10.41225897,0.00330487,3.71551118,0.14524211,1.75020355,5.12497898,4.57211536,0.46647244,0.04090415
-3.85692846,10.85026303,0.00333641,3.91080724,0.14062256,1.78389729,5.42799732,4.80360848,0.47980603,0.04185537
-3.85092546,11.28707244,0.00335215,4.10589431,0.13562880,1.81708168,5.72795556,5.03688680,0.49309350,0.04276160
-3.84492246,11.71520997,0.00335260,4.29775326,0.13030374,1.84883051,6.02070655,5.26815051,0.50599343,0.04360970
-3.83891946,12.12733972,0.00333881,4.48333303,0.12469553,1.87835093,6.30212156,5.49355907,0.51820257,0.04438967
-3.83291646,12.51641450,0.00331235,4.65961760,0.11885670,1.90499258,6.56818076,5.70931070,0.52946050,0.04509473
-3.82691346,12.87581414,0.00327529,4.82369282,0.11284323,1.92825096,6.81506188,5.91172129,0.53955271,0.04572119
-3.82091046,13.19947147,0.00323013,4.97281129,0.10671331,1.94776537,7.03922435,6.09730105,0.54831226,0.04626821
-3.81490745,13.48198311,0.00317977,5.10445332,0.10052613,1.96331206,7.23748606,6.26282650,0.55561994,0.04673751
-3.80890445,13.71870244,0.00312742,5.21638208,0.09434051,1.97479314,7.40709035,6.40540624,0.56140316,0.04713291
-3.80290145,13.90581265,0.00307652,5.30669135,0.08821357,1.98222221,7.54576105,6.52253846,0.56563350,0.04745988
-3.79689845,14.04037863,0.00303064,5.37384433,0.08219944,1.98570746,7.65174403,6.61215867,0.56832327,0.04772500
-3.79089545,14.12037672,0.00299341,5.41670258,0.07634807,1.98543331,7.72383412,6.67267642,0.56952106,0.04793540
-3.78489245,14.14470238,0.00296841,5.43454408,0.07070423,1.98164139,7.76138697,6.70300003,0.56930660,0.04809831
-3.77888944,14.11315653,0.00295909,5.42707031,0.06530665,1.97461198,7.76431602,6.70254885,0.56778506,0.04822049
-3.77288644,14.02641187,0.00296864,5.39440231,0.06018746,1.96464650,7.73307534,6.67125291,0.56508109,0.04830788
-3.76688344,13.88596124,0.00299998,5.33706617,0.05537179,1.95205205,7.66862968,6.60954042,0.56133267,0.04836525
-3.76088044,13.69405077,0.00305564,5.25596895,0.05087766,1.93712840,7.57241347,6.51831384,0.55668522,0.04839591
-3.75487744,13.45360063,0.00313772,5.15236602,0.04671611,1.92015809,7.44628076,6.39891564,0.55128596,0.04840164
-3.74887444,13.16811671,0.00324787,5.02782136,0.04289153,1.90139976,7.29244860,6.25308527,0.54527888,0.04838266
-3.74287144,12.84159667,0.00338724,4.88416245,0.03940219,1.88108505,7.11343593,6.08290901,0.53880039,0.04833767
-3.73686843,12.47843341,0.00355650,4.72343134,0.03624094,1.85941874,6.91200054,5.89076452,0.53197587,0.04826415
-3.73086543,12.08331911,0.00375583,4.54783369,0.03339604,1.83658217,6.69107597,5.67926198,0.52491720,0.04815859
-3.72486243,11.66115239,0.00398497,4.35968738,0.03085205,1.81273936,6.45371026,5.45118372,0.51772123,0.04801688
-3.71885943,11.21695069,0.00424322,4.16137217,0.02859079,1.78804527,6.20300812,5.20942405,0.51046936,0.04783477
-3.71285643,10.75576950,0.00452953,3.95528183,0.02659225,1.76265565,5.94207741,4.95693086,0.50322803,0.04760836
-3.70685343,10.28262925,0.00484252,3.74377959,0.02483556,1.73673749,5.67398084,4.69665045,0.49605007,0.04733453
-3.70085043,9.80245054,0.00518056,3.52915807,0.02329981,1.71047942,5.40169307,4.43147647,0.48897673,0.04701145
-3.69484742,9.31999737,0.00554182,3.31360404,0.02196481,1.68410107,5.12806344,4.16420409,0.48204026,0.04663894
-3.68884442,8.83982792,0.00592431,3.09916846,0.02081172,1.65786064,4.85578392,3.89748968,0.47526675,0.04621885
-3.68284142,8.36625217,0.00632592,2.88774196,0.01982356,1.63205988,4.58736200,3.63381659,0.46867897,0.04575525
-3.67683842,7.90329522,0.00674446,2.68103574,0.01898555,1.60704587,4.32509806,3.37546689,0.46229908,0.04525457
-3.67083542,7.45466538,0.00717765,2.48056762,0.01828533,1.58320914,4.07106671,3.12449922,0.45615085,0.04472554
-3.66483242,7.02372592,0.00762314,2.28765302,0.01771301,1.56097792,3.82710160,2.88273226,0.45026132,0.04417905
-3.65882941,6.61346996,0.00807846,2.10340047,0.01726108,1.54080839,3.59478346,2.65173380,0.44466169,0.04362780
-3.65282641,6.22649769,0.00854101,1.92871119,0.01692418,1.52317119,3.37543108,2.43281471,0.43938730,0.04308594
-3.64682341,5.86499596,0.00900801,1.76428237,0.01669881,1.50853466,3.17009527,2.22702759,0.43447684,0.04256843
-3.64082041,5.53072036,0.00947642,1.61061361,0.01658286,1.49734551,2.97955569,2.03516957,0.42997060,0.04209049
-3.63481741,5.22498018,0.00994294,1.46801615,0.01657513,1.49000761,2.80432102,1.85778884,0.42590810,0.04166683
-3.62881441,4.94862722,0.01040389,1.33662445,0.01667482,1.48686029,2.64463246,1.69519445,0.42232504,0.04131096
-3.62281141,4.70204930,0.01085523,1.21640975,0.01688093,1.48815700,2.50047112,1.54746911,0.41924999,0.04103447
-3.61680840,4.48516970,0.01129254,1.10719523,0.01719178,1.49404562,2.37156938,1.41448455,0.41670090,0.04084641
-3.61080540,4.29745364,0.01171099,1.00867242,0.01760444,1.50455180,2.25742665,1.29591908,0.41468177,0.04075266
-3.60480240,4.13792295,0.01210539,0.92041855,0.01811435,1.51956614,2.15732943,1.19127720,0.41317979,0.04075553
-3.59879940,4.00517966,0.01247030,0.84191458,0.01871496,1.53883644,2.07037577,1.09991066,0.41216310,0.04085345
-3.59279640,3.89743919,0.01280007,0.77256346,0.01939748,1.56196559,1.99550379,1.02104106,0.41157942,0.04104084
-3.58679340,3.81257324,0.01308899,0.71170846,0.02015076,1.58841576,1.93152387,0.95378321,0.41135577,0.04130819
-3.58079040,3.74816213,0.01333146,0.65865127,0.02096131,1.61751888,1.87715375,0.89716936,0.41139926,0.04164229
-3.57478739,3.70155573,0.01352217,0.61266945,0.02181345,1.64849346,1.83105583,0.85017358,0.41159912,0.04202666
