energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,2.88880401,-1.34830638,0.04193655,-0.01882029,0.25839669,-0.02333338,1.05897418,-0.46354707,0.95973614,-0.24094206,0.02167126,-0.01055474,1.41665559,-0.85515629,0.70789414,-0.42184889,0.17515079,-0.07062841
-5.99399700,2.72438934,-1.43619004,0.03962928,-0.02104873,0.24481099,-0.02540292,0.99700321,-0.50334900,0.90698857,-0.25098605,0.02040533,-0.01160900,1.33488391,-0.91175330,0.66744677,-0.45311557,0.16519160,-0.07680389
-5.98799400,2.55625812,-1.52960614,0.03720743,-0.02337913,0.23035774,-0.02769127,0.93455367,-0.54631215,0.85212692,-0.26156429,0.01909917,-0.01271321,1.25210622,-0.97188623,0.62669755,-0.48636098,0.15504137,-0.08346823
-5.98199100,2.38676971,-1.62818510,0.03470972,-0.02578798,0.21529350,-0.03020272,0.87243179,-0.59235170,0.79597989,-0.27266012,0.01777251,-0.01385511,1.16941810,-1.03531401,0.58615208,-0.52145593,0.14484207,-0.09060249
-5.97598799,2.21816635,-1.73139065,0.03217386,-0.02824744,0.19987492,-0.03293734,0.81138442,-0.64130578,0.73935498,-0.28423864,0.01644424,-0.01502095,1.08784251,-1.10168787,0.54627625,-0.55820964,0.13472763,-0.09817463
-5.96998499,2.05253270,-1.83851511,0.02963570,-0.03072577,0.18435242,-0.03589049,0.75208865,-0.69292995,0.68302137,-0.29624580,0.01513203,-0.01619564,1.00831377,-1.17054834,0.50748984,-0.59636817,0.12482157,-0.10613897
-5.96398199,1.89176328,-1.94868096,0.02712846,-0.03318787,0.16896465,-0.03905260,0.69514435,-0.74689407,0.62769552,-0.30860828,0.01385201,-0.01736302,0.93166526,-1.24132628,0.47016198,-0.63561508,0.11523521,-0.11443605
-5.95797899,1.73753827,-2.06084913,0.02468220,-0.03559607,0.15393395,-0.04240895,0.64106945,-0.80278176,0.57402966,-0.32123425,0.01261853,-0.01850610,0.85862097,-1.31334814,0.43460823,-0.67557445,0.10606627,-0.12299308
-5.95197599,1.59130780,-2.17383395,0.02232335,-0.03791099,0.13946278,-0.04593978,0.59029782,-0.86009275,0.52260345,-0.33401497,0.01144402,-0.01960750,0.78979085,-1.38584552,0.40108932,-0.71581623,0.09739808,-0.13172483
-5.94597299,1.45428453,-2.28632463,0.02007456,-0.04009263,0.12573128,-0.04962056,0.54317963,-0.91824833,0.47391888,-0.34682722,0.01033890,-0.02064976,0.72566948,-1.45796883,0.36981127,-0.75586394,0.08929918,-0.14053506
-5.93996998,1.32744373,-2.39691261,0.01795453,-0.04210144,0.11289595,-0.05342249,0.49998367,-0.97659973,0.42839812,-0.35953644,0.00931160,-0.02161585,0.66663803,-1.52880474,0.34092678,-0.79520450,0.08182344,-0.14931846
-5.93396698,1.21153030,-2.50412416,0.01597818,-0.04389959,0.10108930,-0.05731321,0.46090146,-1.03443962,0.38638430,-0.37200048,0.00836865,-0.02248957,0.61296890,-1.59739691,0.31453772,-0.83329992,0.07501048,-0.15796290
-5.92796398,1.10707160,-2.60645690,0.01415680,-0.04545206,0.09042046,-0.06125766,0.42605276,-1.09101623,0.34814466,-0.38407388,0.00751482,-0.02325599,0.56483267,-1.66276931,0.29069840,-0.86960054,0.06888658,-0.16635221
-5.92196098,1.01439490,-2.70241928,0.01249841,-0.04672788,0.08097650,-0.06521922,0.39549210,-1.14554999,0.31387576,-0.39561234,0.00675326,-0.02390189,0.52230687,-1.72395140,0.26941968,-0.90355922,0.06346569,-0.17436905
-5.91595798,0.93364843,-2.79057141,0.01100815,-0.04770106,0.07282430,-0.06916082,0.36921606,-1.19725204,0.28371014,-0.40647750,0.00608579,-0.02441615,0.48538623,-1.78000420,0.25067346,-0.93464627,0.05875085,-0.18189805
-5.90995498,0.86482470,-2.86956581,0.00968876,-0.04835157,0.06601282,-0.07304630,0.34717084,-1.24534420,0.25772399,-0.41654147,0.00551310,-0.02479003,0.45399380,-1.83004643,0.23439767,-0.96236429,0.05473559,-0.18882897
-5.90395198,0.80778496,-2.93818651,0.00854106,-0.04866597,0.06057544,-0.07684164,0.32926008,-1.28907956,0.23594526,-0.42569123,0.00503505,-0.02501748,0.42799262,-1.87327954,0.22050147,-0.98626252,0.05140556,-0.19505975
-5.89794897,0.76228368,-2.99538496,0.00756447,-0.04863790,0.05653233,-0.08051624,0.31535246,-1.32776319,0.21836167,-0.43383250,0.00465087,-0.02509524,0.40719757,-1.90901099,0.20887059,-1.00595015,0.04874009,-0.20049936
-5.89194597,0.72799210,-3.04031146,0.00675745,-0.04826833,0.05389250,-0.08404407,0.30528894,-1.36077199,0.20492824,-0.44089307,0.00435944,-0.02502301,0.39138703,-1.93667454,0.19937268,-1.02110801,0.04671382,-0.20507041
-5.88594297,0.70452000,-3.07234061,0.00611796,-0.04756547,0.05265554,-0.08740460,0.29888953,-1.38757306,0.19557400,-0.44682523,0.00415949,-0.02480334,0.38031396,-1.95584705,0.19186270,-1.03149824,0.04529817,-0.20871127
-5.87993997,0.69143488,-3.09108996,0.00564385,-0.04654450,0.05281282,-0.09058358,0.29595935,-1.40773977,0.19020737,-0.45160733,0.00404980,-0.02444161,0.37371622,-1.96626095,0.18618801,-1.03697145,0.04446277,-0.21137771
-5.87393697,0.68827811,-3.09643095,0.00533310,-0.04522703,0.05434812,-0.09357339,0.29629382,-1.42096497,0.18872027,-0.45524430,0.00402931,-0.02394577,0.37132583,-1.96781196,0.18219333,-1.03747127,0.04417668,-0.21304404
-5.86793397,0.69457753,-3.08849167,0.00518407,-0.04364035,0.05723772,-0.09637319,0.29968303,-1.42707064,0.19099071,-0.45776706,0.00409724,-0.02332612,0.37287692,-1.96056174,0.17972530,-1.03303587,0.04440942,-0.21370357
-5.86193097,0.70985631,-3.06765129,0.00519559,-0.04181653,0.06144986,-0.09898864,0.30591511,-1.42601361,0.19688382,-0.45923084,0.00425311,-0.02259494,0.37811217,-1.94473536,0.17863657,-1.02379657,0.04513183,-0.21336852
-5.85592796,0.73363809,-3.03452639,0.00536700,-0.03979128,0.06694375,-0.10143124,0.31477860,-1.41788708,0.20625154,-0.45971242,0.00449675,-0.02176612,0.38678770,-1.92071363,0.17878933,-1.00997348,0.04631662,-0.21206928
-5.84992496,0.76544833,-2.98994967,0.00569807,-0.03760287,0.07366818,-0.10371735,0.32606384,-1.40291780,0.21893104,-0.45930638,0.00482822,-0.02085474,0.39867611,-1.88902068,0.18005822,-0.99186839,0.04793871,-0.20985317
-5.84392196,0.80481231,-2.93494184,0.00618878,-0.03529092,0.08155982,-0.10586689,0.33956338,-1.38145901,0.23474211,-0.45812051,0.00524770,-0.01987660,0.41356784,-1.85030724,0.18233246,-0.96985524,0.04997526,-0.20678265
-5.83791896,0.85125008,-2.87067797,0.00683914,-0.03289523,0.09054154,-0.10790174,0.35507157,-1.35397935,0.25348401,-0.45627065,0.00575534,-0.01884783,0.43127073,-1.80533024,0.18551716,-0.94436840,0.05240550,-0.20293309
-5.83191596,0.90426911,-2.79844948,0.00764882,-0.03045471,0.10052075,-0.10984403,0.37238342,-1.32104823,0.27493189,-0.45387501,0.00635101,-0.01778445,0.45160786,-1.75492964,0.18953376,-0.91588944,0.05521029,-0.19839028
-5.82591296,0.96335517,-2.71962344,0.00861679,-0.02800636,0.11138803,-0.11171430,0.39129285,-1.28331822,0.29883345,-0.45104843,0.00703415,-0.01670197,0.47441398,-1.70000328,0.19431964,-0.88493270,0.05837145,-0.19324769
-5.81990995,1.02796248,-2.63560079,0.00974091,-0.02558443,0.12301627,-0.11352968,0.41159064,-1.24150510,0.32490603,-0.44789679,0.00780345,-0.01561507,0.49953058,-1.64148083,0.19982681,-0.85203039,0.06187095,-0.18760356
-5.81390695,1.09750384,-2.54777513,0.01101749,-0.02321973,0.13526048,-0.11530221,0.43306223,-1.19636648,0.35283466,-0.44451186,0.00865659,-0.01453730,0.52680019,-1.58029774,0.20601985,-0.81771769,0.06568996,-0.18155810
-5.80790395,1.17134186,-2.45749372,0.01244089,-0.02093917,0.14795825,-0.11703742,0.45548567,-1.14867980,0.38227137,-0.44096685,0.00959003,-0.01348087,0.55605996,-1.51737027,0.21287317,-0.78251837,0.06980783,-0.17521075
-5.80190095,1.24878213,-2.36602222,0.01400314,-0.01876539,0.16093125,-0.11873326,0.47862998,-1.09922051,0.41283606,-0.43731304,0.01059874,-0.01245646,0.58713536,-1.45357235,0.22036778,-0.74693161,0.07420110,-0.16865761
-5.79589795,1.32906920,-2.27451442,0.01569359,-0.01671667,0.17398759,-0.12037940,0.50225413,-1.04874133,0.44411919,-0.43357755,0.01167604,-0.01147316,0.61983408,-1.38971528,0.22848763,-0.71142021,0.07884256,-0.16198927
-5.78989495,1.41138616,-2.18398805,0.01749871,-0.01480697,0.18692507,-0.12195715,0.52610696,-0.99795336,0.47568631,-0.42976248,0.01281342,-0.01053841,0.65394099,-1.32653070,0.23721593,-0.67640082,0.08370048,-0.15528889
-5.78389195,1.49485843,-2.09530748,0.01940193,-0.01304610,0.19953542,-0.12343981,0.54992806,-0.94750966,0.50708462,-0.42584558,0.01400047,-0.00965806,0.68921431,-1.26465751,0.24653147,-0.64223626,0.08873803,-0.14863078
-5.77788894,1.57856202,-2.00917364,0.02138360,-0.01144013,0.21160919,-0.12479364,0.57344991,-0.89799179,0.53785126,-0.42178235,0.01522490,-0.00883640,0.72538360,-1.20463295,0.25640536,-0.60923022,0.09391303,-0.14207939
-5.77188594,1.66153652,-1.92612140,0.02342118,-0.00999173,0.22294135,-0.12597940,0.59640120,-0.84989980,0.56752326,-0.41750950,0.01647263,-0.00807636,0.76214976,-1.14688805,0.26679827,-0.57762439,0.09917795,-0.13568876
-5.76588294,1.74280252,-1.84652409,0.02548944,-0.00870079,0.23333715,-0.12695426,0.61851129,-0.80364580,0.59564875,-0.41294982,0.01772792,-0.00737959,0.79918734,-1.09174729,0.27765837,-0.54759793,0.10448036,-0.12950241
