energy_ev,total_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.69935657,1.01652699,0.47926208,2.01364218,0.81467472,0.00355590,0.73218410,0.00590712,1.58376268
-5.99399700,3.77147404,1.04592614,0.48161020,2.05390589,0.83124540,0.00359813,0.75419580,0.00606217,1.61354573
-5.98799400,3.84243323,1.07583705,0.48408987,2.09288213,0.84733358,0.00364888,0.77623756,0.00624532,1.64260544
-5.98199100,3.91240631,1.10629158,0.48678388,2.13051058,0.86299770,0.00370860,0.79828511,0.00645721,1.67103024
-5.97598799,3.98162644,1.13732886,0.48977308,2.16677165,0.87831208,0.00377768,0.82031739,0.00669854,1.69894853
-5.96998499,4.05035824,1.16898482,0.49313374,2.20167206,0.89335920,0.00385638,0.84231034,0.00697004,1.72651611
-5.96398199,4.11886382,1.20128062,0.49693491,2.23522806,0.90822097,0.00394483,0.86422991,0.00727246,1.75390125
-5.95797899,4.18736669,1.23421056,0.50123577,2.26744715,0.92296946,0.00404296,0.88602486,0.00760656,1.78126838
-5.95197599,4.25601587,1.26773053,0.50608321,2.29831009,0.93765774,0.00415044,0.90761998,0.00797310,1.80876134
-5.94597299,4.32485263,1.30174765,0.51150978,2.32775429,0.95231133,0.00426671,0.92891021,0.00837276,1.83648736
-5.93996998,4.39378211,1.33611194,0.51753203,2.35566004,0.96692095,0.00439090,0.94975616,0.00880621,1.86450263
-5.93396698,4.46255201,1.37061063,0.52414938,2.38184067,0.98143693,0.00452182,0.96998162,0.00927406,1.89280043
-5.92796398,4.53073976,1.40496572,0.53134370,2.40603745,0.99576577,0.00465797,0.98937328,0.00977685,1.92130258
-5.92196098,4.59774934,1.43883493,0.53907940,2.42791995,1.00976911,0.00479759,1.00768301,0.01031510,1.94985467
-5.91595798,4.66281823,1.47181628,0.54730419,2.44709184,1.02326523,0.00493861,1.02463262,0.01088927,1.97822537
-5.90995498,4.72503425,1.50345619,0.55595039,2.46310223,1.03603310,0.00507879,1.03992113,0.01149976,2.00610988
-5.90395198,4.78336165,1.53326063,0.56493672,2.47546184,1.04781874,0.00521572,1.05323429,0.01214693,2.03313728
-5.89794897,4.83667503,1.56070902,0.57417038,2.48366333,1.05834371,0.00534690,1.06425582,0.01283102,2.05888126
-5.89194597,4.88379931,1.58527008,0.58354946,2.48720467,1.06731522,0.00546986,1.07268004,0.01355214,2.08287379
-5.88594297,4.92355370,1.60641891,0.59296524,2.48561428,1.07443736,0.00558220,1.07822514,0.01431021,2.10462079
-5.87993997,4.95479732,1.62365450,0.60230457,2.47847659,1.07942295,0.00568169,1.08064649,0.01510482,2.12361900
-5.87393697,4.97647409,1.63651681,0.61145193,2.46545658,1.08200539,0.00576634,1.07974926,0.01593512,2.13937320
-5.86793397,4.98765476,1.64460263,0.62029130,2.44632207,1.08194991,0.00583444,1.07539972,0.01679971,2.15141295
