energy_ev,total_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,4.62548630,1.66455266,3.65405305,0.01769260,0.24560913,1.26889856,0.00293280
-5.99399700,4.59269028,1.65186547,3.62777245,0.01808119,0.24583161,1.24851045,0.00290855
-5.98799400,4.54501237,1.63288574,3.58990133,0.01837921,0.24512382,1.22408655,0.00287739
-5.98199100,4.48292249,1.60776522,3.54086996,0.01858190,0.24348876,1.19586204,0.00283971
-5.97598799,4.40710900,1.57676090,3.48127234,0.01868607,0.24094476,1.16413274,0.00279596
-5.96998499,4.31846328,1.54022650,3.41185392,0.01869021,0.23752477,1.12924787,0.00274660
-5.96398199,4.21806128,1.49860191,3.33349701,0.01859448,0.23327524,1.09160177,0.00269214
-5.95797899,4.10714236,1.45240125,3.24720443,0.01840074,0.22825486,1.05162514,0.00263309
-5.95197599,3.98708620,1.40219989,3.15408182,0.01811250,0.22253314,1.00977588,0.00256998
-5.94597299,3.85938840,1.34862111,3.05531883,0.01773487,0.21618893,0.96652997,0.00250337
-5.93996998,3.72563511,1.29232274,2.95216977,0.01727445,0.20930880,0.92237260,0.00243383
-5.93396698,3.58747741,1.23398422,2.84593381,0.01673923,0.20198555,0.87778972,0.00236196
-5.92796398,3.44660556,1.17429431,2.73793522,0.01613837,0.19431671,0.83326013,0.00228837
-5.92196098,3.30472376,1.11393980,2.62950377,0.01548209,0.18640305,0.78924832,0.00221370
-5.91595798,3.16352539,1.05359513,2.52195548,0.01478144,0.17834730,0.74619798,0.00213859
-5.90995498,3.02466913,0.99391319,2.41657402,0.01404807,0.17025280,0.70452625,0.00206370
-5.90395198,2.88975601,0.93551719,2.31459273,0.01329403,0.16222234,0.66461869,0.00198972
-5.89794897,2.76030752,0.87899351,2.21717752,0.01253149,0.15435700,0.62682492,0.00191732
-5.89194597,2.63774495,0.82488550,2.12541070,0.01177257,0.14675508,0.59145479,0.00184717
-5.88594297,2.52336988,0.77368809,2.04027575,0.01102904,0.13951105,0.55877526,0.00177994
-5.87993997,2.41834606,0.72584302,1.96264337,0.01031211,0.13271448,0.52900761,0.00171627
-5.87393697,2.32368273,0.68173473,1.89325868,0.00963225,0.12644904,0.50232532,0.00165679
-5.86793397,2.24021948,0.64168667,1.83272986,0.00899893,0.12079139,0.47885232,0.00160206
-5.86193097,2.16861297,0.60595805,1.78151836,0.00842051,0.11581009,0.45866178,0.00155261
-5.85592796,2.10932562,0.57474102,1.73993093,0.00790402,0.11156449,0.44177551,0.00150890
-5.84992496,2.06261666,0.54815826,1.70811365,0.00745508,0.10810356,0.42816390,0.00147129
-5.84392196,2.02853590,0.52626112,1.68604836,0.00707778,0.10546470,0.41774662,0.00144007
-5.83791896,2.00692063,0.50902830,1.67355168,0.00677465,0.10367267,0.41039409,0.00141543
-5.83191596,1.99739606,0.49636537,1.67027706,0.00654655,0.10273849,0.40592979,0.00139743
-5.82591296,1.99937983,0.48810517,1.67572011,0.00639278,0.10265846,0.40413352,0.00138601
-5.81990995,2.01209093,0.48400936,1.68922756,0.00631102,0.10341347,0.40474567,0.00138100
-5.81390695,2.03456348,0.48377124,1.71000997,0.00629746,0.10496843,0.40747246,0.00138208
-5.80790395,2.06566550,0.48702004,1.73715850,0.00634688,0.10727211,0.41199213,0.00138882
-5.80190095,2.10412292,0.49332679,1.76966554,0.00645283,0.11025729,0.41796210,0.00140066
-5.79589795,2.14854854,0.50221183,1.80644922,0.00660775,0.11384145,0.42502689,0.00141693
-5.78989495,2.19747578,0.51315401,1.84638122,0.00680323,0.11792786,0.43282661,0.00143688
-5.78389195,2.24939645,0.52560136,1.88831765,0.00703018,0.12240718,0.44100592,0.00145969
-5.77788894,2.30280187,0.53898330,1.93113192,0.00727917,0.12715967,0.44922312,0.00148448
-5.77188594,2.35622592,0.55272381,1.97374881,0.00754059,0.13205776,0.45715900,0.00151038
-5.76588294,2.40828894,0.56625546,2.01517862,0.00780500,0.13696914,0.46452535,0.00153651
-5.75987994,2.45774067,0.57903373,2.05454994,0.00806340,0.14176014,0.47107261,0.00156207
-5.75387694,2.50350056,0.59055118,2.09113990,0.00830743,0.14629936,0.47659638,0.00158632
-5.74787394,2.54469379,0.60035080,2.12440033,0.00852970,0.15046143,0.48094260,0.00160864
-5.74187094,2.58068099,0.60803825,2.15397849,0.00872394,0.15413064,0.48401110,0.00162858
-5.73586793,2.61108037,0.61329214,2.17973119,0.00888522,0.15720449,0.48575726,0.00164583
-5.72986493,2.63578047,0.61587215,2.20173127,0.00901007,0.15959675,0.48619177,0.00166026
-5.72386193,2.65494286,0.61562447,2.22026549,0.00909655,0.16124005,0.48537841,0.00167195
-5.71785893,2.66899380,0.61248423,2.23582370,0.00914429,0.16208788,0.48342987,0.00168116
-5.71185593,2.67860477,0.60647486,2.24907885,0.00915445,0.16211576,0.48050176,0.00168833
-5.70585293,2.68466227,0.59770439,2.26085852,0.00912963,0.16132167,0.47678498,0.00169408
