energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.58431970,0.01971113,1.55841514,0.23023572,0.49670306,0.05752708,1.75885536,2.34853560,1.42392148
-5.99399700,5.57979862,0.01950313,1.56460351,0.22821104,0.49165017,0.05746563,1.74671307,2.34669261,1.41991887
-5.98799400,5.57131950,0.01928255,1.56870759,0.22656672,0.48621244,0.05737197,1.73428812,2.34266552,1.41415342
-5.98199100,5.55870651,0.01904339,1.57068102,0.22529277,0.48040248,0.05724905,1.72154479,2.33644855,1.40664025
-5.97598799,5.54191208,0.01878064,1.57051894,0.22437855,0.47424692,0.05710266,1.70848655,2.32810838,1.39744239
-5.96998499,5.52100366,0.01849046,1.56825538,0.22381211,0.46778403,0.05694112,1.69515040,2.31777904,1.38666647
-5.96398199,5.49614465,0.01817024,1.56395929,0.22357940,0.46106094,0.05677458,1.68159887,2.30565310,1.37445668
-5.95797899,5.46757093,0.01781868,1.55772941,0.22366311,0.45413034,0.05661447,1.66791012,2.29196986,1.36098714
-5.95197599,5.43556481,0.01743575,1.54968848,0.22404164,0.44704715,0.05647269,1.65416713,2.27700124,1.34645329
-5.94597299,5.40042822,0.01702261,1.53997695,0.22468789,0.43986522,0.05636092,1.64044665,2.26103619,1.33106283
-5.93996998,5.36245702,0.01658152,1.52874667,0.22556836,0.43263431,0.05628988,1.62680884,2.24436464,1.31502651
-5.93396698,5.32191807,0.01611571,1.51615486,0.22664244,0.42539752,0.05626869,1.61328822,2.22726199,1.29854956
-5.92796398,5.27903071,0.01562921,1.50235868,0.22786202,0.41818936,0.05630428,1.59988677,2.20997484,1.28182384
-5.92196098,5.23395353,0.01512665,1.48751056,0.22917163,0.41103442,0.05640102,1.58656946,2.19270907,1.26502144
-5.91595798,5.18677745,0.01461314,1.47175470,0.23050895,0.40394688,0.05656034,1.57326273,2.17562069,1.24828972
-5.90995498,5.13752530,0.01409403,1.45522464,0.23180593,0.39693071,0.05678066,1.55985587,2.15881009,1.23174812
-5.90395198,5.08615772,0.01357478,1.43804202,0.23299026,0.38998048,0.05705739,1.54620537,2.14231997,1.21548674
-5.89794897,5.03258488,0.01306080,1.42031659,0.23398742,0.38308290,0.05738310,1.53214175,2.12613696,1.19956672
-5.89194597,4.97668306,0.01255729,1.40214717,0.23472294,0.37621872,0.05774784,1.51747857,2.11019681,1.18402216
-5.88594297,4.91831472,0.01206918,1.38362366,0.23512498,0.36936496,0.05813953,1.50202295,2.09439283,1.16886349
-5.87993997,4.85735077,0.01160098,1.36482961,0.23512705,0.36249732,0.05854451,1.48558686,2.07858694,1.15408193
-5.87393697,4.79369323,0.01115675,1.34584531,0.23467062,0.35559254,0.05894805,1.46799850,2.06262284,1.13965470
-5.86793397,4.72729692,0.01074002,1.32675109,0.23370766,0.34863065,0.05933498,1.44911306,2.04634034,1.12555067
-5.86193097,4.65818859,0.01035377,1.30763053,0.23220283,0.34159687,0.05969022,1.42882206,2.02959019,1.11173607
-5.85592796,4.58648240,0.01000041,1.28857347,0.23013528,0.33448317,0.05999933,1.40706090,2.01224853,1.09817996
-5.84992496,4.51239073,0.00968174,1.26967849,0.22749991,0.32728937,0.06024897,1.38381407,1.99423024,1.08485922
-5.84392196,4.43622985,0.00939901,1.25105491,0.22430811,0.32002373,0.06042732,1.35911783,1.97550050,1.07176270
-5.83791896,4.35842024,0.00915286,1.23282399,0.22058778,0.31270314,0.06052433,1.33306030,1.95608406,1.05889466
-5.83191596,4.27948181,0.00894340,1.21511950,0.21638280,0.30535288,0.06053198,1.30577913,1.93607173,1.04627707
-5.82591296,4.20002443,0.00877018,1.19808753,0.21175188,0.29800608,0.06044435,1.27745690,1.91562399,1.03395107
-5.81990995,4.12073483,0.00863226,1.18188567,0.20676692,0.29070288,0.06025770,1.24831489,1.89497146,1.02197742
-5.81390695,4.04236052,0.00852822,1.16668153,0.20151079,0.28348962,0.05997042,1.21860547,1.87441234,1.01043613
-5.80790395,3.96569213,0.00845623,1.15265072,0.19607497,0.27641792,0.05958296,1.18860394,1.85430701,0.99942524
-5.80190095,3.89154506,0.00841410,1.13997441,0.19055678,0.26954393,0.05909771,1.15860022,1.83506998,0.98905907
-5.79589795,3.82074143,0.00839932,1.12883642,0.18505660,0.26292772,0.05851893,1.12889102,1.81715947,0.97946584
-5.78989495,3.75409322,0.00840916,1.11941996,0.17967514,0.25663295,0.05785258,1.09977284,1.80106511,0.97078486
-5.78389195,3.69238702,0.00844071,1.11190398,0.17451077,0.25072673,0.05710621,1.07153630,1.78729399,0.96316332
