energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.81693020,0.00980805,0.28170990,0.21341733,1.45906471,1.50561004,0.96880123,0.00000000
-5.99399700,3.07348136,0.01102525,0.30520777,0.23208520,1.58528090,1.64564363,1.05946382,0.00000000
-5.98799400,3.33553040,0.01233750,0.32889127,0.25096767,1.71327034,1.78923819,1.15244374,0.00000000
-5.98199100,3.60105251,0.01374422,0.35255805,0.26989457,1.84202792,1.93534333,1.24705199,0.00000000
-5.97598799,3.86795236,0.01524356,0.37600860,0.28869163,1.97057028,2.08285308,1.34256875,0.00000000
-5.96998499,4.13410870,0.01683221,0.39905128,0.30718455,2.09796418,2.23062656,1.43825876,0.00000000
-5.96398199,4.39741891,0.01850526,0.42150699,0.32520287,2.22335287,2.37750889,1.53338667,0.00000000
-5.95797899,4.65584108,0.02025606,0.44321334,0.34258377,2.34597881,2.52235154,1.62723188,0.00000000
-5.95197599,4.90743140,0.02207608,0.46402792,0.35917524,2.46520098,2.66403090,1.71910186,0.00000000
-5.94597299,5.15037515,0.02395477,0.48383061,0.37483872,2.58050565,2.80146457,1.80834330,0.00000000
-5.93996998,5.38300966,0.02587956,0.50252475,0.38945098,2.69150942,2.93362448,1.89435056,0.00000000
-5.93396698,5.60383855,0.02783572,0.52003716,0.40290529,2.79795427,3.05954672,1.97657097,0.00000000
-5.92796398,5.81153692,0.02980650,0.53631703,0.41511164,2.89969461,3.17833780,2.05450692,0.00000000
-5.92196098,6.00494791,0.03177313,0.55133380,0.42599632,2.99667684,3.28917779,2.12771464,0.00000000
-5.91595798,6.18307180,0.03371504,0.56507419,0.43550081,3.08891293,3.39132045,2.19580032,0.00000000
-5.90995498,6.34504910,0.03561009,0.57753871,0.44358013,3.17644933,3.48409136,2.25841366,0.00000000
-5.90395198,6.49013982,0.03743487,0.58873788,0.45020087,3.25933364,3.56688466,2.31524002,0.00000000
-5.89794897,6.61770115,0.03916518,0.59868844,0.45533911,3.33758125,3.63915935,2.36599169,0.00000000
-5.89194597,6.72716620,0.04077645,0.60740998,0.45897834,3.41114450,3.70043619,2.41039929,0.00000000
-5.88594297,6.81802581,0.04224430,0.61492223,0.46110774,3.47988680,3.75029580,2.44820432,0.00000000
-5.87993997,6.88981596,0.04354520,0.62124318,0.46172084,3.54356392,3.78837898,2.47915357,0.00000000
-5.87393697,6.94211200,0.04465702,0.62638836,0.46081474,3.60181435,3.81438938,2.50299607,0.00000000
-5.86793397,6.97453107,0.04555971,0.63037124,0.45839000,3.65415979,3.82809897,2.51948328,0.00000000
-5.86193097,6.98674294,0.04623590,0.63320480,0.45445112,3.70001655,3.82935618,2.52837250,0.00000000
-5.85592796,6.97848893,0.04667148,0.63490420,0.44900771,3.73871768,3.81809624,2.52943386,0.00000000
-5.84992496,6.94960791,0.04685607,0.63549034,0.44207608,3.76954484,3.79435319,2.52246025,0.00000000
-5.84392196,6.90006761,0.04678345,0.63499394,0.43368122,3.79176845,3.75827261,2.50728002,0.00000000
-5.83791896,6.82999906,0.04645179,0.63346000,0.42385899,3.80469379,3.71012411,2.48377149,0.00000000
-5.83191596,6.73973150,0.04586383,0.63095203,0.41265818,3.80771040,3.65031232,2.45187847,0.00000000
-5.82591296,6.62982493,0.04502688,0.62755580,0.40014248,3.80034173,3.57938530,2.41162577,0.00000000
-5.81990995,6.50109744,0.04395264,0.62338210,0.38639183,3.78229179,3.49803936,2.36313364,0.00000000
-5.81390695,6.35464491,0.04265696,0.61856826,0.37150333,3.75348595,3.40711917,2.30663009,0.00000000
-5.80790395,6.19185046,0.04115936,0.61327803,0.35559134,3.71410283,3.30761273,2.24246018,0.00000000
-5.80190095,6.01438242,0.03948258,0.60769967,0.33878676,3.66459522,3.20064057,2.17109160,0.00000000
-5.79589795,5.82417946,0.03765188,0.60204219,0.32123557,3.60569826,3.08743916,2.09311584,0.00000000
-5.78989495,5.62342284,0.03569439,0.59652967,0.30309645,3.53842386,2.96933889,2.00924469,0.00000000
-5.78389195,5.41449621,0.03363837,0.59139392,0.28453785,3.46404137,2.84773705,1.92030208,0.00000000
-5.77788894,5.19993433,0.03151251,0.58686564,0.26573442,3.38404513,2.72406679,1.82721132,0.00000000
-5.77188594,4.98236261,0.02934519,0.58316464,0.24686303,3.30011023,2.59976327,1.73097829,0.00000000
-5.76588294,4.76443016,0.02716380,0.58048940,0.22809864,3.21403867,2.47622825,1.63267115,0.00000000
-5.75987994,4.54873914,0.02499420,0.57900668,0.20961022,3.12769855,2.35479476,1.53339736,0.00000000
-5.75387694,4.33777380,0.02286017,0.57884173,0.19155673,3.04295909,2.23669330,1.43427899,0.00000000
-5.74787394,4.13383241,0.02078302,0.58006959,0.17408370,2.96162487,2.12302110,1.33642723,0.00000000
-5.74187094,3.93896523,0.01878128,0.58270816,0.15732014,2.88537219,2.01471588,1.24091713,0.00000000
