energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,6.61832777,0.47836155,0.32840088,0.04098514,0.89372593,2.49489310,2.42891244,0.04472452,2.71486365
-5.99399700,6.60720278,0.47028516,0.32250156,0.04157523,0.90024907,2.51029792,2.42434658,0.04422301,2.70294109
-5.98799400,6.58545150,0.46260047,0.31632477,0.04198603,0.90618430,2.52248462,2.41493633,0.04361813,2.68704769
-5.98199100,6.55437495,0.45565138,0.31002403,0.04222042,0.91166977,2.53181143,2.40096457,0.04291843,2.66792803
-5.97598799,6.51555436,0.44977186,0.30375764,0.04228680,0.91684979,2.53871496,2.38284314,0.04213626,2.64645030
-5.96998499,6.47079368,0.44527493,0.29768242,0.04219907,0.92186599,2.54368850,2.36110010,0.04128756,2.62357751
-5.96398199,6.42205506,0.44244253,0.29194782,0.04197645,0.92684843,2.54725855,2.33636280,0.04039147,2.60033565
-5.95797899,6.37138996,0.44151646,0.28669050,0.04164308,0.93190734,2.54996057,2.30933764,0.03946986,2.57777994
-5.95197599,6.32086882,0.44269101,0.28202963,0.04122744,0.93712578,2.55231519,2.28078717,0.03854678,2.55696053
-5.94597299,6.27251205,0.44610713,0.27806303,0.04076163,0.94255367,2.55480612,2.25150555,0.03764789,2.53888895
-5.93996998,6.22822527,0.45184865,0.27486450,0.04028054,0.94820359,2.55786058,2.22229335,0.03679975,2.52450642
-5.93396698,6.18974095,0.45994043,0.27248207,0.03982085,0.95404847,2.56183322,2.19393259,0.03602919,2.51465529
-5.92796398,6.15856864,0.47034852,0.27093754,0.03942003,0.96002147,2.56699425,2.16716307,0.03536263,2.51005438
-5.92196098,6.13595514,0.48298221,0.27022704,0.03911524,0.96601787,2.57352186,2.14266063,0.03482545,2.51127893
-5.91595798,6.12285540,0.49769783,0.27032267,0.03894229,0.97189909,2.58149932,2.12101821,0.03444139,2.51874563
-5.90995498,6.11991445,0.51430399,0.27117503,0.03893453,0.97749845,2.59091642,2.10273002,0.03423194,2.53270284
-5.90395198,6.12745989,0.53256813,0.27271635,0.03912192,0.98262832,2.60167476,2.08817928,0.03421588,2.55322598
-5.89794897,6.14550408,0.55222381,0.27486430,0.03953012,0.98708841,2.61359637,2.07762959,0.03440880,2.58021772
-5.89194597,6.17375475,0.57297858,0.27752587,0.04017968,0.99067447,2.62643465,2.07121990,0.03482273,2.61341249
-5.88594297,6.21163239,0.59452194,0.28060151,0.04108535,0.99318713,2.63988689,2.06896309,0.03546575,2.65238473
-5.87993997,6.25829275,0.61653314,0.28398886,0.04225565,0.99444021,2.65360736,2.07074759,0.03634181,2.69656020
-5.87393697,6.31265282,0.63868842,0.28758631,0.04369241,0.99426806,2.66722001,2.07634202,0.03745042,2.74522958
-5.86793397,6.37341870,0.66066757,0.29129588,0.04539063,0.99253166,2.68033025,2.08540232,0.03878659,2.79756378
-5.86193097,6.43911424,0.68215947,0.29502545,0.04733843,0.98912303,2.69253499,2.09748109,0.04034066,2.85263044
-5.85592796,6.50810957,0.70286664,0.29869037,0.04951717,0.98396784,2.70343071,2.11203869,0.04209837,2.90941107
-5.84992496,6.57864905,0.72250875,0.30221417,0.05190177,0.97702625,2.71261945,2.12845602,0.04404086,2.96681868
-5.84392196,6.64887850,0.74082502,0.30552867,0.05446114,0.96829191,2.71971265,2.14604852,0.04614485,3.02371567
-5.83791896,6.71687220,0.75757585,0.30857341,0.05715885,0.95778936,2.72433340,2.16408132,0.04838286,3.07893194
-5.83191596,6.78065982,0.77254363,0.31129461,0.05995380,0.94557018,2.72611723,2.18178527,0.05072355,3.13128341
-5.82591296,6.83825436,0.78553306,0.31364382,0.06280117,0.93170814,2.72471238,2.19837385,0.05313219,3.17959091
-5.81990995,6.88768136,0.79637115,0.31557633,0.06565339,0.91629385,2.71977984,2.21306057,0.05557115,3.22269959
-5.81390695,6.92701028,0.80490716,0.31704972,0.06846120,0.89942915,2.71099398,2.22507681,0.05800058,3.25949901
-5.80790395,6.95438811,0.81101258,0.31802249,0.07117481,0.88122192,2.69804420,2.23368979,0.06037918,3.28894377
-5.80190095,6.96807549,0.81458136,0.31845311,0.07374507,0.86178128,2.68063811,2.23822041,0.06266501,3.31007451
