energy_ev,total_up,Li_s_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.48347004,0.23301722,1.27731775,0.40837320,0.01207441,0.27868324,0.59227794,0.00000000
-5.99399700,1.44464933,0.21795355,1.25206945,0.39775504,0.01140286,0.27713809,0.57199376,0.00000000
-5.98799400,1.40318053,0.20377428,1.22340153,0.38614170,0.01074042,0.27525254,0.55069430,0.00000000
-5.98199100,1.35931519,0.19052391,1.19134723,0.37365283,0.01008963,0.27294297,0.52857885,0.00000000
-5.97598799,1.31340852,0.17823870,1.15604626,0.36044262,0.00945254,0.27015281,0.50587884,0.00000000
-5.96998499,1.26590691,0.16694898,1.11773557,0.34669383,0.00883087,0.26685227,0.48285229,0.00000000
-5.96398199,1.21733294,0.15668121,1.07673791,0.33261120,0.00822604,0.26303744,0.45977732,0.00000000
-5.95797899,1.16826841,0.14745953,1.03344864,0.31841443,0.00763929,0.25872863,0.43694509,0.00000000
-5.95197599,1.11933596,0.13930683,0.98832140,0.30433091,0.00707174,0.25396824,0.41465219,0.00000000
-5.94597299,1.07117995,0.13224522,0.94185303,0.29058861,0.00652442,0.24881794,0.39319293,0.00000000
-5.93996998,1.02444710,0.12629604,0.89456840,0.27740914,0.00599833,0.24335551,0.37285175,0.00000000
-5.93396698,0.97976770,0.12147938,0.84700554,0.26500135,0.00549443,0.23767117,0.35389597,0.00000000
-5.92796398,0.93773777,0.11781314,0.79970157,0.25355562,0.00501367,0.23186371,0.33656910,0.00000000
-5.92196098,0.89890279,0.11531196,0.75317982,0.24323887,0.00455695,0.22603640,0.32108511,0.00000000
-5.91595798,0.86374368,0.11398593,0.70793849,0.23419057,0.00412512,0.22029284,0.30762372,0.00000000
-5.90995498,0.83266526,0.11383941,0.66444110,0.22651977,0.00371895,0.21473303,0.29632690,0.00000000
-5.90395198,0.80598779,0.11487002,0.62310899,0.22030325,0.00333909,0.20944956,0.28729689,0.00000000
-5.89794897,0.78394186,0.11706792,0.58431610,0.21558486,0.00298610,0.20452433,0.28059562,0.00000000
-5.89194597,0.76666691,0.12041559,0.54838596,0.21237602,0.00266035,0.20002578,0.27624582,0.00000000
-5.88594297,0.75421351,0.12488812,0.51559097,0.21065750,0.00236210,0.19600675,0.27423370,0.00000000
-5.87993997,0.74654938,0.13045405,0.48615404,0.21038226,0.00209142,0.19250328,0.27451311,0.00000000
-5.87393697,0.74356908,0.13707684,0.46025214,0.21147951,0.00184827,0.18953411,0.27701127,0.00000000
-5.86793397,0.74510708,0.14471683,0.43802188,0.21385966,0.00163246,0.18710116,0.28163570,0.00000000
-5.86193097,0.75095372,0.15333369,0.41956651,0.21742017,0.00144372,0.18519087,0.28828214,0.00000000
-5.85592796,0.76087349,0.16288911,0.40496422,0.22205197,0.00128174,0.18377637,0.29684330,0.00000000
-5.84992496,0.77462485,0.17334973,0.39427710,0.22764637,0.00114615,0.18282035,0.30721789,0.00000000
-5.84392196,0.79198069,0.18468990,0.38756038,0.23410202,0.00103665,0.18227851,0.31931968,0.00000000
-5.83791896,0.81274848,0.19689423,0.38487139,0.24133171,0.00095297,0.18210336,0.33308601,0.00000000
-5.83191596,0.83678897,0.20995958,0.38627770,0.24926871,0.00089498,0.18224822,0.34848550,0.00000000
-5.82591296,0.86403251,0.22389633,0.39186399,0.25787226,0.00086265,0.18267117,0.36552429,0.00000000
-5.81990995,0.89449185,0.23872874,0.40173693,0.26713193,0.00085614,0.18333863,0.38425057,0.00000000
-5.81390695,0.92827055,0.25449423,0.41602798,0.27707059,0.00087578,0.18422846,0.40475700,0.00000000
-5.80790395,0.96556632,0.27124146,0.43489348,0.28774567,0.00092206,0.18533237,0.42718069,0.00000000
-5.80190095,1.00666869,0.28902728,0.45851195,0.29924870,0.00099562,0.18665740,0.45170074,0.00000000
-5.79589795,1.05195079,0.30791250,0.48707847,0.31170284,0.00109725,0.18822637,0.47853300,0.00000000
-5.78989495,1.10185529,0.32795661,0.52079621,0.32525860,0.00122778,0.19007735,0.50792246,0.00000000
-5.78389195,1.15687485,0.34921176,0.55986531,0.34008759,0.00138807,0.19226203,0.54013320,0.00000000
-5.77788894,1.21752769,0.37171614,0.60446947,0.35637485,0.00157891,0.19484308,0.57543644,0.00000000
-5.77188594,1.28432941,0.39548720,0.65476075,0.37430964,0.00180096,0.19789064,0.61409704,0.00000000
-5.76588294,1.35776205,0.42051498,0.71084332,0.39407541,0.00205460,0.20147818,0.65635905,0.00000000
-5.75987994,1.43824204,0.44675612,0.77275671,0.41583918,0.00233990,0.20567777,0.70243097,0.00000000
-5.75387694,1.52608842,0.47412871,0.84045954,0.43974084,0.00265646,0.21055524,0.75247139,0.00000000
-5.74787394,1.62149296,0.50250859,0.91381453,0.46588306,0.00300336,0.21616527,0.80657565,0.00000000
-5.74187094,1.72449387,0.53172720,0.99257556,0.49432203,0.00337905,0.22254688,0.86476426,0.00000000
-5.73586793,1.83495425,0.56157138,1.07637759,0.52505973,0.00378131,0.22971942,0.92697366,0.00000000
-5.72986493,1.95254684,0.59178515,1.16473023,0.55803812,0.00420718,0.23767934,0.99304970,0.00000000
-5.72386193,2.07674565,0.62207359,1.25701528,0.59313547,0.00465294,0.24639800,1.06274431,0.00000000
-5.71785893,2.20682533,0.65210868,1.35248879,0.63016520,0.00511414,0.25582047,1.13571553,0.00000000
-5.71185593,2.34186841,0.68153694,1.45028781,0.66887727,0.00558559,0.26586561,1.21153089,0.00000000
-5.70585293,2.48078009,0.70998854,1.54944169,0.70896215,0.00606149,0.27642726,1.28967406,0.00000000
-5.69984992,2.62231029,0.73708755,1.64888787,0.75005717,0.00653549,0.28737662,1.36955443,0.00000000
-5.69384692,2.76508181,0.76246278,1.74749150,0.79175511,0.00700083,0.29856562,1.45051923,0.00000000
-5.68784392,2.90762353,0.78575878,1.84406852,0.83361453,0.00745051,0.30983120,1.53186767,0.00000000
-5.68184092,3.04840711,0.80664652,1.93741116,0.87517150,0.00787741,0.32100027,1.61286633,0.00000000
-5.67583792,3.18588571,0.82483317,2.02631518,0.91595217,0.00827457,0.33189508,1.69276540,0.00000000
-5.66983492,3.31853307,0.84007057,2.10960776,0.95548555,0.00863531,0.34233888,1.77081487,0.00000000
-5.66383192,3.44488131,0.85216208,2.18617506,0.99331622,0.00895345,0.35216149,1.84628020,0.00000000
-5.65782891,3.56355603,0.86096750,2.25498848,1.02901605,0.00922351,0.36120463,1.91845685,0.00000000
-5.65182591,3.67330749,0.86640590,2.31512875,1.06219489,0.00944084,0.36932685,1.98668330,0.00000000
-5.64582291,3.77303678,0.86845637,2.36580699,1.09250949,0.00960181,0.37640770,2.05035219,0.00000000
-5.63981991,3.86181636,0.86715669,2.40638213,1.11967056,0.00970386,0.38235126,2.10891939,0.00000000
-5.63381691,3.93890456,0.86260017,2.43637424,1.14344782,0.00974563,0.38708866,2.16191095,0.00000000
-5.62781391,4.00375402,0.85493100,2.45547336,1.16367273,0.00972698,0.39057986,2.20892795,0.00000000
-5.62181091,4.05601417,0.84433824,2.46354382,1.18023924,0.00964896,0.39281430,2.24964951,0.00000000
-5.61580790,4.09552843,0.83104905,2.46062408,1.19310249,0.00951379,0.39381082,2.28383394,0.00000000
-5.60980490,4.12232660,0.81532139,2.44692230,1.20227575,0.00932481,0.39361665,2.31131860,0.00000000
-5.60380190,4.13661333,0.79743671,2.42280807,1.20782589,0.00908631,0.39230567,2.33201848,0.00000000
-5.59779890,4.13875354,0.77769282,2.38880065,1.20986766,0.00880347,0.38997604,2.34592393,0.00000000
-5.59179590,4.12925557,0.75639723,2.34555445,1.20855717,0.00848213,0.38674721,2.35309772,0.00000000
-5.58579290,4.10875294,0.73386131,2.29384218,1.20408487,0.00812868,0.38275661,2.35367157,0.00000000
-5.57978989,4.07798537,0.71039519,2.23453643,1.19666838,0.00774989,0.37815588,2.34784235,0.00000000
-5.57378689,4.03777971,0.68630353,2.16859015,1.18654538,0.00735270,0.37310694,2.33586795,0.00000000
-5.56778389,3.98903116,0.66188215,2.09701671,1.17396691,0.00694409,0.36777790,2.31806281,0.00000000
-5.56178089,3.93268505,0.63741536,2.02086987,1.15919105,0.00653096,0.36233890,2.29479311,0.00000000
-5.55577789,3.86971952,0.61317391,1.94122433,1.14247737,0.00611993,0.35695790,2.26647153,0.00000000
-5.54977489,3.80112901,0.58941332,1.85915700,1.12408196,0.00571730,0.35179663,2.23355142,0.00000000
-5.54377189,3.72790868,0.56637254,1.77572936,1.10425324,0.00532891,0.34700659,2.19652051,0.00000000
-5.53776888,3.65103965,0.54427260,1.69197115,1.08322847,0.00496012,0.34272528,2.15589383,0.00000000
-5.53176588,3.57147515,0.52331535,1.60886547,1.06123088,0.00461572,0.33907264,2.11220610,0.00000000
-5.52576288,3.49012746,0.50368197,1.52733548,1.03846744,0.00429992,0.33614793,2.06600348,0.00000000
-5.51975988,3.40785578,0.48553136,1.44823263,1.01512720,0.00401638,0.33402689,2.01783488,0.00000000
-5.51375688,3.32545497,0.46899838,1.37232656,0.99138013,0.00376813,0.33275951,1.96824292,0.00000000
-5.50775388,3.24364552,0.45419198,1.30029668,0.96737636,0.00355765,0.33236828,1.91775491,0.00000000
-5.50175088,3.16306480,0.44119329,1.23272533,0.94324590,0.00338689,0.33284712,1.86687386,0.00000000
-5.49574787,3.08425988,0.43005388,1.17009260,0.91909873,0.00325724,0.33416111,1.81607014,0.00000000
-5.48974487,3.00768218,0.42079428,1.11277289,0.89502531,0.00316961,0.33624687,1.76577378,0.00000000
-5.48374187,2.93368427,0.41340297,1.06103299,0.87109740,0.00312445,0.33901384,1.71636787,0.00000000
-5.47773887,2.86251888,0.40783585,1.01503195,0.84736938,0.00312173,0.34234633,1.66818333,0.00000000
-5.47173587,2.79434052,0.40401660,0.97482257,0.82387989,0.00316101,0.34610643,1.62149513,0.00000000
-5.46573287,2.72920965,0.40183775,0.94035459,0.80065386,0.00324142,0.35013757,1.57652035,0.00000000
-5.45972986,2.66709946,0.40116271,0.91147960,0.77770492,0.00336167,0.35426880,1.53341793,0.00000000
-5.45372686,2.60790523,0.40182870,0.88795751,0.75503819,0.00352008,0.35831962,1.49229041,0.00000000
-5.44772386,2.55145593,0.40365063,0.86946472,0.73265329,0.00371455,0.36210514,1.45318732,0.00000000
-5.44172086,2.49752799,0.40642578,0.85560371,0.71054763,0.00394259,0.36544149,1.41611043,0.00000000
-5.43571786,2.44586065,0.40993929,0.84591409,0.68871979,0.00420129,0.36815133,1.38102047,0.00000000
-5.42971486,2.39617255,0.41397008,0.83988478,0.66717304,0.00448737,0.37006907,1.34784510,0.00000000
-5.42371186,2.34817897,0.41829734,0.83696720,0.64591865,0.00479716,0.37104590,1.31648802,0.00000000
-5.41770885,2.30160923,0.42270704,0.83658922,0.62497914,0.00512662,0.37095416,1.28683862,0.00000000
-5.41170585,2.25622354,0.42699845,0.83816944,0.60439118,0.00547139,0.36969118,1.25878211,0.00000000
-5.40570285,2.21182878,0.43099033,0.84113159,0.58420802,0.00582681,0.36718217,1.23220954,0.00000000
-5.39969985,2.16829265,0.43452650,0.84491860,0.56450143,0.00618802,0.36338228,1.20702739,0.00000000
-5.39369685,2.12555557,0.43748075,0.84900603,0.54536298,0.00654995,0.35827766,1.18316648,0.00000000
-5.38769385,2.08363985,0.43976057,0.85291433,0.52690452,0.00690748,0.35188551,1.16058958,0.00000000
-5.38169085,2.04265579,0.44130981,0.85621977,0.50925790,0.00725552,0.34425319,1.13929767,0.00000000
-5.37568784,2.00280421,0.44210995,0.85856349,0.49257377,0.00758906,0.33545636,1.11933432,0.00000000
-5.36968484,1.96437528,0.44217994,0.85965850,0.47701950,0.00790335,0.32559625,1.10078805,0.00000000
-5.36368184,1.92774344,0.44157451,0.85929437,0.46277611,0.00819397,0.31479632,1.08379243,0.00000000
-5.35767884,1.89335832,0.44038113,0.85733939,0.45003436,0.00845696,0.30319817,1.06852374,0.00000000
-5.35167584,1.86173188,0.43871543,0.85374013,0.43898996,0.00868894,0.29095717,1.05519629,0.00000000
-5.34567284,1.83342178,0.43671544,0.84851844,0.42983796,0.00888715,0.27823775,1.04405511,0.00000000
-5.33966983,1.80901159,0.43453478,0.84176595,0.42276656,0.00904959,0.26520862,1.03536651,0.00000000
-5.33366683,1.78908801,0.43233502,0.83363623,0.41795032,0.00917503,0.25203803,1.02940644,0.00000000
-5.32766383,1.77421613,0.43027745,0.82433487,0.41554307,0.00926306,0.23888934,1.02644706,0.00000000
-5.32166083,1.76491311,0.42851478,0.81410796,0.41567068,0.00931407,0.22591687,1.02674204,0.00000000
-5.31565783,1.76162146,0.42718296,0.80322921,0.41842401,0.00932926,0.21326226,1.03051094,0.00000000
-5.30965483,1.76468277,0.42639350,0.79198638,0.42385212,0.00931053,0.20105146,1.03792348,0.00000000
-5.30365183,1.77431306,0.42622673,0.78066737,0.43195628,0.00926043,0.18939228,1.04908412,0.00000000
-5.29764882,1.79058075,0.42672628,0.76954668,0.44268484,0.00918202,0.17837273,1.06401799,0.00000000
