energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.32627591,-0.32627493,0.00004711,-0.00004711,0.11680517,-0.11680485,0.04570194,-0.04570178,0.22387083,-0.22387016,0.00167899,-0.00167899,0.03887694,-0.03887682,0.00000000,-0.00000000
-5.99399700,0.34067073,-0.34066990,0.00005496,-0.00005496,0.12083397,-0.12083372,0.05036734,-0.05036718,0.23105576,-0.23105521,0.00202593,-0.00202593,0.04253576,-0.04253564,0.00000000,-0.00000000
-5.98799400,0.35492906,-0.35492837,0.00006643,-0.00006643,0.12438302,-0.12438283,0.05580646,-0.05580630,0.23726290,-0.23726248,0.00248971,-0.00248971,0.04689891,-0.04689879,0.00000000,-0.00000000
-5.98199100,0.36922583,-0.36922530,0.00008200,-0.00008200,0.12746029,-0.12746016,0.06217264,-0.06217247,0.24248467,-0.24248438,0.00308821,-0.00308820,0.05208298,-0.05208286,0.00000000,-0.00000000
-5.97598799,0.38382424,-0.38382385,0.00010230,-0.00010230,0.13009814,-0.13009808,0.06964457,-0.06964440,0.24676025,-0.24676009,0.00384264,-0.00384263,0.05822751,-0.05822738,0.00000000,-0.00000000
-5.96998499,0.39907647,-0.39907621,0.00012806,-0.00012806,0.13235428,-0.13235428,0.07842561,-0.07842542,0.25017742,-0.25017738,0.00477754,-0.00477753,0.06549397,-0.06549383,0.00000000,-0.00000000
-5.96398199,0.41542131,-0.41542117,0.00016015,-0.00016015,0.13431198,-0.13431204,0.08874203,-0.08874182,0.25287291,-0.25287298,0.00592064,-0.00592063,0.07406386,-0.07406372,0.00000000,-0.00000000
-5.95797899,0.43337832,-0.43337828,0.00019959,-0.00019959,0.13607929,-0.13607940,0.10084010,-0.10083987,0.25503108,-0.25503125,0.00730261,-0.00730260,0.08413593,-0.08413577,0.00000000,-0.00000000
-5.95197599,0.45353841,-0.45353843,0.00024747,-0.00024747,0.13778742,-0.13778757,0.11498198,-0.11498172,0.25688097,-0.25688123,0.00895664,-0.00895663,0.09592222,-0.09592204,0.00000000,-0.00000000
-5.94597299,0.47655080,-0.47655085,0.00030502,-0.00030502,0.13958818,-0.13958835,0.13144020,-0.13143990,0.25869167,-0.25869198,0.01091791,-0.01091790,0.10964310,-0.10964289,0.00000000,-0.00000000
-5.93996998,0.50310648,-0.50310653,0.00037353,-0.00037353,0.14165050,-0.14165070,0.15049088,-0.15049053,0.26076610,-0.26076646,0.01322282,-0.01322281,0.12552118,-0.12552094,0.00000000,-0.00000000
-5.93396698,0.53391847,-0.53391847,0.00045435,-0.00045435,0.14415631,-0.14415651,0.17240565,-0.17240525,0.26343349,-0.26343386,0.01590807,-0.01590806,0.14377414,-0.14377388,0.00000000,-0.00000000
-5.92796398,0.56969923,-0.56969916,0.00054885,-0.00054885,0.14729561,-0.14729579,0.19744247,-0.19744201,0.26704053,-0.26704089,0.01900951,-0.01900950,0.16460668,-0.16460638,0.00000000,-0.00000000
-5.92196098,0.61113590,-0.61113570,0.00065837,-0.00065837,0.15126110,-0.15126124,0.22583542,-0.22583489,0.27194163,-0.27194194,0.02256084,-0.02256083,0.18820160,-0.18820126,0.00000000,-0.00000000
