energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,3.26586282,0.82810169,0.41861816,0.00824583,0.24761899,1.00386445,1.66097147,1.18695285,0.00000000
-5.99399700,3.23079740,0.84727406,0.42071908,0.00872845,0.24108398,1.01908540,1.62177450,1.19519531,0.00000000
-5.98799400,3.19848557,0.86645759,0.42324029,0.00923859,0.23494398,1.03415338,1.58433184,1.20382966,0.00000000
-5.98199100,3.16937575,0.88545184,0.42619223,0.00977234,0.22922488,1.04899677,1.54907113,1.21289709,0.00000000
-5.97598799,3.14382322,0.90404619,0.42957563,0.01032484,0.22394233,1.06352793,1.51636590,1.22241037,0.00000000
-5.96998499,3.12207423,0.92202261,0.43337940,0.01089022,0.21910070,1.07764149,1.48652529,1.23234947,0.00000000
-5.96398199,3.10425669,0.93915976,0.43757912,0.01146169,0.21469278,1.09121480,1.45978697,1.24265960,0.00000000
-5.95797899,3.09037753,0.95523837,0.44213642,0.01203158,0.21070018,1.10411045,1.43631342,1.25325185,0.00000000
-5.95197599,3.08032685,0.97004749,0.44699902,0.01259150,0.20709440,1.11618073,1.41619168,1.26400628,0.00000000
-5.94597299,3.07388833,0.98339157,0.45210165,0.01313252,0.20383846,1.12727377,1.39943647,1.27477731,0.00000000
-5.93996998,3.07075517,0.99509768,0.45736773,0.01364533,0.20088897,1.13724088,1.38599625,1.28540103,0.00000000
-5.93396698,3.07055037,1.00502276,0.46271162,0.01412053,0.19819846,1.14594465,1.37576201,1.29570390,0.00000000
-5.92796398,3.07285021,1.01306016,0.46804155,0.01454888,0.19571790,1.15326712,1.36857803,1.30551229,0.00000000
-5.92196098,3.07720936,1.01914525,0.47326282,0.01492156,0.19339911,1.15911761,1.36425410,1.31466230,0.00000000
-5.91595798,3.08318615,1.02325965,0.47828124,0.01523050,0.19119702,1.16343944,1.36257842,1.32300912,0.00000000
-5.90995498,3.09036648,1.02543365,0.48300668,0.01546862,0.18907165,1.16621518,1.36333053,1.33043537,0.00000000
-5.90395198,3.09838509,1.02574675,0.48735636,0.01563009,0.18698963,1.16746991,1.36629349,1.33685786,0.00000000
-5.89794897,3.10694287,1.02432605,0.49125788,0.01571053,0.18492527,1.16727230,1.37126473,1.34223232,0.00000000
-5.89194597,3.11581932,1.02134250,0.49465173,0.01570724,0.18286111,1.16573327,1.37806501,1.34655579,0.00000000
-5.88594297,3.12487958,1.01700515,0.49749324,0.01561922,0.18078797,1.16300223,1.38654493,1.34986646,0.00000000
-5.87993997,3.13407549,1.01155357,0.49975370,0.01544731,0.17870444,1.15926116,1.39658888,1.35224093,0.00000000
-5.87393697,3.14344095,1.00524875,0.50142084,0.01519412,0.17661607,1.15471670,1.40811604,1.35378904,0.00000000
-5.86793397,3.15308173,0.99836294,0.50249841,0.01486400,0.17453406,1.14959065,1.42107861,1.35464661,0.00000000
-5.86193097,3.16316044,0.99116881,0.50300505,0.01446284,0.17247380,1.14410951,1.43545733,1.35496635,0.00000000
-5.85592796,3.17387748,0.98392853,0.50297239,0.01399792,0.17045316,1.13849348,1.45125458,1.35490760,0.00000000
-5.84992496,3.18544924,0.97688318,0.50244261,0.01347765,0.16849084,1.13294560,1.46848551,1.35462545,0.00000000
-5.84392196,3.19808455,0.97024302,0.50146542,0.01291129,0.16660465,1.12764153,1.48716766,1.35425978,0.00000000
-5.83791896,3.21196087,0.96417913,0.50009482,0.01230864,0.16480998,1.12272055,1.50730979,1.35392500,0.00000000
-5.83191596,3.22720142,0.95881661,0.49838561,0.01167973,0.16311845,1.11827823,1.52890028,1.35370086,0.00000000
-5.82591296,3.24385446,0.95422980,0.49638993,0.01103454,0.16153689,1.11436110,1.55189604,1.35362507,0.00000000
-5.81990995,3.26187577,0.95043958,0.49415403,0.01038266,0.16006651,1.11096361,1.57621231,1.35368791,0.00000000
-5.81390695,3.28111530,0.94741287,0.49171533,0.00973309,0.15870253,1.10802735,1.60171392,1.35382930,0.00000000
-5.80790395,3.30130852,0.94506424,0.48909997,0.00909395,0.15743399,1.10544279,1.62820858,1.35393828,0.00000000
-5.80190095,3.32207292,0.94325958,0.48632099,0.00847240,0.15624400,1.10305310,1.65544242,1.35385515,0.00000000
-5.79589795,3.34290976,0.94182141,0.48337715,0.00787444,0.15511018,1.10066003,1.68309815,1.35337584,0.00000000
-5.78989495,3.36321108,0.94053586,0.48025254,0.00730486,0.15400538,1.09803142,1.71079589,1.35225857,0.00000000
-5.78389195,3.38227145,0.93916059,0.47691681,0.00676725,0.15289855,1.09490997,1.73809671,1.35023216,0.00000000
-5.77788894,3.39930413,0.93743358,0.47332623,0.00626399,0.15175583,1.09102289,1.76450888,1.34700580,0.00000000
-5.77188594,3.41346078,0.93508230,0.46942537,0.00579636,0.15054161,1.08609189,1.78949651,1.34227966,0.00000000
-5.76588294,3.42385418,0.93183285,0.46514932,0.00536461,0.14921971,1.07984314,1.81249046,1.33575594,0.00000000
-5.75987994,3.42958284,0.92741880,0.46042644,0.00496810,0.14775452,1.07201688,1.83290105,1.32714976,0.00000000
-5.75387694,3.42975686,0.92158950,0.45518143,0.00460545,0.14611212,1.06237612,1.85013231,1.31619964,0.00000000
-5.74787394,3.42352405,0.91411746,0.44933858,0.00427470,0.14426119,1.05071443,1.86359723,1.30267701,0.00000000
