energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,8.27245685,0.15892752,0.07079908,0.50822215,0.41267223,0.05714126,1.53274444,0.65910377,4.62486001
-5.99399700,8.09730507,0.16133624,0.07148920,0.50995174,0.40792243,0.05698775,1.53142738,0.66075055,4.45978547
-5.98799400,7.93367219,0.16318908,0.07217052,0.51184599,0.40500190,0.05713529,1.53104917,0.66112930,4.30416227
-5.98199100,7.78293978,0.16449178,0.07287361,0.51405440,0.40425268,0.05762591,1.53226544,0.66039392,4.15794656
-5.97598799,7.64659164,0.16526091,0.07362941,0.51671708,0.40598129,0.05849370,1.53569885,0.65872346,4.02124549
-5.96998499,7.52611495,0.16552270,0.07446786,0.51996217,0.41045092,0.05976349,1.54191999,0.65631629,3.89426613
-5.96398199,7.42289925,0.16531157,0.07541651,0.52390409,0.41787494,0.06144972,1.55142987,0.65338337,3.77725940
-5.95797899,7.33813910,0.16466839,0.07649909,0.52864255,0.42841197,0.06355565,1.56464482,0.65014134,3.67046306
-5.95197599,7.27274605,0.16363848,0.07773435,0.53426242,0.44216266,0.06607293,1.58188429,0.64680540,3.57404749
-5.94597299,7.22727483,0.16226972,0.07913504,0.54083433,0.45916799,0.06898155,1.60336225,0.64358251,3.48806764
-5.93996998,7.20186791,0.16061059,0.08070710,0.54841606,0.47940944,0.07225022,1.62918225,0.64066515,3.41242400
-5.93396698,7.19622117,0.15870847,0.08244923,0.55705435,0.50281048,0.07583706,1.65933657,0.63822595,3.34683489
-5.92796398,7.20957246,0.15660818,0.08435271,0.56678715,0.52923968,0.07969076,1.69370929,0.63641332,3.29082125
-5.92196098,7.24071332,0.15435089,0.08640158,0.57764603,0.55851486,0.08375206,1.73208311,0.63534837,3.24370476
-5.91595798,7.28802269,0.15197340,0.08857314,0.58965857,0.59040819,0.08795550,1.77414954,0.63512303,3.20461884
-5.90995498,7.34952039,0.14950783,0.09083870,0.60285040,0.62465206,0.09223145,1.81952180,0.63579946,3.17253168
-5.90395198,7.42293674,0.14698174,0.09316460,0.61724680,0.66094517,0.09650827,1.86774979,0.63741066,3.14627941
-5.89794897,7.50579412,0.14441854,0.09551340,0.63287358,0.69895883,0.10071453,1.91833623,0.63996205,3.12460729
-5.89194597,7.59549547,0.14183824,0.09784517,0.64975709,0.73834307,0.10478125,1.97075316,0.64343381,3.10621610
-5.88594297,7.68941446,0.13925836,0.10011887,0.66792331,0.77873233,0.10864401,2.02445783,0.64778384,3.08981078
-5.87993997,7.78498236,0.13669492,0.10229361,0.68739597,0.81975069,0.11224486,2.07890735,0.65295090,3.07414857
-5.87393697,7.87976672,0.13416341,0.10432993,0.70819369,0.86101639,0.11553400,2.13357126,0.65885782,3.05808351
-5.86793397,7.97153809,0.13167968,0.10619084,0.73032633,0.90214574,0.11847107,2.18794161,0.66541446,3.04060507
-5.86193097,8.05832161,0.12926057,0.10784276,0.75379080,0.94275637,0.12102609,2.24154031,0.67252030,3.02086871
-5.85592796,8.13843162,0.12692425,0.10925612,0.77856645,0.98247005,0.12317997,2.29392357,0.68006656,2.99821699
-5.84992496,8.21048877,0.12469029,0.11040588,0.80461052,1.02091504,0.12492463,2.34468375,0.68793768,2.97219038
-5.84392196,8.27342012,0.12257934,0.11127175,0.83185391,1.05772838,0.12626270,2.39344888,0.69601243,2.94252771
-5.83791896,8.32644396,0.12061250,0.11183820,0.86019772,1.09255826,0.12720683,2.43988047,0.70416454,2.90915665
-5.83191596,8.36904205,0.11881041,0.11209435,0.88951080,1.12506656,0.12777867,2.48367021,0.71226310,2.87217551
-5.82591296,8.40092263,0.11719216,0.11203373,0.91962877,1.15493196,0.12800764,2.52453643,0.72017295,2.83182781
-5.81990995,8.42197799,0.11577404,0.11165391,0.95035451,1.18185354,0.12792949,2.56222079,0.72775517,2.78847170
-5.81390695,8.43224051,0.11456832,0.11095617,0.98146049,1.20555505,0.12758468,2.59648611,0.73486803,2.74254631
-5.80790395,8.43184069,0.11358210,0.10994512,1.01269285,1.22578982,0.12701686,2.62711561,0.74136842,2.69453738
-5.80190095,8.42097057,0.11281641,0.10862837,1.04377715,1.24234601,0.12627125,2.65391398,0.74711393,2.64494412
-5.79589795,8.39985481,0.11226554,0.10701630,1.07442556,1.25505233,0.12539324,2.67671031,0.75196575,2.59424940
-5.78989495,8.36873108,0.11191684,0.10512185,1.10434526,1.26378358,0.12442703,2.69536286,0.75579216,2.54289467
-5.78389195,8.32784041,0.11175081,0.10296042,1.13324766,1.26846592,0.12341455,2.70976509,0.75847264,2.49126072
-5.77788894,8.27742712,0.11174173,0.10054982,1.16085776,1.26908136,0.12239449,2.71985275,0.75990248,2.43965505
-5.77188594,8.21774718,0.11185864,0.09791031,1.18692356,1.26567125,0.12140166,2.72561101,0.75999745,2.38830581
-5.76588294,8.14908313,0.11206672,0.09506457,1.21122456,1.25833812,0.12046642,2.72708114,0.75869840,2.33736215
-5.75987994,8.07176305,0.11232893,0.09203772,1.23357932,1.24724594,0.11961440,2.72436589,0.75597541,2.28690023
-5.75387694,7.98618099,0.11260782,0.08885729,1.25385126,1.23261831,0.11886634,2.71763281,0.75183114,2.23693374
-5.74787394,7.89281602,0.11286748,0.08555307,1.27195277,1.21473462,0.11823807,2.70711512,0.74630314,2.18742787
-5.74187094,7.79224752,0.11307535,0.08215693,1.28784710,1.19392416,0.11774054,2.69310951,0.73946478,2.13831520
-5.73586793,7.68516447,0.11320392,0.07870246,1.30154812,1.17055832,0.11738003,2.67597080,0.73142468,2.08951216
-5.72986493,7.57236737,0.11323207,0.07522453,1.31311790,1.14504116,0.11715831,2.65610351,0.72232453,2.04093481
-5.72386193,7.45476183,0.11314608,0.07175874,1.32266226,1.11779872,0.11707286,2.63395053,0.71233525,1.99251282
-5.71785893,7.33334373,0.11294017,0.06834072,1.33032456,1.08926757,0.11711713,2.60997944,0.70165161,1.94420073
-5.71185593,7.20917678,0.11261655,0.06500544,1.33627801,1.05988302,0.11728076,2.58466713,0.69048559,1.89598593
-5.70585293,7.08336350,0.11218495,0.06178639,1.34071701,1.03006766,0.11754989,2.55848350,0.67905860,1.84789308
-5.69984992,6.95701164,0.11166171,0.05871483,1.34384787,1.00022066,0.11790746,2.53187515,0.66759307,1.79998498
-5.69384692,6.83119815,0.11106843,0.05581906,1.34587938,0.97070832,0.11833351,2.50524994,0.65630374,1.75236018
-5.68784392,6.70693318,0.11043038,0.05312367,1.34701381,0.94185644,0.11880562,2.47896335,0.64538914,1.70514777
-5.68184092,6.58512656,0.10977460,0.05064907,1.34743857,0.91394454,0.11929938,2.45330728,0.63502367,1.65850010
-5.67583792,6.46655897,0.10912800,0.04841102,1.34731913,0.88720243,0.11978892,2.42850209,0.62535077,1.61258418
-5.66983492,6.35185995,0.10851545,0.04642035,1.34679328,0.86180903,0.12024755,2.40469225,0.61647743,1.56757264
-5.66383192,6.24149417,0.10795815,0.04468294,1.34596722,0.83789344,0.12064855,2.38194588,0.60847052,1.52363484
-5.65782891,6.13575698,0.10747214,0.04319978,1.34491330,0.81553809,0.12096598,2.36025818,0.60135500,1.48092911
-5.65182591,6.03477971,0.10706734,0.04196728,1.34366984,0.79478372,0.12117558,2.33955868,0.59511420,1.43959647
-5.64582291,5.93854439,0.10674694,0.04097772,1.34224261,0.77563592,0.12125579,2.31972188,0.58969218,1.39975632
-5.63981991,5.84690709,0.10650730,0.04021986,1.34060809,0.75807255,0.12118870,2.30058071,0.58499800,1.36150430
-5.63381691,5.75962858,0.10633837,0.03967966,1.33871816,0.74205201,0.12096113,2.28194212,0.58091178,1.32491229
-5.62781391,5.67641021,0.10622451,0.03934110,1.33650601,0.72752147,0.12056553,2.26360401,0.57729208,1.29003049
-5.62181091,5.59693311,0.10614569,0.03918706,1.33389275,0.71442501,0.12000088,2.24537256,0.57398442,1.25689109
-5.61580790,5.52089799,0.10607903,0.03920022,1.33079452,0.70271096,0.11927343,2.22707903,0.57083034,1.22551316
-5.60980490,5.44806328,0.10600046,0.03936388,1.32712952,0.69233831,0.11839725,2.20859520,0.56767652,1.19590829
