energy_ev,total_up,In_p_up,In_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,5.90296419,0.32405478,0.00967010,1.86447482,2.78197644,0.04687974,3.57328966
-5.99399700,5.66296893,0.30744654,0.00911532,1.77471538,2.70147232,0.04532894,3.44091550
-5.98799400,5.43227555,0.29021589,0.00856815,1.68772252,2.62878335,0.04360805,3.31618427
-5.98199100,5.21327532,0.27259129,0.00803519,1.60448173,2.56447279,0.04173946,3.20029361
-5.97598799,5.00784936,0.25479178,0.00752229,1.52579943,2.50882385,0.03974700,3.09410438
-5.96998499,4.81734766,0.23702283,0.00703443,1.45229316,2.46184230,0.03765544,2.99813456
-5.96398199,4.64258491,0.21947290,0.00657566,1.38438833,2.42326645,0.03549012,2.91256311
-5.95797899,4.48385267,0.20231091,0.00614906,1.32232141,2.39258416,0.03327641,2.83724365
-5.95197599,4.34094721,0.18568442,0.00575672,1.26614926,2.36905639,0.03103938,2.77172734
-5.94597299,4.21321191,0.16971877,0.00539976,1.21576391,2.35174684,0.02880335,2.71529438
-5.93996998,4.09959280,0.15451698,0.00507841,1.17091226,2.33955701,0.02659160,2.66699328
-5.93396698,3.99870547,0.14016027,0.00479204,1.13121975,2.33126592,0.02442611,2.62568662
-5.92796398,3.90891121,0.12670939,0.00453929,1.09621732,2.32557359,0.02232729,2.59010232
-5.92196098,3.82840009,0.11420630,0.00431816,1.06537048,2.32114717,0.02031387,2.55888885
-5.91595798,3.75527840,0.10267638,0.00412617,1.03810975,2.31666866,0.01840283,2.53067272
-5.90995498,3.68765777,0.09213088,0.00396046,1.01386132,2.31088279,0.01660939,2.50411682
-5.90395198,3.62374304,0.08256958,0.00381797,0.99207711,2.30264370,0.01494708,2.47797751
-5.89794897,3.56191625,0.07398345,0.00369556,0.97226311,2.29095901,0.01342782,2.45115894
-5.89194597,3.50081385,0.06635739,0.00359018,0.95400537,2.27502967,0.01206220,2.42276261
-5.88594297,3.43939458,0.05967271,0.00349897,0.93699264,2.25428442,0.01085959,2.39213054
-5.87993997,3.37699572,0.05390947,0.00341942,0.92103499,2.22840734,0.00982846,2.35888048
-5.87393697,3.31337560,0.04904851,0.00334944,0.90607793,2.19735744,0.00897665,2.32293185
-5.86793397,3.24874080,0.04507311,0.00328747,0.89221136,2.16137941,0.00831155,2.28452122
-5.86193097,3.18375690,0.04197028,0.00323254,0.87967317,2.12100498,0.00784042,2.24420662
-5.85592796,3.11954203,0.03973158,0.00318431,0.86884713,2.07704432,0.00757052,2.20286021
-5.84992496,3.05764319,0.03835350,0.00314310,0.86025517,2.03056788,0.00750926,2.16164929
-5.84392196,2.99999575,0.03783737,0.00310986,0.85454399,1.98287868,0.00766424,2.12200591
-5.83791896,2.94886705,0.03818877,0.00308617,0.85246646,1.93547601,0.00804325,2.08558587
-5.83191596,2.90678571,0.03941655,0.00307414,0.85485806,1.89001138,0.00865407,2.05421814
-5.82591296,2.87645860,0.04153137,0.00307639,0.86260905,1.84823818,0.00950427,2.02984620
-5.81990995,2.86067797,0.04454391,0.00309589,0.87663322,1.81195653,0.01060088,2.01446300
-5.81390695,2.86222153,0.04846274,0.00313589,0.89783393,1.78295500,0.01194993,2.01004158
-5.80790395,2.88374875,0.05329202,0.00319974,0.92706872,1.76295126,0.01355591,2.01846370
-5.80190095,2.92769674,0.05902897,0.00329082,0.96511348,1.75353347,0.01542126,2.04144875
-5.79589795,2.99617931,0.06566148,0.00341230,1.01262763,1.75610445,0.01754565,2.08048548
-5.78989495,3.09089273,0.07316563,0.00356709,1.07012146,1.77183064,0.01992543,2.13676913
-5.78389195,3.21303196,0.08150357,0.00375758,1.13792707,1.80159752,0.02255297,2.21114618
-5.77788894,3.36322032,0.09062173,0.00398560,1.21617416,1.84597326,0.02541616,2.30406927
-5.77188594,3.54145600,0.10044942,0.00425223,1.30477186,1.90518201,0.02849790,2.41556391
-5.76588294,3.74707766,0.11089811,0.00455773,1.40339760,1.97908781,0.03177583,2.54520892
-5.75987994,3.97875113,0.12186136,0.00490141,1.51149387,2.06719000,0.03522216,2.69213155
-5.75387694,4.23447847,0.13321542,0.00528161,1.62827315,2.16863044,0.03880370,2.85501804
-5.74787394,4.51162967,0.14482071,0.00569564,1.75273150,2.28221237,0.04248213,3.03213952
-5.74187094,4.80699642,0.15652398,0.00613979,1.88367016,2.40643049,0.04621441,3.22139274
-5.73586793,5.11686647,0.16816125,0.00660937,2.01972476,2.53951109,0.04995351,3.42035422
-5.72986493,5.43711611,0.17956139,0.00709878,2.15940103,2.67946092,0.05364927,3.62634595
-5.72386193,5.76331738,0.19055021,0.00760159,2.30111548,2.82412284,0.05724946,3.83651007
-5.71785893,6.09085596,0.20095494,0.00811071,2.44323931,2.97123610,0.06070097,4.04788946
-5.71185593,6.41505493,0.21060894,0.00861854,2.58414363,3.11849889,0.06395115,4.25751090
-5.70585293,6.73129939,0.21935636,0.00911712,2.72224374,3.26363046,0.06694914,4.46246719
-5.69984992,7.03515676,0.22705664,0.00959839,2.85604041,3.40443043,0.06964725,4.65999455
