energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,4.29652486,0.19248124,0.05436949,0.66282902,0.57458028,0.89003424,1.38345632,0.13866023,1.54094075
-5.99399700,4.32543286,0.19879501,0.05801420,0.67890111,0.57553627,0.91928054,1.38004647,0.13876264,1.55342766
-5.98799400,4.36835467,0.20485218,0.06186550,0.69783807,0.57666009,0.94964212,1.38302468,0.13920768,1.57016103
-5.98199100,4.42238054,0.21050810,0.06586555,0.71903503,0.57781366,0.98038507,1.39127821,0.13993516,1.59020588
-5.97598799,4.48457246,0.21562550,0.06995555,0.74185458,0.57888875,1.01078407,1.40364549,0.14088597,1.61263938
-5.96998499,4.55202671,0.22007786,0.07407740,0.76564187,0.57980481,1.04013997,1.41894596,0.14200275,1.63656644
-5.96398199,4.62193286,0.22375251,0.07817542,0.78974052,0.58050543,1.06779695,1.43600953,0.14323048,1.66113343
-5.95797899,4.69162882,0.22655346,0.08219804,0.81350901,0.58095390,1.09315883,1.45370532,0.14451681,1.68554017
-5.95197599,4.75865136,0.22840372,0.08609960,0.83633716,0.58112808,1.11570399,1.47096875,0.14581222,1.70905035
-5.94597299,4.82078146,0.22924726,0.08984192,0.85766204,0.58101540,1.13499869,1.48682638,0.14707016,1.73100071
-5.93996998,4.87608366,0.22905022,0.09339580,0.87698298,0.58060802,1.15070804,1.50041781,0.14824708,1.75080884
-5.93396698,4.92293866,0.22780175,0.09674229,0.89387499,0.57989876,1.16260447,1.51101393,0.14930249,1.76797977
-5.92796398,4.96006823,0.22551393,0.09987361,0.90800001,0.57887789,1.17057317,1.51803093,0.15019897,1.78211120
-5.92196098,4.98655155,0.22222128,0.10279371,0.91911570,0.57753095,1.17461434,1.52103971,0.15090225,1.79289730
-5.91595798,5.00183249,0.21797952,0.10551848,0.92708108,0.57583770,1.17484208,1.51977026,0.15138133,1.80013078
-5.90995498,5.00571711,0.21286372,0.10807541,0.93185898,0.57377212,1.17147985,1.51411099,0.15160858,1.80370318
-5.90395198,4.99836129,0.20696606,0.11050284,0.93351494,0.57130333,1.16485259,1.50410292,0.15155996,1.80360307
-5.89794897,4.98024854,0.20039302,0.11284869,0.93221257,0.56839727,1.15537576,1.48992915,0.15121518,1.79991210
-5.89194597,4.95215848,0.19326237,0.11516875,0.92820555,0.56501893,1.14354164,1.47189991,0.15055790,1.79279879
-5.88594297,4.91512688,0.18569989,0.11752456,0.92182645,0.56113477,1.12990328,1.45043386,0.14957591,1.78251012
-5.87993997,4.87039834,0.17783601,0.11998095,0.91347280,0.55671532,1.11505671,1.42603642,0.14826129,1.76936097
-5.87393697,4.81937340,0.16980249,0.12260329,0.90359098,0.55173742,1.09962198,1.39927595,0.14661053,1.75372174
-5.86793397,4.76355169,0.16172921,0.12545464,0.89265849,0.54618620,1.08422362,1.37075887,0.14462463,1.73600437
-5.86193097,4.70447337,0.15374118,0.12859285,0.88116539,0.54005645,1.06947134,1.34110450,0.14230904,1.71664733
-5.85592796,4.64366098,0.14595588,0.13206768,0.86959556,0.53335342,1.05594128,1.31092084,0.13967369,1.69610003
-5.84992496,4.58256389,0.13848085,0.13591825,0.85840864,0.52609295,1.04415880,1.28078212,0.13673284,1.67480722
-5.84392196,4.52250761,0.13141181,0.14017076,0.84802331,0.51830096,1.03458293,1.25120893,0.13350495,1.65319399
-5.83791896,4.46464977,0.12483104,0.14483662,0.83880256,0.51001246,1.02759323,1.22265171,0.13001244,1.63165203
-5.83191596,4.40994468,0.11880626,0.14991120,0.83104162,0.50127009,1.02347923,1.19547827,0.12628147,1.61052766
-5.82591296,4.35911763,0.11338981,0.15537312,0.82495894,0.49212235,1.02243272,1.16996543,0.12234167,1.59011215
-5.81990995,4.31265008,0.10861834,0.16118416,0.82069056,0.48262176,1.02454312,1.14629534,0.11822578,1.57063473
-5.81390695,4.27077600,0.10451270,0.16728994,0.81828807,0.47282308,1.02979591,1.12455619,0.11396943,1.55225865
-5.80790395,4.23348954,0.10107825,0.17362112,0.81772018,0.46278162,1.03807410,1.10474729,0.10961071,1.53508040
-5.80190095,4.20056349,0.09830543,0.18009521,0.81887780,0.45255200,1.04916258,1.08678800,0.10518994,1.51913212
-5.79589795,4.17157749,0.09617065,0.18661901,0.82158233,0.44218725,1.06275529,1.07053010,0.10074924,1.50438711
-5.78989495,4.14595468,0.09463734,0.19309131,0.82559672,0.43173840,1.07846476,1.05577285,0.09633228,1.49076817
-5.78389195,4.12300504,0.09365737,0.19940602,0.83063886,0.42125461,1.09583386,1.04227990,0.09198387,1.47815833
-5.77788894,4.10197322,0.09317260,0.20545547,0.83639663,0.41078374,1.11434940,1.02979731,0.08774959,1.46641351
-5.77188594,4.08208885,0.09311662,0.21113370,0.84254394,0.40037334,1.13345709,1.01807169,0.08367543,1.45537641
-5.76588294,4.06261669,0.09341678,0.21633975,0.84875702,0.39007198,1.15257755,1.00686768,0.07980730,1.44489100
-5.75987994,4.04290448,0.09399624,0.22098076,0.85473035,0.37993075,1.17112293,0.99598385,0.07619056,1.43481690
-5.75387694,4.02242602,0.09477619,0.22497469,0.86019133,0.37000483,1.18851361,0.98526633,0.07286949,1.42504273
-5.74787394,4.00081754,0.09567818,0.22825278,0.86491322,0.36035493,1.20419460,0.97461952,0.06988660,1.41549795
-5.74187094,3.97790558,0.09662636,0.23076145,0.86872570,0.35104846,1.21765123,0.96401343,0.06728198,1.40616229
-5.73586793,3.95372483,0.09754969,0.23246377,0.87152263,0.34216029,1.22842349,0.95348732,0.06509250,1.39707238
-5.72986493,3.92852508,0.09838405,0.23334034,0.87326655,0.33377301,1.23611883,0.94314940,0.06335094,1.38832490
-5.72386193,3.90276672,0.09907407,0.23338969,0.87398987,0.32597648,1.24042288,0.93317283,0.06208513,1.38007622
-5.71785893,3.87710479,0.09957467,0.23262815,0.87379251,0.31886671,1.24110773,0.92378794,0.06131697,1.37253812
-5.71185593,3.85236212,0.09985227,0.23108921,0.87283622,0.31254404,1.23803762,0.91527136,0.06106150,1.36596978
-5.70585293,3.82949263,0.09988547,0.22882242,0.87133575,0.30711051,1.23117161,0.90793230,0.06132598,1.36066626
-5.69984992,3.80953622,0.09966538,0.22589192,0.86954715,0.30266675,1.22056327,0.90209679,0.06210901,1.35694380
-5.69384692,3.79356717,0.09919530,0.22237459,0.86775386,0.29930812,1.20635739,0.89809056,0.06339987,1.35512270
-5.68784392,3.78263841,0.09848998,0.21835795,0.86625108,0.29712065,1.18878355,0.89622131,0.06517791,1.35550832
-5.68184092,3.77772394,0.09757439,0.21393776,0.86532917,0.29617662,1.16814710,0.89676131,0.06741222,1.35837130
-5.67583792,3.77966226,0.09648200,0.20921551,0.86525679,0.29653022,1.14481756,0.89993089,0.07006159,1.36392776
-5.66983492,3.78910326,0.09525272,0.20429582,0.86626457,0.29821333,1.11921503,0.90588392,0.07307469,1.37232065
-5.66383192,3.80646117,0.09393063,0.19928371,0.86853010,0.30123177,1.09179510,0.91469559,0.07639066,1.38360315
