energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,0.87442135,0.00163627,0.32115039,0.00327371,0.12488108,0.35453559,0.39447760
-5.99399700,0.96468352,0.00186090,0.35183836,0.00386736,0.14017035,0.40180390,0.43079305
-5.98799400,1.06718931,0.00210373,0.38733945,0.00453916,0.15681850,0.45474045,0.47253444
-5.98199100,1.18148193,0.00236409,0.42748906,0.00529232,0.17475000,0.51332434,0.51944216
-5.97598799,1.30688140,0.00264089,0.47203821,0.00612884,0.19386012,0.57743632,0.57115683
-5.96998499,1.44247647,0.00293262,0.52065048,0.00704919,0.21401436,0.64684844,0.62721817
-5.96398199,1.58712116,0.00323731,0.57290036,0.00805208,0.23504861,0.72121540,0.68706571
-5.95797899,1.73943681,0.00355256,0.62827360,0.00913420,0.25677024,0.80006841,0.75004204
-5.95197599,1.89782045,0.00387553,0.68616977,0.01029000,0.27896025,0.88281202,0.81539878
-5.94597299,2.06046027,0.00420297,0.74590736,0.01151157,0.30137627,0.96872447,0.88230533
-5.93996998,2.22535842,0.00453126,0.80673172,0.01278855,0.32375666,1.05696213,0.94986080
-5.93396698,2.39036137,0.00485646,0.86782573,0.01410817,0.34582547,1.14656825,1.01710884
-5.92796398,2.55319748,0.00517439,0.92832333,0.01545531,0.36729821,1.23648616,1.08305519
-5.92196098,2.71152113,0.00548071,0.98732560,0.01681273,0.38788835,1.32557700,1.14668771
-5.91595798,2.86296246,0.00577101,1.04391907,0.01816139,0.40731418,1.41264161,1.20699826
-5.90995498,3.00518126,0.00604090,1.09719587,0.01948079,0.42530607,1.49644611,1.26300585
-5.90395198,3.13592339,0.00628616,1.14627491,0.02074952,0.44161360,1.57575064,1.31378028
-5.89794897,3.25307781,0.00650281,1.19032364,0.02194577,0.45601252,1.64934018,1.35846549
-5.89194597,3.35473220,0.00668724,1.22857941,0.02304798,0.46831118,1.71605659,1.39630169
-5.88594297,3.43922498,0.00683632,1.26036977,0.02403544,0.47835616,1.77483056,1.42664551
-5.87993997,3.50519178,0.00694749,1.28513084,0.02488897,0.48603689,1.82471235,1.44898734
-5.87393697,3.55160434,0.00701883,1.30242308,0.02559156,0.49128915,1.86490009,1.46296510
-5.86793397,3.57780035,0.00704915,1.31194372,0.02612889,0.49409707,1.89476438,1.46837403
-5.86193097,3.58350287,0.00703801,1.31353547,0.02648987,0.49449380,1.91386820,1.46517188
-5.85592796,3.56882841,0.00698576,1.30719098,0.02666705,0.49256068,1.92198127,1.45347953
-5.84992496,3.53428351,0.00689354,1.29305294,0.02665684,0.48842489,1.91908813,1.43357678
-5.84392196,3.48074965,0.00676323,1.27140983,0.02645973,0.48225586,1.90538975,1.40589366
-5.83791896,3.40945734,0.00659742,1.24268742,0.02608022,0.47426038,1.88129832,1.37099752
-5.83191596,3.32195040,0.00639934,1.20743640,0.02552677,0.46467683,1.84742570,1.32957649
-5.82591296,3.22004186,0.00617273,1.16631667,0.02481146,0.45376862,1.80456587,1.28241996
-5.81990995,3.10576340,0.00592181,1.12007885,0.02394967,0.44181719,1.75367221,1.23039687
-5.81390695,2.98131032,0.00565108,1.06954386,0.02295952,0.42911493,1.69583062,1.17443260
-5.80790395,2.84898418,0.00536525,1.01558121,0.02186141,0.41595812,1.63222951,1.11548547
-5.80190095,2.71113549,0.00506909,0.95908695,0.02067731,0.40264048,1.56412804,1.05452346
-5.79589795,2.57010819,0.00476734,0.90096191,0.01943019,0.38944716,1.49282379,0.99250221
-5.78989495,2.42818814,0.00446455,0.84209118,0.01814334,0.37664972,1.41962111,0.93034476
-5.78389195,2.28755693,0.00416501,0.78332520,0.01683979,0.36450208,1.34580122,0.86892375
-5.77788894,2.15025240,0.00387269,0.72546318,0.01554176,0.35323738,1.27259511,0.80904636
-5.77188594,2.01813658,0.00359112,0.66923914,0.01427015,0.34306606,1.20115997,0.75144243
-5.76588294,1.89287146,0.00332337,0.61531089,0.01304414,0.33417473,1.13255958,0.69675572
-5.75987994,1.77590268,0.00307206,0.56425194,0.01188086,0.32672607,1.06774918,0.64553826
-5.75387694,1.66845051,0.00283929,0.51654638,0.01079516,0.32085922,1.00756461,0.59824781
-5.74787394,1.57150776,0.00262668,0.47258665,0.00979951,0.31669080,0.95271586,0.55524782
-5.74187094,1.48584338,0.00243539,0.43267373,0.00890387,0.31431613,0.90378445,0.51680980
-5.73586793,1.41201078,0.00226617,0.39701965,0.00811574,0.31381045,0.86122440,0.48311749
-5.72986493,1.35035972,0.00211935,0.36575187,0.00744024,0.31523010,0.82536601,0.45427245
-5.72386193,1.30105061,0.00199497,0.33891902,0.00688022,0.31861328,0.79642209,0.43030061
-5.71785893,1.26407006,0.00189274,0.31649784,0.00643641,0.32398046,0.77449583,0.41115934
-5.71185593,1.23924695,0.00181216,0.29840069,0.00610761,0.33133427,0.75958993,0.39674473
-5.70585293,1.22626824,0.00175250,0.28448352,0.00589087,0.34065894,0.75161631,0.38689876
-5.69984992,1.22469407,0.00171291,0.27455393,0.00578169,0.35191939,0.75040624,0.38141622
-5.69384692,1.23397191,0.00169237,0.26837907,0.00577422,0.36505996,0.75572037,0.38005125
-5.68784392,1.25344985,0.00168978,0.26569335,0.00586142,0.38000319,0.76725863,0.38252336
-5.68184092,1.28238912,0.00170395,0.26620565,0.00603528,0.39664861,0.78466985,0.38852326
-5.67583792,1.31997621,0.00173360,0.26960621,0.00628692,0.41487201,0.80756098,0.39771821
-5.66983492,1.36533492,0.00177741,0.27557298,0.00660684,0.43452524,0.83550602,0.40975736
-5.66383192,1.41753886,0.00183400,0.28377751,0.00698497,0.45543684,0.86805472,0.42427699
-5.65782891,1.47562459,0.00190194,0.29389038,0.00741092,0.47741361,0.90474085,0.44090583
-5.65182591,1.53860577,0.00197978,0.30558610,0.00787407,0.50024327,0.94509028,0.45927060
-5.64582291,1.60548830,0.00206604,0.31854764,0.00836375,0.52369817,0.98862861,0.47900168
-5.63981991,1.67528638,0.00215925,0.33247029,0.00886940,0.54754007,1.03488837,0.49973903
-5.63381691,1.74703924,0.00225795,0.34706514,0.00938072,0.57152581,1.08341551,0.52113815
-5.62781391,1.81982797,0.00236078,0.36206185,0.00988786,0.59541359,1.13377501,0.54287597
-5.62181091,1.89279199,0.00246644,0.37721084,0.01038152,0.61896974,1.18555541,0.56465653
-5.61580790,1.96514422,0.00257379,0.39228479,0.01085317,0.64197551,1.23837205,0.58621610
-5.60980490,2.03618439,0.00268184,0.40707942,0.01129514,0.66423350,1.29186868,0.60732756
-5.60380190,2.10530966,0.00278984,0.42141352,0.01170077,0.68557353,1.34571754,0.62780378
-5.59779890,2.17202181,0.00289728,0.43512836,0.01206450,0.70585738,1.39961771,0.64749977
-5.59179590,2.23593069,0.00300394,0.44808636,0.01238195,0.72498229,1.45329184,0.66631336
-5.58579290,2.29675342,0.00310989,0.46016927,0.01264994,0.74288286,1.50648147,0.68418443
-5.57978989,2.35430937,0.00321551,0.47127599,0.01286653,0.75953124,1.55894121,0.70109250
-5.57378689,2.40851111,0.00332147,0.48132003,0.01303100,0.77493562,1.61043223,0.71705287
-5.56778389,2.45935164,0.00342872,0.49022701,0.01314374,0.78913694,1.66071552,0.73211131
-5.56178089,2.50688872,0.00353843,0.49793225,0.01320622,0.80220408,1.70954548,0.74633769
-5.55577789,2.55122703,0.00365195,0.50437867,0.01322084,0.81422778,1.75666436,0.75981866
-5.54977489,2.59249922,0.00377070,0.50951514,0.01319080,0.82531353,1.80179820,0.77264989
-5.54377189,2.63084683,0.00389614,0.51329546,0.01311995,0.83557389,1.84465452,0.78492818
-5.53776888,2.66640222,0.00402961,0.51567801,0.01301259,0.84512066,1.88492234,0.79674381
-5.53176588,2.69927252,0.00417228,0.51662606,0.01287334,0.85405731,1.92227460,0.80817354
-5.52576288,2.72952636,0.00432503,0.51610879,0.01270693,0.86247203,1.95637302,0.81927468
-5.51975988,2.75718424,0.00448835,0.51410282,0.01251807,0.87043192,1.98687533,0.83008035
-5.51375688,2.78221277,0.00466227,0.51059427,0.01231129,0.87797847,2.01344460,0.84059637
-5.50775388,2.80452327,0.00484628,0.50558096,0.01209081,0.88512467,2.03576007,0.85079963
-5.50175088,2.82397444,0.00503928,0.49907475,0.01186042,0.89185376,2.05352907,0.86063830
-5.49574787,2.84037895,0.00523960,0.49110369,0.01162343,0.89811979,2.06649922,0.87003357
-5.48974487,2.85351335,0.00544493,0.48171381,0.01138258,0.90384984,2.07447026,0.87888291
-5.48374187,2.86313068,0.00565243,0.47097033,0.01114003,0.90894772,2.07730473,0.88706460
-5.47773887,2.86897480,0.00585875,0.45895820,0.01089734,0.91329892,2.07493684,0.89444325
-5.47173587,2.87079565,0.00606011,0.44578185,0.01065549,0.91677656,2.06737890,0.90087597
-5.46573287,2.86836445,0.00625247,0.43156402,0.01041493,0.91924791,2.05472483,0.90621891
-5.45972986,2.86148786,0.00643158,0.41644386,0.01017563,0.92058106,2.03715047,0.91033370
-5.45372686,2.85002036,0.00659320,0.40057412,0.00993714,0.92065151,2.01491046,0.91309360
-5.44772386,2.83387412,0.00673318,0.38411779,0.00969867,0.91934821,1.98833189,0.91438884
-5.44172086,2.81302589,0.00684769,0.36724417,0.00945922,0.91657873,1.95780471,0.91413121
-5.43571786,2.78752051,0.00693327,0.35012461,0.00921761,0.91227342,1.92376963,0.91225735
-5.42971486,2.75747113,0.00698703,0.33292816,0.00897263,0.90638827,1.88670369,0.90873097
-5.42371186,2.72305604,0.00700672,0.31581722,0.00872308,0.89890651,1.84710462,0.90354367
-5.41770885,2.68451258,0.00699083,0.29894362,0.00846791,0.88983878,1.80547433,0.89671460
-5.41170585,2.64212858,0.00693863,0.28244494,0.00820622,0.87922213,1.76230270,0.88828898
-5.40570285,2.59623202,0.00685019,0.26644166,0.00793739,0.86711789,1.71805225,0.87833564
-5.39969985,2.54717940,0.00672638,0.25103486,0.00766109,0.85360864,1.67314455,0.86694378
-5.39369685,2.49534395,0.00656884,0.23630478,0.00737730,0.83879459,1.62794906,0.85421926
-5.38769385,2.44110404,0.00637987,0.22231024,0.00708637,0.82278952,1.58277481,0.84028055
-5.38169085,2.38483273,0.00616240,0.20908878,0.00678900,0.80571673,1.53786549,0.82525473
-5.37568784,2.32688887,0.00591984,0.19665768,0.00648622,0.78770505,1.49339793,0.80927354
-5.36968484,2.26761029,0.00565597,0.18501556,0.00617938,0.76888534,1.44948419,0.79246996
-5.36368184,2.20730919,0.00537484,0.17414465,0.00587013,0.74938752,1.40617682,0.77497512
-5.35767884,2.14626991,0.00508058,0.16401347,0.00556034,0.72933820,1.36347719,0.75691588
-5.35167584,2.08474902,0.00477737,0.15457982,0.00525209,0.70885917,1.32134615,0.73841301
-5.34567284,2.02297728,0.00446923,0.14579393,0.00494763,0.68806649,1.27971650,0.71957986
-5.33966983,1.96116334,0.00416001,0.13760174,0.00464930,0.66707032,1.23850649,0.70052170
-5.33366683,1.89949857,0.00385326,0.12994790,0.00435951,0.64597523,1.19763366,0.68133534
-5.32766383,1.83816251,0.00355216,0.12277875,0.00408072,0.62488104,1.15702821,0.66210918
-5.32166083,1.77732858,0.00325954,0.11604485,0.00381537,0.60388381,1.11664529,0.64292344
-5.31565783,1.71716948,0.00297780,0.10970316,0.00356591,0.58307712,1.07647558,0.62385053
-5.30965483,1.65786205,0.00270892,0.10371887,0.00333480,0.56255327,1.03655372,0.60495551
-5.30365183,1.59959128,0.00245449,0.09806667,0.00312446,0.54240444,0.99696439,0.58629655
-5.29764882,1.54255332,0.00221574,0.09273159,0.00293736,0.52272370,0.95784573,0.56792547
-5.29164582,1.48695771,0.00199355,0.08770945,0.00277602,0.50360589,0.91939028,0.54988829
-5.28564282,1.43302868,0.00178852,0.08300688,0.00264305,0.48514831,0.88184350,0.53222595
-5.27963982,1.38100594,0.00160102,0.07864097,0.00254121,0.46745121,0.84550021,0.51497523
-5.27363682,1.33114506,0.00143123,0.07463867,0.00247346,0.45061832,0.81069926,0.49816986
-5.26763382,1.28371781,0.00127924,0.07103590,0.00244300,0.43475719,0.77781690,0.48184209
-5.26163082,1.23901247,0.00114502,0.06787656,0.00245336,0.41997962,0.74725912,0.46602452
-5.25562781,1.19733452,0.00102856,0.06521133,0.00250841,0.40640197,0.71945358,0.45075232
