energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.61327123,-1.61326907,1.68378695,-1.68378416,0.47471097,-0.47470968,0.23290344,-0.23290388,0.10423399,-0.10423405,0.00118214,-0.00118214,0.60044804,-0.60044685,0.01150828,-0.01150833,0.29736280,-0.29736277
-5.99399700,1.62362669,-1.62362447,1.69692415,-1.69692148,0.48583476,-0.48583348,0.22223310,-0.22223351,0.10162657,-0.10162659,0.00105981,-0.00105981,0.61585538,-0.61585423,0.01065036,-0.01065041,0.29072718,-0.29072709
-5.98799400,1.63616399,-1.63616174,1.70851636,-1.70851382,0.49707137,-0.49707011,0.21216376,-0.21216413,0.10002233,-0.10002231,0.00094932,-0.00094932,0.63101635,-0.63101526,0.00987862,-0.00987867,0.28528478,-0.28528464
-5.98199100,1.65091257,-1.65091031,1.71887376,-1.71887137,0.50834851,-0.50834728,0.20278781,-0.20278814,0.09941226,-0.09941220,0.00085099,-0.00085100,0.64593763,-0.64593660,0.00919465,-0.00919469,0.28103555,-0.28103536
-5.97598799,1.66800838,-1.66800612,1.72842191,-1.72841967,0.51963421,-0.51963300,0.19420044,-0.19420073,0.09979447,-0.09979438,0.00076517,-0.00076517,0.66067211,-0.66067114,0.00859948,-0.00859952,0.27799680,-0.27799657
-5.96998499,1.68768745,-1.68768519,1.73769367,-1.73769155,0.53093831,-0.53093715,0.18649491,-0.18649516,0.10117292,-0.10117280,0.00069218,-0.00069218,0.67531989,-0.67531899,0.00809346,-0.00809350,0.27619840,-0.27619813
-5.96398199,1.71027523,-1.71027296,1.74731685,-1.74731484,0.54231236,-0.54231123,0.17975802,-0.17975822,0.10355579,-0.10355563,0.00063239,-0.00063239,0.69002730,-0.69002644,0.00767614,-0.00767617,0.27567742,-0.27567711
-5.95797899,1.73617136,-1.73616904,1.75799754,-1.75799559,0.55384743,-0.55384632,0.17406590,-0.17406605,0.10695363,-0.10695344,0.00058621,-0.00058621,0.70498340,-0.70498258,0.00734618,-0.00734620,0.27647254,-0.27647220
-5.95197599,1.76583020,-1.76582782,1.77049897,-1.77049704,0.56566997,-0.56566887,0.16948041,-0.16948051,0.11137734,-0.11137713,0.00055410,-0.00055410,0.72041414,-0.72041334,0.00710128,-0.00710130,0.27861835,-0.27861798
-5.94597299,1.79973736,-1.79973488,1.78561628,-1.78561432,0.57793558,-0.57793447,0.16604609,-0.16604615,0.11683608,-0.11683584,0.00053658,-0.00053658,0.73657385,-0.73657304,0.00693821,-0.00693822,0.28213995,-0.28213955
-5.93996998,1.83838282,-1.83838018,1.80414752,-1.80414547,0.59082072,-0.59081958,0.16378797,-0.16378798,0.12333520,-0.12333493,0.00053423,-0.00053424,0.75373433,-0.75373349,0.00685278,-0.00685279,0.28704794,-0.28704752
-5.93396698,1.88223140,-1.88222858,1.82686178,-1.82685959,0.60451271,-0.60451152,0.16271004,-0.16271001,0.13087428,-0.13087398,0.00054770,-0.00054770,0.77217184,-0.77217094,0.00683991,-0.00683992,0.29333423,-0.29333378
-5.92796398,1.93169179,-1.93168873,1.85446531,-1.85446291,0.61919831,-0.61919705,0.16279472,-0.16279465,0.13944541,-0.13944508,0.00057767,-0.00057767,0.79215228,-0.79215129,0.00689371,-0.00689371,0.30096860,-0.30096813
