energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,4.43312011,0.10570726,0.45378521,1.89583671,0.70107379,0.55444316,0.92490138,1.83990496,0.00000000
-5.99399700,4.33266247,0.10576265,0.44097734,1.80271470,0.69660812,0.53346993,0.91583833,1.79289932,0.00000000
-5.98799400,4.21240090,0.10523494,0.42624046,1.70309209,0.68851016,0.51035522,0.90219346,1.73790395,0.00000000
-5.98199100,4.07415021,0.10412727,0.40980840,1.59866041,0.67687893,0.48547805,0.88412050,1.67575954,0.00000000
-5.97598799,3.91994142,0.10245226,0.39193163,1.49110018,0.66186942,0.45922745,0.86184320,1.60738657,0.00000000
-5.96998499,3.75197186,0.10023190,0.37287114,1.38203807,0.64368990,0.43199259,0.83564987,1.53376212,0.00000000
-5.96398199,3.57255553,0.09749719,0.35289265,1.27300954,0.62259805,0.40415391,0.80588673,1.45589740,0.00000000
-5.95797899,3.38407484,0.09428751,0.33226127,1.16542816,0.59889613,0.37607540,0.77294992,1.37481638,0.00000000
-5.95197599,3.18893496,0.09064980,0.31123674,1.06056213,0.57292516,0.34809824,0.73727672,1.29153620,0.00000000
-5.94597299,2.98952160,0.08663744,0.29006934,0.95951849,0.54505836,0.32053598,0.69933580,1.20704954,0.00000000
-5.93996998,2.78816302,0.08230901,0.26899653,0.86323474,0.51569404,0.29367113,0.65961705,1.12230939,0.00000000
-5.93396698,2.58709665,0.07772688,0.24824028,0.77247755,0.48524816,0.26775325,0.61862110,1.03821625,0.00000000
-5.92796398,2.38844094,0.07295575,0.22800522,0.68784788,0.45414678,0.24299844,0.57684888,0.95560792,0.00000000
-5.92196098,2.19417259,0.06806108,0.20847736,0.60979147,0.42281878,0.21958996,0.53479151,0.87525182,0.00000000
-5.91595798,2.00610930,0.06310760,0.18982362,0.53861369,0.39168900,0.19767996,0.49292090,0.79783991,0.00000000
-5.90995498,1.82589812,0.05815790,0.17219185,0.47449765,0.36117210,0.17739209,0.45168120,0.72398595,0.00000000
-5.90395198,1.65500922,0.05327111,0.15571136,0.41752427,0.33166730,0.15882473,0.41148157,0.65422510,0.00000000
-5.89794897,1.49473483,0.04850177,0.14049401,0.36769337,0.30355427,0.14205471,0.37269022,0.58901555,0.00000000
-5.89194597,1.34619308,0.04389888,0.12663548,0.32494453,0.27719007,0.12714126,0.33563017,0.52874201,0.00000000
-5.88594297,1.21033606,0.03950525,0.11421693,0.28917704,0.25290741,0.11413008,0.30057653,0.47372083,0.00000000
-5.87993997,1.08796154,0.03535697,0.10330675,0.26026791,0.23101395,0.10305729,0.26775555,0.42420632,0.00000000
-5.87393697,0.97972755,0.03148324,0.09396234,0.23808758,0.21179268,0.09395309,0.23734523,0.38039804,0.00000000
-5.86793397,0.88616895,0.02790629,0.08623189,0.22251257,0.19550316,0.08684514,0.20947744,0.34244875,0.00000000
-5.86193097,0.80771493,0.02464167,0.08015596,0.21343507,0.18238336,0.08176132,0.18424140,0.31047247,0.00000000
-5.85592796,0.74470665,0.02169850,0.07576880,0.21076910,0.17265186,0.07873189,0.16168816,0.28455244,0.00000000
-5.84992496,0.69741376,0.01908009,0.07309941,0.21445329,0.16651005,0.07779106,0.14183597,0.26474860,0.00000000
-5.84392196,0.66604916,0.01678445,0.07217213,0.22445051,0.16414418,0.07897772,0.12467614,0.25110412,0.00000000
-5.83791896,0.65078090,0.01480502,0.07300687,0.24074443,0.16572685,0.08233546,0.11017913,0.24365088,0.00000000
-5.83191596,0.65174082,0.01313132,0.07561875,0.26333352,0.17141767,0.08791177,0.09830057,0.24241348,0.00000000
-5.82591296,0.66902920,0.01174969,0.08001746,0.29222292,0.18136310,0.09575659,0.08898696,0.24741176,0.00000000
-5.81990995,0.70271546,0.01064386,0.08620605,0.32741467,0.19569518,0.10592012,0.08218080,0.25866164,0.00000000
-5.81390695,0.75283468,0.00979565,0.09417942,0.36889705,0.21452912,0.11845000,0.07782487,0.27617428,0.00000000
-5.80790395,0.81938040,0.00918541,0.10392260,0.41663357,0.23795994,0.13338814,0.07586570,0.29995380,0.00000000
-5.80190095,0.90229418,0.00879258,0.11540877,0.47055240,0.26605819,0.15076712,0.07625584,0.32999347,0.00000000
-5.79589795,1.00145256,0.00859598,0.12859738,0.53053678,0.29886494,0.17060641,0.07895522,0.36627086,0.00000000
-5.78989495,1.11665257,0.00857423,0.14343238,0.59641729,0.33638641,0.19290873,0.08393124,0.40874214,0.00000000
-5.78389195,1.24759665,0.00870593,0.15984071,0.66796625,0.37858858,0.21765643,0.09115795,0.45733596,0.00000000
-5.77788894,1.39387818,0.00896997,0.17773130,0.74489487,0.42539210,0.24480838,0.10061417,0.51194719,0.00000000
-5.77188594,1.55496881,0.00934564,0.19699464,0.82685348,0.47666790,0.27429737,0.11228089,0.57243104,0.00000000
-5.76588294,1.73020845,0.00981287,0.21750296,0.91343476,0.53223386,0.30602814,0.12613793,0.63859785,0.00000000
-5.75987994,1.91879898,0.01035239,0.23911134,1.00418018,0.59185296,0.33987631,0.14216018,0.71020882,0.00000000
-5.75387694,2.11980218,0.01094591,0.26165939,1.09858908,0.65523307,0.37568806,0.16031357,0.78697308,0.00000000
-5.74787394,2.33214240,0.01157634,0.28497392,1.19613013,0.72202850,0.41328084,0.18055102,0.86854611,0.00000000
-5.74187094,2.55461401,0.01222801,0.30887213,1.29625440,0.79184362,0.45244481,0.20280854,0.95452973,0.00000000
-5.73586793,2.78589347,0.01288692,0.33316550,1.39840919,0.86423829,0.49294520,0.22700172,1.04447351,0.00000000
-5.72986493,3.02455541,0.01354102,0.35766406,1.50205183,0.93873498,0.53452522,0.25302285,1.13787764,0.00000000
-5.72386193,3.26909213,0.01418044,0.38218088,1.60666231,1.01482751,0.57690958,0.28073869,1.23419697,0.00000000
-5.71785893,3.51793547,0.01479783,0.40653655,1.71175389,1.09199082,0.61980835,0.30998920,1.33284610,0.00000000
-5.71185593,3.76947990,0.01538856,0.43056347,1.81688087,1.16969152,0.66292093,0.34058720,1.43320508,0.00000000
-5.70585293,4.02210589,0.01595094,0.45410961,1.92164273,1.24739866,0.70594001,0.37231905,1.53462569,0.00000000
-5.69984992,4.27420221,0.01648644,0.47704161,2.02568427,1.32459435,0.74855540,0.40494642,1.63643784,0.00000000
-5.69384692,4.52418647,0.01699975,0.49924706,2.12869155,1.40078363,0.79045753,0.43820901,1.73795595,0.00000000
-5.68784392,4.77052300,0.01749881,0.52063570,2.23038379,1.47550335,0.83134048,0.47182828,1.83848532,0.00000000
-5.68184092,5.01173769,0.01799479,0.54113962,2.33050170,1.54832952,0.87090480,0.50551202,1.93732826,0.00000000
-5.67583792,5.24642957,0.01850187,0.56071233,2.42879302,1.61888316,0.90885976,0.53895966,2.03379011,0.00000000
-5.66983492,5.47327949,0.01903699,0.57932683,2.52499641,1.68683422,0.94492552,0.57186814,2.12718539,0.00000000
-5.66383192,5.69105617,0.01961948,0.59697272,2.61882484,1.75190386,0.97883495,0.60393821,2.21684416,0.00000000
-5.65782891,5.89862052,0.02027053,0.61365259,2.70995009,1.81386498,1.01033571,0.63488107,2.30211891,0.00000000
-5.65182591,6.09492911,0.02101268,0.62937790,2.79798963,1.87254132,1.03919230,0.66442496,2.38239227,0.00000000
