energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,0.42963227,0.00232259,0.07249158,0.00021051,0.05806936,0.02821449,0.00394046,0.12848501
-5.99399700,0.39565992,0.00232663,0.06707163,0.00023903,0.05318987,0.02951656,0.00381579,0.11878610
-5.98799400,0.36712114,0.00235820,0.06256509,0.00026972,0.04904748,0.03113830,0.00373902,0.11070788
-5.98199100,0.34384653,0.00241594,0.05894260,0.00030239,0.04562010,0.03305940,0.00370811,0.10419837
-5.97598799,0.32556122,0.00249785,0.05615687,0.00033678,0.04287154,0.03525117,0.00371998,0.09917388
-5.96998499,0.31190037,0.00260139,0.05414526,0.00037255,0.04075358,0.03767701,0.00377062,0.09552353
-5.96398199,0.30242538,0.00272352,0.05283248,0.00040929,0.03920827,0.04029299,0.00385522,0.09311406
-5.95797899,0.29664043,0.00286083,0.05213335,0.00044656,0.03817015,0.04304871,0.00396833,0.09179473
-5.95197599,0.29400913,0.00300961,0.05195563,0.00048385,0.03756850,0.04588840,0.00410395,0.09140232
-5.94597299,0.29397066,0.00316602,0.05220272,0.00052059,0.03732954,0.04875213,0.00425577,0.09176595
-5.93996998,0.29595553,0.00332623,0.05277646,0.00055623,0.03737854,0.05157734,0.00441729,0.09271183
-5.93396698,0.29940049,0.00348660,0.05357960,0.00059019,0.03764175,0.05430042,0.00458205,0.09406783
-5.92796398,0.30376266,0.00364386,0.05451835,0.00062190,0.03804831,0.05685840,0.00474372,0.09566775
-5.92196098,0.30853255,0.00379534,0.05550465,0.00065084,0.03853196,0.05919075,0.00489638,0.09735533
-5.91595798,0.31324611,0.00393921,0.05645830,0.00067654,0.03903259,0.06124110,0.00503464,0.09898796
-5.90995498,0.31749549,0.00407478,0.05730892,0.00069863,0.03949769,0.06295895,0.00515380,0.10043995
-5.90395198,0.32093870,0.00420278,0.05799767,0.00071685,0.03988361,0.06430121,0.00525004,0.10160555
-5.89794897,0.32330785,0.00432569,0.05847877,0.00073107,0.04015667,0.06523349,0.00532056,0.10240142
-5.89194597,0.32441622,0.00444815,0.05872081,0.00074133,0.04029414,0.06573128,0.00536372,0.10276878
-5.88594297,0.32416404,0.00457737,0.05870784,0.00074786,0.04028509,0.06578061,0.00537910,0.10267511
-5.87993997,0.32254302,0.00472361,0.05844020,0.00075110,0.04013106,0.06537863,0.00536768,0.10211544
-5.87393697,0.31963977,0.00490068,0.05793522,0.00075172,0.03984670,0.06453362,0.00533187,0.10111326
-5.86793397,0.31563831,0.00512659,0.05722769,0.00075066,0.03946023,0.06326479,0.00527561,0.09972106
-5.86193097,0.31082159,0.00542408,0.05637019,0.00074913,0.03901391,0.06160173,0.00520439,0.09802060
-5.85592796,0.30557244,0.00582141,0.05543331,0.00074864,0.03856434,0.05958350,0.00512531,0.09612294
-5.84992496,0.30037385,0.00635302,0.05450576,0.00075104,0.03818285,0.05725759,0.00504713,0.09416817
-5.84392196,0.29580897,0.00706033,0.05369438,0.00075850,0.03795573,0.05467860,0.00498025,0.09232514
-5.83791896,0.29256054,0.00799244,0.05312411,0.00077355,0.03798448,0.05190683,0.00493678,0.09079091
-5.83191596,0.29140999,0.00920691,0.05293784,0.00079910,0.03838597,0.04900685,0.00493049,0.08979018
-5.82591296,0.29323597,0.01077036,0.05329618,0.00083844,0.03929251,0.04604602,0.00497686,0.08957455
-5.81990995,0.29901199,0.01275898,0.05437709,0.00089527,0.04085177,0.04309316,0.00509304,0.09042155
-5.81390695,0.30980281,0.01525888,0.05637523,0.00097366,0.04322638,0.04021729,0.00529777,0.09263338
-5.80790395,0.32675909,0.01836610,0.05950102,0.00107808,0.04659334,0.03748655,0.00561137,0.09653526
-5.80190095,0.35110956,0.02218632,0.06397924,0.00121333,0.05114285,0.03496735,0.00605556,0.10247313
-5.79589795,0.38415014,0.02683413,0.07004706,0.00138454,0.05707669,0.03272364,0.00665331,0.11081060
-5.78989495,0.42722910,0.03243180,0.07795138,0.00159711,0.06460577,0.03081648,0.00742857,0.12192487
-5.78389195,0.48172767,0.03910745,0.08794527,0.00185657,0.07394708,0.02930368,0.00840597,0.13620155
-5.77788894,0.54903550,0.04699267,0.10028352,0.00216855,0.08531953,0.02823973,0.00961034,0.15402801
-5.77188594,0.63052045,0.05621937,0.11521714,0.00253857,0.09893903,0.02767570,0.01106621,0.17578539
-5.76588294,0.72749275,0.06691606,0.13298682,0.00297195,0.11501245,0.02765936,0.01279716,0.20183898
-5.75987994,0.84116346,0.07920350,0.15381532,0.00347357,0.13373075,0.02823524,0.01482509,0.23252724
-5.75387694,0.97259816,0.09318979,0.17789905,0.00404768,0.15526124,0.02944478,0.01716935,0.26814937
-5.74787394,1.12266661,0.10896506,0.20539879,0.00469768,0.17973922,0.03132636,0.01984588,0.30895193
-5.74187094,1.29199015,0.12659589,0.23643012,0.00542591,0.20725920,0.03391536,0.02286618,0.35511479
-5.73586793,1.48088864,0.14611976,0.27105367,0.00623335,0.23786614,0.03724413,0.02623642,0.40673692
-5.72986493,1.68932942,0.16753964,0.30926574,0.00711947,0.27154698,0.04134183,0.02995643,0.46382274
-5.72386193,1.91688088,0.19081917,0.35098975,0.00808201,0.30822293,0.04623430,0.03401885,0.52626968
-5.71785893,2.16267360,0.21587862,0.39606911,0.00911677,0.34774309,0.05194374,0.03840841,0.59385772
-5.71185593,2.42537183,0.24259187,0.44426188,0.01021757,0.38987971,0.05848842,0.04310136,0.66624174
-5.70585293,2.70315814,0.27078489,0.49523788,0.01137613,0.43432573,0.06588234,0.04806514,0.74294735
-5.69984992,2.99373351,0.30023578,0.54857858,0.01258211,0.48069480,0.07413481,0.05325834,0.82337088
-5.69384692,3.29433471,0.33067655,0.60378016,0.01382322,0.52852417,0.08325007,0.05863096,0.90678395
-5.68784392,3.60177008,0.36179692,0.66025994,0.01508534,0.57728068,0.09322689,0.06412500,0.99234307
-5.68184092,3.91247389,0.39324992,0.71736611,0.01635286,0.62636980,0.10405811,0.06967541,1.07910406
-5.67583792,4.22257848,0.42465935,0.77439081,0.01760892,0.67514756,0.11573024,0.07521135,1.16604134
-5.66983492,4.52800248,0.45562889,0.83058610,0.01883590,0.72293527,0.12822298,0.08065775,1.25207146
-5.66383192,4.82455228,0.48575251,0.88518240,0.02001583,0.76903635,0.14150870,0.08593715,1.33608009
-5.65782891,5.10803305,0.51462583,0.93740863,0.02113093,0.81275483,0.15555185,0.09097172,1.41695160
-5.65182591,5.37436504,0.54185791,0.98651343,0.02216413,0.85341472,0.17030836,0.09568538,1.49359987
-5.64582291,5.61970015,0.56708309,1.03178641,0.02309960,0.89037955,0.18572486,0.10000595,1.56499923
-5.63981991,5.84053374,0.58997219,1.07257858,0.02392323,0.92307106,0.20173789,0.10386728,1.63021382
-5.63381691,6.03380655,0.61024257,1.10832110,0.02462314,0.95098644,0.21827308,0.10721117,1.68842442
-5.62781391,6.19699224,0.62766670,1.13854137,0.02519005,0.97371317,0.23524424,0.10998908,1.73895114
-5.62181091,6.32816644,0.64207860,1.16287590,0.02561757,0.99094085,0.25255261,0.11216352,1.78127112
-5.61580790,6.42605431,0.65337809,1.18107928,0.02590243,1.00246959,0.27008615,0.11370906,1.81503045
-5.60980490,6.49005485,0.66153242,1.19302904,0.02604457,1.00821448,0.28771912,0.11461292,1.84004975
-5.60380190,6.52024110,0.66657543,1.19872609,0.02604715,1.00820611,0.30531199,0.11487515,1.85632330
-5.59779890,6.51733707,0.66860424,1.19829108,0.02591640,1.00258725,0.32271173,0.11450837,1.86401205
-5.59179590,6.48267320,0.66777361,1.19195681,0.02566140,0.99160577,0.33975276,0.11353709,1.86343092
-5.58579290,6.41812321,0.66428855,1.18005733,0.02529382,0.97560452,0.35625839,0.11199672,1.85503137
-5.57978989,6.32602634,0.65839537,1.16301434,0.02482746,0.95500853,0.37204307,0.10993223,1.83938026
-5.57378689,6.20909924,0.65037180,1.14132170,0.02427788,0.93031036,0.38691528,0.10739662,1.81713631
-5.56778389,6.07034235,0.64051679,1.11552891,0.02366191,0.90205425,0.40068114,0.10444927,1.78902542
-5.56178089,5.91294532,0.62914039,1.08622427,0.02299717,0.87081998,0.41314863,0.10115421,1.75581624
-5.55577789,5.74019604,0.61655429,1.05401860,0.02230166,0.83720693,0.42413240,0.09757835,1.71829707
-5.54977489,5.55539677,0.60306349,1.01953017,0.02159327,0.80181911,0.43345886,0.09378995,1.67725526
-5.54377189,5.36179069,0.58895938,0.98337123,0.02088946,0.76525170,0.44097147,0.08985703,1.63345968
-5.53776888,5.16250057,0.57451447,0.94613666,0.02020689,0.72807930,0.44653601,0.08584615,1.58764706
-5.53176588,4.96048096,0.55997893,0.90839478,0.01956120,0.69084630,0.45004553,0.08182125,1.54051209
-5.52576288,4.75848373,0.54557883,0.87068043,0.01896678,0.65405930,0.45142475,0.07784279,1.49270144
-5.51975988,4.55903625,0.53151596,0.83349014,0.01843667,0.61818165,0.45063364,0.07396705,1.44481125
-5.51375688,4.36443082,0.51796913,0.79727915,0.01798245,0.58362978,0.44767013,0.07024567,1.39738755
-5.50775388,4.17672296,0.50509636,0.76245989,0.01761422,0.55077131,0.44257156,0.06672531,1.35092890
-5.50175088,3.99773654,0.49303783,0.72940159,0.01734064,0.51992436,0.43541486,0.06344746,1.30589044
-5.49574787,3.82907294,0.48191906,0.69843062,0.01716888,0.49135796,0.42631548,0.06044834,1.26268848
-5.48974487,3.67212195,0.47185394,0.66983114,0.01710471,0.46529315,0.41542489,0.05775886,1.22170485
-5.48374187,3.52807242,0.46294726,0.64384575,0.01715253,0.44190446,0.40292692,0.05540466,1.18329036
-5.47773887,3.39792075,0.45529651,0.62067597,0.01731538,0.42132167,0.38903295,0.05340612,1.14776672
-5.47173587,3.28247627,0.44899253,0.60048232,0.01759497,0.40363156,0.37397611,0.05177835,1.11542663
-5.46573287,3.18236286,0.44411914,0.58338402,0.01799163,0.38887956,0.35800489,0.05053126,1.08653187
-5.45972986,3.09801680,0.44075148,0.56945825,0.01850436,0.37707145,0.34137619,0.04966953,1.06130939
