energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,4.11835724,1.69720908,1.10238808,0.02069617,0.47595855,0.24996575,0.33804997,0.09702617,1.76220018
-5.99399700,4.24141513,1.70551012,1.12734275,0.02049792,0.48377238,0.25515956,0.35691733,0.10031317,1.81801344
-5.98799400,4.36338828,1.71646505,1.15308251,0.02026940,0.49260016,0.26070830,0.37531654,0.10347682,1.87309451
-5.98199100,4.48176976,1.72949272,1.17885769,0.02000886,0.50222686,0.26649826,0.39301751,0.10645224,1.92633839
-5.97598799,4.59427816,1.74409782,1.20397247,0.01971608,0.51245438,0.27242278,0.40981381,0.10918072,1.97674171
-5.96998499,4.69894304,1.75989843,1.22780817,0.01939250,0.52310967,0.27838682,0.42552963,0.11161191,2.02344097
-5.96398199,4.79417637,1.77664780,1.24984275,0.01904125,0.53405156,0.28431090,0.44002564,0.11370571,2.06574449
-5.95797899,4.87882638,1.79424924,1.26966533,0.01866706,0.54517583,0.29013411,0.45320349,0.11543362,2.10315651
-5.95197599,4.95221099,1.81276312,1.28698540,0.01827606,0.55641839,0.29581622,0.46500858,0.11677955,2.13539199
-5.94597299,5.01412936,1.83240553,1.30163624,0.01787556,0.56775631,0.30133858,0.47543092,0.11774012,2.16238149
-5.93996998,5.06485069,1.85353843,1.31357261,0.01747373,0.57920671,0.30670392,0.48450408,0.11832422,2.18426582
-5.93396698,5.10508096,1.87665168,1.32286296,0.01707918,0.59082355,0.31193490,0.49230209,0.11855219,2.20138062
-5.92796398,5.13590925,1.90233750,1.32967657,0.01670064,0.60269235,0.31707157,0.49893450,0.11845430,2.21423169
-5.92196098,5.15873653,1.93125857,1.33426656,0.01634648,0.61492325,0.32216791,0.50453977,0.11806893,2.22346236
-5.91595798,5.17519037,1.96411105,1.33694955,0.01602434,0.62764256,0.32728748,0.50927732,0.11744031,2.22981456
-5.90995498,5.18703025,2.00158429,1.33808316,0.01574074,0.64098331,0.33249862,0.51331868,0.11661611,2.23408569
-5.90395198,5.19604820,2.04431883,1.33804266,0.01550079,0.65507516,0.33786929,0.51683804,0.11564493,2.23708338
-5.89794897,5.20396992,2.09286485,1.33719770,0.01530793,0.67003428,0.34346191,0.52000289,0.11457383,2.23958082
-5.89194597,5.21236144,2.14764270,1.33589060,0.01516370,0.68595347,0.34932846,0.52296509,0.11344605,2.24227457
-5.88594297,5.22254588,2.20890757,1.33441705,0.01506772,0.70289319,0.35550623,0.52585279,0.11229903,2.24574742
-5.87993997,5.23553453,2.27671961,1.33301026,0.01501764,0.72087384,0.36201420,0.52876386,0.11116281,2.25043782
-5.87393697,5.25197530,2.35092120,1.33182908,0.01500921,0.73986962,0.36885056,0.53176084,0.11005891,2.25661759
-5.86793397,5.27212092,2.43112213,1.33095076,0.01503649,0.75980436,0.37599130,0.53486788,0.10899972,2.26437887
-5.86193097,5.29581796,2.51669359,1.33036837,0.01509204,0.78054938,0.38339003,0.53806975,0.10798837,2.27363071
-5.85592796,5.32251676,2.60677127,1.32999292,0.01516724,0.80192369,0.39097908,0.54131290,0.10701918,2.28410547
-5.84992496,5.35130127,2.70026750,1.32965988,0.01525262,0.82369632,0.39867172,0.54450846,0.10607852,2.29537426
-5.84392196,5.38093667,2.79589205,1.32913957,0.01533823,0.84559090,0.40636557,0.54753716,0.10514604,2.30687059
-5.83791896,5.40993207,2.89218095,1.32815076,0.01541405,0.86729214,0.41394682,0.55025566,0.10419630,2.31792081
-5.83191596,5.43661476,2.98753221,1.32637675,0.01547031,0.88845417,0.42129523,0.55250409,0.10320050,2.32777951
-5.82591296,5.45921205,3.08024725,1.32348292,0.01549788,0.90871021,0.42828949,0.55411438,0.10212842,2.33566817
-5.81990995,5.47593673,3.16857669,1.31913498,0.01548859,0.92768345,0.43481283,0.55491887,0.10095023,2.34081487
-5.81390695,5.48507205,3.25076881,1.31301705,0.01543548,0.94499855,0.44075846,0.55475897,0.09963830,2.34249331
-5.80790395,5.48505233,3.32511926,1.30484858,0.01533300,0.96029352,0.44603469,0.55349322,0.09816881,2.34005915
-5.80190095,5.47453590,3.39002026,1.29439972,0.01517718,0.97323154,0.45056934,0.55100463,0.09652303,2.33298211
-5.79589795,5.45246738,3.44400801,1.28150426,0.01496568,0.98351224,0.45431337,0.54720680,0.09468835,2.32087248
-5.78989495,5.41812719,3.48580649,1.26606982,0.01469784,0.99088222,0.45724340,0.54204874,0.09265895,2.30350105
-5.78389195,5.37116662,3.51436675,1.24808509,0.01437460,0.99514437,0.45936314,0.53551810,0.09043612,2.28081172
-5.77788894,5.31162759,3.52890026,1.22762376,0.01399843,0.99616570,0.46070351,0.52764288,0.08802819,2.25292659
-5.77188594,5.23994707,3.52890555,1.20484527,0.01357314,0.99388351,0.46132157,0.51849134,0.08545021,2.22014356
-5.76588294,5.15694640,3.51418721,1.17999249,0.01310377,0.98830956,0.46129814,0.50817053,0.08272328,2.18292667
-5.75987994,5.06380659,3.48486699,1.15338636,0.01259632,0.97953217,0.46073441,0.49682315,0.07987364,2.14189011
-5.75387694,4.96203097,3.44138645,1.12541797,0.01205758,0.96771616,0.45974745,0.48462318,0.07693166,2.09777637
-5.74787394,4.85339703,3.38450122,1.09653833,0.01149487,0.95310053,0.45846501,0.47177042,0.07393062,2.05143001
-5.74187094,4.73989947,3.31526707,1.06724614,0.01091587,0.93599400,0.45701977,0.45848399,0.07090546,2.00376780
