energy_ev,total_up,B_p_up,B_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,1.17798811,0.18222579,0.00000000,0.32619785,0.47963911,0.43912537,0.00000000
-5.99399700,1.23717488,0.19205333,0.00000000,0.34003539,0.50654744,0.46434274,0.00000000
-5.98799400,1.29736854,0.20227426,0.00000000,0.35381105,0.53368189,0.49034286,0.00000000
-5.98199100,1.35770019,0.21287928,0.00000000,0.36736739,0.56088923,0.51657318,0.00000000
-5.97598799,1.41729309,0.22385459,0.00000000,0.38055300,0.58801032,0.54246754,0.00000000
-5.96998499,1.47527634,0.23517865,0.00000000,0.39322352,0.61487792,0.56745983,0.00000000
-5.96398199,1.53079856,0.24681872,0.00000000,0.40524211,0.64131448,0.59099821,0.00000000
-5.95797899,1.58304153,0.25872764,0.00000000,0.41647976,0.66713016,0.61255956,0.00000000
-5.95197599,1.63123377,0.27084089,0.00000000,0.42681544,0.69212141,0.63166381,0.00000000
-5.94597299,1.67466408,0.28307443,0.00000000,0.43613619,0.71607048,0.64788751,0.00000000
-5.93996998,1.71269482,0.29532337,0.00000000,0.44433743,0.73874616,0.66087642,0.00000000
-5.93396698,1.74477496,0.30746184,0.00000000,0.45132344,0.75990591,0.67035637,0.00000000
-5.92796398,1.77045248,0.31934405,0.00000000,0.45700825,0.77929960,0.67614217,0.00000000
-5.92196098,1.78938600,0.33080682,0.00000000,0.46131688,0.79667479,0.67814407,0.00000000
-5.91595798,1.80135516,0.34167333,0.00000000,0.46418693,0.81178365,0.67637154,0.00000000
-5.90995498,1.80626950,0.35175822,0.00000000,0.46557061,0.82439108,0.67093408,0.00000000
-5.90395198,1.80417530,0.36087368,0.00000000,0.46543693,0.83428397,0.66203916,0.00000000
-5.89794897,1.79526008,0.36883641,0.00000000,0.46377411,0.84128097,0.64998711,0.00000000
-5.89194597,1.77985425,0.37547500,0.00000000,0.46059190,0.84524239,0.63516322,0.00000000
-5.88594297,1.75842957,0.38063750,0.00000000,0.45592371,0.84607960,0.61802733,0.00000000
-5.87993997,1.73159417,0.38419859,0.00000000,0.44982839,0.84376349,0.59910120,0.00000000
-5.87393697,1.70008377,0.38606611,0.00000000,0.44239131,0.83833117,0.57895407,0.00000000
-5.86793397,1.66474910,0.38618649,0.00000000,0.43372478,0.82989072,0.55818695,0.00000000
-5.86193097,1.62653945,0.38454877,0.00000000,0.42396750,0.81862324,0.53741604,0.00000000
-5.85592796,1.58648252,0.38118689,0.00000000,0.41328301,0.80478210,0.51725589,0.00000000
-5.84992496,1.54566081,0.37618017,0.00000000,0.40185704,0.78868917,0.49830269,0.00000000
-5.84392196,1.50518510,0.36965184,0.00000000,0.38989391,0.77072788,0.48111821,0.00000000
-5.83791896,1.46616546,0.36176556,0.00000000,0.37761176,0.75133338,0.46621483,0.00000000
-5.83191596,1.42968078,0.35272024,0.00000000,0.36523711,0.73098010,0.45404193,0.00000000
-5.82591296,1.39674742,0.34274324,0.00000000,0.35299854,0.71016700,0.44497408,0.00000000
-5.81990995,1.36828829,0.33208227,0.00000000,0.34112012,0.68940127,0.43930126,0.00000000
-5.81390695,1.34510311,0.32099637,0.00000000,0.32981443,0.66918105,0.43722127,0.00000000
-5.80790395,1.32784125,0.30974651,0.00000000,0.31927591,0.64997788,0.43883458,0.00000000
-5.80190095,1.31697806,0.29858596,0.00000000,0.30967444,0.63221976,0.44414169,0.00000000
-5.79589795,1.31279582,0.28775117,0.00000000,0.30114969,0.61627544,0.45304302,0.00000000
-5.78989495,1.31537017,0.27745345,0.00000000,0.29380642,0.60244080,0.46534154,0.00000000
-5.78389195,1.32456288,0.26787166,0.00000000,0.28771097,0.59092778,0.48074780,0.00000000
-5.77788894,1.34002148,0.25914658,0.00000000,0.28288911,0.58185654,0.49888755,0.00000000
-5.77188594,1.36118596,0.25137674,0.00000000,0.27932535,0.57525107,0.51931165,0.00000000
-5.76588294,1.38730269,0.24461628,0.00000000,0.27696381,0.57103860,0.54150802,0.00000000
-5.75987994,1.41744531,0.23887455,0.00000000,0.27571057,0.56905270,0.56491549,0.00000000
-5.75387694,1.45054182,0.23411760,0.00000000,0.27543743,0.56904011,0.58893901,0.00000000
-5.74787394,1.48540719,0.23027144,0.00000000,0.27598695,0.57067087,0.61296593,0.00000000
-5.74187094,1.52078036,0.22722671,0.00000000,0.27717847,0.57355137,0.63638282,0.00000000
-5.73586793,1.55536412,0.22484475,0.00000000,0.27881499,0.57723980,0.65859229,0.00000000
-5.72986493,1.58786662,0.22296453,0.00000000,0.28069048,0.58126321,0.67902942,0.00000000
-5.72386193,1.61704275,0.22141028,0.00000000,0.28259740,0.58513560,0.69717704,0.00000000
-5.71785893,1.64173386,0.21999936,0.00000000,0.28433413,0.58837616,0.71257953,0.00000000
-5.71185593,1.66090432,0.21855004,0.00000000,0.28571193,0.59052695,0.72485464,0.00000000
-5.70585293,1.67367351,0.21688896,0.00000000,0.28656130,0.59116934,0.73370288,0.00000000
-5.69984992,1.67934200,0.21485785,0.00000000,0.28673737,0.58993853,0.73891421,0.00000000
-5.69384692,1.67741112,0.21231930,0.00000000,0.28612432,0.58653556,0.74037188,0.00000000
-5.68784392,1.66759521,0.20916145,0.00000000,0.28463852,0.58073652,0.73805327,0.00000000
-5.68184092,1.64982625,0.20530141,0.00000000,0.28223045,0.57239863,0.73202774,0.00000000
-5.67583792,1.62425095,0.20068736,0.00000000,0.27888542,0.56146298,0.72245178,0.00000000
-5.66983492,1.59122072,0.19529934,0.00000000,0.27462301,0.54795415,0.70956155,0.00000000
-5.66383192,1.55127497,0.18914876,0.00000000,0.26949541,0.53197670,0.69366321,0.00000000
-5.65782891,1.50511894,0.18227681,0.00000000,0.26358485,0.51370896,0.67512154,0.00000000
-5.65182591,1.45359683,0.17475181,0.00000000,0.25700015,0.49339439,0.65434715,0.00000000
-5.64582291,1.39766178,0.16666587,0.00000000,0.24987267,0.47133122,0.63178296,0.00000000
-5.63981991,1.33834376,0.15813079,0.00000000,0.24235178,0.44786062,0.60789023,0.00000000
-5.63381691,1.27671676,0.14927380,0.00000000,0.23460016,0.42335424,0.58313492,0.00000000
-5.62781391,1.21386664,0.14023295,0.00000000,0.22678896,0.39820145,0.55797449,0.00000000
-5.62181091,1.15086055,0.13115263,0.00000000,0.21909309,0.37279702,0.53284582,0.00000000
-5.61580790,1.08871912,0.12217930,0.00000000,0.21168670,0.34752947,0.50815450,0.00000000
-5.60980490,1.02839214,0.11345755,0.00000000,0.20473908,0.32277062,0.48426569,0.00000000
-5.60380190,0.97073824,0.10512658,0.00000000,0.19841091,0.29886668,0.46149690,0.00000000
-5.59779890,0.91650918,0.09731726,0.00000000,0.19285100,0.27613084,0.44011269,0.00000000
-5.59179590,0.86633863,0.09014967,0.00000000,0.18819359,0.25483775,0.42032151,0.00000000
-5.58579290,0.82073566,0.08373119,0.00000000,0.18455608,0.23521965,0.40227445,0.00000000
-5.57978989,0.78008248,0.07815512,0.00000000,0.18203728,0.21746422,0.38606600,0.00000000
-5.57378689,0.74463631,0.07349967,0.00000000,0.18071605,0.20171397,0.37173666,0.00000000
-5.56778389,0.71453463,0.06982737,0.00000000,0.18065041,0.18806688,0.35927710,0.00000000
-5.56178089,0.68980341,0.06718471,0.00000000,0.18187689,0.17657820,0.34863367,0.00000000
-5.55577789,0.67036754,0.06560206,0.00000000,0.18441022,0.16726308,0.33971506,0.00000000
-5.54977489,0.65606281,0.06509368,0.00000000,0.18824320,0.16009978,0.33239967,0.00000000
-5.54377189,0.64664892,0.06565785,0.00000000,0.19334678,0.15503334,0.32654336,0.00000000
-5.53776888,0.64182266,0.06727707,0.00000000,0.19967033,0.15197934,0.32198736,0.00000000
-5.53176588,0.64123093,0.06991841,0.00000000,0.20714201,0.15082781,0.31856585,0.00000000
-5.52576288,0.64448309,0.07353384,0.00000000,0.21566943,0.15144709,0.31611297,0.00000000
-5.51975988,0.65116221,0.07806082,0.00000000,0.22514043,0.15368752,0.31446900,0.00000000
-5.51375688,0.66083513,0.08342301,0.00000000,0.23542420,0.15738516,0.31348539,0.00000000
-5.50775388,0.67306114,0.08953137,0.00000000,0.24637269,0.16236528,0.31302859,0.00000000
-5.50175088,0.68739932,0.09628543,0.00000000,0.25782252,0.16844597,0.31298244,0.00000000
-5.49574787,0.70341465,0.10357517,0.00000000,0.26959727,0.17544176,0.31324926,0.00000000
-5.48974487,0.72068303,0.11128326,0.00000000,0.28151039,0.18316731,0.31374948,0.00000000
-5.48374187,0.73879557,0.11928774,0.00000000,0.29336862,0.19144141,0.31442014,0.00000000
-5.47773887,0.75736227,0.12746532,0.00000000,0.30497604,0.20009108,0.31521238,0.00000000
-5.47173587,0.77601556,0.13569499,0.00000000,0.31613864,0.20895602,0.31608806,0.00000000
-5.46573287,0.79441383,0.14386208,0.00000000,0.32666933,0.21789317,0.31701597,0.00000000
-5.45972986,0.81224511,0.15186251,0.00000000,0.33639341,0.22678143,0.31796788,0.00000000
-5.45372686,0.82923127,0.15960715,0.00000000,0.34515412,0.23552630,0.31891472,0.00000000
-5.44772386,0.84513243,0.16702608,0.00000000,0.35281820,0.24406434,0.31982314,0.00000000
-5.44172086,0.85975184,0.17407251,0.00000000,0.35928130,0.25236719,0.32065294,0.00000000
