energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.15023072,0.02932068,0.06769532,0.95090758,0.37114107,1.51624216,0.00000000,0.82575834,0.52703229
-5.99399700,2.17587382,0.03053030,0.06728349,0.96450432,0.37331435,1.53632485,0.00000000,0.84225411,0.53549762
-5.98799400,2.19980620,0.03178496,0.06682452,0.97736244,0.37499703,1.55490265,0.00000000,0.85775099,0.54352662
-5.98199100,2.22075776,0.03305194,0.06629026,0.98892095,0.37602883,1.57109610,0.00000000,0.87168947,0.55077989
-5.97598799,2.23746890,0.03429769,0.06565392,0.99861814,0.37625169,1.58403295,0.00000000,0.88351961,0.55692055
-5.96998499,2.24872648,0.03548869,0.06489075,1.00590743,0.37551458,1.59287370,0.00000000,0.89271703,0.56162438
-5.96398199,2.25340125,0.03659230,0.06397869,1.01027413,0.37367868,1.59683815,0.00000000,0.89879912,0.56459009
-5.95797899,2.25048493,0.03757754,0.06289911,1.01125267,0.37062255,1.59523183,0.00000000,0.90134083,0.56554936
-5.95197599,2.23912537,0.03841601,0.06163736,1.00844310,0.36624712,1.58747092,0.00000000,0.89998927,0.56427613
-5.94597299,2.21865784,0.03908258,0.06018344,1.00152633,0.36048013,1.57310445,0.00000000,0.89447636,0.56059474
-5.93996998,2.18863081,0.03955617,0.05853231,0.99027704,0.35327981,1.55183258,0.00000000,0.88462891,0.55438660
-5.93396698,2.14882481,0.03982028,0.05668427,0.97457366,0.34463745,1.52351988,0.00000000,0.87037551,0.54559485
-5.92796398,2.09926329,0.03986347,0.05464498,0.95440483,0.33457891,1.48820285,0.00000000,0.85174992,0.53422701
-5.92196098,2.04021467,0.03967970,0.05242540,0.92987190,0.32316467,1.44609123,0.00000000,0.82889071,0.52035533
-5.91595798,1.97218551,0.03926839,0.05004145,0.90118730,0.31048856,1.39756293,0.00000000,0.80203709,0.50411474
-5.90995498,1.89590499,0.03863447,0.04751353,0.86866889,0.29667529,1.34315275,0.00000000,0.77152115,0.48569874
-5.90395198,1.81230138,0.03778810,0.04486589,0.83273040,0.28187661,1.28353543,0.00000000,0.73775689,0.46535317
-5.89794897,1.72247167,0.03674436,0.04212581,0.79386853,0.26626663,1.21950386,0.00000000,0.70122655,0.44336826
-5.89194597,1.62764583,0.03552269,0.03932269,0.75264728,0.25003629,1.15194352,0.00000000,0.66246483,0.42006933
-5.88594297,1.52914727,0.03414623,0.03648718,0.70968019,0.23338734,1.08180423,0.00000000,0.62204183,0.39580659
-5.87993997,1.42835148,0.03264114,0.03365015,0.66561140,0.21652615,1.01007066,0.00000000,0.58054543,0.37094438
-5.87393697,1.32664453,0.03103569,0.03084185,0.62109628,0.19965758,0.93773282,0.00000000,0.53856386,0.34585042
-5.86793397,1.22538325,0.02935948,0.02809103,0.57678237,0.18297923,0.86575778,0.00000000,0.49666920,0.32088540
-5.86193097,1.12585855,0.02764250,0.02542428,0.53329161,0.16667625,0.79506370,0.00000000,0.45540244,0.29639341
-5.85592796,1.02926325,0.02591437,0.02286536,0.49120412,0.15091697,0.72649709,0.00000000,0.41526057,0.27269334
-5.84992496,0.93666538,0.02420345,0.02043490,0.45104442,0.13584949,0.66081401,0.00000000,0.37668609,0.25007167
-5.84392196,0.84898752,0.02253621,0.01815004,0.41327014,0.12159917,0.59866561,0.00000000,0.34005921,0.22877674
-5.83791896,0.76699264,0.02093655,0.01602443,0.37826360,0.10826727,0.54058823,0.00000000,0.30569272,0.20901459
-5.83191596,0.69127623,0.01942529,0.01406825,0.34632628,0.09593053,0.48699814,0.00000000,0.27382966,0.19094633
-5.82591296,0.62226462,0.01801981,0.01228846,0.31767617,0.08464173,0.43819046,0.00000000,0.24464339,0.17468712
-5.81990995,0.56021882,0.01673373,0.01068914,0.29244775,0.07443104,0.39434215,0.00000000,0.21824004,0.16030649
-5.81390695,0.50524325,0.01557682,0.00927194,0.27069449,0.06530810,0.35551842,0.00000000,0.19466282,0.14783004
-5.80790395,0.45729859,0.01455492,0.00803656,0.25239338,0.05726458,0.32168194,0.00000000,0.17389801,0.13724208
-5.80190095,0.41621769,0.01367004,0.00698137,0.23745139,0.05027720,0.29270434,0.00000000,0.15588202,0.12848937
-5.79589795,0.38172392,0.01292059,0.00610394,0.22571330,0.04431089,0.26837932,0.00000000,0.14050937,0.12148546
-5.78989495,0.35345091,0.01230161,0.00540162,0.21697065,0.03932208,0.24843670,0.00000000,0.12764105,0.11611559
-5.78389195,0.33096297,0.01180514,0.00487206,0.21097151,0.03526191,0.23255702,0.00000000,0.11711303,0.11224201
-5.77788894,0.31377548,0.01142066,0.00451374,0.20743056,0.03207924,0.22038606,0.00000000,0.10874459,0.10970940
