energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.53094084,0.00736037,0.01501949,0.00893198,0.34489255,0.07244372,0.10888344,0.11543545,0.04958034
-5.99399700,0.49189015,0.00634927,0.01447676,0.00836068,0.31904082,0.06475911,0.10132367,0.10261033,0.04678228
-5.98799400,0.45517767,0.00546397,0.01397930,0.00777568,0.29478985,0.05833254,0.09390667,0.09133178,0.04422660
-5.98199100,0.42110910,0.00469861,0.01354594,0.00718494,0.27232969,0.05313523,0.08671726,0.08157734,0.04195181
-5.97598799,0.38999591,0.00404697,0.01319568,0.00659615,0.25185596,0.04914993,0.07983662,0.07332525,0.03999812
-5.96998499,0.36214788,0.00350279,0.01294722,0.00601656,0.23356524,0.04637154,0.07334045,0.06655614,0.03840614
-5.96398199,0.33786606,0.00305991,0.01281840,0.00545281,0.21765077,0.04480721,0.06729732,0.06125416,0.03721574
-5.95797899,0.31743632,0.00271254,0.01282580,0.00491078,0.20429847,0.04447615,0.06176745,0.05740789,0.03646479
-5.95197599,0.30112359,0.00245536,0.01298425,0.00439551,0.19368336,0.04540889,0.05680180,0.05501072,0.03618809
-5.94597299,0.28916677,0.00228366,0.01330646,0.00391114,0.18596637,0.04764600,0.05244145,0.05406073,0.03641633
-5.93996998,0.28177440,0.00219336,0.01380272,0.00346089,0.18129150,0.05123647,0.04871738,0.05456010,0.03717525
-5.93396698,0.27912086,0.00218102,0.01448058,0.00304709,0.17978332,0.05623548,0.04565050,0.05651396,0.03848483
-5.92796398,0.28134327,0.00224385,0.01534471,0.00267118,0.18154472,0.06270179,0.04325202,0.05992880,0.04035872
-5.92196098,0.28853881,0.00237960,0.01639675,0.00233380,0.18665490,0.07069462,0.04152392,0.06481030,0.04280382
-5.91595798,0.30076260,0.00258647,0.01763533,0.00203490,0.19516755,0.08027027,0.04045978,0.07116097,0.04581996
-5.90995498,0.31802598,0.00286299,0.01905609,0.00177376,0.20710924,0.09147839,0.04004560,0.07897728,0.04939991
-5.90395198,0.34029535,0.00320782,0.02065185,0.00154918,0.22247793,0.10435808,0.04026084,0.08824682,0.05352949
-5.89794897,0.36749148,0.00361964,0.02241290,0.00135951,0.24124188,0.11893396,0.04107953,0.09894526,0.05818794
-5.89194597,0.39948952,0.00409692,0.02432729,0.00120280,0.26333873,0.13521239,0.04247137,0.11103357,0.06334849
-5.88594297,0.43611965,0.00463777,0.02638130,0.00107688,0.28867513,0.15317787,0.04440296,0.12445543,0.06897917
-5.87993997,0.47716863,0.00523979,0.02855994,0.00097940,0.31712679,0.17278998,0.04683889,0.13913515,0.07504380
-5.87393697,0.52238228,0.00589987,0.03084753,0.00090798,0.34853923,0.19398085,0.04974298,0.15497617,0.08150320
-5.86793397,0.57146896,0.00661417,0.03322833,0.00086021,0.38272920,0.21665351,0.05307934,0.17186031,0.08831654
