energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,4.51525648,0.02364300,0.37104404,1.30738665,0.00000000,1.20424282,2.82744384,0.01378937,1.30505327
-5.99399700,4.45124069,0.02359573,0.36263882,1.33313502,0.00000000,1.22521271,2.75949336,0.01394632,1.30137486
-5.98799400,4.38463834,0.02358217,0.35397453,1.35792976,0.00000000,1.24532163,2.68952399,0.01407886,1.29738833
-5.98199100,4.31543122,0.02359845,0.34505600,1.38113480,0.00000000,1.26396296,2.61800517,0.01418215,1.29285197
-5.97598799,4.24350631,0.02363789,0.33588675,1.40213148,0.00000000,1.28054967,2.54531250,0.01425209,1.28750514
-5.96998499,4.16867745,0.02369127,0.32646991,1.42033570,0.00000000,1.29453090,2.47173223,0.01428547,1.28108076
-5.96398199,4.09071272,0.02374726,0.31680938,1.43521461,0.00000000,1.30540807,2.39747134,0.01428004,1.27331861
-5.95797899,4.00936531,0.02379296,0.30691107,1.44630203,0.00000000,1.31274958,2.32267179,0.01423456,1.26397862
-5.95197599,3.92440551,0.02381447,0.29678424,1.45321178,0.00000000,1.31620345,2.24742773,0.01414886,1.25285323
-5.94597299,3.83565154,0.02379760,0.28644260,1.45564837,0.00000000,1.31550722,2.17180398,0.01402381,1.23977815
-5.93996998,3.74299676,0.02372850,0.27590539,1.45341432,0.00000000,1.31049462,2.09585442,0.01386123,1.22464071
-5.93396698,3.64643161,0.02359430,0.26519799,1.44641388,0.00000000,1.30109865,2.01963878,0.01366382,1.20738549
-5.92796398,3.54605871,0.02338372,0.25435230,1.43465284,0.00000000,1.28735076,1.94323687,0.01343500,1.18801665
-5.92196098,3.44210020,0.02308760,0.24340659,1.41823459,0.00000000,1.26937647,1.86675910,0.01317879,1.16659719
-5.91595798,3.33489725,0.02269922,0.23240505,1.39735262,0.00000000,1.24738739,1.79035307,0.01289962,1.14324503
-5.90995498,3.22490179,0.02221467,0.22139689,1.37227995,0.00000000,1.22167034,1.71420578,0.01260212,1.11812644
-5.90395198,3.11266166,0.02163296,0.21043515,1.34335621,0.00000000,1.19257406,1.63854180,0.01229099,1.09144717
-5.89794897,2.99880011,0.02095602,0.19957527,1.31097292,0.00000000,1.16049429,1.56361776,0.01197079,1.06344208
-5.89194597,2.88399167,0.02018862,0.18887352,1.27555803,0.00000000,1.12585811,1.48971394,0.01164584,1.03436397
-5.88594297,2.76893596,0.01933811,0.17838535,1.23756046,0.00000000,1.08910827,1.41712370,0.01132006,1.00447226
-5.87993997,2.65433151,0.01841412,0.16816387,1.19743542,0.00000000,1.05068837,1.34614194,0.01099692,0.97402238
