energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.91344905,0.01593645,0.00042223,0.00420879,1.46561373,1.29548055,0.78205315
-5.99399700,1.94826506,0.01651064,0.00043227,0.00404115,1.49518151,1.31123940,0.79859158
-5.98799400,1.98361085,0.01718823,0.00044188,0.00386111,1.52490569,1.32785137,0.81438272
-5.98199100,2.01976445,0.01796604,0.00045111,0.00367096,1.55499471,1.34558065,0.82954962
-5.97598799,2.05703281,0.01883986,0.00046004,0.00347330,1.58568211,1.36469532,0.84423632
-5.96998499,2.09572393,0.01980428,0.00046875,0.00327097,1.61720542,1.38545152,0.85859610
-5.96398199,2.13611726,0.02085255,0.00047735,0.00306688,1.64978355,1.40807645,0.87277897
-5.95797899,2.17843396,0.02197648,0.00048595,0.00286396,1.68359390,1.43275129,0.88691897
-5.95197599,2.22280869,0.02316637,0.00049466,0.00266507,1.71875046,1.45959472,0.90112200
-5.94597299,2.26926461,0.02441101,0.00050359,0.00247286,1.75528425,1.48864824,0.91545499
-5.93996998,2.31769304,0.02569771,0.00051283,0.00228977,1.79312715,1.51986394,0.92993678
-5.93396698,2.36783912,0.02701242,0.00052247,0.00211794,1.83210029,1.55309574,0.94453151
-5.92796398,2.41929439,0.02833993,0.00053255,0.00195914,1.87190771,1.58809443,0.95914485
-5.92196098,2.47149699,0.02966411,0.00054311,0.00181481,1.91213583,1.62450716,0.97362327
-5.91595798,2.52373957,0.03096824,0.00055415,0.00168600,1.95225887,1.66188146,0.98775656
-5.90995498,2.57518476,0.03223531,0.00056566,0.00157337,1.99165020,1.69967361,1.00128343
-5.90395198,2.62488747,0.03344846,0.00057758,0.00147722,2.02959893,1.73726127,1.01389995
-5.89794897,2.67182291,0.03459134,0.00058981,0.00139750,2.06533121,1.77395951,1.02527039
-5.89194597,2.71491912,0.03564851,0.00060227,0.00133383,2.09803491,1.80903985,1.03503998
-5.88594297,2.75309229,0.03660581,0.00061480,0.00128556,2.12688674,1.84175114,1.04284871
-5.87993997,2.78528312,0.03745063,0.00062724,0.00125174,2.15108026,1.87134154,1.04834575
-5.87393697,2.81049269,0.03817225,0.00063942,0.00123126,2.16985360,1.89708052,1.05120348
-5.86793397,2.82781592,0.03876202,0.00065113,0.00122278,2.18251542,1.91827996,1.05113062
-5.86193097,2.83647142,0.03921345,0.00066217,0.00122487,2.18846822,1.93431368,1.04788376
-5.85592796,2.83582647,0.03952238,0.00067232,0.00123598,2.18722776,1.94463451,1.04127685
-5.84992496,2.82541628,0.03968692,0.00068135,0.00125452,2.17843824,1.94878855,1.03118823
-5.84392196,2.80495704,0.03970746,0.00068905,0.00127891,2.16188252,1.94642627,1.01756504
-5.83791896,2.77435282,0.03958660,0.00069521,0.00130760,2.13748757,1.93731037,1.00042497
-5.83191596,2.73369629,0.03932908,0.00069963,0.00133911,2.10532509,1.92132033,0.97985546
-5.82591296,2.68326398,0.03894166,0.00070214,0.00137212,2.06560773,1.89845403,0.95601055
-5.81990995,2.62350680,0.03843308,0.00070258,0.00140546,2.01868161,1.86882659,0.92910579
-5.81390695,2.55503660,0.03781397,0.00070085,0.00143819,1.96501564,1.83266698,0.89941153
-5.80790395,2.47860996,0.03709682,0.00069687,0.00146965,1.90518860,1.79031253,0.86724519
-5.80190095,2.39510984,0.03629599,0.00069060,0.00149947,1.83987457,1.74220207,0.83296282
-5.79589795,2.30552634,0.03542771,0.00068205,0.00152763,1.76982750,1.68886773,0.79695040
-5.78989495,2.21093701,0.03451012,0.00067131,0.00155450,1.69586557,1.63092589,0.75961532
-5.78389195,2.11248746,0.03356334,0.00065851,0.00158087,1.61885578,1.56906735,0.72137833
-5.77788894,2.01137263,0.03260945,0.00064382,0.00160795,1.53969905,1.50404690,0.68266598
-5.77188594,1.90881890,0.03167253,0.00062750,0.00163744,1.45931631,1.43667228,0.64390403
-5.76588294,1.80606719,0.03077863,0.00060985,0.00167150,1.37863526,1.36779267,0.60551148
-5.75987994,1.70435694,0.02995561,0.00059123,0.00171275,1.29857827,1.29828643,0.56789552
-5.75387694,1.60491074,0.02923299,0.00057205,0.00176428,1.22005085,1.22904836,0.53144710
-5.74787394,1.50891959,0.02864164,0.00055276,0.00182962,1.14393097,1.16097624,0.49653718
-5.74187094,1.41752844,0.02821338,0.00053383,0.00191268,1.07105883,1.09495681,0.46351334
-5.73586793,1.33182198,0.02798050,0.00051578,0.00201775,1.00222707,1.03185125,0.43269685
-5.72986493,1.25281043,0.02797508,0.00049910,0.00214936,0.93817129,0.97248033,0.40437987
-5.72386193,1.18141561,0.02822833,0.00048430,0.00231229,0.87956094,0.91760956,0.37882285
-5.71785893,1.11845712,0.02876974,0.00047187,0.00251139,0.82699056,0.86793449,0.35625208
-5.71185593,1.06463907,0.02962624,0.00046227,0.00275153,0.78097148,0.82406669,0.33685727
-5.70585293,1.02053754,0.03082126,0.00045591,0.00303743,0.74192421,0.78652081,0.32078933
-5.69984992,0.98658930,0.03237377,0.00045314,0.00337358,0.71017172,0.75570306,0.30815839
-5.69384692,0.96308208,0.03429744,0.00045424,0.00376404,0.68593390,0.73190170,0.29903213
-5.68784392,0.95014705,0.03659975,0.00045942,0.00421229,0.66932339,0.71527978,0.29343456
-5.68184092,0.94775378,0.03928120,0.00046880,0.00472111,0.66034319,0.70587068,0.29134539
-5.67583792,0.95570831,0.04233473,0.00048241,0.00529236,0.65888616,0.70357663,0.29270011
-5.66983492,0.97365449,0.04574525,0.00050018,0.00592688,0.66473668,0.70817043,0.29739090
-5.66383192,1.00107900,0.04948930,0.00052195,0.00662429,0.67757456,0.71930056,0.30526836
-5.65782891,1.03732004,0.05353506,0.00054746,0.00738290,0.69698127,0.73649946,0.31614429
-5.65182591,1.08157980,0.05784250,0.00057637,0.00819957,0.72244844,0.75919508,0.32979529
-5.64582291,1.13294042,0.06236375,0.00060826,0.00906965,0.75338849,0.78672530,0.34596729
-5.63981991,1.19038321,0.06704385,0.00064262,0.00998693,0.78914714,0.81835474,0.36438089
-5.63381691,1.25281056,0.07182157,0.00067891,0.01094366,0.82901750,0.85329365,0.38473724
-5.62781391,1.31906999,0.07663058,0.00071651,0.01193058,0.87225534,0.89071812,0.40672449
-5.62181091,1.38797956,0.08140079,0.00075479,0.01293704,0.91809503,0.92979101,0.43002430
-5.61580790,1.45835388,0.08605979,0.00079309,0.01395118,0.96576567,0.96968284,0.45431847
-5.60980490,1.52902974,0.09053455,0.00083074,0.01496014,1.01450688,1.00959191,0.47929515
-5.60380190,1.59889066,0.09475308,0.00086709,0.01595034,1.06358368,1.04876296,0.50465459
-5.59779890,1.66688947,0.09864620,0.00090151,0.01690785,1.11230006,1.08650370,0.53011410
-5.59179590,1.73206809,0.10214928,0.00093342,0.01781872,1.16001066,1.12219864,0.55541204
-5.58579290,1.79357414,0.10520390,0.00096229,0.01866949,1.20613047,1.15531986,0.58031077
-5.57978989,1.85067369,0.10775940,0.00098763,0.01944753,1.25014201,1.18543426,0.60459835
-5.57378689,1.90276008,0.10977427,0.00100906,0.02014161,1.29160021,1.21220745,0.62808921
-5.56778389,1.94935870,0.11121734,0.00102626,0.02074227,1.33013477,1.23540401,0.65062364
-5.56178089,1.99012782,0.11206873,0.00103899,0.02124230,1.36545029,1.25488468,0.67206638
-5.55577789,2.02485592,0.11232047,0.00104712,0.02163713,1.39732441,1.27060058,0.69230446
-5.54977489,2.05345584,0.11197693,0.00105059,0.02192515,1.42560429,1.28258513,0.71124464
-5.54377189,2.07595651,0.11105484,0.00104946,0.02210794,1.45020190,1.29094421,0.72881054
-5.53776888,2.09249276,0.10958307,0.00104385,0.02219051,1.47108855,1.29584526,0.74493992
-5.53176588,2.10329400,0.10760204,0.00103398,0.02218128,1.48828911,1.29750591,0.75958233
-5.52576288,2.10867236,0.10516290,0.00102013,0.02209207,1.50187627,1.29618273,0.77269728
-5.51975988,2.10901077,0.10232640,0.00100269,0.02193791,1.51196528,1.29216079,0.78425320
-5.51375688,2.10475150,0.09916150,0.00098207,0.02173677,1.51870925,1.28574421,0.79422720
-5.50775388,2.09638535,0.09574381,0.00095876,0.02150907,1.52229513,1.27724815,0.80260560
-5.50175088,2.08444159,0.09215386,0.00093326,0.02127726,1.52294035,1.26699227,0.80938526
-5.49574787,2.06947853,0.08847524,0.00090613,0.02106508,1.52088998,1.25529559,0.81457535
-5.48974487,2.05207467,0.08479262,0.00087792,0.02089690,1.51641403,1.24247266,0.81819945
-5.48374187,2.03281990,0.08118989,0.00084921,0.02079695,1.50980459,1.22883066,0.82029754
-5.47773887,2.01230657,0.07774817,0.00082054,0.02078846,1.50137253,1.21466709,0.82092767
-5.47173587,1.99111996,0.07454406,0.00079244,0.02089283,1.49144317,1.20026765,0.82016692
-5.46573287,1.96982787,0.07164794,0.00076540,0.02112882,1.48035087,1.18590396,0.81811129
-5.45972986,1.94896924,0.06912248,0.00073986,0.02151173,1.46843213,1.17183072,0.81487448
-5.45372686,1.92904171,0.06702143,0.00071622,0.02205272,1.45601724,1.15828221,0.81058525
-5.44772386,1.91048826,0.06538862,0.00069479,0.02275820,1.44342058,1.14546791,0.80538346
-5.44172086,1.89368347,0.06425732,0.00067581,0.02362931,1.43092990,1.13356739,0.79941483
-5.43571786,1.87891988,0.06364987,0.00065944,0.02466166,1.41879490,1.12272468,0.79282474
-5.42971486,1.86639529,0.06357765,0.00064577,0.02584512,1.40721589,1.11304242,0.78575130
-5.42371186,1.85620174,0.06404143,0.00063478,0.02716389,1.39633326,1.10457627,0.77831821
-5.41770885,1.84831729,0.06503192,0.00062639,0.02859674,1.38621831,1.09733007,0.77062789
-5.41170585,1.84260135,0.06653071,0.00062042,0.03011747,1.37686657,1.09125241,0.76275531
-5.40570285,1.83879437,0.06851134,0.00061665,0.03169553,1.36819404,1.08623492,0.75474315
-5.39969985,1.83652248,0.07094064,0.00061478,0.03329684,1.36003708,1.08211292,0.74659852
-5.39369685,1.83530746,0.07378013,0.00061445,0.03488481,1.35215625,1.07866852,0.73829180
-5.38769385,1.83458186,0.07698745,0.00061530,0.03642136,1.34424429,1.07563651,0.72975764
-5.38169085,1.83370919,0.08051784,0.00061692,0.03786819,1.33593811,1.07271276,0.72089820
-5.37568784,1.83200816,0.08432543,0.00061891,0.03918797,1.32683436,1.06956501,0.71158862
-5.36968484,1.82878028,0.08836441,0.00062089,0.04034554,1.31650793,1.06584552,0.70168432
-5.36368184,1.82333930,0.09258998,0.00062250,0.04130912,1.30453245,1.06120507,0.69102986
-5.35767884,1.81504113,0.09695899,0.00062342,0.04205135,1.29050182,1.05530742,0.67946882
-5.35167584,1.80331261,0.10143034,0.00062342,0.04255018,1.27405148,1.04784356,0.66685405
-5.34567284,1.78767766,0.10596501,0.00062228,0.04278961,1.25487829,1.03854490,0.65305776
-5.33966983,1.76777933,0.11052591,0.00061991,0.04276017,1.23275787,1.02719467,0.63798079
-5.33366683,1.74339646,0.11507737,0.00061626,0.04245921,1.20755841,1.01363681,0.62156050
-5.32766383,1.71445420,0.11958457,0.00061138,0.04189085,1.17925012,0.99778196,0.60377687
-5.32166083,1.68102773,0.12401273,0.00060538,0.04106582,1.14790973,0.97961018,0.58465640
-5.31565783,1.64333907,0.12832644,0.00059844,0.04000089,1.11371997,0.95917039,0.56427356
-5.30965483,1.60174731,0.13248890,0.00059080,0.03871826,1.07696388,0.93657653,0.54274997
-5.30365183,1.55673283,0.13646148,0.00058273,0.03724469,1.03801447,0.91200092,0.52025108
-5.29764882,1.50887661,0.14020342,0.00057452,0.03561050,0.99732026,0.88566523,0.49698087
-5.29164582,1.45883580,0.14367192,0.00056650,0.03384849,0.95538764,0.85782973,0.47317482
-5.28564282,1.40731711,0.14682252,0.00055897,0.03199288,0.91276106,0.82878150,0.44909158
-5.27963982,1.35504935,0.14960994,0.00055219,0.03007817,0.87000212,0.79882238,0.42500387
-5.27363682,1.30275678,0.15198917,0.00054641,0.02813814,0.82766875,0.76825734,0.40118921
-5.26763382,1.25113450,0.15391700,0.00054181,0.02620490,0.78629556,0.73738398,0.37792079
-5.26163082,1.20082705,0.15535371,0.00053851,0.02430806,0.74637629,0.70648358,0.35545920
-5.25562781,1.15241117,0.15626491,0.00053654,0.02247415,0.70834916,0.67581419,0.33404511
-5.24962481,1.10638318,0.15662342,0.00053589,0.02072604,0.67258575,0.64560587,0.31389348
-5.24362181,1.06315134,0.15641110,0.00053644,0.01908270,0.63938370,0.61605828,0.29518920
-5.23761881,1.02303302,0.15562038,0.00053802,0.01755901,0.60896331,0.58734044,0.27808448
-5.23161581,0.98625646,0.15425550,0.00054039,0.01616581,0.58146807,0.55959237,0.26269779
-5.22561281,0.95296637,0.15233332,0.00054326,0.01491001,0.55696854,0.53292846,0.24911426
-5.21960980,0.92323284,0.14988364,0.00054631,0.01379487,0.53546936,0.50744201,0.23738751
-5.21360680,0.89706242,0.14694891,0.00054920,0.01282036,0.51691855,0.48321052,0.22754237
-5.20760380,0.87441072,0.14358350,0.00055157,0.01198357,0.50121849,0.46030144,0.21957854
-5.20160080,0.85519552,0.13985232,0.00055309,0.01127918,0.48823795,0.43877770,0.21347466
-5.19559780,0.83930962,0.13582915,0.00055345,0.01069990,0.47782429,0.41870295,0.20919270
-5.18959480,0.82663280,0.13159446,0.00055242,0.01023693,0.46981529,0.40014599,0.20668229
-5.18359180,0.81704242,0.12723315,0.00054978,0.00988045,0.46405006,0.38318434,0.20588490
-5.17758879,0.81042217,0.12283201,0.00054544,0.00961997,0.46037860,0.36790676,0.20673766
-5.17158579,0.80666913,0.11847742,0.00053935,0.00944469,0.45866962,0.35441466,0.20917671
-5.16558279,0.80569873,0.11425309,0.00053157,0.00934385,0.45881645,0.34282244,0.21314009
-5.15957979,0.80744811,0.11023809,0.00052226,0.00930696,0.46074112,0.33325684,0.21856998
-5.15357679,0.81187783,0.10650541,0.00051166,0.00932403,0.46439632,0.32585543,0.22541453
-5.14757379,0.81897228,0.10312082,0.00050009,0.00938573,0.46976573,0.32076427,0.23362910
