energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.81768178,0.01522993,0.14474644,0.01319341,0.00000000,0.89031994,0.67111095,0.89424562,0.00000000
-5.99399700,1.79251249,0.01456785,0.14475784,0.01278906,0.00000000,0.87395783,0.68337136,0.86242421,0.00000000
-5.98799400,1.76845750,0.01384135,0.14449428,0.01236642,0.00000000,0.85697923,0.69840272,0.82971381,0.00000000
-5.98199100,1.74704908,0.01306312,0.14401770,0.01193597,0.00000000,0.83991072,0.71684426,0.79690095,0.00000000
-5.97598799,1.72974932,0.01224625,0.14338828,0.01150805,0.00000000,0.82323737,0.73929167,0.76475278,0.00000000
-5.96998499,1.71790846,0.01140392,0.14266173,0.01109258,0.00000000,0.80738986,0.76627568,0.73400079,0.00000000
-5.96398199,1.71272726,0.01054901,0.14188703,0.01069894,0.00000000,0.79273450,0.79824158,0.70532662,0.00000000
-5.95797899,1.71522463,0.00969380,0.14110455,0.01033580,0.00000000,0.77956639,0.83553064,0.67935040,0.00000000
-5.95197599,1.72621111,0.00884969,0.14034463,0.01001096,0.00000000,0.76810594,0.87836382,0.65662153,0.00000000
-5.94597299,1.74626896,0.00802702,0.13962672,0.00973134,0.00000000,0.75849849,0.92682842,0.63761197,0.00000000
-5.93996998,1.77573896,0.00723483,0.13895912,0.00950289,0.00000000,0.75081687,0.98086829,0.62271169,0.00000000
-5.93396698,1.81471404,0.00648080,0.13833922,0.00933056,0.00000000,0.74506642,1.04027773,0.61222611,0.00000000
-5.92796398,1.86303946,0.00577118,0.13775437,0.00921829,0.00000000,0.74119211,1.10469960,0.60637515,0.00000000
-5.92196098,1.92031920,0.00511076,0.13718304,0.00916904,0.00000000,0.73908700,1.17362758,0.60529348,0.00000000
-5.91595798,1.98592795,0.00450294,0.13659656,0.00918475,0.00000000,0.73860164,1.24641274,0.60903163,0.00000000
-5.90995498,2.05902802,0.00394980,0.13596101,0.00926639,0.00000000,0.73955366,1.32227420,0.61755770,0.00000000
-5.90395198,2.13859048,0.00345221,0.13523930,0.00941393,0.00000000,0.74173726,1.40031365,0.63075934,0.00000000
-5.89794897,2.22341985,0.00300996,0.13439332,0.00962633,0.00000000,0.74493186,1.47953344,0.64844591,0.00000000
-5.89194597,2.31218145,0.00262195,0.13338609,0.00990157,0.00000000,0.74890989,1.55885765,0.67035088,0.00000000
-5.88594297,2.40343092,0.00228631,0.13218372,0.01023658,0.00000000,0.75344326,1.63715568,0.69613439,0.00000000
-5.87993997,2.49564515,0.00200060,0.13075716,0.01062726,0.00000000,0.75830863,1.71326769,0.72538627,0.00000000
-5.87393697,2.58725417,0.00176197,0.12908369,0.01106846,0.00000000,0.76329138,1.78603114,0.75762980,0.00000000
-5.86793397,2.67667350,0.00156727,0.12714810,0.01155399,0.00000000,0.76818848,1.85430788,0.79232644,0.00000000
-5.86193097,2.76233648,0.00141326,0.12494346,0.01207662,0.00000000,0.77281047,1.91701086,0.82888190,0.00000000
-5.85592796,2.84272625,0.00129666,0.12247163,0.01262819,0.00000000,0.77698284,1.97312986,0.86665389,0.00000000
-5.84992496,2.91640689,0.00121432,0.11974336,0.01319964,0.00000000,0.78054710,2.02175557,0.90496167,0.00000000
-5.84392196,2.98205344,0.00116325,0.11677816,0.01378120,0.00000000,0.78336179,2.06210130,0.94309764,0.00000000
-5.83791896,3.03848027,0.00114072,0.11360377,0.01436253,0.00000000,0.78530368,2.09352179,0.98034090,0.00000000
-5.83191596,3.08466728,0.00114431,0.11025557,0.01493292,0.00000000,0.78626931,2.11552861,1.01597258,0.00000000
