energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.48386230,0.01260428,1.30107065,0.09895623,0.06014976,1.93075093,2.51906363,1.73639600
-5.99399700,5.55699891,0.01230954,1.32608888,0.09904451,0.06168529,1.95395820,2.54141725,1.77114582
-5.98799400,5.62478471,0.01204579,1.34986699,0.09885750,0.06313492,1.97551872,2.56006706,1.80561984
-5.98199100,5.68675197,0.01181562,1.37209864,0.09840931,0.06448594,1.99541184,2.57520493,1.83937315
-5.97598799,5.74252801,0.01162065,1.39249182,0.09771859,0.06572726,2.01365456,2.58706767,1.87195733
-5.96998499,5.79184234,0.01146152,1.41077461,0.09680831,0.06684969,2.03030112,2.59593099,1.90292955
-5.96398199,5.83453001,0.01133807,1.42670081,0.09570534,0.06784621,2.04544066,2.60210272,1.93186159
-5.95797899,5.87053116,0.01124944,1.44005528,0.09444001,0.06871215,2.05919319,2.60591544,1.95834864
-5.95197599,5.89988682,0.01119420,1.45065899,0.09304543,0.06944531,2.07170375,2.60771876,1.98201775
-5.94597299,5.92273152,0.01117046,1.45837342,0.09155677,0.07004600,2.08313539,2.60787145,2.00253558
-5.93996998,5.93928285,0.01117609,1.46310441,0.09001047,0.07051700,2.09366086,2.60673351,2.01961520
-5.93396698,5.94982886,0.01120877,1.46480513,0.08844332,0.07086341,2.10345384,2.60465862,2.03302198
-5.92796398,5.95471385,0.01126618,1.46347807,0.08689158,0.07109250,2.11267988,2.60198704,2.04257805
-5.92196098,5.95432349,0.01134610,1.45917603,0.08539013,0.07121339,2.12148781,2.59903936,2.04816551
-5.91595798,5.94907015,0.01144647,1.45200190,0.08397158,0.07123679,2.13000191,2.59611133,2.04972820
-5.90995498,5.93937945,0.01156556,1.44210743,0.08266558,0.07117456,2.13831567,2.59347005,2.04727210
-5.90395198,5.92567894,0.01170195,1.42969079,0.08149819,0.07103942,2.14648736,2.59135193,2.04086448
-5.89794897,5.90838990,0.01185463,1.41499331,0.08049137,0.07084448,2.15453799,2.58996250,2.03063191
-5.89194597,5.88792285,0.01202302,1.39829538,0.07966274,0.07060296,2.16245198,2.58947842,2.01675747
-5.88594297,5.86467739,0.01220700,1.37991167,0.07902539,0.07032778,2.17018054,2.59005167,1.99947735
-5.87993997,5.83904668,0.01240690,1.36018616,0.07858794,0.07003137,2.17764794,2.59181592,1.97907706
-5.87393697,5.81142626,0.01262347,1.33948686,0.07835479,0.06972544,2.18476037,2.59489490,1.95588758
-5.86793397,5.78222686,0.01285791,1.31820062,0.07832643,0.06942085,2.19141706,2.59941239,1.93028159
-5.86193097,5.75189033,0.01311176,1.29672810,0.07849990,0.06912761,2.19752301,2.60550332,1.90266978
-5.85592796,5.72090732,0.01338689,1.27547903,0.07886941,0.06885489,2.20300267,2.61332521,1.87349749
-5.84992496,5.68983524,0.01368539,1.25486766,0.07942681,0.06861116,2.20781364,2.62306918,1.84324125
-5.84392196,5.65931467,0.01400952,1.23530847,0.08016229,0.06840435,2.21195945,2.63496948,1.81240538
-5.83791896,5.63008219,0.01436158,1.21721196,0.08106481,0.06824199,2.21550035,2.64931072,1.78151804
-5.83191596,5.60297789,0.01474377,1.20098034,0.08212260,0.06813148,2.21856135,2.66643166,1.75112667
-5.82591296,5.57894566,0.01515811,1.18700294,0.08332353,0.06808021,2.22133636,2.68672478,1.72179236
-5.81990995,5.55902489,0.01560623,1.17565112,0.08465527,0.06809570,2.22408807,2.71063097,1.69408283
-5.81390695,5.54433268,0.01608929,1.16727259,0.08610542,0.06818563,2.22714292,2.73862886,1.66856377
-5.80790395,5.53603613,0.01660776,1.16218494,0.08766147,0.06835784,2.23088106,2.77121872,1.64578847
-5.80190095,5.53531500,0.01716131,1.16066834,0.08931066,0.06862016,2.23572152,2.80890112,1.62628566
-5.79589795,5.54331572,0.01774870,1.16295762,0.09103975,0.06898019,2.24210298,2.85215086,1.61054571
-5.78989495,5.56109856,0.01836760,1.16923370,0.09283476,0.06944492,2.25046100,2.90138736,1.59900560
-5.78389195,5.58958009,0.01901457,1.17961483,0.09468069,0.07002034,2.26120279,2.95694249,1.59203316
-5.77788894,5.62947395,0.01968494,1.19414790,0.09656131,0.07071092,2.27468075,3.01902772,1.58991109
-5.77188594,5.68123302,0.02037287,1.21280031,0.09845899,0.07151912,2.29116636,3.08770206,1.59282175
-5.76588294,5.74499647,0.02107130,1.23545303,0.10035460,0.07244481,2.31082582,3.16284291,1.60083346
-5.75987994,5.82054497,0.02177208,1.26189511,0.10222769,0.07348484,2.33369907,3.24412150,1.61388909
-5.75387694,5.90726735,0.02246607,1.29182048,0.10405660,0.07463256,2.35968346,3.33098477,1.63179798
-5.74787394,6.00414119,0.02314330,1.32482728,0.10581891,0.07587754,2.38852335,3.42264515,1.65423176
-5.74187094,6.10972962,0.02379318,1.36042019,0.10749191,0.07720541,2.41980644,3.51807950,1.68072472
-5.73586793,6.22219541,0.02440474,1.39801600,0.10905324,0.07859782,2.45296745,3.61603783,1.71067909
-5.72986493,6.33933300,0.02496689,1.43695252,0.11048155,0.08003259,2.48729924,3.71506238,1.74337545
-5.72386193,6.45861775,0.02546871,1.47650083,0.11175724,0.08148409,2.52197116,3.81351653,1.77798812
-5.71785893,6.57727111,0.02589976,1.51588060,0.11286321,0.08292375,2.55605392,3.90962311,1.81360512
-5.71185593,6.69233931,0.02625034,1.55427813,0.11378551,0.08432074,2.58854998,4.00151068,1.84925227
-5.70585293,6.80078265,0.02651181,1.59086662,0.11451392,0.08564280,2.61842818,4.08726628,1.88392037
-5.69984992,6.89957164,0.02667682,1.62482790,0.11504239,0.08685717,2.64466088,4.16499252,1.91659459
-5.69384692,6.98578595,0.02673958,1.65537499,0.11536934,0.08793162,2.66626205,4.23286676,1.94628493
-5.68784392,7.05671201,0.02669605,1.68177453,0.11549775,0.08883545,2.68232443,4.28920000,1.97205640
-5.68184092,7.10993499,0.02654407,1.70336840,0.11543508,0.08954055,2.69205403,4.33249284,1.99305783
-5.67583792,7.14342120,0.02628350,1.71959342,0.11519305,0.09002233,2.69480049,4.36148634,2.00854805
-5.66983492,7.15558747,0.02591628,1.72999870,0.11478715,0.09026060,2.69008172,4.37520541,2.01791838
-5.66383192,7.14535459,0.02544643,1.73425957,0.11423614,0.09024031,2.67760199,4.37299311,2.02071060
-5.65782891,7.11218276,0.02488000,1.73218789,0.11356136,0.08995204,2.65726257,4.35453422,2.01662972
-5.65182591,7.05608770,0.02422498,1.72373802,0.11278597,0.08939245,2.62916476,4.31986738,2.00555101
-5.64582291,6.97763728,0.02349116,1.70900840,0.11193425,0.08856436,2.59360511,4.26938513,1.98752132
-5.63981991,6.87792897,0.02268993,1.68823872,0.11103076,0.08747675,2.55106355,4.20382230,1.96275455
-5.63381691,6.75854963,0.02183403,1.66180257,0.11009966,0.08614447,2.50218489,4.12423312,1.93162187
-5.62781391,6.62151976,0.02093732,1.63019616,0.10916405,0.08458778,2.44775500,4.03195836,1.89463701
-5.62181091,6.46922476,0.02001444,1.59402335,0.10824541,0.08283176,2.38867262,3.92858391,1.85243750
-5.61580790,6.30433652,0.01908050,1.55397769,0.10736313,0.08090545,2.32591844,3.81589278,1.80576270
-5.60980490,6.12972855,0.01815077,1.51082206,0.10653419,0.07884104,2.26052273,3.69581241,1.75542957
-5.60380190,5.94838821,0.01724028,1.46536675,0.10577289,0.07667280,2.19353287,3.57035957,1.70230717
-5.59779890,5.76332928,0.01636355,1.41844666,0.10509077,0.07443614,2.12598231,3.44158483,1.64729084
-5.59179590,5.57750818,0.01553423,1.37089845,0.10449657,0.07216648,2.05886182,3.31151876,1.59127700
-5.58579290,5.39374629,0.01476479,1.32353829,0.10399628,0.06989832,1.99309421,3.18212155,1.53513932
-5.57978989,5.21466091,0.01406628,1.27714102,0.10359332,0.06766422,1.92951310,3.05523754,1.47970702
-5.57378689,5.04260630,0.01344807,1.23242110,0.10328865,0.06549396,1.86884614,2.93255601,1.42574571
-5.56778389,4.87962628,0.01291769,1.19001605,0.10308107,0.06341378,1.81170310,2.81557883,1.37394122
