energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,0.94170244,0.00085568,0.11687456,0.38388017,0.23489474,0.20164865,0.29710563,0.00959076,0.24557278
-5.99399700,0.98403809,0.00095488,0.11678569,0.39165168,0.25341962,0.20248906,0.30562276,0.01004085,0.26345699
-5.98799400,1.03277334,0.00106723,0.11682756,0.40008320,0.27543155,0.20512659,0.31460534,0.01051431,0.28456538
-5.98199100,1.08770439,0.00119237,0.11692963,0.40898243,0.30095697,0.20937541,0.32401200,0.01100870,0.30884157
-5.97598799,1.14867239,0.00132982,0.11703824,0.41819003,0.33001752,0.21506297,0.33383306,0.01152234,0.33621775
-5.96998499,1.21555629,0.00147899,0.11711758,0.42758043,0.36262516,0.22203206,0.34408876,0.01205433,0.36661122
-5.96398199,1.28826213,0.00163913,0.11715000,0.43706094,0.39877656,0.23014200,0.35482591,0.01260456,0.39992056
-5.95797899,1.36670919,0.00180933,0.11713570,0.44656940,0.43844711,0.23926917,0.36611319,0.01317368,0.43602143
-5.95197599,1.45081409,0.00198850,0.11709193,0.45607066,0.48158460,0.24930693,0.37803527,0.01376301,0.47476237
-5.94597299,1.54047343,0.00217538,0.11705158,0.46555218,0.52810306,0.26016498,0.39068619,0.01437445,0.51596084
-5.93996998,1.63554611,0.00236849,0.11706152,0.47501897,0.57787694,0.27176843,0.40416229,0.01501033,0.55939981
-5.93396698,1.73583638,0.00256618,0.11718054,0.48448835,0.63073597,0.28405655,0.41855508,0.01567325,0.60482495
-5.92796398,1.84107848,0.00276664,0.11747711,0.49398469,0.68646100,0.29698143,0.43394442,0.01636588,0.65194303
-5.92196098,1.95092390,0.00296788,0.11802698,0.50353454,0.74478118,0.31050654,0.45039246,0.01709075,0.70042128
-5.91595798,2.06493203,0.00316780,0.11891075,0.51316235,0.80537262,0.32460527,0.46793856,0.01785003,0.74988832
-5.90995498,2.18256477,0.00336420,0.12021140,0.52288696,0.86785871,0.33925952,0.48659550,0.01864529,0.79993643
-5.90395198,2.30318559,0.00355482,0.12201189,0.53271891,0.93181245,0.35445828,0.50634710,0.01947727,0.85012538
-5.89794897,2.42606322,0.00373737,0.12439282,0.54265875,0.99676048,0.37019620,0.52714749,0.02034568,0.89998783
-5.89194597,2.55037977,0.00390963,0.12743019,0.55269625,1.06218921,0.38647214,0.54892172,0.02124903,0.94903608
-5.88594297,2.67524312,0.00406945,0.13119326,0.56281043,1.12755251,0.40328757,0.57156795,0.02218447,0.99677010
-5.87993997,2.79970294,0.00421481,0.13574251,0.57297020,1.19228119,0.42064482,0.59496072,0.02314769,1.04268671
-5.87393697,2.92276960,0.00434392,0.14112766,0.58313562,1.25579357,0.43854513,0.61895521,0.02413285,1.08628935
-5.86793397,3.04343506,0.00445520,0.14738587,0.59325940,1.31750720,0.45698632,0.64339205,0.02513264,1.12709848
-5.86193097,3.16069461,0.00454737,0.15453990,0.60328847,1.37685097,0.47596026,0.66810240,0.02613828,1.16466191
-5.85592796,3.27356859,0.00461948,0.16259649,0.61316551,1.43327740,0.49544997,0.69291280,0.02713972,1.19856493
-5.84992496,3.38112282,0.00467094,0.17154481,0.62283014,1.48627456,0.51542652,0.71764960,0.02812576,1.22843963
-5.84392196,3.48248692,0.00470150,0.18135509,0.63221982,1.53537710,0.53584568,0.74214258,0.02908435,1.25397330
-5.83791896,3.57686963,0.00471131,0.19197744,0.64127012,1.58017612,0.55664464,0.76622746,0.03000284,1.27491540
