energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.29797530,-1.29797531,0.01044837,-0.01044837,0.03112016,-0.03112016,0.46150654,-0.46150654,0.34844993,-0.34844993,0.26759971,-0.26759971,0.20516528,-0.20516528,0.02212933,-0.02212933,0.59419318,-0.59419318
-5.99399700,1.34936823,-1.34936823,0.01122861,-0.01122861,0.03219181,-0.03219181,0.47642947,-0.47642947,0.37227165,-0.37227165,0.27850083,-0.27850083,0.21122785,-0.21122785,0.02313084,-0.02313084,0.61492909,-0.61492909
-5.98799400,1.40734065,-1.40734065,0.01200957,-0.01200957,0.03350554,-0.03350554,0.49331190,-0.49331190,0.39803516,-0.39803516,0.29070855,-0.29070855,0.21824615,-0.21824615,0.02428715,-0.02428715,0.63851823,-0.63851823
-5.98199100,1.47102564,-1.47102564,0.01278136,-0.01278136,0.03503688,-0.03503688,0.51180538,-0.51180538,0.42545131,-0.42545131,0.30405477,-0.30405477,0.22612250,-0.22612250,0.02557438,-0.02557438,0.66458740,-0.66458740
-5.97598799,1.53939723,-1.53939723,0.01353368,-0.01353368,0.03675652,-0.03675652,0.53152276,-0.53152276,0.45417992,-0.45417992,0.31833974,-0.31833974,0.23472960,-0.23472960,0.02696583,-0.02696583,0.69269508,-0.69269508
-5.96998499,1.61128527,-1.61128527,0.01425601,-0.01425601,0.03863071,-0.03863071,0.55204508,-0.55204508,0.48383386,-0.48383386,0.33333515,-0.33333515,0.24391221,-0.24391221,0.02843236,-0.02843236,0.72233804,-0.72233804
-5.96398199,1.68539558,-1.68539558,0.01493787,-0.01493787,0.04062191,-0.04062191,0.57292966,-0.57292966,0.51398495,-0.51398495,0.34878831,-0.34878831,0.25349003,-0.25349003,0.02994298,-0.02994298,0.75296026,-0.75296026
-5.95797899,1.76033527,-1.76033527,0.01556903,-0.01556903,0.04268951,-0.04268951,0.59371902,-0.59371902,0.54417153,-0.54417153,0.36442739,-0.36442739,0.26326159,-0.26326159,0.03146537,-0.03146537,0.78396400,-0.78396400
-5.95197599,1.83464271,-1.83464271,0.01613978,-0.01613978,0.04479075,-0.04479075,0.61395083,-0.61395084,0.57390765,-0.57390765,0.37996764,-0.37996764,0.27300921,-0.27300921,0.03296660,-0.03296660,0.81472285,-0.81472285
-5.94597299,1.90682151,-1.90682151,0.01664115,-0.01664115,0.04688172,-0.04688172,0.63316840,-0.63316840,0.60269361,-0.60269361,0.39511838,-0.39511838,0.28250473,-0.28250473,0.03441380,-0.03441380,0.84459648,-0.84459648
-5.93996998,1.97537751,-1.97537751,0.01706512,-0.01706512,0.04891853,-0.04891853,0.65093146,-0.65093146,0.63002764,-0.63002764,0.40959067,-0.40959067,0.29151603,-0.29151603,0.03577499,-0.03577499,0.87294659,-0.87294659
-5.93396698,2.03885745,-2.03885745,0.01740486,-0.01740486,0.05085848,-0.05085848,0.66682712,-0.66682712,0.65541829,-0.65541829,0.42310528,-0.42310528,0.29981383,-0.29981383,0.03701978,-0.03701978,0.89915358,-0.89915358
-5.92796398,2.09588814,-2.09588815,0.01765488,-0.01765488,0.05266125,-0.05266125,0.68048026,-0.68048026,0.67839710,-0.67839710,0.43540075,-0.43540075,0.30717880,-0.30717880,0.03812013,-0.03812013,0.92263338,-0.92263338
-5.92196098,2.14521457,-2.14521457,0.01781116,-0.01781116,0.05429006,-0.05429006,0.69156341,-0.69156341,0.69853114,-0.69853114,0.44624120,-0.44624120,0.31340844,-0.31340844,0.03905113,-0.03905113,0.94285375,-0.94285375
-5.91595798,2.18573539,-2.18573539,0.01787126,-0.01787126,0.05571278,-0.05571278,0.69980537,-0.69980538,0.71543481,-0.71543481,0.45542354,-0.45542354,0.31832362,-0.31832362,0.03979154,-0.03979154,0.95934946,-0.95934946
-5.90995498,2.21653451,-2.21653451,0.01783437,-0.01783437,0.05690283,-0.05690283,0.70499850,-0.70499850,0.72878063,-0.72878063,0.46278388,-0.46278388,0.32177440,-0.32177440,0.04032442,-0.04032442,0.97173572,-0.97173572
-5.90395198,2.23690738,-2.23690738,0.01770131,-0.01770131,0.05783998,-0.05783998,0.70700420,-0.70700420,0.73830836,-0.73830836,0.46820264,-0.46820264,0.32364499,-0.32364499,0.04063748,-0.04063748,0.97971939,-0.97971939
-5.89794897,2.24638094,-2.24638094,0.01747452,-0.01747452,0.05851089,-0.05851089,0.70575649,-0.70575649,0.74383219,-0.74383219,0.47160838,-0.47160838,0.32385750,-0.32385750,0.04072347,-0.04072347,0.98310730,-0.98310730
-5.89194597,2.24472633,-2.24472633,0.01715792,-0.01715792,0.05890940,-0.05890940,0.70126332,-0.70126332,0.74524572,-0.74524572,0.47297988,-0.47297988,0.32237451,-0.32237451,0.04058021,-0.04058021,0.98181164,-0.98181164
-5.88594297,2.23196390,-2.23196390,0.01675686,-0.01675686,0.05903660,-0.05903660,0.69360578,-0.69360578,0.74252449,-0.74252449,0.47234663,-0.47234663,0.31920012,-0.31920012,0.04021068,-0.04021068,0.97585188,-0.97585188
-5.87993997,2.20836028,-2.20836028,0.01627790,-0.01627790,0.05890061,-0.05890061,0.68293498,-0.68293498,0.73572590,-0.73572590,0.46978740,-0.46978740,0.31437976,-0.31437976,0.03962282,-0.03962282,0.96535333,-0.96535333
-5.87393697,2.17441773,-2.17441773,0.01572866,-0.01572866,0.05851609,-0.05851609,0.66946686,-0.66946686,0.72498670,-0.72498670,0.46542714,-0.46542714,0.30799848,-0.30799848,0.03882925,-0.03882925,0.95054240,-0.95054240
-5.86793397,2.13085609,-2.13085609,0.01511759,-0.01511759,0.05790353,-0.05790353,0.65347501,-0.65347501,0.71051800,-0.71051800,0.45943217,-0.45943217,0.30017800,-0.30017800,0.03784686,-0.03784686,0.93173864,-0.93173864
-5.86193097,2.07858826,-2.07858826,0.01445379,-0.01445379,0.05708836,-0.05708836,0.63528184,-0.63528184,0.69259817,-0.69259817,0.45200394,-0.45200394,0.29107262,-0.29107262,0.03669624,-0.03669624,0.90934399,-0.90934399
-5.85592796,2.01869017,-2.01869017,0.01374673,-0.01374673,0.05609984,-0.05609984,0.61524839,-0.61524839,0.67156384,-0.67156383,0.44337154,-0.44337154,0.28086417,-0.28086417,0.03540111,-0.03540111,0.88382965,-0.88382964
-5.84992496,1.95236640,-1.95236640,0.01300605,-0.01300605,0.05496985,-0.05496985,0.59376315,-0.59376315,0.64779940,-0.64779940,0.43378328,-0.43378328,0.26975618,-0.26975618,0.03398765,-0.03398765,0.85572107,-0.85572107
-5.84392196,1.88091294,-1.88091293,0.01224136,-0.01224136,0.05373165,-0.05373165,0.57123033,-0.57123033,0.62172553,-0.62172553,0.42349773,-0.42349773,0.25796761,-0.25796761,0.03248371,-0.03248371,0.82558172,-0.82558172
-5.83791896,1.80567832,-1.80567832,0.01146204,-0.01146204,0.05241859,-0.05241859,0.54805797,-0.54805797,0.59378705,-0.59378705,0.41277446,-0.41277446,0.24572626,-0.24572626,0.03091819,-0.03091819,0.79399607,-0.79399607
-5.83191596,1.72802477,-1.72802477,0.01067702,-0.01067702,0.05106286,-0.05106286,0.52464635,-0.52464635,0.56444066,-0.56444066,0.40186506,-0.40186506,0.23326224,-0.23326224,0.02932023,-0.02932023,0.76155266,-0.76155266
-5.82591296,1.64929052,-1.64929052,0.00989468,-0.00989468,0.04969436,-0.04969436,0.50137708,-0.50137708,0.53414297,-0.53414297,0.39100460,-0.39100460,0.22080162,-0.22080162,0.02771854,-0.02771854,0.72882754,-0.72882754
-5.81990995,1.57075461,-1.57075461,0.00912271,-0.00912271,0.04833969,-0.04833969,0.47860316,-0.47860316,0.50333920,-0.50333920,0.38040399,-0.38040399,0.20856049,-0.20856049,0.02614078,-0.02614078,0.69636894,-0.69636894
-5.81390695,1.49360527,-1.49360527,0.00836799,-0.00836799,0.04702136,-0.04702136,0.45664042,-0.45664042,0.47245297,-0.47245297,0.37024347,-0.37024347,0.19673964,-0.19673964,0.02461292,-0.02461292,0.66468331,-0.66468331
-5.80790395,1.41891266,-1.41891265,0.00763654,-0.00763654,0.04575713,-0.04575713,0.43576053,-0.43576053,0.44187730,-0.44187730,0.36066753,-0.36066753,0.18551994,-0.18551994,0.02315875,-0.02315875,0.63422342,-0.63422342
-5.80190095,1.34760667,-1.34760667,0.00693352,-0.00693352,0.04455966,-0.04455966,0.41618570,-0.41618570,0.41196723,-0.41196723,0.35178142,-0.35178142,0.17505853,-0.17505853,0.02179939,-0.02179939,0.60537856,-0.60537856
-5.79589795,1.28046024,-1.28046024,0.00626313,-0.00626313,0.04343640,-0.04343640,0.39808522,-0.39808522,0.38303401,-0.38303401,0.34364925,-0.34364925,0.16548590,-0.16548590,0.02055296,-0.02055296,0.57846723,-0.57846723
-5.78989495,1.21807832,-1.21807832,0.00562871,-0.00562871,0.04238961,-0.04238961,0.38157382,-0.38157382,0.35534107,-0.35534107,0.33629387,-0.33629387,0.15690388,-0.15690388,0.01943422,-0.01943422,0.55373226,-0.55373226
-5.78389195,1.16089243,-1.16089243,0.00503270,-0.00503270,0.04141675,-0.04141675,0.36671190,-0.36671190,0.32910162,-0.32910162,0.32969839,-0.32969839,0.14938448,-0.14938448,0.01845442,-0.01845442,0.53133850,-0.53133850
