energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.37174090,-2.42434779,0.03991250,-0.03607656,0.27357296,-0.28566662,1.96777099,-1.41972953,0.62414879,-0.41982132,0.69304316,-0.59194985,0.03896312,-0.01806718,1.66062843,-1.11752628
-5.99399700,3.52877445,-2.46632527,0.04269523,-0.03499345,0.28506859,-0.28590544,2.06176043,-1.46452689,0.65771938,-0.41662494,0.72331162,-0.59849147,0.04115074,-0.01920977,1.74023739,-1.14666068
-5.98799400,3.68142274,-2.50997449,0.04544705,-0.03403639,0.29668106,-0.28560337,2.15537242,-1.51133288,0.69047946,-0.41314940,0.75151259,-0.60464654,0.04331453,-0.02039819,1.81725791,-1.17777963
-5.98199100,3.82756106,-2.55570539,0.04811794,-0.03323767,0.30828994,-0.28486335,2.24768635,-1.56020784,0.72192319,-0.40960925,0.77714692,-0.61053499,0.04543991,-0.02163075,1.89060607,-1.21097004
-5.97598799,3.96517353,-2.60389122,0.05065833,-0.03262603,0.31977314,-0.28379595,2.33782457,-1.61118827,0.75156463,-0.40621760,0.79976379,-0.61627340,0.04751279,-0.02290531,1.95926126,-1.24628450
-5.96998499,4.09239671,-2.65485176,0.05302018,-0.03222579,0.33100853,-0.28251669,2.42496868,-1.66428126,0.77894849,-0.40318032,0.81897181,-0.62197029,0.04951965,-0.02421936,2.02228946,-1.28373514
-5.96398199,4.20755936,-2.70883793,0.05515827,-0.03205622,0.34187561,-0.28114357,2.50837392,-1.71945973,0.80366016,-0.40069061,0.83444839,-0.62772160,0.05144757,-0.02557012,2.07886426,-1.32328805
-5.95797899,4.30921680,-2.76601858,0.05703127,-0.03213094,0.35225723,-0.27979472,2.58738115,-1.77665887,0.82533473,-0.39892441,0.84594717,-0.63360677,0.05328427,-0.02695460,2.12828468,-1.36485898
-5.95197599,4.39617876,-2.82647024,0.05860284,-0.03245756,0.36204127,-0.27858635,2.66142602,-1.83577396,0.84366464,-0.39803650,0.85330297,-0.63968550,0.05501809,-0.02836970,2.16998926,-1.40831026
-5.94597299,4.46752975,-2.89017028,0.05984254,-0.03303746,0.37112240,-0.27763086,2.73004529,-1.89665989,0.85840571,-0.39815758,0.85643429,-0.64599535,0.05663797,-0.02981228,2.20356585,-1.45344968
