energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.64072077,0.00912740,0.01209425,0.00980099,0.40976960,0.14622590,0.19702360,0.13037941,0.03673018
-5.99399700,0.60263522,0.00805565,0.01170584,0.00913295,0.38618780,0.13971654,0.18431278,0.11856258,0.03527786
-5.98799400,0.56778198,0.00708527,0.01134364,0.00846156,0.36500421,0.13535537,0.17179649,0.10811288,0.03410334
-5.98199100,0.53657934,0.00621638,0.01101818,0.00779429,0.34648036,0.13318029,0.15964583,0.09907533,0.03322726
-5.97598799,0.50942215,0.00544834,0.01073959,0.00713843,0.33086216,0.13322272,0.14802308,0.09148716,0.03266911
-5.96998499,0.48667276,0.00477999,0.01051724,0.00650083,0.31837415,0.13550631,0.13707860,0.08537854,0.03244642
-5.96398199,0.46865316,0.00420989,0.01035947,0.00588781,0.30921459,0.14004551,0.12694831,0.08077335,0.03257407
-5.95797899,0.45563875,0.00373648,0.01027337,0.00530500,0.30355133,0.14684406,0.11775197,0.07768987,0.03306360
-5.95197599,0.44785369,0.00335832,0.01026457,0.00475726,0.30151875,0.15589343,0.10959215,0.07614139,0.03392272
-5.94597299,0.44546793,0.00307425,0.01033716,0.00424861,0.30321563,0.16717140,0.10255391,0.07613660,0.03515487
-5.93996998,0.44859592,0.00288354,0.01049366,0.00378225,0.30870406,0.18064067,0.09670523,0.07767985,0.03675897
-5.93396698,0.45729688,0.00278601,0.01073504,0.00336053,0.31800934,0.19624778,0.09209785,0.08077098,0.03872930
-5.92796398,0.47157635,0.00278210,0.01106081,0.00298500,0.33112062,0.21392223,0.08876871,0.08540510,0.04105549
-5.92196098,0.49138887,0.00287289,0.01146919,0.00265649,0.34799235,0.23357592,0.08674160,0.09157186,0.04372270
-5.91595798,0.51664138,0.00306012,0.01195730,0.00237513,0.36854621,0.25510287,0.08602905,0.09925459,0.04671187
-5.90995498,0.54719708,0.00334610,0.01252133,0.00214047,0.39267328,0.27837929,0.08663420,0.10842907,0.05000010
-5.90395198,0.58287934,0.00373361,0.01315683,0.00195159,0.42023643,0.30326393,0.08855261,0.11906219,0.05356109
-5.89794897,0.62347527,0.00422572,0.01385890,0.00180710,0.45107255,0.32959864,0.09177374,0.13111029,0.05736563
-5.89194597,0.66873871,0.00482564,0.01462238,0.00170528,0.48499439,0.35720918,0.09628214,0.14451756,0.06138212
-5.88594297,0.71839234,0.00553640,0.01544204,0.00164416,0.52179206,0.38590611,0.10205819,0.15921426,0.06557701
-5.87993997,0.77212862,0.00636064,0.01631270,0.00162151,0.56123374,0.41548579,0.10907819,0.17511511,0.06991533
-5.87393697,0.82960961,0.00730027,0.01722924,0.00163494,0.60306585,0.44573139,0.11731409,0.19211782,0.07436101
-5.86793397,0.89046554,0.00835614,0.01818665,0.00168191,0.64701241,0.47641389,0.12673252,0.21010179,0.07887721
-5.86193097,0.95429229,0.00952774,0.01917997,0.00175972,0.69277382,0.50729301,0.13729338,0.22892732,0.08342656
-5.85592796,1.02064797,0.01081285,0.02020411,0.00186559,0.74002509,0.53811820,0.14894800,0.24843512,0.08797124
-5.84992496,1.08904909,0.01220728,0.02125373,0.00199658,0.78841386,0.56862959,0.16163695,0.26844643,0.09247309
-5.84392196,1.15896656,0.01370459,0.02232304,0.00214964,0.83755833,0.59855900,0.17528773,0.28876376,0.09689357
-5.83791896,1.22982222,0.01529588,0.02340553,0.00232160,0.88704562,0.62763120,0.18981242,0.30917225,0.10119373
-5.83191596,1.30098642,0.01696966,0.02449384,0.00250913,0.93643074,0.65556540,0.20510554,0.32944176,0.10533422
-5.82591296,1.37177725,0.01871179,0.02557949,0.00270880,0.98523671,0.68207714,0.22104229,0.34932962,0.10927529
-5.81990995,1.44146203,0.02050551,0.02665283,0.00291703,1.03295614,0.70688070,0.23747733,0.36858415,0.11297687
-5.81390695,1.50926150,0.02233154,0.02770293,0.00313015,1.07905447,0.72969210,0.25424440,0.38694877,0.11639884
-5.80790395,1.57435715,0.02416834,0.02871760,0.00334442,1.12297540,0.75023279,0.27115678,0.40416664,0.11950139
-5.80190095,1.63590194,0.02599242,0.02968358,0.00355606,1.16414830,0.76823397,0.28800882,0.41998580,0.12224556
-5.79589795,1.69303434,0.02777874,0.03058670,0.00376127,1.20199789,0.78344163,0.30457854,0.43416467,0.12459396
-5.78989495,1.74489571,0.02950126,0.03141227,0.00395636,1.23595595,0.79562211,0.32063135,0.44647754,0.12651170
-5.78389195,1.79065034,0.03113350,0.03214551,0.00413774,1.26547476,0.80456815,0.33592483,0.45672023,0.12796742
-5.77788894,1.82950791,0.03264917,0.03277202,0.00430202,1.29004197,0.81010507,0.35021447,0.46471539,0.12893445
-5.77188594,1.86074719,0.03402287,0.03327843,0.00444610,1.30919621,0.81209703,0.36326011,0.47031740,0.12939206
-5.76588294,1.88374025,0.03523075,0.03365290,0.00456718,1.32254300,0.81045287,0.37483300,0.47341675,0.12932669
-5.75987994,1.89797605,0.03625122,0.03388584,0.00466290,1.32976998,0.80513140,0.38472307,0.47394347,0.12873315
-5.75387694,1.90308223,0.03706555,0.03397036,0.00473134,1.33066100,0.79614577,0.39274614,0.47186978,0.12761563
-5.74787394,1.89884399,0.03765846,0.03390286,0.00477110,1.32510810,0.78356658,0.39875081,0.46721154,0.12598856
-5.74187094,1.88521915,0.03801857,0.03368336,0.00478133,1.31312089,0.76752361,0.40262454,0.46002864,0.12387717
-5.73586793,1.86234832,0.03813883,0.03331584,0.00476172,1.29483266,0.74820586,0.40429887,0.45042417,0.12131777
-5.72986493,1.83055972,0.03801670,0.03280834,0.00471256,1.27050284,0.72585989,0.40375329,0.43854242,0.11835761
-5.72386193,1.79036815,0.03765429,0.03217296,0.00463469,1.24051563,0.70078641,0.40101765,0.42456575,0.11505447
-5.71785893,1.74246797,0.03705837,0.03142565,0.00452949,1.20537458,0.67333518,0.39617297,0.40871057,0.11147574
-5.71185593,1.68772036,0.03624010,0.03058596,0.00439881,1.16569355,0.64389841,0.38935063,0.39122236,0.10769729
-5.70585293,1.62713535,0.03521484,0.02967649,0.00424496,1.12218408,0.61290290,0.38072986,0.37237009,0.10380193
-5.69984992,1.56184926,0.03400166,0.02872237,0.00407059,1.07564002,0.58080122,0.37053372,0.35244031,0.09987765
