energy_ev,total_up,Au_p_up,Au_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,5.35445404,0.45702002,4.52306143,0.01973622,0.20246008,0.39529321,0.00000000
-5.99399700,5.22335577,0.44488844,4.40463838,0.01966369,0.19963466,0.39236866,0.00000000
-5.98799400,5.09765869,0.43315960,4.29022518,0.01956259,0.19697691,0.39032112,0.00000000
-5.98199100,4.97981113,0.42187075,4.18218246,0.01943446,0.19445059,0.38925732,0.00000000
-5.97598799,4.87214679,0.41107137,4.08274904,0.01928153,0.19203696,0.38926940,0.00000000
-5.96998499,4.77679676,0.40081882,3.99396122,0.01910657,0.18973542,0.39042755,0.00000000
-5.96398199,4.69561013,0.39117383,3.91758080,0.01891263,0.18756340,0.39277371,0.00000000
-5.95797899,4.63008734,0.38219619,3.85503532,0.01870282,0.18555560,0.39631650,0.00000000
-5.95197599,4.58132947,0.37394081,3.80737339,0.01848007,0.18376257,0.40102794,0.00000000
-5.94597299,4.55000580,0.36645452,3.77523702,0.01824697,0.18224871,0.40684197,0.00000000
-5.93996998,4.53634096,0.35977362,3.75885187,0.01800560,0.18108985,0.41365502,0.00000000
-5.93396698,4.54012174,0.35392245,3.75803551,0.01775739,0.18037051,0.42132858,0.00000000
-5.92796398,4.56072267,0.34891280,3.77222256,0.01750307,0.18018085,0.42969368,0.00000000
-5.92196098,4.59714846,0.34474426,3.80050501,0.01724268,0.18061356,0.43855691,0.00000000
-5.91595798,4.64809041,0.34140542,3.84168490,0.01697555,0.18176072,0.44770791,0.00000000
-5.90995498,4.71199339,0.33887560,3.89433639,0.01670047,0.18371082,0.45692767,0.00000000
-5.90395198,4.78712949,0.33712711,3.95687359,0.01641573,0.18654586,0.46599734,0.00000000
-5.89794897,4.87167424,0.33612768,4.02762040,0.01611934,0.19033886,0.47470705,0.00000000
-5.89194597,4.96378131,0.33584291,4.10487894,0.01580920,0.19515164,0.48286426,0.00000000
-5.88594297,5.06165214,0.33623859,4.18699308,0.01548329,0.20103298,0.49030123,0.00000000
-5.87993997,5.16359697,0.33728253,4.27240432,0.01513983,0.20801726,0.49688126,0.00000000
-5.87393697,5.26808506,0.33894597,4.35969782,0.01477748,0.21612343,0.50250340,0.00000000
-5.86793397,5.37378206,0.34120435,4.44763696,0.01439551,0.22535445,0.50710545,0.00000000
-5.86193097,5.47957378,0.34403745,4.53518577,0.01399385,0.23569706,0.51066518,0.00000000
-5.85592796,5.58457626,0.34742885,4.62151919,0.01357325,0.24712194,0.51319976,0.00000000
-5.84992496,5.68813301,0.35136485,4.70602196,0.01313523,0.25958403,0.51476362,0.00000000
-5.84392196,5.78980074,0.35583293,4.78827736,0.01268215,0.27302322,0.51544477,0.00000000
-5.83791896,5.88932593,0.36081979,4.86804787,0.01221714,0.28736507,0.51536009,0.00000000
-5.83191596,5.98661446,0.36630933,4.94524970,0.01174402,0.30252168,0.51464967,0.00000000
-5.82591296,6.08169731,0.37228054,5.01992385,0.01126720,0.31839268,0.51347076,0.00000000
-5.81990995,6.17469478,0.37870558,5.09220582,0.01079154,0.33486612,0.51199155,0.00000000
-5.81390695,6.26578220,0.38554813,5.16229653,0.01032224,0.35181947,0.51038514,0.00000000
-5.80790395,6.35515906,0.39276229,5.23043611,0.00986468,0.36912056,0.50882398,0.00000000
-5.80190095,6.44302376,0.40029188,5.29688239,0.00942427,0.38662856,0.50747503,0.00000000
-5.79589795,6.52955508,0.40807047,5.36189504,0.00900631,0.40419496,0.50649581,0.00000000
-5.78989495,6.61490126,0.41602193,5.42572598,0.00861590,0.42166462,0.50603137,0.00000000
-5.78389195,6.69917673,0.42406163,5.48861611,0.00825778,0.43887695,0.50621226,0.00000000
-5.77788894,6.78246615,0.43209820,5.55079793,0.00793629,0.45566720,0.50715351,0.00000000
-5.77188594,6.86483478,0.44003571,5.61250320,0.00765527,0.47186802,0.50895440,0.00000000
-5.76588294,6.94634381,0.44777619,5.67397434,0.00741798,0.48731114,0.51169900,0.00000000
-5.75987994,7.02706910,0.45522248,5.73547824,0.00722713,0.50182938,0.51545728,0.00000000
-5.75387694,7.10712132,0.46228099,5.79732068,0.00708479,0.51525892,0.52028663,0.00000000
-5.74787394,7.18666573,0.46886459,5.85985997,0.00699239,0.52744172,0.52623358,0.00000000
-5.74187094,7.26593960,0.47489520,5.92351805,0.00695074,0.53822828,0.53333558,0.00000000
-5.73586793,7.34526577,0.48030615,5.98878776,0.00695998,0.54748039,0.54162273,0.00000000
-5.72986493,7.42506068,0.48504416,6.05623510,0.00701962,0.55507408,0.55111920,0.00000000
-5.72386193,7.50583596,0.48907077,6.12649570,0.00712852,0.56090244,0.56184446,0.00000000
-5.71785893,7.58819273,0.49236337,6.20026491,0.00728490,0.56487829,0.57381399,0.00000000
-5.71185593,7.67280833,0.49491553,6.27828157,0.00748636,0.56693670,0.58703961,0.00000000
-5.70585293,7.76041557,0.49673690,6.36130545,0.00772989,0.56703696,0.60152935,0.00000000
-5.69984992,7.85177506,0.49785245,6.45008923,0.00801186,0.56516422,0.61728683,0.00000000
-5.69384692,7.94764154,0.49830125,6.54534584,0.00832809,0.56133047,0.63431017,0.00000000
-5.68784392,8.04872552,0.49813473,6.64771247,0.00867388,0.55557492,0.65259051,0.00000000
-5.68184092,8.15565179,0.49741457,6.75771269,0.00904403,0.54796367,0.67211020,0.00000000
-5.67583792,8.26891684,0.49621028,6.87571860,0.00943293,0.53858871,0.69284059,0.00000000
-5.66983492,8.38884719,0.49459650,7.00191462,0.00983467,0.52756622,0.71473976,0.00000000
-5.66383192,8.51556086,0.49265025,7.13626512,0.01024307,0.51503432,0.73775008,0.00000000
-5.65782891,8.64893421,0.49044810,7.27848770,0.01065187,0.50115016,0.76179583,0.00000000
-5.65182591,8.78857643,0.48806351,7.42803393,0.01105482,0.48608673,0.78678103,0.00000000
-5.64582291,8.93381354,0.48556432,7.58407939,0.01144583,0.47002922,0.81258761,0.00000000
-5.63981991,9.08368367,0.48301061,7.74552425,0.01181917,0.45317130,0.83907409,0.00000000
-5.63381691,9.23694495,0.48045296,7.91100543,0.01216960,0.43571134,0.86607495,0.00000000
-5.62781391,9.39209677,0.47793115,8.07892102,0.01249258,0.41784868,0.89340084,0.00000000
-5.62181091,9.54741458,0.47547351,8.24746670,0.01278443,0.39978021,0.92083964,0.00000000
