energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,0.47383924,0.00186737,0.02125713,0.15590644,0.06870144,0.30718237,0.00000000
-5.99399700,0.45882412,0.00207777,0.02035643,0.15899219,0.06468081,0.29752309,0.00000000
-5.98799400,0.44810096,0.00232875,0.01975730,0.16318271,0.06150202,0.29038243,0.00000000
-5.98199100,0.44120910,0.00261965,0.01946923,0.16830335,0.05911221,0.28541010,0.00000000
-5.97598799,0.43769655,0.00294929,0.01950432,0.17418636,0.05746212,0.28225444,0.00000000
-5.96998499,0.43713543,0.00331595,0.01987768,0.18067633,0.05650818,0.28057300,0.00000000
-5.96398199,0.43913600,0.00371722,0.02060763,0.18763526,0.05621435,0.28004253,0.00000000
-5.95797899,0.44335889,0.00415003,0.02171577,0.19494683,0.05655346,0.28036799,0.00000000
-5.95197599,0.44952503,0.00461060,0.02322682,0.20251992,0.05750816,0.28129044,0.00000000
-5.94597299,0.45742304,0.00509443,0.02516822,0.21029127,0.05907122,0.28259359,0.00000000
-5.93996998,0.46691367,0.00559637,0.02756937,0.21822698,0.06124538,0.28410884,0.00000000
-5.93396698,0.47793114,0.00611066,0.03046065,0.22632305,0.06404249,0.28571874,0.00000000
-5.92796398,0.49048134,0.00663107,0.03387208,0.23460471,0.06748211,0.28735863,0.00000000
-5.92196098,0.50463676,0.00715104,0.03783174,0.24312456,0.07158959,0.28901669,0.00000000
-5.91595798,0.52052843,0.00766382,0.04236393,0.25195969,0.07639353,0.29073210,0.00000000
-5.90995498,0.53833500,0.00816272,0.04748709,0.26120763,0.08192288,0.29259166,0.00000000
-5.90395198,0.55826941,0.00864128,0.05321166,0.27098140,0.08820375,0.29472474,0.00000000
-5.89794897,0.58056356,0.00909352,0.05953793,0.28140378,0.09525597,0.29729683,0.00000000
-5.89194597,0.60545163,0.00951414,0.06645393,0.29260082,0.10308961,0.30050181,0.00000000
