energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.25922847,0.00470508,0.22621496,0.60675122,0.66047373,1.12623245,0.00000000,0.67043616,0.38615234
-5.99399700,2.24304247,0.00452980,0.22519949,0.59454169,0.66395101,1.11045540,0.00000000,0.65721150,0.38230867
-5.98799400,2.22641025,0.00440138,0.22345538,0.58171182,0.66869777,1.09364201,0.00000000,0.64371430,0.37811255
-5.98199100,2.20933153,0.00431914,0.22098842,0.56829420,0.67465427,1.07584776,0.00000000,0.62996667,0.37361057
-5.97598799,2.19196710,0.00428250,0.21783423,0.55436727,0.68179266,1.05721472,0.00000000,0.61603146,0.36887819
-5.96998499,2.17463818,0.00429107,0.21405737,0.54005551,0.69011721,1.03797214,0.00000000,0.60201309,0.36401804
-5.96398199,2.15781658,0.00434465,0.20974942,0.52552714,0.69966212,1.01843246,0.00000000,0.58805573,0.35915678
-5.95797899,2.14210668,0.00444329,0.20502591,0.51098943,0.71048718,0.99898294,0.00000000,0.57433907,0.35444082
-5.95197599,2.12822020,0.00458725,0.20002246,0.49668195,0.72267172,0.98007349,0.00000000,0.56107187,0.35003101
-5.94597299,2.11694533,0.00477697,0.19489006,0.48286812,0.73630728,0.96220124,0.00000000,0.54848373,0.34609656
-5.93996998,2.10911190,0.00501295,0.18978990,0.46982556,0.75148968,0.94589268,0.00000000,0.53681546,0.34280846
-5.93396698,2.10555464,0.00529570,0.18488783,0.45783563,0.76831098,0.93168432,0.00000000,0.52630871,0.34033270
-5.92796398,2.10707620,0.00562556,0.18034879,0.44717291,0.78685195,0.92010269,0.00000000,0.51719523,0.33882348
-5.92196098,2.11441196,0.00600262,0.17633131,0.43809477,0.80717556,0.91164471,0.00000000,0.50968649,0.33841684
-5.91595798,2.12819819,0.00642651,0.17298237,0.43083190,0.82932190,0.90675906,0.00000000,0.50396400,0.33922470
-5.90995498,2.14894484,0.00689632,0.17043273,0.42557980,0.85330483,0.90582959,0.00000000,0.50017091,0.34132986
-5.90395198,2.17701417,0.00741040,0.16879292,0.42249185,0.87911057,0.90916104,0.00000000,0.49840512,0.34478182
-5.89794897,2.21260583,0.00796622,0.16814997,0.42167395,0.90669823,0.91696784,0.00000000,0.49871430,0.34959380
-5.89194597,2.25574880,0.00856033,0.16856493,0.42318111,0.93600217,0.92936606,0.00000000,0.50109291,0.35574098
-5.88594297,2.30630011,0.00918819,0.17007134,0.42701580,0.96693603,0.94636883,0.00000000,0.50548139,0.36316001
-5.87993997,2.36395018,0.00984416,0.17267445,0.43312819,0.99939793,0.96788517,0.00000000,0.51176738,0.37174983
-5.87393697,2.42823415,0.01052149,0.17635142,0.44141823,1.03327669,0.99372221,0.00000000,0.51978904,0.38137382
-5.86793397,2.49854839,0.01121234,0.18105232,0.45173921,1.06845836,1.02359053,0.00000000,0.52934023,0.39186320
-5.86193097,2.57417141,0.01190786,0.18670181,0.46390297,1.10483270,1.05711236,0.00000000,0.54017731,0.40302158
-5.85592796,2.65428813,0.01259831,0.19320171,0.47768613,1.14229915,1.09383242,0.00000000,0.55202735,0.41463046
-5.84992496,2.73801643,0.01327325,0.20043403,0.49283755,1.18077192,1.13323087,0.00000000,0.56459752,0.42645570
-5.84392196,2.82443499,0.01392174,0.20826468,0.50908641,1.22018374,1.17473806,0.00000000,0.57758509,0.43825454
-5.83791896,2.91261156,0.01453262,0.21654754,0.52615089,1.26048819,1.21775061,0.00000000,0.59068804,0.44978308
-5.83191596,3.00163051,0.01509479,0.22512892,0.54374713,1.30166033,1.26164846,0.00000000,0.60361563,0.46080398
-5.82591296,3.09061912,0.01559751,0.23385224,0.56159820,1.34369572,1.30581236,0.00000000,0.61609886,0.47109395
-5.81990995,3.17877157,0.01603075,0.24256277,0.57944285,1.38660773,1.34964129,0.00000000,0.62790013,0.48045105
-5.81390695,3.26537025,0.01638547,0.25111239,0.59704375,1.43042353,1.39256947,0.00000000,0.63882220,0.48870123
-5.80790395,3.34980358,0.01665395,0.25936408,0.61419496,1.47517872,1.43408238,0.00000000,0.64871569,0.49570413
-5.80190095,3.43157996,0.01683006,0.26719610,0.63072841,1.52091110,1.47373130,0.00000000,0.65748520,0.50135767
-5.79589795,3.51033741,0.01690945,0.27450567,0.64651903,1.56765370,1.51114591,0.00000000,0.66509359,0.50560143
-5.78989495,3.58584858,0.01688980,0.28121194,0.66148843,1.61542763,1.54604444,0.00000000,0.67156420,0.50841858
-5.78389195,3.65802076,0.01677085,0.28725822,0.67560676,1.66423479,1.57824103,0.00000000,0.67698102,0.50983625
-5.77788894,3.72689099,0.01655446,0.29261323,0.68889278,1.71405096,1.60764978,0.00000000,0.68148659,0.50992437
-5.77188594,3.79261603,0.01624463,0.29727137,0.70141179,1.76481939,1.63428540,0.00000000,0.68527758,0.50879287
-5.76588294,3.85545747,0.01584732,0.30125195,0.71327160,1.81644526,1.65826005,0.00000000,0.68859829,0.50658746
-5.75987994,3.91576231,0.01537029,0.30459729,0.72461650,1.86879102,1.67977651,0.00000000,0.69173203,0.50348407
-5.75387694,3.97393938,0.01482290,0.30736985,0.73561924,1.92167284,1.69911759,0.00000000,0.69499072,0.49968212
-5.74787394,4.03043241,0.01421577,0.30964842,0.74647159,1.97485833,1.71663219,0.00000000,0.69870303,0.49539686
