energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,4.27039611,0.00810003,0.55464202,0.03528913,0.00000000,1.27714205,0.99673718,2.06568991,0.00000000
-5.99399700,4.15708951,0.00811395,0.56169710,0.03356691,0.00000000,1.25921092,1.00162993,1.97970290,0.00000000
-5.98799400,4.04967829,0.00817252,0.57030034,0.03183903,0.00000000,1.24440298,1.00921874,1.89627026,0.00000000
-5.98199100,3.95016261,0.00828301,0.58074093,0.03012613,0.00000000,1.23330867,1.01999239,1.81635533,0.00000000
-5.97598799,3.86043052,0.00845211,0.59332022,0.02844848,0.00000000,1.22648055,1.03444172,1.74081724,0.00000000
-5.96998499,3.78220570,0.00868567,0.60834129,0.02682547,0.00000000,1.22441726,1.05304184,1.67039021,0.00000000
-5.96398199,3.71699928,0.00898850,0.62609720,0.02527515,0.00000000,1.22754817,1.07623302,1.60566736,0.00000000
-5.95797899,3.66606737,0.00936406,0.64685860,0.02381386,0.00000000,1.23621912,1.10440121,1.54708967,0.00000000
-5.95197599,3.63037581,0.00981429,0.67086091,0.02245586,0.00000000,1.25067985,1.13785873,1.49494056,0.00000000
-5.94597299,3.61057354,0.01033942,0.69829164,0.02121312,0.00000000,1.27107359,1.17682610,1.44934617,0.00000000
-5.93996998,3.60697522,0.01093774,0.72927846,0.02009509,0.00000000,1.29742912,1.22141562,1.41028116,0.00000000
-5.93396698,3.61955369,0.01160557,0.76387836,0.01910861,0.00000000,1.32965575,1.27161770,1.37757976,0.00000000
-5.92796398,3.64794224,0.01233712,0.80206852,0.01825793,0.00000000,1.36754132,1.32729031,1.35095112,0.00000000
-5.92196098,3.69144649,0.01312455,0.84373940,0.01754473,0.00000000,1.41075338,1.38815248,1.32999839,0.00000000
-5.91595798,3.74906519,0.01395797,0.88869034,0.01696822,0.00000000,1.45884365,1.45378214,1.31424034,0.00000000
-5.90995498,3.81951917,0.01482563,0.93662809,0.01652537,0.00000000,1.51125558,1.52361869,1.30313451,0.00000000
-5.90395198,3.90128714,0.01571407,0.98716840,0.01621108,0.00000000,1.56733495,1.59697041,1.29610095,0.00000000
-5.89794897,3.99264731,0.01660845,1.03984094,0.01601845,0.00000000,1.62634315,1.67302668,1.29254521,0.00000000
-5.89194597,4.09172329,0.01749288,1.09409725,0.01593910,0.00000000,1.68747298,1.75087478,1.29188009,0.00000000
-5.88594297,4.19653286,0.01835081,1.14932176,0.01596339,0.00000000,1.74986623,1.82952071,1.29354492,0.00000000
-5.87993997,4.30503815,0.01916546,1.20484549,0.01608078,0.00000000,1.81263297,1.90791343,1.29702218,0.00000000
-5.87393697,4.41519578,0.01992037,1.25996195,0.01628011,0.00000000,1.87487156,1.98497171,1.30185072,0.00000000
-5.86793397,4.52500552,0.02059982,1.31394466,0.01654986,0.00000000,1.93568915,2.05961239,1.30763554,0.00000000
-5.86193097,4.63255618,0.02118939,1.36606578,0.01687850,0.00000000,1.99422181,2.13077927,1.31405401,0.00000000
-5.85592796,4.73606740,0.02167635,1.41561486,0.01725471,0.00000000,2.04965375,2.19747111,1.32085868,0.00000000
-5.84992496,4.83392634,0.02205015,1.46191721,0.01766763,0.00000000,2.10123496,2.25876799,1.32787682,0.00000000
-5.84392196,4.92471824,0.02230275,1.50435106,0.01810709,0.00000000,2.14829683,2.31385451,1.33500727,0.00000000
-5.83791896,5.00725008,0.02242888,1.54236275,0.01856385,0.00000000,2.19026495,2.36203932,1.34221469,0.00000000
-5.83191596,5.08056681,0.02242626,1.57547944,0.01902972,0.00000000,2.22666905,2.40276985,1.34952199,0.00000000
-5.82591296,5.14395970,0.02229563,1.60331891,0.01949778,0.00000000,2.25714939,2.43564187,1.35700115,0.00000000
-5.81990995,5.19696686,0.02204074,1.62559593,0.01996245,0.00000000,2.28145975,2.46040361,1.36476304,0.00000000
-5.81390695,5.23936601,0.02166824,1.64212528,0.02041959,0.00000000,2.29946673,2.47695424,1.37294650,0.00000000
-5.80790395,5.27115991,0.02118738,1.65282124,0.02086658,0.00000000,2.31114568,2.48533725,1.38170725,0.00000000
-5.80190095,5.29255524,0.02060972,1.65769384,0.02130225,0.00000000,2.31657340,2.48572898,1.39120674,0.00000000
