energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.81960871,-0.33843920,0.70828974,-0.24221365,0.19730632,-0.06620236,0.16142344,-0.05100353,0.00000000,-0.00000000,0.36684930,-0.17564914,0.00000000,-0.00000000
-5.99399700,0.85209812,-0.33759570,0.74516600,-0.24279283,0.20224953,-0.06625401,0.16451129,-0.05268900,0.00000000,-0.00000000,0.38580243,-0.17363642,0.00000000,-0.00000000
-5.98799400,0.88784904,-0.33928962,0.78573215,-0.24623181,0.20754105,-0.06670562,0.16761091,-0.05452931,0.00000000,-0.00000000,0.40696719,-0.17322094,0.00000000,-0.00000000
-5.98199100,0.92725465,-0.34397575,0.83020807,-0.25301236,0.21330002,-0.06762617,0.17083493,-0.05657745,0.00000000,-0.00000000,0.43046445,-0.17466912,0.00000000,-0.00000000
-5.97598799,0.97069436,-0.35210608,0.87876780,-0.26361008,0.21965268,-0.06908398,0.17430504,-0.05888852,0.00000000,-0.00000000,0.45639210,-0.17824348,0.00000000,-0.00000000
-5.96998499,1.01851276,-0.36411944,0.93152210,-0.27848334,0.22672734,-0.07114500,0.17814776,-0.06151785,0.00000000,-0.00000000,0.48481584,-0.18419729,0.00000000,-0.00000000
-5.96398199,1.07099756,-0.38042970,0.98850114,-0.29806102,0.23464904,-0.07387085,0.18248984,-0.06451888,0.00000000,-0.00000000,0.51576000,-0.19276831,0.00000000,-0.00000000
-5.95797899,1.12835778,-0.40141278,1.04963823,-0.32272921,0.24353385,-0.07731662,0.18745331,-0.06794094,0.00000000,-0.00000000,0.54919880,-0.20417198,0.00000000,-0.00000000
-5.95197599,1.19070318,-0.42739262,1.11475568,-0.35281701,0.25348322,-0.08152854,0.19315043,-0.07182690,0.00000000,-0.00000000,0.58504887,-0.21859402,0.00000000,-0.00000000
-5.94597299,1.25802610,-0.45862664,1.18355376,-0.38858190,0.26457861,-0.08654147,0.19967872,-0.07621081,0.00000000,-0.00000000,0.62316331,-0.23618255,0.00000000,-0.00000000
-5.93996998,1.33018693,-0.49529104,1.25560374,-0.43019489,0.27687664,-0.09237654,0.20711631,-0.08111573,0.00000000,-0.00000000,0.66332801,-0.25704015,0.00000000,-0.00000000
-5.93396698,1.40690394,-0.53746668,1.33034567,-0.47772625,0.29040486,-0.09903884,0.21551770,-0.08655168,0.00000000,-0.00000000,0.70526044,-0.28121600,0.00000000,-0.00000000
-5.92796398,1.48774846,-0.58512618,1.40709171,-0.53113222,0.30515861,-0.10651535,0.22491024,-0.09251401,0.00000000,-0.00000000,0.74861139,-0.30869851,0.00000000,-0.00000000
-5.92196098,1.57214588,-0.63812291,1.48503506,-0.59024354,0.32109883,-0.11477341,0.23529135,-0.09898223,0.00000000,-0.00000000,0.79296983,-0.33940887,0.00000000,-0.00000000
-5.91595798,1.65938262,-0.69618286,1.56326477,-0.65475644,0.33815116,-0.12375957,0.24662669,-0.10591935,0.00000000,-0.00000000,0.83787072,-0.37319590,0.00000000,-0.00000000
-5.90995498,1.74861932,-0.75889980,1.64078608,-0.72422707,0.35620626,-0.13339923,0.25884934,-0.11327186,0.00000000,-0.00000000,0.88280583,-0.40983273,0.00000000,-0.00000000
-5.90395198,1.83890963,-0.82573481,1.71654568,-0.79806977,0.37512146,-0.14359694,0.27186003,-0.12097044,0.00000000,-0.00000000,0.92723721,-0.44901553,0.00000000,-0.00000000
