energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.97979285,0.00819752,0.03283191,0.76678798,0.57883908,1.27957500,0.00000000,0.81648846,0.24705824
-5.99399700,1.97214771,0.00881124,0.03266274,0.76863381,0.57400974,1.27645152,0.00000000,0.82218987,0.24584020
-5.98799400,1.95810701,0.00942556,0.03241149,0.76709713,0.56716583,1.26886713,0.00000000,0.82403211,0.24372744
-5.98199100,1.93815339,0.01003470,0.03208056,0.76223990,0.55852285,1.25710051,0.00000000,0.82202822,0.24078600
-5.97598799,1.91293766,0.01063319,0.03167542,0.75420385,0.54834041,1.24154447,0.00000000,0.81628127,0.23710827
-5.96998499,1.88325771,0.01121600,0.03120433,0.74320432,0.53691487,1.22269258,0.00000000,0.80697859,0.23280970
-5.96398199,1.85003175,0.01177872,0.03067795,0.72952174,0.52457044,1.20112221,0.00000000,0.79438333,0.22802466
-5.95797899,1.81426688,0.01231757,0.03010890,0.71349106,0.51164906,1.17747442,0.00000000,0.77882348,0.22290167
-5.95197599,1.77702405,0.01282960,0.02951118,0.69548964,0.49849948,1.15243147,0.00000000,0.76067906,0.21759806
-5.94597299,1.73938053,0.01331259,0.02889949,0.67592400,0.48546591,1.12669278,0.00000000,0.74036790,0.21227442
-5.93996998,1.70239148,0.01376514,0.02828864,0.65521594,0.47287654,1.10095010,0.00000000,0.71833050,0.20708884
-5.93396698,1.66705178,0.01418654,0.02769280,0.63378858,0.46103261,1.07586305,0.00000000,0.69501485,0.20219130
-5.92796398,1.63425993,0.01457669,0.02712494,0.61205277,0.45019817,1.05203567,0.00000000,0.67086152,0.19771836
-5.92196098,1.60478505,0.01493598,0.02659613,0.59039443,0.44059122,1.02999521,0.00000000,0.64628987,0.19378830
-5.91595798,1.57923865,0.01526507,0.02611515,0.56916324,0.43237631,1.01017359,0.00000000,0.62168568,0.19049695
-5.90995498,1.55805201,0.01556475,0.02568798,0.54866305,0.42565914,0.99289267,0.00000000,0.59739077,0.18791431
-5.90395198,1.54146037,0.01583573,0.02531763,0.52914427,0.42048316,0.97835359,0.00000000,0.57369498,0.18608211
-5.89794897,1.52949439,0.01607845,0.02500394,0.51079867,0.41682857,0.96663074,0.00000000,0.55083061,0.18501236
-5.89194597,1.52197949,0.01629291,0.02474366,0.49375640,0.41461353,0.95767062,0.00000000,0.52896956,0.18468699
-5.88594297,1.51854303,0.01647856,0.02453057,0.47808561,0.41369769,0.95129565,0.00000000,0.50822310,0.18505857
-5.87993997,1.51862912,0.01663422,0.02435578,0.46379439,0.41388792,0.94721269,0.00000000,0.48864420,0.18605206
-5.87393697,1.52152061,0.01675799,0.02420821,0.45083493,0.41494592,0.94502609,0.00000000,0.47023211,0.18756761
-5.86793397,1.52636733,0.01684734,0.02407504,0.43910978,0.41659750,0.94425460,0.00000000,0.45293893,0.18948416
-5.86193097,1.53221951,0.01689917,0.02394236,0.42847971,0.41854320,0.94435161,0.00000000,0.43667781,0.19166394
-5.85592796,1.53806499,0.01690992,0.02379574,0.41877301,0.42046972,0.94472776,0.00000000,0.42133219,0.19395740
-5.84992496,1.54286886,0.01687575,0.02362096,0.40979565,0.42206176,0.94477508,0.00000000,0.40676582,0.19620875
-5.84392196,1.54561371,0.01679280,0.02340455,0.40134192,0.42301386,0.94389165,0.00000000,0.39283282,0.19826148
-5.83791896,1.54533894,0.01665738,0.02313442,0.39320515,0.42304164,0.94150572,0.00000000,0.37938751,0.19996408
-5.83191596,1.54117755,0.01646623,0.02280031,0.38518789,0.42189213,0.93709837,0.00000000,0.36629349,0.20117538
-5.82591296,1.53238881,0.01621678,0.02239425,0.37711128,0.41935263,0.93022371,0.00000000,0.35343158,0.20176955
-5.81990995,1.51838553,0.01590732,0.02191083,0.36882324,0.41525795,0.92052585,0.00000000,0.34070636,0.20164037
-5.81390695,1.49875487,0.01553724,0.02134736,0.36020497,0.40949556,0.90775191,0.00000000,0.32805100,0.20070482
-5.80790395,1.47327188,0.01510714,0.02070393,0.35117574,0.40200868,0.89176069,0.00000000,0.31543037,0.19890564
-5.80190095,1.44190533,0.01461888,0.01998335,0.34169572,0.39279708,0.87252659,0.00000000,0.30284221,0.19621293
-5.79589795,1.40481577,0.01407567,0.01919095,0.33176666,0.38191568,0.85013872,0.00000000,0.29031649,0.19262463
-5.78989495,1.36234602,0.01348196,0.01833436,0.32143071,0.36947110,0.82479546,0.00000000,0.27791316,0.18816598
-5.78389195,1.31500475,0.01284339,0.01742307,0.31076724,0.35561631,0.79679470,0.00000000,0.26571822,0.18288790
-5.77788894,1.26344399,0.01216662,0.01646811,0.29988798,0.34054372,0.76652027,0.00000000,0.25383869,0.17686450
-5.77188594,1.20843170,0.01145914,0.01548154,0.28893075,0.32447704,0.73442533,0.00000000,0.24239644,0.17018973
-5.76588294,1.15082081,0.01072905,0.01447601,0.27805203,0.30766229,0.70101356,0.00000000,0.23152145,0.16297341
-5.75987994,1.09151607,0.00998480,0.01346432,0.26741881,0.29035840,0.66681883,0.00000000,0.22134473,0.15533683
-5.75387694,1.03144022,0.00923494,0.01245896,0.25720014,0.27282777,0.63238445,0.00000000,0.21199125,0.14740804
-5.74787394,0.97150099,0.00848786,0.01147175,0.24755862,0.25532725,0.59824290,0.00000000,0.20357313,0.13931721
-5.74187094,0.91256017,0.00775159,0.01051349,0.23864241,0.23809979,0.56489671,0.00000000,0.19618358,0.13119197
-5.73586793,0.85540604,0.00703356,0.00959369,0.23057801,0.22136717,0.53280145,0.00000000,0.18989159,0.12315330
-5.72986493,0.80073004,0.00634042,0.00872039,0.22346407,0.20532394,0.50235128,0.00000000,0.18473776,0.11531171
-5.72386193,0.74910858,0.00567795,0.00790001,0.21736663,0.19013284,0.47386771,0.00000000,0.18073144,0.10776421
-5.71785893,0.70099019,0.00505091,0.00713730,0.21231586,0.17592170,0.44759169,0.00000000,0.17784909,0.10059188
-5.71185593,0.65668853,0.00446302,0.00643533,0.20830442,0.16278189,0.42367946,0.00000000,0.17603414,0.09385834
-5.70585293,0.61638100,0.00391698,0.00579560,0.20528753,0.15076826,0.40220179,0.00000000,0.17519823,0.08760887
-5.69984992,0.58011265,0.00341443,0.00521809,0.20318468,0.13990042,0.38314680,0.00000000,0.17522365,0.08187043
-5.69384692,0.54780499,0.00295607,0.00470147,0.20188287,0.13016527,0.36642581,0.00000000,0.17596715,0.07665231
-5.68784392,0.51926892,0.00254171,0.00424326,0.20124118,0.12152054,0.35188189,0.00000000,0.17726459,0.07194749
-5.68184092,0.49422103,0.00217041,0.00384006,0.20109645,0.11389905,0.33930062,0.00000000,0.17893659,0.06773447
-5.67583792,0.47230225,0.00184056,0.00348772,0.20126989,0.10721363,0.32842240,0.00000000,0.18079457,0.06397957
-5.66983492,0.45309808,0.00155003,0.00318160,0.20157409,0.10136224,0.31895577,0.00000000,0.18264727,0.06063949
-5.66383192,0.43615932,0.00129631,0.00291679,0.20182037,0.09623320,0.31059116,0.00000000,0.18430725,0.05766400
-5.65782891,0.42102248,0.00107657,0.00268827,0.20182593,0.09171028,0.30301434,0.00000000,0.18559716,0.05499872
-5.65182591,0.40722907,0.00088785,0.00249113,0.20142067,0.08767746,0.29591918,0.00000000,0.18635562,0.05258775
-5.64582291,0.39434305,0.00072710,0.00232071,0.20045320,0.08402317,0.28901917,0.00000000,0.18644233,0.05037615
-5.63981991,0.38196595,0.00059129,0.00217278,0.19879607,0.08064399,0.28205730,0.00000000,0.18574234,0.04831214
