energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up
-6.00000000,0.78019032,0.05252325,0.62388587,0.00029050,0.00295780,0.04609091,0.05845012,0.00019057,0.13957563
-5.99399700,0.76383426,0.05147779,0.61168477,0.00033357,0.00287266,0.04565305,0.05639962,0.00021879,0.13606972
-5.98799400,0.74520522,0.05027847,0.59776105,0.00038045,0.00277707,0.04501849,0.05417896,0.00025009,0.13201218
-5.98199100,0.72453773,0.04894115,0.58229668,0.00043093,0.00267181,0.04419410,0.05181379,0.00028434,0.12744601
-5.97598799,0.70209046,0.04748316,0.56549123,0.00048471,0.00255790,0.04319054,0.04933070,0.00032135,0.12242192
-5.96998499,0.67813926,0.04592279,0.54755610,0.00054136,0.00243652,0.04202193,0.04675678,0.00036087,0.11699731
-5.96398199,0.65296998,0.04427886,0.52870872,0.00060036,0.00230898,0.04070530,0.04411915,0.00040258,0.11123503
-5.95797899,0.62687131,0.04257025,0.50916675,0.00066107,0.00217670,0.03926009,0.04144456,0.00044608,0.10520204
-5.95197599,0.60012784,0.04081549,0.48914254,0.00072274,0.00204121,0.03770753,0.03875898,0.00049091,0.09896801
-5.94597299,0.57301349,0.03903233,0.46883801,0.00078454,0.00190405,0.03607000,0.03608720,0.00053654,0.09260371
-5.93996998,0.54578559,0.03723741,0.44844015,0.00084557,0.00176683,0.03437045,0.03345251,0.00058238,0.08617958
-5.93396698,0.51867987,0.03544596,0.42811726,0.00090485,0.00163114,0.03263181,0.03087637,0.00062783,0.07976419
-5.92796398,0.49190646,0.03367154,0.40801608,0.00096138,0.00149857,0.03087647,0.02837819,0.00067223,0.07342290
-5.92196098,0.46564715,0.03192596,0.38826006,0.00101418,0.00137069,0.02912588,0.02597510,0.00071494,0.06721658
-5.91595798,0.44005401,0.03021917,0.36894862,0.00106225,0.00124906,0.02740027,0.02368188,0.00075535,0.06120063
-5.90995498,0.41524929,0.02855931,0.35015757,0.00110468,0.00113522,0.02571842,0.02151088,0.00079289,0.05542415
-5.90395198,0.39132677,0.02695286,0.33194059,0.00114064,0.00103071,0.02409766,0.01947204,0.00082709,0.04992943
-5.89794897,0.36835432,0.02540481,0.31433167,0.00116939,0.00093710,0.02255398,0.01757306,0.00085757,0.04475165
-5.89194597,0.34637758,0.02391890,0.29734843,0.00119035,0.00085604,0.02110225,0.01581954,0.00088412,0.03991893
-5.88594297,0.32542455,0.02249804,0.28099593,0.00120310,0.00078929,0.01975657,0.01421530,0.00090668,0.03545261
-5.87993997,0.30551075,0.02114458,0.26527107,0.00120738,0.00073877,0.01853074,0.01276263,0.00092541,0.03136776
-5.87393697,0.28664490,0.01986073,0.25016705,0.00120314,0.00070665,0.01743881,0.01146277,0.00094067,0.02767394
-5.86793397,0.26883455,0.01864898,0.23567779,0.00119050,0.00069539,0.01649567,0.01031626,0.00095309,0.02437610
-5.86193097,0.25209165,0.01751244,0.22180216,0.00116977,0.00070782,0.01571766,0.00932341,0.00096354,0.02147563
-5.85592796,0.23643761,0.01645524,0.20854766,0.00114146,0.00074722,0.01512318,0.00848478,0.00097317,0.01897149
-5.84992496,0.22190780,0.01548280,0.19593354,0.00110623,0.00081734,0.01473324,0.00780161,0.00098339,0.01686137
-5.84392196,0.20855518,0.01460213,0.18399323,0.00106490,0.00092253,0.01457196,0.00727627,0.00099588,0.01514283
-5.83791896,0.19645310,0.01382202,0.17277591,0.00101842,0.00106771,0.01466695,0.00691265,0.00101257,0.01381445
-5.83191596,0.18569698,0.01315322,0.16234733,0.00096784,0.00125843,0.01504948,0.00671651,0.00103561,0.01287677
-5.82591296,0.17640511,0.01260851,0.15278986,0.00091429,0.00150083,0.01575457,0.00669577,0.00106738,0.01233323
-5.81990995,0.16871829,0.01220272,0.14420174,0.00085896,0.00180165,0.01682083,0.00686074,0.00111039,0.01219089
-5.81390695,0.16279861,0.01195274,0.13669575,0.00080306,0.00216812,0.01829005,0.00722425,0.00116726,0.01246098
-5.80790395,0.15882729,0.01187739,0.13039727,0.00074784,0.00260788,0.02020664,0.00780168,0.00124068,0.01315930
-5.80190095,0.15700167,0.01199730,0.12544187,0.00069449,0.00312882,0.02261669,0.00861097,0.00133329,0.01430636
-5.79589795,0.15753152,0.01233470,0.12197261,0.00064421,0.00373890,0.02556692,0.00967244,0.00144766,0.01592736
-5.78989495,0.16063467,0.01291319,0.12013699,0.00059816,0.00444589,0.02910331,0.01100853,0.00158616,0.01805196
-5.78389195,0.16653218,0.01375744,0.12008371,0.00055744,0.00525716,0.03326954,0.01264353,0.00175090,0.02071379
-5.77788894,0.17544293,0.01489283,0.12195941,0.00052309,0.00617934,0.03810524,0.01460308,0.00194358,0.02394981
-5.77188594,0.18757806,0.01634507,0.12590523,0.00049611,0.00721800,0.04364416,0.01691363,0.00216548,0.02779949
-5.76588294,0.20313499,0.01813976,0.13205341,0.00047744,0.00837735,0.04991222,0.01960188,0.00241728,0.03230375
-5.75987994,0.22229144,0.02030189,0.14052391,0.00046795,0.00965988,0.05692554,0.02269401,0.00269902,0.03750378
-5.75387694,0.24519935,0.02285530,0.15142107,0.00046848,0.01106605,0.06468869,0.02621492,0.00301000,0.04343974
-5.74787394,0.27197890,0.02582206,0.16483032,0.00047976,0.01259403,0.07319291,0.03018743,0.00334872,0.05014928
-5.74187094,0.30271282,0.02922186,0.18081511,0.00050250,0.01423942,0.08241480,0.03463138,0.00371285,0.05766605
-5.73586793,0.33744100,0.03307135,0.19941392,0.00053732,0.01599512,0.09231520,0.03956273,0.00409918,0.06601806
-5.72986493,0.37615567,0.03738338,0.22063752,0.00058476,0.01785123,0.10283857,0.04499271,0.00450365,0.07522614
-5.72386193,0.41879722,0.04216630,0.24446653,0.00064527,0.01979500,0.11391289,0.05092689,0.00492138,0.08530228
-5.71785893,0.46525086,0.04742323,0.27084934,0.00071917,0.02181100,0.12545005,0.05736440,0.00534675,0.09624811
-5.71185593,0.51534426,0.05315129,0.29970046,0.00080668,0.02388122,0.13734680,0.06429721,0.00577347,0.10805348
