energy_ev,total_up,Ge_p_up,Ge_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,4.99687964,1.20691382,0.00000000,2.77201396,2.09521644,0.06974302,1.54160076
-5.99399700,5.02818089,1.23043880,0.00000000,2.78992587,2.12063634,0.06976654,1.53672360
-5.98799400,5.06700995,1.25502259,0.00000000,2.80939703,2.15033200,0.06988343,1.53485866
-5.98199100,5.11333412,1.28049981,0.00000000,2.83016251,2.18433127,0.07011233,1.53613144
-5.97598799,5.16709032,1.30669491,0.00000000,2.85196022,2.22263741,0.07046995,1.54066264
-5.96998499,5.22818723,1.33342756,0.00000000,2.87454269,2.26522792,0.07097051,1.54856502
-5.96398199,5.29650378,1.36051754,0.00000000,2.89768756,2.31205186,0.07162533,1.55993863
-5.95797899,5.37188371,1.38778886,0.00000000,2.92120602,2.36302573,0.07244230,1.57486455
-5.95197599,5.45412606,1.41507286,0.00000000,2.94494849,2.41802781,0.07342563,1.59339734
-5.94597299,5.54297197,1.44220999,0.00000000,2.96880709,2.47689115,0.07457549,1.61555639
-5.93996998,5.63808823,1.46905028,0.00000000,2.99271458,2.53939566,0.07588789,1.64131660
-5.93396698,5.73904874,1.49545246,0.00000000,3.01663961,2.60525956,0.07735463,1.67059891
-5.92796398,5.84531501,1.52128177,0.00000000,3.04057857,2.67413103,0.07896333,1.70326118
-5.92196098,5.95621725,1.54640682,0.00000000,3.06454430,2.74558054,0.08069765,1.73909006
-5.91595798,6.07093775,1.57069568,0.00000000,3.08855242,2.81909484,0.08253762,1.77779455
-5.90995498,6.18849817,1.59401166,0.00000000,3.11260619,2.89407308,0.08446009,1.81900170
-5.90395198,6.30775255,1.61620916,0.00000000,3.13668086,2.96982610,0.08643930,1.86225521
-5.89794897,6.42738722,1.63713009,0.00000000,3.16070872,3.04557926,0.08844753,1.90701714
-5.89194597,6.54592900,1.65660121,0.00000000,3.18456596,3.12047930,0.09045586,1.95267323
-5.88594297,6.66176225,1.67443285,0.00000000,3.20806245,3.19360560,0.09243497,1.99854187
-5.87993997,6.77315501,1.69041920,0.00000000,3.23093542,3.26398569,0.09435593,2.04388662
-5.87393697,6.87829404,1.70434047,0.00000000,3.25284782,3.33061496,0.09619101,2.08793212
-5.86793397,6.97532774,1.71596694,0.00000000,3.27339166,3.39247989,0.09791444,2.12988291
-5.86193097,7.06241583,1.72506476,0.00000000,3.29209675,3.44858440,0.09950309,2.16894455
-5.85592796,7.13778371,1.73140352,0.00000000,3.30844439,3.49797805,0.10093706,2.20434621
-5.84992496,7.19977957,1.73476503,0.00000000,3.32188569,3.53978534,0.10220011,2.23536401
-5.84392196,7.24693170,1.73495308,0.00000000,3.33186362,3.57323478,0.10328002,2.26134398
-5.83791896,7.27800355,1.73180363,0.00000000,3.33783759,3.59768654,0.10416873,2.28172390
-5.83191596,7.29204384,1.72519489,0.00000000,3.33930957,3.61265754,0.10486241,2.29605286
-5.82591296,7.28842966,1.71505666,0.00000000,3.33584990,3.61784277,0.10536132,2.30400794
-5.81990995,7.26690013,1.70137860,0.00000000,3.32712183,3.61313194,0.10566959,2.30540708
-5.81390695,7.22757924,1.68421664,0.00000000,3.31290295,3.59862059,0.10579491,2.30021773
-5.80790395,7.17098645,1.66369740,0.00000000,3.29310265,3.57461513,0.10574802,2.28856077
-5.80190095,7.09803441,1.64002009,0.00000000,3.26777436,3.54163137,0.10554232,2.27070956
-5.79589795,7.01001375,1.61345582,0.00000000,3.23712183,3.50038664,0.10519325,2.24708417
-5.78989495,6.90856532,1.58434426,0.00000000,3.20149926,3.45178547,0.10471785,2.21824089
-5.78389195,6.79564088,1.55308765,0.00000000,3.16140494,3.39689947,0.10413411,2.18485748
-5.77788894,6.67345369,1.52014238,0.00000000,3.11746888,3.33694186,0.10346061,2.14771467
-5.77188594,6.54442089,1.48600858,0.00000000,3.07043498,3.27323775,0.10271593,2.10767461
-5.76588294,6.41109979,1.45121793,0.00000000,3.02113866,3.20719102,0.10191836,2.06565706
-5.75987994,6.27612056,1.41632043,0.00000000,2.97048103,3.14024898,0.10108549,2.02261410
