energy_ev,total_up,As_p_up,As_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,0.00000186,0.00000084,0.00000000,0.00000096,0.00000097,0.00000004,0.00000042
-5.99399700,0.00000289,0.00000129,0.00000000,0.00000148,0.00000151,0.00000006,0.00000065
-5.98799400,0.00000446,0.00000199,0.00000000,0.00000228,0.00000233,0.00000009,0.00000101
-5.98199100,0.00000684,0.00000306,0.00000000,0.00000350,0.00000357,0.00000014,0.00000155
-5.97598799,0.00001042,0.00000467,0.00000000,0.00000534,0.00000544,0.00000021,0.00000236
-5.96998499,0.00001578,0.00000706,0.00000000,0.00000809,0.00000824,0.00000032,0.00000357
-5.96398199,0.00002372,0.00001062,0.00000000,0.00001216,0.00001239,0.00000048,0.00000536
-5.95797899,0.00003541,0.00001585,0.00000000,0.00001816,0.00001849,0.00000072,0.00000800
-5.95197599,0.00005247,0.00002350,0.00000000,0.00002691,0.00002740,0.00000106,0.00001186
-5.94597299,0.00007721,0.00003458,0.00000000,0.00003962,0.00004032,0.00000156,0.00001744
-5.93996998,0.00011281,0.00005053,0.00000000,0.00005790,0.00005892,0.00000228,0.00002548
-5.93396698,0.00016366,0.00007331,0.00000000,0.00008403,0.00008548,0.00000330,0.00003696
-5.92796398,0.00023573,0.00010562,0.00000000,0.00012109,0.00012314,0.00000476,0.00005323
-5.92196098,0.00033716,0.00015109,0.00000000,0.00017328,0.00017615,0.00000680,0.00007611
-5.91595798,0.00047882,0.00021462,0.00000000,0.00024622,0.00025019,0.00000966,0.00010806
-5.90995498,0.00067522,0.00030273,0.00000000,0.00034742,0.00035287,0.00001362,0.00015234
-5.90395198,0.00094549,0.00042403,0.00000000,0.00048681,0.00049419,0.00001907,0.00021325
-5.89794897,0.00131466,0.00058979,0.00000000,0.00067738,0.00068728,0.00002650,0.00029641
-5.89194597,0.00181521,0.00081464,0.00000000,0.00093606,0.00094916,0.00003658,0.00040910
-5.88594297,0.00248886,0.00111741,0.00000000,0.00128461,0.00130170,0.00005013,0.00056068
-5.87993997,0.00338880,0.00152213,0.00000000,0.00175086,0.00177283,0.00006823,0.00076304
-5.87393697,0.00458217,0.00205918,0.00000000,0.00237006,0.00239782,0.00009222,0.00103120
-5.86793397,0.00615303,0.00276663,0.00000000,0.00318646,0.00322085,0.00012376,0.00138388
-5.86193097,0.00820559,0.00369180,0.00000000,0.00425516,0.00429678,0.00016494,0.00184429
-5.85592796,0.01086794,0.00489295,0.00000000,0.00564417,0.00569309,0.00021830,0.00244087
-5.84992496,0.01429600,0.00644118,0.00000000,0.00743672,0.00749208,0.00028694,0.00320816
