energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.43605347,0.08158436,0.00052519,0.03269563,0.88615208,0.47672161,0.52574468
-5.99399700,1.34521472,0.07641820,0.00049163,0.03064665,0.83016506,0.44644038,0.49266196
-5.98799400,1.25152775,0.07108874,0.00045694,0.02853770,0.77243652,0.41518207,0.45857961
-5.98199100,1.15659995,0.06568709,0.00042169,0.02640645,0.71396190,0.38347323,0.42409595
-5.97598799,1.06197286,0.06030058,0.00038644,0.02428929,0.65569661,0.35181715,0.38978711
-5.96998499,0.96909000,0.05501094,0.00035169,0.02222060,0.59853618,0.32068307,0.35619546
-5.96398199,0.87927134,0.04989289,0.00031789,0.02023222,0.54330050,0.29049758,0.32382040
-5.95797899,0.79369490,0.04501308,0.00028544,0.01835300,0.49072243,0.26163852,0.29311167
-5.95197599,0.71338560,0.04042952,0.00025470,0.01660856,0.44144075,0.23443123,0.26446534
-5.94597299,0.63921097,0.03619139,0.00022595,0.01502118,0.39599737,0.20914726,0.23822205
-5.93996998,0.57188322,0.03233919,0.00019943,0.01360980,0.35483833,0.18600526,0.21466760
-5.93396698,0.51196668,0.02890530,0.00017533,0.01239016,0.31831792,0.16517374,0.19403518
-5.92796398,0.45988953,0.02591469,0.00015379,0.01137499,0.28670554,0.14677544,0.17650917
-5.92196098,0.41595886,0.02338592,0.00013492,0.01057424,0.26019423,0.13089289,0.16222973
-5.91595798,0.38037763,0.02133229,0.00011883,0.00999537,0.23891039,0.11757488,0.15129808
-5.90995498,0.35326253,0.01976298,0.00010559,0.00964358,0.22292385,0.10684325,0.14378169
-5.90395198,0.33466180,0.01868432,0.00009531,0.00952207,0.21225777,0.09869993,0.13971932
-5.89794897,0.32457206,0.01810093,0.00008810,0.00963222,0.20689775,0.09313374,0.13912547
-5.89194597,0.32295348,0.01801689,0.00008412,0.00997367,0.20679988,0.09012678,0.14199399
-5.88594297,0.32974306,0.01843672,0.00008357,0.01054444,0.21189739,0.08966030,0.14830087
-5.87993997,0.34486549,0.01936633,0.00008672,0.01134093,0.22210594,0.09171968,0.15800608
-5.87393697,0.36824179,0.02081374,0.00009393,0.01235782,0.23732735,0.09629875,0.17105459
-5.86793397,0.39979570,0.02278979,0.00010564,0.01358806,0.25745221,0.10340318,0.18737663
-5.86193097,0.43945807,0.02530855,0.00012239,0.01502272,0.28236128,0.11305296,0.20688750
-5.85592796,0.48716949,0.02838773,0.00014486,0.01665090,0.31192614,0.12528407,0.22948697
-5.84992496,0.54288155,0.03204887,0.00017381,0.01845967,0.34600937,0.14014918,0.25505867
-5.84392196,0.60655683,0.03631735,0.00021015,0.02043403,0.38446437,0.15771753,0.28346965
-5.83791896,0.67816799,0.04122229,0.00025489,0.02255691,0.42713525,0.17807384,0.31457019
-5.83191596,0.75769583,0.04679622,0.00030917,0.02480935,0.47385676,0.20131626,0.34819408
-5.82591296,0.84512658,0.05307454,0.00037421,0.02717059,0.52445452,0.22755340,0.38415951
-5.81990995,0.94044804,0.06009479,0.00045132,0.02961842,0.57874531,0.25690014,0.42227032
-5.81390695,1.04364448,0.06789562,0.00054188,0.03212951,0.63653758,0.28947250,0.46231787
-5.80790395,1.15469014,0.07651547,0.00064729,0.03467980,0.69763177,0.32538118,0.50408305
-5.80190095,1.27354078,0.08599107,0.00076893,0.03724498,0.76182043,0.36472412,0.54733853
-5.79589795,1.40012344,0.09635550,0.00090812,0.03980102,0.82888776,0.40757785,0.59185087
-5.78989495,1.53432406,0.10763614,0.00106610,0.04232462,0.89860849,0.45398801,0.63738234
-5.78389195,1.67597313,0.11985229,0.00124392,0.04479369,0.97074589,0.50395912,0.68369225
-5.77788894,1.82482976,0.13301275,0.00144245,0.04718776,1.04504889,0.55744403,0.73053766
-5.77188594,1.98056467,0.14711324,0.00166226,0.04948837,1.12124841,0.61433341,0.77767340
-5.76588294,2.14274295,0.16213397,0.00190364,0.05167928,1.19905303,0.67444594,0.82485145
-5.75987994,2.31080772,0.17803733,0.00216646,0.05374662,1.27814447,0.73751968,0.87181971
-5.75387694,2.48406591,0.19476595,0.00245024,0.05567901,1.35817325,0.80320540,0.91832054
-5.74787394,2.66167766,0.21224129,0.00275402,0.05746742,1.43875525,0.87106241,0.96408916
