energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.30510100,0.05571211,0.61612111,0.05313661,1.78084357,1.37599165,1.35062273,0.30223929,0.30005335
-5.99399700,4.35257746,0.05659891,0.62824260,0.05383403,1.79862787,1.40553558,1.36570001,0.30869246,0.29914064
-5.98799400,4.40077024,0.05756027,0.63974949,0.05456023,1.81749585,1.43677080,1.38072794,0.31513308,0.29847037
-5.98199100,4.45009699,0.05861095,0.65068082,0.05531440,1.83758153,1.46968910,1.39593852,0.32151501,0.29810960
-5.97598799,4.50080507,0.05976291,0.66107527,0.05609221,1.85892296,1.50420065,1.41152881,0.32778058,0.29810385
-5.96998499,4.55295344,0.06102484,0.67096645,0.05688584,1.88145879,1.54013372,1.42764896,0.33386193,0.29847586
-5.96398199,4.60640478,0.06240185,0.68037867,0.05768423,1.90502989,1.57723844,1.44439268,0.33968314,0.29922551
-5.95797899,4.66082804,0.06389527,0.68932352,0.05847349,1.92938582,1.61519420,1.46179051,0.34516283,0.30033085
-5.95197599,4.71571091,0.06550262,0.69779733,0.05923747,1.95419561,1.65362039,1.47980638,0.35021732,0.30175021
-5.94597299,4.77038157,0.06721771,0.70577983,0.05995847,1.97906240,1.69208982,1.49833741,0.35476399,0.30342517
-5.93996998,4.82403812,0.06903090,0.71323383,0.06061809,2.00354088,1.73014423,1.51721707,0.35872473,0.30528419
-5.93396698,4.87578420,0.07092939,0.72010614,0.06119805,2.02715669,1.76731081,1.53622145,0.36202935,0.30724677
-5.92796398,4.92466868,0.07289766,0.72632965,0.06168111,2.04942679,1.80311914,1.55507845,0.36461856,0.30922774
-5.92196098,4.96972734,0.07491800,0.73182632,0.06205193,2.06987959,1.83711761,1.57347914,0.36644665,0.31114154
-5.91595798,5.01002442,0.07697094,0.73651107,0.06229785,2.08807408,1.86888847,1.59109108,0.36748338,0.31290624
-5.90995498,5.04469194,0.07903587,0.74029629,0.06240953,2.10361688,1.89806089,1.60757256,0.36771533,0.31444707
-5.90395198,5.07296496,0.08109152,0.74309670,0.06238152,2.11617666,1.92432160,1.62258735,0.36714640,0.31569934
-5.89794897,5.09421132,0.08311646,0.74483434,0.06221258,2.12549525,1.94742250,1.63581913,0.36579750,0.31661055
-5.89194597,5.10795461,0.08508952,0.74544343,0.06190586,2.13139523,1.96718532,1.64698494,0.36370559,0.31714175
-5.88594297,5.11388971,0.08699027,0.74487475,0.06146885,2.13378371,1.98350315,1.65584714,0.36092195,0.31726804
-5.87993997,5.11189068,0.08879929,0.74309953,0.06091316,2.13265263,1.99633913,1.66222323,0.35750995,0.31697831
-5.87393697,5.10201094,0.09049851,0.74011241,0.06025407,2.12807559,2.00572255,1.66599337,0.35354235,0.31627427
-5.86793397,5.08447659,0.09207144,0.73593347,0.05951000,2.12020184,2.01174281,1.66710526,0.34909835,0.31516896
-5.86193097,5.05967340,0.09350337,0.73060928,0.05870173,2.10924776,2.01454184,1.66557616,0.34426051,0.31368480
-5.85592796,5.02812879,0.09478153,0.72421281,0.05785162,2.09548669,2.01430545,1.66149234,0.33911174,0.31185144
-5.84992496,4.99048998,0.09589523,0.71684230,0.05698272,2.07923751,2.01125417,1.65500586,0.33373250,0.30970352
-5.84392196,4.94749964,0.09683595,0.70861917,0.05611781,2.06085271,2.00563417,1.64632906,0.32819825,0.30727850
-5.83791896,4.89997029,0.09759741,0.69968495,0.05527858,2.04070656,1.99770862,1.63572702,0.32257745,0.30461473
-5.83191596,4.84875872,0.09817563,0.69019752,0.05448475,2.01918377,1.98774988,1.62350832,0.31692995,0.30174985
-5.82591296,4.79474149,0.09856895,0.68032669,0.05375333,1.99666915,1.97603272,1.61001466,0.31130603,0.29871960
-5.81990995,4.73879226,0.09877801,0.67024940,0.05309804,1.97353854,1.96282875,1.59560948,0.30574591,0.29555704
