energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,0.00000341,0.00000137,0.00000000,0.00000000,0.00000091,0.00000162,0.00000069
-5.99399700,0.00000497,0.00000200,0.00000000,0.00000000,0.00000133,0.00000236,0.00000100
-5.98799400,0.00000719,0.00000289,0.00000000,0.00000000,0.00000192,0.00000342,0.00000145
-5.98199100,0.00001033,0.00000415,0.00000000,0.00000000,0.00000276,0.00000491,0.00000208
-5.97598799,0.00001473,0.00000593,0.00000000,0.00000000,0.00000394,0.00000700,0.00000296
-5.96998499,0.00002087,0.00000839,0.00000000,0.00000000,0.00000558,0.00000992,0.00000420
-5.96398199,0.00002934,0.00001180,0.00000000,0.00000000,0.00000785,0.00001395,0.00000590
-5.95797899,0.00004096,0.00001648,0.00000000,0.00000000,0.00001096,0.00001947,0.00000824
-5.95197599,0.00005677,0.00002284,0.00000000,0.00000000,0.00001519,0.00002698,0.00001142
-5.94597299,0.00007812,0.00003143,0.00000000,0.00000000,0.00002090,0.00003713,0.00001571
-5.93996998,0.00010673,0.00004293,0.00000000,0.00000000,0.00002856,0.00005073,0.00002146
-5.93396698,0.00014476,0.00005824,0.00000000,0.00000000,0.00003873,0.00006880,0.00002911
-5.92796398,0.00019494,0.00007842,0.00000000,0.00000000,0.00005216,0.00009265,0.00003920
-5.92196098,0.00026063,0.00010485,0.00000000,0.00000000,0.00006973,0.00012387,0.00005241
-5.91595798,0.00034594,0.00013917,0.00000000,0.00000000,0.00009256,0.00016442,0.00006956
-5.90995498,0.00045589,0.00018340,0.00000000,0.00000000,0.00012198,0.00021667,0.00009167
-5.90395198,0.00059647,0.00023995,0.00000000,0.00000000,0.00015959,0.00028349,0.00011994
-5.89794897,0.00077479,0.00031168,0.00000000,0.00000000,0.00020731,0.00036824,0.00015579
-5.89194597,0.00099920,0.00040196,0.00000000,0.00000000,0.00026735,0.00047489,0.00020091
-5.88594297,0.00127934,0.00051465,0.00000000,0.00000000,0.00034231,0.00060804,0.00025724
-5.87993997,0.00162627,0.00065421,0.00000000,0.00000000,0.00043513,0.00077293,0.00032700
-5.87393697,0.00205243,0.00082565,0.00000000,0.00000000,0.00054916,0.00097547,0.00041269
