energy_ev,total_up,Ir_p_up,Ir_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
5.09954977,1.29436712,1.51638614,0.24164890,0.56597160,0.01421399,0.24563056,0.00000000
5.10555278,1.27020397,1.46327000,0.23942198,0.55305983,0.01360628,0.23286563,0.00000000
5.11155578,1.25327754,1.41678036,0.23874292,0.54306504,0.01305056,0.22112865,0.00000000
5.11755878,1.24382354,1.37752997,0.23961989,0.53610773,0.01255436,0.21052452,0.00000000
5.12356178,1.24185745,1.34588767,0.24201973,0.53221130,0.01212297,0.20112192,0.00000000
5.12956478,1.24716053,1.32196219,0.24586507,0.53129747,0.01175931,0.19295135,0.00000000
5.13556778,1.25927580,1.30559687,0.25103352,0.53318599,0.01146385,0.18600468,0.00000000
5.14157079,1.27751434,1.29637536,0.25735874,0.53759852,0.01123463,0.18023636,0.00000000
5.14757379,1.30097159,1.29363795,0.26463363,0.54416658,0.01106743,0.17556603,0.00000000
5.15357679,1.32855301,1.29650767,0.27261525,0.55244331,0.01095599,0.17188256,0.00000000
5.15957979,1.35900820,1.30392504,0.28103155,0.56191848,0.01089227,0.16904903,0.00000000
5.16558279,1.39097179,1.31468991,0.28958948,0.57203615,0.01086687,0.16690869,0.00000000
5.17158579,1.42300977,1.32750850,0.29798412,0.58221421,0.01086940,0.16529138,0.00000000
5.17758879,1.45366898,1.34104385,0.30590864,0.59186504,0.01088894,0.16402031,0.00000000
5.18359180,1.48152803,1.35396742,0.31306449,0.60041633,0.01091445,0.16291876,0.00000000
5.18959480,1.50524731,1.36500991,0.31917140,0.60733133,0.01093528,0.16181650,0.00000000
5.19559780,1.52361617,1.37300920,0.32397696,0.61212757,0.01094150,0.16055568,0.00000000
5.20160080,1.53559538,1.37695364,0.32726514,0.61439330,0.01092433,0.15899598,0.00000000
5.20760380,1.54035306,1.37601911,0.32886353,0.61380121,0.01087644,0.15701876,0.00000000
5.21360680,1.53729280,1.36959849,0.32864899,0.61011860,0.01079220,0.15453023,0.00000000
5.21960980,1.52607297,1.35732260,0.32655145,0.60321391,0.01066786,0.15146345,0.00000000
5.22561281,1.50661650,1.33907207,0.32255584,0.59305936,0.01050166,0.14777919,0.00000000
5.23161581,1.47911096,1.31497990,0.31670188,0.57972968,0.01029389,0.14346571,0.00000000
5.23761881,1.44399928,1.28542485,0.30908205,0.56339712,0.01004678,0.13853743,0.00000000
5.24362181,1.40196155,1.25101625,0.29983768,0.54432309,0.00976446,0.13303277,0.00000000
5.24962481,1.35388901,1.21257098,0.28915341,0.52284691,0.00945270,0.12701117,0.00000000
5.25562781,1.30085140,1.17108381,0.27725032,0.49937221,0.00911878,0.12054954,0.00000000
5.26163082,1.24405918,1.12769210,0.26437809,0.47435161,0.00877111,0.11373831,0.00000000
5.26763382,1.18482227,1.08363665,0.25080639,0.44827049,0.00841899,0.10667727,0.00000000
5.27363682,1.12450679,1.04021968,0.23681600,0.42163030,0.00807229,0.09947139,0.00000000
5.27963982,1.06449165,0.99876177,0.22268997,0.39493227,0.00774105,0.09222681,0.00000000
5.28564282,1.00612630,0.96055884,0.20870507,0.36866198,0.00743522,0.08504708,0.00000000
5.29164582,0.95069111,0.92684061,0.19512394,0.34327534,0.00716428,0.07802986,0.00000000
5.29764882,0.89936150,0.89873161,0.18218805,0.31918632,0.00693699,0.07126417,0.00000000
5.30365183,0.85317665,0.87721579,0.17011178,0.29675685,0.00676108,0.06482810,0.00000000
5.30965483,0.81301368,0.86310552,0.15907761,0.27628885,0.00664302,0.05878725,0.00000000
5.31565783,0.77956755,0.85701575,0.14923260,0.25801869,0.00658785,0.05319370,0.00000000
5.32166083,0.75333696,0.85934385,0.14068611,0.24211401,0.00659899,0.04808552,0.00000000
5.32766383,0.73461645,0.87025559,0.13350885,0.22867265,0.00667818,0.04348693,0.00000000
5.33366683,0.72349431,0.88967763,0.12773293,0.21772383,0.00682534,0.03940880,0.00000000
5.33966983,0.71985635,0.91729658,0.12335317,0.20923111,0.00703867,0.03584960,0.00000000
5.34567284,0.72339489,0.95256490,0.12032929,0.20309712,0.00731460,0.03279667,0.00000000
5.35167584,0.73362278,0.99471352,0.11858893,0.19916967,0.00764792,0.03022773,0.00000000
5.35767884,0.74989175,1.04277091,0.11803138,0.19724907,0.00803191,0.02811253,0.00000000
5.36368184,0.77141459,1.09558850,0.11853191,0.19709648,0.00845849,0.02641463,0.00000000
5.36968484,0.79729056,1.15187165,0.11994647,0.19844285,0.00891848,0.02509321,0.00000000
5.37568784,0.82653327,1.21021578,0.12211665,0.20099849,0.00940182,0.02410490,0.00000000
5.38169085,0.85810045,1.26914650,0.12487487,0.20446279,0.00989787,0.02340551,0.00000000
