energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.80389983,0.06003487,0.82304385,4.98667599,1.94219321,0.06508218,3.18060165,1.31425669,0.32140858
-5.99399700,8.08939301,0.06094163,0.85907300,5.22962700,2.01338506,0.06690022,3.28647128,1.36185813,0.33324576
-5.98799400,8.37164615,0.06170936,0.89481526,5.47245423,2.08395674,0.06872805,3.39091739,1.40803894,0.34531066
-5.98199100,8.64717613,0.06232874,0.92994107,5.71278070,2.15315557,0.07053010,3.49238878,1.45208237,0.35744678
-5.97598799,8.91237277,0.06279130,0.96409718,5.94804965,2.22018265,0.07227054,3.58931213,1.49327439,0.36948352
-5.96998499,9.16353021,0.06308941,0.99690801,6.17554586,2.28419695,0.07391348,3.68010956,1.53091262,0.38123859
-5.96398199,9.39688904,0.06321632,1.02797862,6.39242666,2.34432297,0.07542324,3.76321933,1.56431662,0.39252098
-5.95797899,9.60869013,0.06316623,1.05689951,6.59576295,2.39966219,0.07676473,3.83711959,1.59283979,0.40313448
-5.95197599,9.79524019,0.06293438,1.08325341,6.78258990,2.44930841,0.07790397,3.90035556,1.61588249,0.41288182
-5.94597299,9.95298823,0.06251711,1.10662366,6.94996672,2.49236677,0.07880869,3.95156965,1.63290642,0.42156914
-5.93996998,10.07861114,0.06191207,1.12660426,7.09504370,2.52797595,0.07944903,3.98953392,1.64344960,0.42901102
-5.93396698,10.16910579,0.06111832,1.14281108,7.21513462,2.55533278,0.07979829,4.01318412,1.64714157,0.43503556
-5.92796398,10.22188429,0.06013652,1.15489384,7.30779195,2.57371847,0.07983371,4.02165405,1.64371812,0.43948969
-5.92196098,10.23486836,0.05896914,1.16254840,7.37088171,2.58252510,0.07953731,4.01430887,1.63303474,0.44224429
-5.91595798,10.20657861,0.05762056,1.16552871,7.40265493,2.58128144,0.07889650,3.99077579,1.61507814,0.44319903
-5.90995498,10.13621419,0.05609730,1.16365797,7.40181244,2.56967660,0.07790480,3.95097074,1.58997509,0.44228671
-5.90395198,10.02371870,0.05440803,1.15683837,7.36755991,2.54758048,0.07656220,3.89511932,1.55799788,0.43947694
-5.89794897,9.86982840,0.05256371,1.14505890,7.29965030,2.51505985,0.07487554,3.82377087,1.51956594,0.43477889
-5.89194597,9.67609980,0.05057756,1.12840093,7.19841163,2.47238916,0.07285851,3.73780434,1.47524322,0.42824309
-5.88594297,9.44491412,0.04846494,1.10704101,7.06475823,2.42005545,0.07053154,3.63842550,1.42573116,0.41996214
-5.87993997,9.17945761,0.04624325,1.08125097,6.90018479,2.35875678,0.06792138,3.52715467,1.37185737,0.41007014
-5.87393697,8.88367734,0.04393169,1.05139498,6.70674274,2.28939419,0.06506054,3.40580531,1.31456002,0.39874107
-5.86793397,8.56221341,0.04155093,1.01792376,6.48699996,2.21305732,0.06198650,3.27645362,1.25486872,0.38618589
-5.86193097,8.22030948,0.03912282,0.98136605,6.24398485,2.13100388,0.05874068,3.14139994,1.19388217,0.37264867
-5.85592796,7.86370422,0.03666991,0.94231763,5.98111698,2.04463389,0.05536741,3.00312305,1.13274346,0.35840160
-5.84992496,7.49850732,0.03421504,0.90142824,5.70212662,1.95545929,0.05191271,2.86422860,1.07261386,0.34373929
-5.84392196,7.13106377,0.03178090,0.85938681,5.41096634,1.86507001,0.04842311,2.72739329,1.01464591,0.32897236
-5.83791896,6.76781093,0.02938956,0.81690552,5.11171758,1.77509749,0.04494441,2.59530623,0.95995661,0.31442056
-5.83191596,6.41513248,0.02706202,0.77470316,4.80849548,1.68717691,0.04152060,2.47060934,0.90960173,0.30040557
-5.82591296,6.07921381,0.02481785,0.73348826,4.50535525,1.60290901,0.03819279,2.35583824,0.86455177,0.28724375
-5.81990995,5.76590262,0.02267478,0.69394258,4.20620280,1.52382280,0.03499830,2.25336529,0.82567045,0.27523898
-5.81390695,5.48057867,0.02064848,0.65670532,3.91471245,1.45134010,0.03196998,2.16534613,0.79369609,0.26467576
-5.80790395,5.22803580,0.01875231,0.62235847,3.63425390,1.38674276,0.02913559,2.09367100,0.76922644,0.25581276
-5.80190095,5.01237898,0.01699717,0.59141376,3.36783015,1.33114343,0.02651751,2.03992211,0.75270719,0.24887693
-5.79589795,4.83693876,0.01539144,0.56430145,3.11802777,1.28546062,0.02413247,2.00533777,0.74442442,0.24405843
-5.78989495,4.70420478,0.01394096,0.54136113,2.88698028,1.25039854,0.02199164,1.99078431,0.74450096,0.24150624
-5.78389195,4.61577970,0.01264914,0.52283497,2.67634486,1.22643220,0.02010071,1.99673634,0.75289681,0.24132484
-5.77788894,4.57235423,0.01151703,0.50886329,2.48729242,1.21379810,0.01846024,2.02326583,0.76941327,0.24357182
-5.77188594,4.57370373,0.01054355,0.49948266,2.32051035,1.21249076,0.01706605,2.07004031,0.79370080,0.24825660
-5.76588294,4.61870620,0.00972563,0.49462663,2.17621717,1.22226510,0.01590974,2.13633041,0.82527024,0.25534027
-5.75987994,4.70538104,0.00905854,0.49412884,2.05418791,1.24264466,0.01497928,2.22102661,0.86350698,0.26473648
-5.75387694,4.83094774,0.00853604,0.49772870,1.95378885,1.27293543,0.01425959,2.32266496,0.90768780,0.27631353
-5.74787394,4.99190282,0.00815073,0.50507923,1.87402004,1.31224505,0.01373322,2.43946127,0.95699977,0.28989749
-5.74187094,5.18411311,0.00789428,0.51575705,1.81356402,1.35950681,0.01338094,2.56935306,1.01056072,0.30527629
-5.73586793,5.40292303,0.00775766,0.52927417,1.77083904,1.41350782,0.01318238,2.71004812,1.06744071,0.32220479
-5.72986493,5.64327283,0.00773140,0.54509129,1.74405498,1.47292069,0.01311660,2.85907863,1.12668388,0.34041051
-5.72386193,5.89982468,0.00780579,0.56263226,1.73127043,1.53633773,0.01316260,3.01385914,1.18732999,0.35960006
-5.71785893,6.16709284,0.00797107,0.58129927,1.73044933,1.60230671,0.01329984,3.17174686,1.24843510,0.37946592
-5.71185593,6.43957433,0.00821761,0.60048835,1.73951557,1.66936711,0.01350860,3.33010240,1.30909078,0.39969342
-5.70585293,6.71187612,0.00853599,0.61960480,1.75640446,1.73608582,0.01377033,3.48634906,1.36844132,0.41996773
-5.69984992,6.97883516,0.00891716,0.63807796,1.77910979,1.80109106,0.01406796,3.63802891,1.42569854,0.43998062
-5.69384692,7.23562788,0.00935245,0.65537506,1.80572564,1.86310369,0.01438604,3.78285388,1.48015391,0.45943675
-5.68784392,7.47786601,0.00983368,0.67101360,1.83448228,1.92096483,0.01471094,3.91875038,1.53118775,0.47805942
-5.68184092,7.70167646,0.01035314,0.68457213,1.86377569,1.97365910,0.01503088,4.04389634,1.57827557,0.49559542
-5.67583792,7.90376360,0.01090357,0.69569893,1.89219068,2.02033299,0.01533596,4.15674971,1.62099163,0.51181914
-5.66983492,8.08145302,0.01147821,0.70411864,1.91851744,2.06030784,0.01561811,4.25606810,1.65900995,0.52653567
