energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.32931524,0.02796963,0.05529687,1.95611894,0.36056742,0.08692403,2.14128078,0.47410927,0.19230886
-5.99399700,3.39150327,0.02820127,0.05594977,1.99085778,0.36947253,0.08796071,2.18448122,0.48160821,0.19697286
-5.98799400,3.45001599,0.02836977,0.05660283,2.02339963,0.37803300,0.08890887,2.22542686,0.48835569,0.20154555
-5.98199100,3.50468062,0.02847970,0.05725641,2.05376914,0.38619812,0.08975639,2.26397252,0.49435114,0.20600938
-5.97598799,3.55537004,0.02853654,0.05791062,2.08201705,0.39392332,0.09049408,2.29999990,0.49960837,0.21034613
-5.96998499,3.60198545,0.02854648,0.05856498,2.10820852,0.40116925,0.09111543,2.33340751,0.50415294,0.21453622
-5.96398199,3.64444064,0.02851614,0.05921808,2.13241226,0.40790124,0.09161637,2.36410174,0.50801940,0.21855819
-5.95797899,3.68264920,0.02845229,0.05986737,2.15469105,0.41408929,0.09199490,2.39198976,0.51124863,0.22238854
-5.95197599,3.71651571,0.02836163,0.06050907,2.17509443,0.41970850,0.09225076,2.41697491,0.51388536,0.22600190
-5.94597299,3.74593166,0.02825053,0.06113815,2.19365405,0.42474020,0.09238513,2.43895510,0.51597603,0.22937152
-5.93996998,3.77077655,0.02812491,0.06174855,2.21038180,0.42917365,0.09240032,2.45782441,0.51756708,0.23247013
-5.93396698,3.79092406,0.02799008,0.06233340,2.22527093,0.43300830,0.09229963,2.47347773,0.51870377,0.23527099
-5.92796398,3.80625297,0.02785064,0.06288546,2.23829992,0.43625642,0.09208713,2.48581837,0.51942943,0.23774930
-5.92196098,3.81666193,0.02771046,0.06339756,2.24943878,0.43894618,0.09176769,2.49476792,0.51978528,0.23988358
-5.91595798,3.82208716,0.02757265,0.06386317,2.25865714,0.44112470,0.09134696,2.50027770,0.51981057,0.24165719
-5.90995498,3.82252150,0.02743964,0.06427697,2.26593349,0.44286114,0.09083144,2.50234103,0.51954309,0.24305973
-5.90395198,3.81803366,0.02731321,0.06463546,2.27126489,0.44424939,0.09022868,2.50100525,0.51901993,0.24408822
-5.89794897,3.80878574,0.02719461,0.06493747,2.27467608,0.44541030,0.08954738,2.49638255,0.51827818,0.24474814
-5.89194597,3.79504797,0.02708464,0.06518463,2.27622746,0.44649305,0.08879758,2.48865882,0.51735578,0.24505398
-5.88594297,3.77720906,0.02698377,0.06538177,2.27602109,0.44767565,0.08799079,2.47809943,0.51629200,0.24502945
-5.87993997,3.75578128,0.02689221,0.06553718,2.27420403,0.44916422,0.08714007,2.46505170,0.51512782,0.24470728
-5.87393697,3.73139940,0.02681002,0.06566265,2.27096886,0.45119105,0.08626007,2.44994315,0.51390584,0.24412849
-5.86793397,3.70481322,0.02673715,0.06577343,2.26655086,0.45401124,0.08536690,2.43327576,0.51266992,0.24334130
-5.86193097,3.67687351,0.02667347,0.06588797,2.26122197,0.45789795,0.08447799,2.41561594,0.51146432,0.24239964
-5.85592796,3.64851194,0.02661880,0.06602752,2.25528176,0.46313633,0.08361180,2.39758070,0.51033255,0.24136129
-5.84992496,3.62071537,0.02657285,0.06621550,2.24904568,0.47001611,0.08278740,2.37982043,0.50931587,0.24028583
-5.84392196,3.59449591,0.02653524,0.06647675,2.24283126,0.47882304,0.08202394,2.36299889,0.50845159,0.23923240
-5.83791896,3.57085755,0.02650535,0.06683670,2.23694290,0.48982943,0.08134015,2.34777146,0.50777122,0.23825744
-5.83191596,3.55076113,0.02648233,0.06732033,2.23165612,0.50328404,0.08075359,2.33476233,0.50729865,0.23741247
-5.82591296,3.53508887,0.02646496,0.06795111,2.22720200,0.51940153,0.08028004,2.32454173,0.50704842,0.23674196
-5.81990995,3.52461010,0.02645161,0.06874997,2.22375281,0.53835198,0.07993276,2.31760416,0.50702422,0.23628154
-5.81390695,3.51994955,0.02644015,0.06973418,2.22140947,0.56025079,0.07972185,2.31434842,0.50721771,0.23605641
-5.80790395,3.52155950,0.02642790,0.07091633,2.22019165,0.58514930,0.07965363,2.31506037,0.50760777,0.23608019
-5.80190095,3.52969695,0.02641164,0.07230342,2.22003099,0.61302672,0.07973011,2.31989900,0.50816018,0.23635411
-5.79589795,3.54440661,0.02638756,0.07389609,2.22076790,0.64378356,0.07994861,2.32888637,0.50882784,0.23686671
-5.78989495,3.56551052,0.02635135,0.07568799,2.22215210,0.67723719,0.08030151,2.34190177,0.50955142,0.23759392
-5.78389195,3.59260444,0.02629823,0.07766545,2.22384701,0.71311959,0.08077613,2.35868035,0.51026053,0.23849958
-5.77788894,3.62506151,0.02622306,0.07980734,2.22543779,0.75107779,0.08135483,2.37881610,0.51087528,0.23953636
-5.77188594,3.66204268,0.02612051,0.08208520,2.22644274,0.79067706,0.08201529,2.40176920,0.51130818,0.24064713
-5.76588294,3.70251388,0.02598514,0.08446367,2.22632757,0.83140705,0.08273091,2.42687745,0.51146640,0.24176653
-5.75987994,3.74526934,0.02581163,0.08690120,2.22452204,0.87269069,0.08347146,2.45337133,0.51125411,0.24282291
-5.75387694,3.78896024,0.02559495,0.08935104,2.22043819,0.91389590,0.08420384,2.48039230,0.51057500,0.24374048
-5.74787394,3.83212795,0.02533053,0.09176246,2.21348952,0.95434978,0.08489292,2.50701376,0.50933481,0.24444153
-5.74187094,3.87324093,0.02501444,0.09408218,2.20311039,0.99335474,0.08550262,2.53226406,0.50744385,0.24484887
-5.73586793,3.91073415,0.02464355,0.09625600,2.18877481,1.03020640,0.08599687,2.55515094,0.50481929,0.24488819
-5.72986493,3.94304991,0.02421570,0.09823052,2.17001405,1.06421231,0.08634073,2.57468671,0.50138744,0.24449038
-5.72386193,3.96867906,0.02372976,0.09995492,2.14643240,1.09471107,0.08650146,2.58991353,0.49708573,0.24359383
-5.71785893,3.98620123,0.02318576,0.10138271,2.11772054,1.12109104,0.08644949,2.59992801,0.49186443,0.24214643
-5.71185593,3.99432312,0.02258487,0.10247342,2.08366612,1.14280790,0.08615938,2.60390469,0.48568817,0.24010744
-5.70585293,3.99191369,0.02192945,0.10319415,2.04416126,1.15940043,0.08561058,2.60111757,0.47853715,0.23744903
-5.69984992,3.97803517,0.02122301,0.10352082,1.99920680,1.17050387,0.08478808,2.59095919,0.47040802,0.23415746
-5.69384692,3.95196909,0.02047009,0.10343925,1.94891321,1.17586020,0.08368288,2.57295676,0.46131446,0.23023392
-5.68784392,3.91323651,0.01967618,0.10294581,1.89349828,1.17532515,0.08229222,2.54678494,0.45128748,0.22569493
-5.68184092,3.86161188,0.01884758,0.10204783,1.83328173,1.16887150,0.08061969,2.51227480,0.44037530,0.22057234
-5.67583792,3.79713006,0.01799121,0.10076353,1.76867714,1.15658860,0.07867507,2.46941884,0.42864299,0.21491280
-5.66983492,3.72008643,0.01711446,0.09912157,1.70018141,1.13867833,0.07647401,2.41837191,0.41617163,0.20877693
-5.66383192,3.63103007,0.01622497,0.09716030,1.62836237,1.11544748,0.07403756,2.35944797,0.40305727,0.20223787
-5.65782891,3.53075032,0.01533047,0.09492660,1.55384498,1.08729721,0.07139148,2.29311296,0.38940940,0.19537963
-5.65182591,3.42025720,0.01443856,0.09247440,1.47729653,1.05470998,0.06856555,2.21997398,0.37534921,0.18829496
-5.64582291,3.30075644,0.01355656,0.08986300,1.39941167,1.01823443,0.06559266,2.14076505,0.36100746,0.18108295
-5.63981991,3.17362004,0.01269133,0.08715517,1.32089739,0.97846922,0.06250797,2.05633019,0.34652214,0.17384648
-5.63381691,3.04035335,0.01184917,0.08441515,1.24245876,0.93604618,0.05934797,1.96760418,0.33203593,0.16668944
-5.62781391,2.90255974,0.01103569,0.08170660,1.16478563,0.89161362,0.05614958,1.87559170,0.31769339,0.15971396
-5.62181091,2.76190415,0.01025577,0.07909062,1.08854075,0.84582040,0.05294939,1.78134558,0.30363825,0.15301769
-5.61580790,2.62007660,0.00951346,0.07662381,1.01434941,0.79930129,0.04978279,1.68594462,0.29001058,0.14669119
-5.60980490,2.47875660,0.00881201,0.07435667,0.94279094,0.75266401,0.04668339,1.59047187,0.27694400,0.14081555
-5.60380190,2.33957965,0.00815387,0.07233209,0.87439191,0.70647827,0.04368240,1.49599369,0.26456320,0.13546037
-5.59779890,2.20410634,0.00754071,0.07058423,0.80962113,0.66126699,0.04080821,1.40354013,0.25298150,0.13068209
-5.59179590,2.07379489,0.00697349,0.06913774,0.74888633,0.61749979,0.03808604,1.31408712,0.24229885,0.12652272
-5.58579290,1.94997744,0.00645253,0.06800730,0.69253220,0.57558851,0.03553772,1.22854050,0.23260008,0.12300914
-5.57978989,1.83384023,0.00597758,0.06719756,0.64083968,0.53588479,0.03318150,1.14772235,0.22395355,0.12015285
-5.57378689,1.72640798,0.00554791,0.06670342,0.59402623,0.49867934,0.03103204,1.07235939,0.21641021,0.11795020
-5.56778389,1.62853204,0.00516239,0.06651069,0.55224675,0.46420260,0.02910042,1.00307365,0.21000298,0.11638314
-5.56178089,1.54088241,0.00481956,0.06659701,0.51559494,0.43262656,0.02739412,0.94037532,0.20474667,0.11542043
-5.55577789,1.46394323,0.00451771,0.06693305,0.48410496,0.40406737,0.02591721,0.88465753,0.20063807,0.11501917
-5.54977489,1.39801141,0.00425497,0.06748391,0.45775316,0.37858846,0.02467035,0.83619315,0.19765652,0.11512676
-5.54377189,1.34319832,0.00402930,0.06821070,0.43645986,0.35620395,0.02365099,0.79513344,0.19576474,0.11568301
-5.53776888,1.29943414,0.00383856,0.06907220,0.42009124,0.33688229,0.02285350,0.76150847,0.19490992,0.11662254
-5.53176588,1.26647477,0.00368056,0.07002653,0.40846124,0.32054978,0.02226926,0.73522926,0.19502504,0.11787721
-5.52576288,1.24391142,0.00355303,0.07103284,0.40133386,0.30709429,0.02188685,0.71609184,0.19603049,0.11937860
-5.51975988,1.23118253,0.00345365,0.07205295,0.39842581,0.29636882,0.02169223,0.70378304,0.19783582,0.12106050
-5.51375688,1.22758843,0.00338007,0.07305285,0.39940986,0.28819529,0.02166893,0.69788828,0.20034175,0.12286129
-5.50775388,1.23230864,0.00332989,0.07400413,0.40391911,0.28236850,0.02179829,0.69790136,0.20344233,0.12472616
-5.50175088,1.24442184,0.00330066,0.07488520,0.41155223,0.27866036,0.02205973,0.70323628,0.20702741,0.12660932
-5.49574787,1.26292861,0.00328993,0.07568241,0.42188002,0.27682457,0.02243113,0.71324119,0.21098521,0.12847588
-5.48974487,1.28677676,0.00329519,0.07639100,0.43445322,0.27660177,0.02288918,0.72721423,0.21520518,0.13030363
-5.48374187,1.31488896,0.00331398,0.07701585,0.44881162,0.27772515,0.02340983,0.74442122,0.21958099,0.13208468
-5.47773887,1.34619237,0.00334386,0.07757216,0.46449427,0.27992660,0.02396883,0.76411476,0.22401371,0.13382681
-5.47173587,1.37964945,0.00338247,0.07808587,0.48105079,0.28294324,0.02454221,0.78555449,0.22841510,0.13555471
-5.46573287,1.41428930,0.00342760,0.07859402,0.49805319,0.28652415,0.02510691,0.80802777,0.23271091,0.13731095
-5.45972986,1.44923853,0.00347720,0.07914487,0.51510805,0.29043724,0.02564130,0.83087028,0.23684407,0.13915670
-5.45372686,1.48375048,0.00352952,0.07979795,0.53186852,0.29447586,0.02612574,0.85348575,0.24077780,0.14117225
-5.44772386,1.51723179,0.00358310,0.08062379,0.54804555,0.29846498,0.02654315,0.87536414,0.24449834,0.14345710
-5.44172086,1.54926499,0.00363686,0.08170352,0.56341811,0.30226663,0.02687938,0.89609745,0.24801716,0.14612968
-5.43571786,1.57962607,0.00369016,0.08312818,0.57784164,0.30578427,0.02712368,0.91539258,0.25137273,0.14932666
-5.42971486,1.60829612,0.00374287,0.08499771,0.59125455,0.30896597,0.02726885,0.93308054,0.25463137,0.15320161
-5.42371186,1.63546618,0.00379534,0.08741963,0.60368229,0.31180604,0.02731148,0.94912164,0.25788741,0.15792316
-5.41770885,1.66153490,0.00384848,0.09050735,0.61523890,0.31434506,0.02725192,0.96360638,0.26126225,0.16367239
-5.41170585,1.68709870,0.00390373,0.09437808,0.62612579,0.31666822,0.02709416,0.97675190,0.26490259,0.17063957
-5.40570285,1.71293473,0.00396304,0.09915027,0.63662782,0.31890197,0.02684557,0.98889416,0.26897745,0.17902007
-5.39969985,1.73997687,0.00402885,0.10494071,0.64710692,0.32120905,0.02651659,1.00047612,0.27367432,0.18900967
-5.39369685,1.76928578,0.00410396,0.11186125,0.65799323,0.32378205,0.02612018,1.01203238,0.27919428,0.20079907
-5.38769385,1.80201376,0.00419152,0.12001514,0.66977426,0.32683582,0.02567131,1.02417095,0.28574643,0.21456786
-5.38169085,1.83936584,0.00429491,0.12949315,0.68298245,0.33059886,0.02518633,1.03755277,0.29354147,0.23047812
-5.37568784,1.88255842,0.00441756,0.14036961,0.69818130,0.33530416,0.02468236,1.05286980,0.30278495,0.24866761
-5.36968484,1.93277677,0.00456291,0.15269832,0.71595073,0.34117979,0.02417658,1.07082247,0.31367013,0.26924305
-5.36368184,1.99113296,0.00473421,0.16650872,0.73687179,0.34843955,0.02368564,1.09209709,0.32637088,0.29227350
-5.35767884,2.05862544,0.00493437,0.18180236,0.76151127,0.35727405,0.02322510,1.11734407,0.34103469,0.31778429
-5.35167584,2.13610152,0.00516590,0.19854980,0.79040621,0.36784262,0.02280885,1.14715729,0.35777614,0.34575163
-5.34567284,2.22422371,0.00543067,0.21668826,0.82404883,0.38026619,0.02244877,1.18205521,0.37667096,0.37609832
-5.33966983,2.32344079,0.00572989,0.23612003,0.86287172,0.39462144,0.02215434,1.22246398,0.39775101,0.40869070
-5.33366683,2.43396423,0.00606391,0.25671195,0.90723368,0.41093634,0.02193241,1.26870266,0.42100017,0.44333708
-5.32766383,2.55575020,0.00643223,0.27829583,0.95740616,0.42918733,0.02178711,1.32097082,0.44635147,0.47978795
-5.32166083,2.68848772,0.00683335,0.30067018,1.01356052,0.44929793,0.02171980,1.37933848,0.47368544,0.51773785
-5.31565783,2.83159270,0.00726482,0.32360301,1.07575618,0.47113903,0.02172915,1.44373841,0.50282984,0.55682916
-5.30965483,2.98420809,0.00772316,0.34683577,1.14393001,0.49453069,0.02181129,1.51396079,0.53356079,0.59665771
-5.30365183,3.14520995,0.00820395,0.37008842,1.21788712,0.51924527,0.02196003,1.58965037,0.56560521,0.63677999
-5.29764882,3.31321941,0.00870183,0.39306537,1.29729348,0.54501202,0.02216720,1.67030612,0.59864475,0.67672195
-5.29164582,3.48662020,0.00921064,0.41546215,1.38167085,0.57152263,0.02242291,1.75528363,0.63232090,0.71598900
-5.28564282,3.66358182,0.00972351,0.43697261,1.47039446,0.59843791,0.02271601,1.84380026,0.66624136,0.75407697
-5.27963982,3.84208798,0.01023299,0.45729641,1.56269400,0.62539519,0.02303442,1.93494357,0.69998745,0.79048360
-5.27363682,4.01997026,0.01073124,0.47614644,1.65765839,0.65201633,0.02336560,2.02768299,0.73312245,0.82472029
-5.26763382,4.19494656,0.01121023,0.49325604,1.75424485,0.67791625,0.02369694,2.12088504,0.76520062,0.85632356
-5.26163082,4.36466408,0.01166189,0.50838561,1.85129253,0.70271163,0.02401619,2.21333226,0.79577677,0.88486600
-5.25562781,4.52674623,0.01207838,0.52132850,1.94754094,0.72602974,0.02431186,2.30374573,0.82441613,0.90996628
-5.24962481,4.67884284,0.01245223,0.53191592,2.04165314,0.74751717,0.02457365,2.39081108,0.85070418,0.93129783
-5.24362181,4.81868271,0.01277663,0.54002077,2.13224328,0.76684831,0.02479278,2.47320767,0.87425633,0.94859621
-5.23761881,4.94412749,0.01304555,0.54556021,2.21790820,0.78373335,0.02496236,2.54964020,0.89472715,0.96166465
-5.23161581,5.05322543,0.01325397,0.54849709,2.29726208,0.79792575,0.02507772,2.61887214,0.91181878,0.97037795
-5.22561281,5.14426376,0.01339800,0.54884006,2.36897321,0.80922889,0.02513667,2.67975985,0.92528842,0.97468454
-5.21960980,5.21581781,0.01347503,0.54664266,2.43180155,0.81750177,0.02513977,2.73128635,0.93495466,0.97460685
-5.21360680,5.26679542,0.01348381,0.54200130,2.48463576,0.82266373,0.02509048,2.77259338,0.94070233,0.97023999
-5.20760380,5.29647481,0.01342450,0.53505242,2.52652821,0.82469784,0.02499531,2.80301048,0.94248591,0.96174900
-5.20160080,5.30453442,0.01329869,0.52596895,2.55672635,0.82365304,0.02486389,2.82207987,0.94033116,0.94936481
-5.19559780,5.29107334,0.01310940,0.51495628,2.57469932,0.81964481,0.02470894,2.82957585,0.93433517,0.93337908
-5.18959480,5.25662114,0.01286096,0.50224791,2.58015823,0.81285440,0.02454620,2.82551777,0.92466457,0.91413825
-5.18359180,5.20213635,0.01255897,0.48810088,2.57306944,0.80352650,0.02439427,2.81017585,0.91155212,0.89203694
-5.17758879,5.12899339,0.01221012,0.47279128,2.55365992,0.79196551,0.02427431,2.78406937,0.89529172,0.86751094
-5.17158579,5.03895773,0.01182205,0.45660981,2.52241456,0.77853030,0.02420970,2.74795704,0.87623202,0.84102989
-5.16558279,4.93415011,0.01140316,0.43985752,2.48006532,0.76362775,0.02422557,2.70281993,0.85476875,0.81308996
-5.15957979,4.81700061,0.01096239,0.42284182,2.42757269,0.74770501,0.02434831,2.64983727,0.83133617,0.78420645
-5.15357679,4.69019405,0.01050902,0.40587269,2.36610029,0.73124089,0.02460486,2.59035623,0.80639767,0.75490655
-5.14757379,4.55660830,0.01005243,0.38925919,2.29698352,0.71473635,0.02502205,2.52585658,0.78043603,0.72572230
-5.14157079,4.41924761,0.00960191,0.37330609,2.22169370,0.69870458,0.02562578,2.45791166,0.75394348,0.69718365
-5.13556778,4.28117293,0.00916641,0.35831079,2.14179906,0.68366064,0.02644026,2.38814705,0.72741178,0.66981185
-5.12956478,4.14543147,0.00875437,0.34456025,2.05892411,0.67011108,0.02748707,2.31819835,0.70132275,0.64411306
-5.12356178,4.01498764,0.00837351,0.33232808,1.97470893,0.65854380,0.02878437,2.24966972,0.67613929,0.62057219
-5.11755878,3.89265733,0.00803070,0.32187167,1.89076985,0.64941817,0.03034603,2.18409421,0.65229720,0.59964704
-5.11155578,3.78104738,0.00773182,0.31342929,1.80866266,0.64315584,0.03218085,2.12289746,0.63019784,0.58176269
-5.10555278,3.68250177,0.00748165,0.30721733,1.72984957,0.64013226,0.03429188,2.06736544,0.61020181,0.56730629
-5.09954977,3.59905580,0.00728378,0.30342750,1.65567062,0.64066912,0.03667588,2.01861729,0.59262376,0.55662211
-5.09354677,3.53239906,0.00714060,0.30222418,1.58732015,0.64502781,0.03932283,1.97758371,0.57772819,0.55000705
-5.08754377,3.48384794,0.00705324,0.30374182,1.52582863,0.65340399,0.04221579,1.94499117,0.56572649,0.54770657
-5.08154077,3.45432782,0.00702162,0.30808264,1.47204986,0.66592332,0.04533085,1.92135217,0.55677491,0.54991115
-5.07553777,3.44436488,0.00704448,0.31531449,1.42665338,0.68263846,0.04863730,1.90696142,0.55097369,0.55675322
-5.06953477,3.45408736,0.00711943,0.32546906,1.39012172,0.70352722,0.05209816,1.90189769,0.54836710,0.56830478
-5.06353177,3.48323556,0.00724307,0.33854045,1.36275211,0.72849213,0.05567084,1.90603083,0.54894434,0.58457557
-5.05752876,3.53117992,0.00741109,0.35448421,1.34466187,0.75736110,0.05930806,1.91903371,0.55264133,0.60551193
