energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,1.55398284,0.21266507,0.00188518,0.00963066,0.91642907,0.74104665,0.65219690
-5.99399700,1.53117110,0.21312653,0.00190948,0.00926048,0.89888339,0.73691125,0.63557572
-5.98799400,1.51127017,0.21333479,0.00193703,0.00891876,0.88394530,0.73485834,0.62005105
-5.98199100,1.49409623,0.21319566,0.00196715,0.00860688,0.87160190,0.73473804,0.60563716
-5.97598799,1.47942967,0.21262981,0.00199914,0.00832568,0.86179241,0.73638557,0.59232012
-5.96998499,1.46701731,0.21157442,0.00203230,0.00807551,0.85440724,0.73962342,0.58005741
-5.96398199,1.45657648,0.20998418,0.00206593,0.00785628,0.84928927,0.74426422,0.56877898
-5.95797899,1.44780052,0.20783174,0.00209938,0.00766756,0.84623703,0.75011425,0.55838977
-5.95197599,1.44036585,0.20510762,0.00213203,0.00750866,0.84500997,0.75697744,0.54877343
-5.94597299,1.43394005,0.20181959,0.00216332,0.00737875,0.84533529,0.76465963,0.53979710
-5.93996998,1.42819076,0.19799160,0.00219273,0.00727698,0.84691608,0.77297296,0.53131702
-5.93396698,1.42279477,0.19366233,0.00221985,0.00720259,0.84944040,0.78174000,0.52318466
-5.92796398,1.41744700,0.18888331,0.00224430,0.00715504,0.85259081,0.79079752,0.51525289
-5.92196098,1.41186889,0.18371691,0.00226578,0.00713406,0.85605395,0.79999954,0.50738210
-5.91595798,1.40581575,0.17823406,0.00228407,0.00713976,0.85952960,0.80921962,0.49944578
-5.90995498,1.39908275,0.17251193,0.00229903,0.00717265,0.86273911,0.81835210,0.49133537
-5.90395198,1.39150938,0.16663154,0.00231055,0.00723366,0.86543254,0.82731233,0.48296412
-5.89794897,1.38298207,0.16067548,0.00231862,0.00732413,0.86739456,0.83603582,0.47426980
-5.89194597,1.37343507,0.15472579,0.00232324,0.00744571,0.86844868,0.84447635,0.46521623
-5.88594297,1.36284945,0.14886189,0.00232450,0.00760034,0.86845994,0.85260321,0.45579357
-5.87993997,1.35125049,0.14315892,0.00232251,0.00779004,0.86733594,0.86039768,0.44601733
-5.87393697,1.33870359,0.13768623,0.00231741,0.00801684,0.86502625,0.86784895,0.43592640
-5.86793397,1.32530892,0.13250616,0.00230938,0.00828258,0.86152053,0.87494977,0.42558011
-5.86193097,1.31119514,0.12767315,0.00229863,0.00858872,0.85684532,0.88169210,0.41505450
-5.85592796,1.29651256,0.12323307,0.00228537,0.00893620,0.85105996,0.88806291,0.40443821
-5.84992496,1.28142601,0.11922288,0.00226986,0.00932524,0.84425171,0.89404056,0.39382799
-5.84392196,1.26610771,0.11567043,0.00225233,0.00975518,0.83653053,0.89959181,0.38332426
-5.83791896,1.25073059,0.11259458,0.00223304,0.01022440,0.82802361,0.90466977,0.37302679
-5.83191596,1.23546217,0.11000539,0.00221225,0.01073021,0.81887008,0.90921299,0.36303087
-5.82591296,1.22045930,0.10790454,0.00219020,0.01126881,0.80921595,0.91314555,0.35342388
-5.81990995,1.20586393,0.10628580,0.00216714,0.01183530,0.79920959,0.91637850,0.34428265
-5.81390695,1.19179996,0.10513564,0.00214328,0.01242376,0.78899775,0.91881235,0.33567149
-5.80790395,1.17837129,0.10443392,0.00211883,0.01302735,0.77872240,0.92034067,0.32764102
-5.80190095,1.16566104,0.10415458,0.00209397,0.01363849,0.76851821,0.92085459,0.32022771
-5.79589795,1.15373181,0.10426644,0.00206885,0.01424909,0.75851078,0.92024800,0.31345416
-5.78989495,1.14262699,0.10473402,0.00204358,0.01485076,0.74881564,0.91842323,0.30732999
-5.78389195,1.13237283,0.10551835,0.00201826,0.01543513,0.73953774,0.91529688,0.30185326
-5.77788894,1.12298126,0.10657788,0.00199295,0.01599414,0.73077159,0.91080548,0.29701224
-5.77188594,1.11445313,0.10786937,0.00196766,0.01652029,0.72260170,0.90491089,0.29278756
-5.76588294,1.10678178,0.10934878,0.00194240,0.01700699,0.71510344,0.89760482,0.28915444
-5.75987994,1.09995673,0.11097223,0.00191714,0.01744873,0.70834403,0.88891261,0.28608501
-5.75387694,1.09396733,0.11269690,0.00189185,0.01784135,0.70238373,0.87889581,0.28355061
-5.74787394,1.08880634,0.11448195,0.00186646,0.01818218,0.69727710,0.86765354,0.28152395
-5.74187094,1.08447319,0.11628942,0.00184094,0.01847013,0.69307426,0.85532258,0.27998117
-5.73586793,1.08097704,0.11808508,0.00181522,0.01870570,0.68982229,0.84207617,0.27890363
-5.72986493,1.07833949,0.11983922,0.00178928,0.01889098,0.68756652,0.82812160,0.27827957
-5.72386193,1.07659697,0.12152739,0.00176312,0.01902953,0.68635196,0.81369671,0.27810549
-5.71785893,1.07580289,0.12313101,0.00173676,0.01912618,0.68622480,0.79906553,0.27838738
-5.71185593,1.07602939,0.12463791,0.00171027,0.01918684,0.68723387,0.78451315,0.27914160
-5.70585293,1.07736888,0.12604271,0.00168379,0.01921821,0.68943225,0.77034024,0.28039572
-5.69984992,1.07993522,0.12734709,0.00165750,0.01922750,0.69287888,0.75685723,0.28218894
-5.69384692,1.08386459,0.12855992,0.00163167,0.01922206,0.69764008,0.74437856,0.28457237
-5.68784392,1.08931583,0.12969714,0.00160662,0.01920912,0.70379102,0.73321706,0.28760897
-5.68184092,1.09647033,0.13078160,0.00158277,0.01919544,0.71141688,0.72367864,0.29137318
-5.67583792,1.10553123,0.13184263,0.00156062,0.01918705,0.72061367,0.71605750,0.29595010
-5.66983492,1.11672178,0.13291547,0.00154074,0.01918900,0.73148845,0.71063170,0.30143431
-5.66383192,1.13028279,0.13404055,0.00152378,0.01920515,0.74415896,0.70765934,0.30792817
-5.65782891,1.14646886,0.13526258,0.00151049,0.01923807,0.75875230,0.70737525,0.31553961
-5.65182591,1.16554351,0.13662946,0.00150164,0.01928898,0.77540270,0.70998796,0.32437937
-5.64582291,1.18777297,0.13819114,0.00149809,0.01935770,0.79424822,0.71567727,0.33455774
-5.63981991,1.21341858,0.13999825,0.00150071,0.01944274,0.81542639,0.72459188,0.34618077
-5.63381691,1.24272798,0.14210069,0.00151039,0.01954141,0.83906876,0.73684734,0.35934609
-5.62781391,1.27592523,0.14454608,0.00152801,0.01965001,0.86529452,0.75252412,0.37413838
-5.62181091,1.31319988,0.14737824,0.00155441,0.01976398,0.89420329,0.77166570,0.39062468
-5.61580790,1.35469554,0.15063554,0.00159034,0.01987821,0.92586741,0.79427676,0.40884962
-5.60980490,1.40049822,0.15434931,0.00163649,0.01998724,0.96032393,0.82032147,0.42883087
-5.60380190,1.45062490,0.15854230,0.00169337,0.02008554,0.99756675,0.84972181,0.45055494
-5.59779890,1.50501297,0.16322719,0.00176135,0.02016777,1.03753922,0.88235619,0.47397360
-5.59179590,1.56351090,0.16840528,0.00184060,0.02022896,1.08012775,0.91805833,0.49900104
-5.58579290,1.62587092,0.17406532,0.00193107,0.02026479,1.12515672,0.95661665,0.52551214
-5.57978989,1.69174418,0.18018264,0.00203246,0.02027169,1.17238516,0.99777420,0.55334189
-5.57378689,1.76067893,0.18671851,0.00214422,0.02024698,1.22150559,1.04122954,0.58228615
-5.56778389,1.83212202,0.19361990,0.00226552,0.02018900,1.27214527,1.08663843,0.61210388
