energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.24918389,0.06095938,0.00101597,0.01389496,0.78345615,0.33802951,0.41149530
-5.99399700,1.24987247,0.06076479,0.00102022,0.01380691,0.78526613,0.34311723,0.40874454
-5.98799400,1.25232382,0.06056693,0.00102782,0.01370663,0.78849689,0.34911136,0.40708903
-5.98199100,1.25599810,0.06033121,0.00103818,0.01358998,0.79287176,0.35587509,0.40642308
-5.97598799,1.26043571,0.06002742,0.00105078,0.01345342,0.79815767,0.36329620,0.40665601
-5.96998499,1.26527058,0.05963060,0.00106523,0.01329427,0.80417223,0.37128862,0.40771573
-5.96398199,1.27023738,0.05912170,0.00108127,0.01311073,0.81078703,0.37979211,0.40955052
-5.95797899,1.27517243,0.05848789,0.00109872,0.01290204,0.81792721,0.38877020,0.41212898
-5.95197599,1.28000853,0.05772261,0.00111750,0.01266844,0.82556718,0.39820658,0.41543797
-5.94597299,1.28476404,0.05682525,0.00113762,0.01241114,0.83372306,0.40810004,0.41947897
-5.93996998,1.28952718,0.05580071,0.00115915,0.01213229,0.84244211,0.41845840,0.42426280
-5.93396698,1.29443648,0.05465857,0.00118217,0.01183481,0.85179019,0.42929189,0.42980339
-5.92796398,1.29965891,0.05341222,0.00120679,0.01152226,0.86183778,0.44060619,0.43611072
-5.92196098,1.30536693,0.05207782,0.00123310,0.01119865,0.87264577,0.45239586,0.44318378
-5.91595798,1.31171617,0.05067323,0.00126115,0.01086823,0.88425189,0.46463843,0.45100376
-5.90995498,1.31882504,0.04921693,0.00129093,0.01053534,0.89665871,0.47728961,0.45952827
-5.90395198,1.32675767,0.04772711,0.00132237,0.01020417,0.90982404,0.49027998,0.46868676
-5.89794897,1.33551126,0.04622079,0.00135530,0.00987863,0.92365444,0.50351334,0.47837788
-5.89194597,1.34500855,0.04471312,0.00138947,0.00956221,0.93800231,0.51686698,0.48846866
-5.88594297,1.35509597,0.04321699,0.00142457,0.00925786,0.95266674,0.53019373,0.49879606
-5.87993997,1.36554743,0.04174267,0.00146017,0.00896793,0.96739820,0.54332586,0.50917059
-5.87393697,1.37607352,0.04029785,0.00149583,0.00869415,0.98190677,0.55608053,0.51938202
-5.86793397,1.38633553,0.03888775,0.00153104,0.00843765,0.99587350,0.56826652,0.52920689
-5.86193097,1.39596330,0.03751544,0.00156529,0.00819899,1.00896414,0.57969197,0.53841741
-5.85592796,1.40457588,0.03618233,0.00159806,0.00797823,1.02084455,0.59017253,0.54679131
-5.84992496,1.41180359,0.03488873,0.00162889,0.00777503,1.03119687,0.59953969,0.55412206
-5.84392196,1.41731038,0.03363447,0.00165736,0.00758878,1.03973549,0.60764879,0.56022884
-5.83791896,1.42081495,0.03241953,0.00168315,0.00741870,1.04622202,0.61438631,0.56496586
-5.83191596,1.42210973,0.03124466,0.00170603,0.00726395,1.05047838,0.61967623,0.56823035
-5.82591296,1.42107654,0.03011194,0.00172589,0.00712379,1.05239744,0.62348505,0.56996875
-5.81990995,1.41769828,0.02902520,0.00174277,0.00699762,1.05195063,0.62582549,0.57018100
-5.81390695,1.41206612,0.02799040,0.00175683,0.00688514,1.04919224,0.62675866,0.56892233
-5.80790395,1.40438206,0.02701583,0.00176835,0.00678639,1.04426034,0.62639476,0.56630287
-5.80190095,1.39495683,0.02611221,0.00177776,0.00670180,1.03737431,0.62489241,0.56248475
-5.79589795,1.38420344,0.02529269,0.00178560,0.00663227,1.02882935,0.62245659,0.55767711
-5.78989495,1.37262700,0.02457266,0.00179249,0.00657918,1.01898820,0.61933556,0.55212920
-5.78389195,1.36081130,0.02396957,0.00179914,0.00654441,1.00827070,0.61581677,0.54612195
-5.77788894,1.34940299,0.02350260,0.00180632,0.00653034,0.99714168,0.61222187,0.53995843
-5.77188594,1.33909408,0.02319228,0.00181484,0.00653979,0.98609774,0.60890117,0.53395373
-5.76588294,1.33060358,0.02306009,0.00182550,0.00657609,0.97565357,0.60622749,0.52842466
-5.75987994,1.32465885,0.02312805,0.00183911,0.00664294,0.96632811,0.60458948,0.52367971
-5.75387694,1.32197734,0.02341820,0.00185644,0.00674442,0.95863134,0.60438455,0.52000980
-5.74787394,1.32324905,0.02395220,0.00187822,0.00688489,0.95305161,0.60601134,0.51767996
-5.74187094,1.32912016,0.02475087,0.00190511,0.00706894,0.95004415,0.60986177,0.51692235
-5.73586793,1.34017794,0.02583369,0.00193770,0.00730125,0.95002066,0.61631265,0.51793062
-5.72986493,1.35693701,0.02721836,0.00197650,0.00758650,0.95334017,0.62571691,0.52085588
-5.72386193,1.37982699,0.02892030,0.00202193,0.00792924,0.96030119,0.63839444,0.52580405
-5.71785893,1.40918152,0.03095220,0.00207429,0.00833372,0.97113504,0.65462274,0.53283466
-5.71185593,1.44522856,0.03332347,0.00213381,0.00880374,0.98600044,0.67462748,0.54196090
-5.70585293,1.48808199,0.03603978,0.00220059,0.00934246,1.00497921,0.69857324,0.55315077
