energy_ev,total_up,Re_p_up,Re_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.32989220,1.18871940,1.29150748,0.94781817,0.01713608,0.26403495,0.00000000
-5.99399700,2.31087652,1.18606551,1.28072279,0.93716097,0.01698311,0.26039357,0.00000000
-5.98799400,2.28774220,1.18338831,1.26703521,0.92378172,0.01678560,0.25822808,0.00000000
-5.98199100,2.26089258,1.18081822,1.25070718,0.90787780,0.01654735,0.25748209,0.00000000
-5.97598799,2.23095376,1.17855481,1.23213687,0.88975464,0.01627377,0.25810257,0.00000000
-5.96998499,2.19873564,1.17684928,1.21183639,0.86980876,0.01597156,0.26003688,0.00000000
-5.96398199,2.16518550,1.17598376,1.19040559,0.84850756,0.01564842,0.26322919,0.00000000
-5.95797899,2.13133666,1.17624878,1.16850278,0.82636676,0.01531265,0.26761657,0.00000000
-5.95197599,2.09825507,1.17792039,1.14681407,0.80392677,0.01497276,0.27312518,0.00000000
-5.94597299,2.06698667,1.18123840,1.12602270,0.78172908,0.01463715,0.27966689,0.00000000
-5.93996998,2.03850851,1.18638703,1.10678025,0.76029395,0.01431374,0.28713661,0.00000000
-5.93396698,2.01368604,1.19347928,1.08968076,0.74010036,0.01400972,0.29541076,0.00000000
-5.92796398,1.99323871,1.20254602,1.07523943,0.72156919,0.01373132,0.30434690,0.00000000
-5.92196098,1.97771561,1.21353040,1.06387649,0.70505039,0.01348367,0.31378476,0.00000000
-5.91595798,1.96748216,1.22628813,1.05590708,0.69081456,0.01327078,0.32354866,0.00000000
-5.90995498,1.96271816,1.24059343,1.05153744,0.67904923,0.01309555,0.33345133,0.00000000
-5.90395198,1.96342700,1.25615044,1.05086729,0.66985980,0.01295987,0.34329877,0.00000000
-5.89794897,1.96945512,1.27260942,1.05389803,0.66327493,0.01286483,0.35289609,0.00000000
-5.89194597,1.98052021,1.28958669,1.06054618,0.65925574,0.01281093,0.36205401,0.00000000
-5.88594297,1.99624633,1.30668720,1.07066089,0.65770832,0.01279838,0.37059541,0.00000000
-5.87993997,2.01620345,1.32352835,1.08404451,0.65849847,0.01282739,0.37836189,0.00000000
-5.87393697,2.03994916,1.33976372,1.10047482,0.66146792,0.01289847,0.38521966,0.00000000
-5.86793397,2.06706959,1.35510517,1.11972751,0.66645085,0.01301273,0.39106453,0.00000000
-5.86193097,2.09721737,1.36934212,1.14159756,0.67328975,0.01317213,0.39582569,0.00000000
-5.85592796,2.13014386,1.38235670,1.16591808,0.68184959,0.01337964,0.39946798,0.00000000
-5.84992496,2.16572385,1.39413403,1.19257554,0.69202955,0.01363936,0.40199253,0.00000000
-5.84392196,2.20397093,1.40476667,1.22152017,0.70377141,0.01395659,0.40343572,0.00000000
-5.83791896,2.24504236,1.41445304,1.25277098,0.71706417,0.01433771,0.40386645,0.00000000
-5.83191596,2.28923278,1.42348969,1.28641475,0.73194449,0.01479005,0.40338192,0.00000000
-5.82591296,2.33695685,1.43225755,1.32259888,0.74849293,0.01532160,0.40210207,0.00000000
-5.81990995,2.38872122,1.44120290,1.36151824,0.76682595,0.01594068,0.40016307,0.00000000
-5.81390695,2.44508697,1.45081355,1.40339649,0.78708425,0.01665545,0.39771006,0.00000000
-5.80790395,2.50662442,1.46159169,1.44846270,0.80941780,0.01747347,0.39488966,0.00000000
-5.80190095,2.57386209,1.47402420,1.49692439,0.83396851,0.01840107,0.39184257,0.00000000
-5.79589795,2.64723267,1.48855224,1.54893821,0.86085137,0.01944284,0.38869660,0.00000000
-5.78989495,2.72701866,1.50554121,1.60458005,0.89013514,0.02060101,0.38556055,0.00000000
-5.78389195,2.81330064,1.52525283,1.66381600,0.92182375,0.02187491,0.38251915,0.00000000
-5.77788894,2.90591115,1.54782058,1.72647603,0.95583945,0.02326054,0.37962934,0.00000000
-5.77188594,3.00439706,1.57322999,1.79223211,0.99200884,0.02475014,0.37691801,0.00000000
-5.76588294,3.10799293,1.60130477,1.86058222,1.03005277,0.02633194,0.37438122,0.00000000
-5.75987994,3.21560752,1.63169976,1.93084170,1.06958087,0.02799009,0.37198502,0.00000000
-5.75387694,3.32582497,1.66390136,2.00214290,1.11009139,0.02970464,0.36966767,0.00000000
-5.74787394,3.43692160,1.69723558,2.07344386,1.15097654,0.03145182,0.36734309,0.00000000
-5.74187094,3.54689845,1.73088394,2.14354619,1.19153355,0.03320443,0.36490552,0.00000000
-5.73586793,3.65352889,1.76390635,2.21112194,1.23098114,0.03493241,0.36223486,0.00000000
-5.72986493,3.75441986,1.79527070,2.27474863,1.26848083,0.03660357,0.35920266,0.00000000
-5.72386193,3.84708448,1.82388751,2.33295124,1.30316239,0.03818452,0.35567835,0.00000000
-5.71785893,3.92902324,1.84864864,2.38424967,1.33415216,0.03964159,0.35153546,0.00000000
-5.71185593,3.99781015,1.86846814,2.42720931,1.36060325,0.04094190,0.34665750,0.00000000
-5.70585293,4.05118019,1.88232353,2.46049282,1.38172606,0.04205449,0.34094331,0.00000000
-5.69984992,4.08711393,1.88929560,2.48291051,1.39681766,0.04295126,0.33431172,0.00000000
-5.69384692,4.10391546,1.88860495,2.49346699,1.40528879,0.04360807,0.32670519,0.00000000
-5.68784392,4.10027981,1.87964352,2.49140176,1.40668699,0.04400552,0.31809245,0.00000000
-5.68184092,4.07534678,1.86199974,2.47622193,1.40071479,0.04412971,0.30847005,0.00000000
-5.67583792,4.02873846,1.83547597,2.44772525,1.38724212,0.04397276,0.29786276,0.00000000
-5.66983492,3.96057881,1.80009773,2.40601251,1.36631227,0.04353309,0.28632286,0.00000000
-5.66383192,3.87149444,1.75611422,2.35148862,1.33814116,0.04281553,0.27392851,0.00000000
-5.65782891,3.76259670,1.70399025,2.28485263,1.30311006,0.04183116,0.26078108,0.00000000
-5.65182591,3.63544621,1.64439022,2.20707697,1.26175213,0.04059697,0.24700192,0.00000000
-5.64582291,3.49200175,1.57815506,2.11937740,1.21473346,0.03913525,0.23272841,0.00000000
-5.63981991,3.33455635,1.50627336,2.02317509,1.16282975,0.03747290,0.21810978,0.00000000
