energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,3.50403591,0.00793681,0.72514031,1.98080433,1.46306432,0.64504148,0.22177703,1.20317969,0.00000000
-5.99399700,3.35753931,0.00754952,0.70717501,1.94033225,1.40570511,0.62001193,0.20827360,1.14051598,0.00000000
-5.98799400,3.22449266,0.00730438,0.68926434,1.90420112,1.35090064,0.59740983,0.19680019,1.08646250,0.00000000
-5.98199100,3.10584333,0.00720020,0.67164599,1.87303082,1.29898535,0.57752594,0.18735933,1.04123011,0.00000000
-5.97598799,3.00244271,0.00723571,0.65457573,1.84743769,1.25031064,0.56063089,0.17992884,1.00494085,0.00000000
-5.96998499,2.91501762,0.00740941,0.63831846,1.82800736,1.20523660,0.54696322,0.17446234,0.97762263,0.00000000
-5.96398199,2.84413936,0.00771951,0.62313836,1.81526628,1.16412130,0.53671792,0.17088966,0.95920366,0.00000000
-5.95797899,2.79019254,0.00816375,0.60928844,1.80965342,1.12730816,0.53003613,0.16911756,0.94950735,0.00000000
-5.95197599,2.75334566,0.00873923,0.59700027,1.81149371,1.09511201,0.52699648,0.16903044,0.94824855,0.00000000
-5.94597299,2.73352581,0.00944222,0.58647407,1.82097477,1.06780495,0.52760859,0.17049160,0.95503158,0.00000000
-5.93996998,2.73039932,0.01026796,0.57786987,1.83812821,1.04560265,0.53180925,0.17334484,0.96935094,0.00000000
-5.93396698,2.74336027,0.01121041,0.57130014,1.86281670,1.02865196,0.53946136,0.17741664,0.99059519,0.00000000
-5.92796398,2.77152818,0.01226214,0.56682416,1.89472769,1.01702060,0.55035591,0.18251901,1.01805440,0.00000000
-5.92196098,2.81375578,0.01341409,0.56444448,1.93337412,1.01068965,0.56421698,0.18845294,1.05093136,0.00000000
-5.91595798,2.86864734,0.01465552,0.56410568,1.97810242,1.00954929,0.58070965,0.19501259,1.08835662,0.00000000
-5.90995498,2.93458745,0.01597392,0.56569543,2.02810759,1.01339809,0.59945049,0.20198995,1.12940716,0.00000000
-5.90395198,3.00977955,0.01735501,0.56904793,2.08245471,1.02194625,0.62002031,0.20918012,1.17312816,0.00000000
-5.89794897,3.09229315,0.01878279,0.57394947,2.14010598,1.03482258,0.64197864,0.21638683,1.21855744,0.00000000
-5.89194597,3.18011812,0.02023972,0.58014600,2.19995239,1.05158517,0.66487937,0.22342817,1.26475149,0.00000000
-5.88594297,3.27122416,0.02170691,0.58735243,2.26084843,1.07173543,0.68828695,0.23014228,1.31081253,0.00000000
-5.87993997,3.36362314,0.02316443,0.59526314,2.32164862,1.09473499,0.71179236,0.23639275,1.35591521,0.00000000
-5.87393697,3.45543210,0.02459168,0.60356343,2.38124423,1.12002477,0.73502834,0.24207350,1.39933212,0.00000000
-5.86793397,3.54493432,0.02596781,0.61194151,2.43859889,1.14704571,0.75768314,0.24711296,1.44045703,0.00000000
-5.86193097,3.63063616,0.02727220,0.62010034,2.49278157,1.17526009,0.77951217,0.25147729,1.47882475,0.00000000
-5.85592796,3.71131736,0.02848497,0.62776916,2.54299583,1.20417287,0.80034713,0.25517251,1.51412691,0.00000000
-5.84992496,3.78607285,0.02958749,0.63471405,2.58860427,1.23335186,0.82010213,0.25824532,1.54622268,0.00000000
-5.84392196,3.85434418,0.03056292,0.64074725,2.62914734,1.26244614,0.83877652,0.26078268,1.57514413,0.00000000
-5.83791896,3.91593933,0.03139669,0.64573488,2.66435591,1.29120174,0.85645435,0.26290990,1.60109561,0.00000000
-5.83191596,3.97103990,0.03207690,0.64960270,2.69415732,1.31947380,0.87330025,0.26478740,1.62444715,0.00000000
-5.82591296,4.02019497,0.03259473,0.65233971,2.71867460,1.34723463,0.88955207,0.26660619,1.64572193,0.00000000
-5.81990995,4.06430182,0.03294469,0.65399954,2.73821918,1.37457711,0.90551038,0.26858207,1.66557798,0.00000000
-5.81390695,4.10457356,0.03312479,0.65469929,2.75327714,1.40171293,0.92152530,0.27094889,1.68478480,0.00000000
-5.80790395,4.14249465,0.03313659,0.65461613,2.76448959,1.42896563,0.93798113,0.27395090,1.70419539,0.00000000
