energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,2.17454177,0.78855668,0.42873052,0.00355256,0.24890010,0.53662786,0.60950883,0.98576804,0.00000000
-5.99399700,2.13801676,0.77131337,0.42226466,0.00331062,0.24458135,0.51902000,0.60462140,0.96059385,0.00000000
-5.98799400,2.10258395,0.75364429,0.41637824,0.00308378,0.23980857,0.50138310,0.60073034,0.93574608,0.00000000
-5.98199100,2.06763940,0.73545052,0.41099139,0.00287064,0.23457502,0.48366375,0.59747560,0.91109247,0.00000000
-5.97598799,2.03258907,0.71664522,0.40600600,0.00266992,0.22888495,0.46582801,0.59450282,0.88650013,0.00000000
-5.96998499,1.99686363,0.69715706,0.40130811,0.00248050,0.22275228,0.44786133,0.59147196,0.86184012,0.00000000
-5.96398199,1.95993282,0.67693309,0.39677101,0.00230147,0.21619926,0.42976758,0.58806550,0.83699185,0.00000000
-5.95797899,1.92131924,0.65594083,0.39225905,0.00213203,0.20925510,0.41156731,0.58399627,0.81184703,0.00000000
-5.95197599,1.88061107,0.63416975,0.38763192,0.00197159,0.20195466,0.39329551,0.57901463,0.78631330,0.00000000
-5.94597299,1.83747372,0.61163207,0.38274932,0.00181966,0.19433720,0.37499889,0.57291480,0.76031741,0.00000000
-5.93996998,1.79165990,0.58836287,0.37747594,0.00167587,0.18644531,0.35673319,0.56554020,0.73380791,0.00000000
-5.93396698,1.74301794,0.56441965,0.37168639,0.00153996,0.17832394,0.33856034,0.55678767,0.70675727,0.00000000
-5.92796398,1.69149787,0.53988132,0.36526997,0.00141174,0.17001957,0.32054593,0.54661032,0.67916349,0.00000000
-5.92196098,1.63715515,0.51484668,0.35813510,0.00129105,0.16157957,0.30275693,0.53501897,0.65105105,0.00000000
-5.91595798,1.58015170,0.48943250,0.35021311,0.00117779,0.15305156,0.28525981,0.52208198,0.62247117,0.00000000
-5.90995498,1.52075396,0.46377117,0.34146130,0.00107185,0.14448304,0.26811902,0.50792347,0.59350147,0.00000000
-5.90395198,1.45932804,0.43800816,0.33186506,0.00097314,0.13592087,0.25139593,0.49271997,0.56424476,0.00000000
-5.89794897,1.39633176,0.41229905,0.32143895,0.00088155,0.12741102,0.23514813,0.47669538,0.53482724,0.00000000
-5.89194597,1.33230381,0.38680652,0.31022666,0.00079694,0.11899812,0.21942898,0.46011454,0.50539590,0.00000000
-5.88594297,1.26785015,0.36169711,0.29829987,0.00071919,0.11072519,0.20428749,0.44327541,0.47611525,0.00000000
-5.87993997,1.20362799,0.33713797,0.28575603,0.00064812,0.10263325,0.18976819,0.42650015,0.44716348,0.00000000
-5.87393697,1.14032792,0.31329358,0.27271506,0.00058357,0.09476095,0.17591123,0.41012535,0.41872810,0.00000000
-5.86793397,1.07865452,0.29032252,0.25931533,0.00052535,0.08714419,0.16275237,0.39449167,0.39100123,0.00000000
-5.86193097,1.01930629,0.26837440,0.24570888,0.00047325,0.07981570,0.15032295,0.37993324,0.36417457,0.00000000
-5.85592796,0.96295548,0.24758698,0.23205615,0.00042708,0.07280471,0.13864977,0.36676721,0.33843447,0.00000000
-5.84992496,0.91022856,0.22808355,0.21852064,0.00038665,0.06613656,0.12775495,0.35528371,0.31395704,0.00000000
-5.84392196,0.86168811,0.20997068,0.20526341,0.00035177,0.05983237,0.11765563,0.34573671,0.29090356,0.00000000
-5.83791896,0.81781672,0.19333630,0.19243800,0.00032227,0.05390886,0.10836373,0.33833591,0.26941650,0.00000000
-5.83191596,0.77900365,0.17824828,0.18018574,0.00029799,0.04837814,0.09988569,0.33324020,0.24961606,0.00000000
-5.82591296,0.74553475,0.16475347,0.16863184,0.00027878,0.04324765,0.09222227,0.33055282,0.23159766,0.00000000
-5.81990995,0.71758609,0.15287726,0.15788221,0.00026452,0.03852027,0.08536859,0.33031841,0.21543027,0.00000000
-5.81390695,0.69522152,0.14262364,0.14802132,0.00025511,0.03419444,0.07931421,0.33252223,0.20115573,0.00000000
-5.80790395,0.67839457,0.13397584,0.13911107,0.00025049,0.03026448,0.07404362,0.33709156,0.18878915,0.00000000
-5.80190095,0.66695435,0.12689742,0.13119068,0.00025058,0.02672096,0.06953687,0.34389929,0.17832031,0.00000000
-5.79589795,0.66065568,0.12133397,0.12427754,0.00025536,0.02355128,0.06577056,0.35276976,0.16971604,0.00000000
-5.78989495,0.65917282,0.11721513,0.11836905,0.00026483,0.02074021,0.06271908,0.36348657,0.16292354,0.00000000
-5.78389195,0.66211660,0.11445715,0.11344521,0.00027901,0.01827062,0.06035605,0.37580226,0.15787443,0.00000000
-5.77788894,0.66905428,0.11296575,0.10947186,0.00029798,0.01612420,0.05865611,0.38944954,0.15448949,0.00000000
-5.77188594,0.67953145,0.11263926,0.10640438,0.00032183,0.01428222,0.05759663,0.40415375,0.15268382,0.00000000
