energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Li_s_up,Li_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.50933600,-6.70291029,0.04548594,-0.03556441,0.38797900,-0.78646217,1.19645797,-1.90898607,0.58541975,-0.73213889,0.21081204,-0.51393832,0.04960767,-0.09344181,1.46302092,-2.97795707
-5.99399700,3.43949718,-6.74253982,0.04646699,-0.03681970,0.37130387,-0.78279223,1.19083834,-1.93372844,0.56880613,-0.73458211,0.20853374,-0.52972484,0.04699128,-0.09344627,1.45170349,-3.01001220
-5.98799400,3.37149463,-6.75982451,0.04732963,-0.03804457,0.35544415,-0.77596963,1.18504700,-1.95264413,0.55288040,-0.73437575,0.20623309,-0.54322598,0.04451855,-0.09315984,1.43989907,-3.03315334
-5.98199100,3.30520242,-6.75560950,0.04806493,-0.03923281,0.34059054,-0.76622509,1.17893203,-1.96577868,0.53777156,-0.73165199,0.20382904,-0.55427074,0.04222006,-0.09260148,1.42720593,-3.04753327
-5.97598799,3.24061563,-6.73085616,0.04866770,-0.04037690,0.32694656,-0.75382238,1.17239629,-1.97320051,0.52363320,-0.72656654,0.20125041,-0.56272223,0.04012536,-0.09179076,1.41327329,-3.05332032
-5.96998499,3.17785150,-6.68660147,0.04913664,-0.04146797,0.31472233,-0.73905067,1.16540056,-1.97499424,0.51063935,-0.71929340,0.19843833,-0.56848032,0.03826215,-0.09074728,1.39781306,-3.05068519
-5.96398199,3.11714581,-6.62392433,0.04947443,-0.04249600,0.30412759,-0.72221705,1.15796436,-1.97125622,0.49897912,-0.71001990,0.19534834,-0.57148343,0.03665554,-0.08949017,1.38060974,-3.03979231
-5.95797899,3.05884418,-6.54392043,0.04968763,-0.04345005,0.29536436,-0.70363927,1.15016436,-1.96209250,0.48885051,-0.69894223,0.19195193,-0.57170948,0.03532729,-0.08803780,1.36152809,-3.02079627
-5.95197599,3.00338852,-6.44768604,0.04978647,-0.04431854,0.28861948,-0.68363898,1.14213024,-1.94761927,0.48045355,-0.68626150,0.18823755,-0.56917594,0.03429514,-0.08640763,1.34051788,-2.99384330
-5.94597299,2.95129868,-6.33631049,0.04978449,-0.04508968,0.28405729,-0.66253558,1.13403827,-1.92796541,0.47398286,-0.67218035,0.18421099,-0.56393916,0.03357219,-0.08461621,1.31761561,-2.95907744
-5.93996998,2.90314992,-6.21087647,0.04969805,-0.04575193,0.28181269,-0.64064066,1.12610247,-1.90327693,0.46962014,-0.65690019,0.17989516,-0.55609283,0.03316638,-0.08267927,1.29294274,-2.91665068
-5.93396698,2.85954672,-6.07246632,0.04954570,-0.04629446,0.28198490,-0.61825318,1.11856398,-1.87372248,0.46752672,-0.64061893,0.17532920,-0.54576566,0.03308008,-0.08061199,1.26670062,-2.86673589
-5.92796398,2.82109419,-5.92217242,0.04934749,-0.04670764,0.28463222,-0.59565516,1.11167884,-1.83949945,0.46783650,-0.62352903,0.17056704,-0.53311846,0.03330976,-0.07842918,1.23916211,-2.80954124
-5.92196098,2.78836794,-5.76110936,0.04912424,-0.04698348,0.28976784,-0.57310806,1.10570488,-1.80083967,0.47064958,-0.60581597,0.16567541,-0.51834056,0.03384589,-0.07614554,1.21066029,-2.74532477
-5.91595798,2.76188415,-5.59042552,0.04889669,-0.04711601,0.29735713,-0.55084962,1.10088831,-1.75801422,0.47602691,-0.58765674,0.16073138,-0.50164569,0.03467290,-0.07377592,1.18157483,-2.67440763
