energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.08411261,0.02279830,0.08702617,0.19066577,0.28142663,0.47570459,0.00000000,0.54574346,0.04896618
-5.99399700,1.14849690,0.02447776,0.09223607,0.20213089,0.29697891,0.50466594,0.00000000,0.57778193,0.05186687
-5.98799400,1.20942495,0.02609536,0.09718955,0.21322798,0.31206807,0.53184166,0.00000000,0.60750430,0.05456086
-5.98199100,1.26574694,0.02762281,0.10178211,0.22375151,0.32640619,0.55671721,0.00000000,0.63435145,0.05699813
-5.97598799,1.31640781,0.02903215,0.10591608,0.23351488,0.33974168,0.57881202,0.00000000,0.65780766,0.05913248
-5.96998499,1.36047828,0.03029658,0.10950318,0.24235554,0.35186581,0.59769409,0.00000000,0.67741701,0.06092297
-5.96398199,1.39718325,0.03139133,0.11246693,0.25013954,0.36261827,0.61299362,0.00000000,0.69279836,0.06233529
-5.95797899,1.42592608,0.03229439,0.11474488,0.25676534,0.37189138,0.62441502,0.00000000,0.70365828,0.06334293
-5.95197599,1.44630738,0.03298733,0.11629039,0.26216666,0.37963266,0.63174668,0.00000000,0.70980116,0.06392811
-5.94597299,1.45813735,0.03345587,0.11707395,0.26631414,0.38584544,0.63486806,0.00000000,0.71113615,0.06408241
-5.93996998,1.46144091,0.03369040,0.11708406,0.26921571,0.39058761,0.63375366,0.00000000,0.70768034,0.06380707
-5.93396698,1.45645503,0.03368632,0.11632743,0.27091550,0.39396814,0.62847370,0.00000000,0.69955827,0.06311293
-5.92796398,1.44361851,0.03344416,0.11482860,0.27149148,0.39614168,0.61919141,0.00000000,0.68699759,0.06202011
-5.92196098,1.42355442,0.03296962,0.11262900,0.27105164,0.39730135,0.60615713,0.00000000,0.67032106,0.06055722
-5.91595798,1.39704596,0.03227328,0.10978543,0.26972909,0.39766996,0.58969933,0.00000000,0.64993549,0.05876045
-5.90995498,1.36500702,0.03137030,0.10636807,0.26767620,0.39749015,0.57021318,0.00000000,0.62631788,0.05667223
-5.90395198,1.32844861,0.03027980,0.10245806,0.26505800,0.39701380,0.54814704,0.00000000,0.59999955,0.05433992
