energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-4.39719860,0.85020388,0.26049975,0.10554857,0.00026089,0.34449678,0.15241026,0.00000000,0.33503528,0.14461202
-4.39119560,0.83202300,0.25199595,0.10423672,0.00023498,0.33908909,0.14821015,0.00000000,0.32778622,0.14023145
-4.38519260,0.81606872,0.24351184,0.10359331,0.00021062,0.33454076,0.14451650,0.00000000,0.32195092,0.13602551
-4.37918959,0.80320581,0.23530762,0.10378298,0.00018804,0.33113933,0.14156079,0.00000000,0.31786355,0.13212719
-4.37318659,0.79431634,0.22765208,0.10498142,0.00016741,0.32916937,0.13959094,0.00000000,0.31585651,0.12866895
-4.36718359,0.79029009,0.22081809,0.10737492,0.00014884,0.32890941,0.13886843,0.00000000,0.31625812,0.12578049
-4.36118059,0.79201541,0.21507833,0.11115980,0.00013243,0.33062887,0.13966548,0.00000000,0.31939042,0.12358671
-4.35517759,0.80037005,0.21070120,0.11654184,0.00011820,0.33458500,0.14226226,0.00000000,0.32556672,0.12220580
-4.34917459,0.81621173,0.20794702,0.12373533,0.00010614,0.34101964,0.14694403,0.00000000,0.33508857,0.12174758
-4.34317159,0.84036776,0.20706421,0.13296188,0.00009623,0.35015571,0.15399815,0.00000000,0.34824211,0.12231185
-4.33716858,0.87362367,0.20828562,0.14444867,0.00008840,0.36219320,0.16371072,0.00000000,0.36529346,0.12398688
-4.33116558,0.91671039,0.21182469,0.15842629,0.00008257,0.37730472,0.17636288,0.00000000,0.38648314,0.12684794
-4.32516258,0.97028987,0.21787168,0.17512598,0.00007862,0.39563062,0.19222661,0.00000000,0.41201946,0.13095578
-4.31915958,1.03493915,0.22658959,0.19477620,0.00007644,0.41727358,0.21155990,0.00000000,0.44207098,0.13635520
-4.31315658,1.11113316,0.23811011,0.21759869,0.00007590,0.44229292,0.23460145,0.00000000,0.47675819,0.14307356
-4.30715358,1.19922644,0.25252939,0.24380392,0.00007687,0.47069888,0.26156473,0.00000000,0.51614466,0.15111937
-4.30115058,1.29943445,0.26990390,0.27358596,0.00007919,0.50244690,0.29263159,0.00000000,0.56022805,0.16048098
-4.29514757,1.41181511,0.29024641,0.30711701,0.00008271,0.53743244,0.32794545,0.00000000,0.60893138,0.17112536
-4.28914457,1.53625134,0.31352227,0.34454155,0.00008729,0.57548656,0.36760434,0.00000000,0.66209506,0.18299717
-4.28314157,1.67243556,0.33964630,0.38597026,0.00009277,0.61637256,0.41165395,0.00000000,0.71947014,0.19601807
-4.27713857,1.81985702,0.36848031,0.43147399,0.00009900,0.65978416,0.46008099,0.00000000,0.78071336,0.21008655
-4.27113557,1.97779286,0.39983170,0.48107773,0.00010582,0.70534542,0.51280700,0.00000000,0.84538440,0.22507808
-4.26513257,2.14530380,0.43345316,0.53475498,0.00011308,0.75261264,0.56968322,0.00000000,0.91294574,0.24084594
-4.25912956,2.32123493,0.46904373,0.59242256,0.00012064,0.80107858,0.63048639,0.00000000,0.98276556,0.25722260
-4.25312656,2.50422242,0.50625140,0.65393608,0.00012833,0.85017878,0.69491620,0.00000000,1.05412372,0.27402178
-4.24712356,2.69270613,0.54467719,0.71908630,0.00013603,0.89930033,0.76259427,0.00000000,1.12622099,0.29104107
-4.24112056,2.88494839,0.58388091,0.78759654,0.00014359,0.94779265,0.83306510,0.00000000,1.19819143,0.30806530
-4.23511756,3.07905867,0.62338834,0.85912132,0.00015089,0.99498020,0.90579907,0.00000000,1.26911769,0.32487028
-4.22911456,3.27302362,0.66269977,0.93324641,0.00015780,1.04017672,0.98019746,0.00000000,1.33804885,0.34122718
-4.22311156,3.46474194,0.70129983,1.00949043,0.00016420,1.08270062,1.05559969,0.00000000,1.40402032,0.35690716
-4.21710855,3.65206296,0.73866799,1.08730817,0.00017001,1.12189087,1.13129257,0.00000000,1.46607510,0.37168619
-4.21110555,3.83282816,0.77428983,1.16609560,0.00017512,1.15712306,1.20652140,0.00000000,1.52328590,0.38535003
-4.20510255,4.00491407,0.80766832,1.24519682,0.00017946,1.18782488,1.28050273,0.00000000,1.57477708,0.39769896
-4.19909955,4.16627561,0.83833504,1.32391266,0.00018297,1.21349051,1.35243857,0.00000000,1.61974593,0.40855239
-4.19309655,4.31498827,0.86586069,1.40151109,0.00018560,1.23369341,1.42153139,0.00000000,1.65748236,0.41775292
-4.18709355,4.44928805,0.88986479,1.47723916,0.00018731,1.24809702,1.48699995,0.00000000,1.68738636,0.42516990
-4.18109055,4.56760786,0.91002400,1.55033620,0.00018808,1.25646301,1.54809499,0.00000000,1.70898262,0.43070230
-4.17508754,4.66860921,0.92607894,1.62004806,0.00018791,1.25865671,1.60411479,0.00000000,1.72193187,0.43428073
-4.16908454,4.75120838,0.93783925,1.68564186,0.00018681,1.25464970,1.65441975,0.00000000,1.72603839,0.43586873
-4.16308154,4.81459617,0.94518673,1.74642095,0.00018479,1.24451928,1.69844581,0.00000000,1.72125373,0.43546308
-4.15707854,4.85825075,0.94807655,1.80173940,0.00018190,1.22844508,1.73571611,0.00000000,1.70767634,0.43309325
-4.15107554,4.88194328,0.94653652,1.85101562,0.00017818,1.20670283,1.76585056,0.00000000,1.68554728,0.42882003
-4.14507254,4.88573620,0.94066448,1.89374451,0.00017369,1.17965567,1.78857315,0.00000000,1.65524224,0.42273337
-4.13906953,4.86997442,0.93062411,1.92950773,0.00016851,1.14774323,1.80371661,0.00000000,1.61726019,0.41494951
-4.13306653,4.83526977,0.91663917,1.95798165,0.00016272,1.11146908,1.81122438,0.00000000,1.57220910,0.40560755
-4.12706353,4.78247947,0.89898664,1.97894264,0.00015640,1.07138682,1.81115000,0.00000000,1.52078940,0.39486556
-4.12106053,4.71267940,0.87798896,1.99226962,0.00014967,1.02808551,1.80365377,0.00000000,1.46377552,0.38289647
-4.11505753,4.62713332,0.85400569,1.99794371,0.00014262,0.98217479,1.78899714,0.00000000,1.40199651,0.36988369
-4.10905453,4.52725914,0.82742488,1.99604516,0.00013538,0.93427037,1.76753494,0.00000000,1.33631608,0.35601685
-4.10305153,4.41459358,0.79865453,1.98674781,0.00012807,0.88498012,1.73970584,0.00000000,1.26761290,0.34148763
-4.09704852,4.29075649,0.76811431,1.97031140,0.00012082,0.83489146,1.70602154,0.00000000,1.19676165,0.32648590
-4.09104552,4.15741603,0.73622787,1.94707225,0.00011376,0.78456011,1.66705501,0.00000000,1.12461545,0.31119628
-4.08504252,4.01625597,0.70341574,1.91743273,0.00010703,0.73450069,1.62342824,0.00000000,1.05198995,0.29579506
-4.07903952,3.86894585,0.67008919,1.88185022,0.00010078,0.68517925,1.57580004,0.00000000,0.97964971,0.28044784
-4.07303652,3.71711504,0.63664489,1.84082594,0.00009516,0.63700780,1.52485398,0.00000000,0.90829683,0.26530759
-4.06703352,3.56233087,0.60346049,1.79489420,0.00009030,0.59034097,1.47128702,0.00000000,0.83856224,0.25051330
-4.06103052,3.40608132,0.57089105,1.74461241,0.00008637,0.54547454,1.41579887,0.00000000,0.77099950,0.23618924
-4.05502751,3.24976202,0.53926625,1.69055211,0.00008351,0.50264585,1.35908227,0.00000000,0.70608117,0.22244461
-4.04902451,3.09466721,0.50888819,1.63329119,0.00008187,0.46203578,1.30181411,0.00000000,0.64419757,0.20937363
-4.04302151,2.94198434,0.48002972,1.57340725,0.00008161,0.42377207,1.24464752,0.00000000,0.58565773,0.19705592
-4.03701851,2.79279126,0.45293310,1.51147203,0.00008286,0.38793370,1.18820458,0.00000000,0.53069216,0.18555709
-4.03101551,2.64805548,0.42780886,1.44804675,0.00008576,0.35455594,1.13306971,0.00000000,0.47945731,0.17492947
-4.02501251,2.50863450,0.40483477,1.38367803,0.00009045,0.32363595,1.07978349,0.00000000,0.43204112,0.16521279
-4.01900950,2.37527658,0.38415469,1.31889412,0.00009702,0.29513840,1.02883671,0.00000000,0.38846956,0.15643483
-4.01300650,2.24862111,0.36587752,1.25420130,0.00010558,0.26900110,0.98066473,0.00000000,0.34871367,0.14861195
