energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,4.83414982,2.33101337,0.52535213,0.01895242,0.60678713,1.96326911,1.68577063,0.02567364,2.32196243
-5.99399700,4.90257751,2.40355685,0.53555381,0.02008767,0.59745527,1.99145857,1.70871475,0.02685558,2.37408889
-5.98799400,4.99312645,2.48838322,0.54781273,0.02130489,0.59099112,2.02835250,1.74015957,0.02813898,2.43620617
-5.98199100,5.10471965,2.58539986,0.56196897,0.02259380,0.58724630,2.07389310,1.77963183,0.02950903,2.50791657
-5.97598799,5.23603279,2.69434742,0.57781948,0.02394305,0.58604138,2.12791985,1.82657174,0.03095094,2.58870737
-5.96998499,5.38551520,2.81479327,0.59512110,0.02534028,0.58717071,2.19016677,1.88034423,0.03245009,2.67795536
-5.96398199,5.55141356,2.94612750,0.61359499,0.02677235,0.59040750,2.26026177,1.94025032,0.03399218,2.77493305
-5.95797899,5.73179735,3.08756167,0.63293241,0.02822551,0.59550904,2.33772800,2.00553816,0.03556330,2.87881615
-5.95197599,5.92458525,3.23813023,0.65280184,0.02968560,0.60222183,2.42198677,2.07541348,0.03715001,2.98869203
-5.94597299,6.12757147,3.39669460,0.67285688,0.03113827,0.61028658,2.51236201,2.14904910,0.03873929,3.10356882
-5.93996998,6.33845155,3.56194993,0.69274502,0.03256915,0.61944287,2.60808573,2.22559332,0.04031859,3.22238480
-5.93396698,6.55484705,3.73243463,0.71211673,0.03396408,0.62943346,2.70830453,2.30417728,0.04187570,3.34401808
-5.92796398,6.77432888,3.90654252,0.73063453,0.03530931,0.64000811,2.81208679,2.38392118,0.04339869,3.46729621
-5.92196098,6.99443928,4.08253792,0.74798184,0.03659161,0.65092693,2.91843043,2.46393978,0.04487582,3.59100592
-5.91595798,7.21271269,4.25857356,0.76387111,0.03779848,0.66196311,3.02627146,2.54334734,0.04629543,3.71390299
-5.90995498,7.42669575,4.43271144,0.77805103,0.03891826,0.67290525,3.13449316,2.62126230,0.04764587,3.83472238
-5.90395198,7.63396719,4.60294681,0.79031249,0.03994026,0.68355903,3.24193616,2.69681226,0.04891543,3.95218903
-5.89794897,7.83215799,4.76723509,0.80049310,0.04085485,0.69374855,3.34740966,2.76913951,0.05009231,4.06502938
-5.89194597,8.01897260,4.92352190,0.80848012,0.04165353,0.70331719,3.44970400,2.83740747,0.05116472,4.17198404
-5.88594297,8.19221171,5.06977580,0.81421173,0.04232908,0.71212818,3.54760472,2.90080845,0.05212088,4.27182176
-5.87993997,8.34979694,5.20402355,0.81767663,0.04287552,0.72006491,3.63990843,2.95857276,0.05294927,4.36335486
-5.87393697,8.48979778,5.32438734,0.81891208,0.04328827,0.72703107,3.72544038,3.00997926,0.05363879,4.44545623
