energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.26968438,0.00071069,0.00846990,0.05417927,0.02369134,0.00001554,0.14945716
-5.99399700,0.27170797,0.00083871,0.00841757,0.05562401,0.02384676,0.00001667,0.15087991
-5.98799400,0.27428778,0.00098269,0.00836902,0.05730310,0.02404841,0.00001794,0.15264650
-5.98199100,0.27766281,0.00114311,0.00833190,0.05926338,0.02431730,0.00001938,0.15488902
-5.97598799,0.28204830,0.00132017,0.00831330,0.06154494,0.02467241,0.00002100,0.15772586
-5.96998499,0.28762508,0.00151370,0.00831953,0.06417871,0.02512975,0.00002279,0.16125567
-5.96398199,0.29452980,0.00172315,0.00835573,0.06718430,0.02570148,0.00002476,0.16555189
-5.95797899,0.30284643,0.00194750,0.00842572,0.07056813,0.02639520,0.00002691,0.17065802
-5.95197599,0.31259968,0.00218525,0.00853174,0.07432201,0.02721338,0.00002922,0.17658396
-5.94597299,0.32375050,0.00243443,0.00867434,0.07842218,0.02815291,0.00003167,0.18330344
-5.93996998,0.33619403,0.00269255,0.00885231,0.08282899,0.02920499,0.00003424,0.19075294
-5.93396698,0.34976018,0.00295668,0.00906265,0.08748712,0.03035513,0.00003691,0.19883207
-5.92796398,0.36421692,0.00322343,0.00930070,0.09232653,0.03158343,0.00003962,0.20740544
-5.92196098,0.37927618,0.00348903,0.00956025,0.09726401,0.03286514,0.00004236,0.21630605
-5.91595798,0.39460227,0.00374946,0.00983372,0.10220541,0.03417134,0.00004506,0.22534010
-5.90995498,0.40982247,0.00400046,0.01011250,0.10704832,0.03546985,0.00004768,0.23429304
-5.90395198,0.42453941,0.00423771,0.01038718,0.11168525,0.03672636,0.00005018,0.24293663
-5.89794897,0.43834480,0.00445694,0.01064798,0.11600720,0.03790556,0.00005250,0.25103674
-5.89194597,0.45083390,0.00465406,0.01088502,0.11990731,0.03897241,0.00005460,0.25836165
-5.88594297,0.46162008,0.00482527,0.01108879,0.12328466,0.03989342,0.00005644,0.26469031
-5.87993997,0.47034900,0.00496724,0.01125040,0.12604789,0.04063786,0.00005798,0.26982048
-5.87393697,0.47671168,0.00507720,0.01136201,0.12811857,0.04117888,0.00005919,0.27357614
-5.86793397,0.48045595,0.00515304,0.01141705,0.12943419,0.04149452,0.00006005,0.27581403
-5.86193097,0.48139579,0.00519342,0.01141048,0.12995054,0.04156849,0.00006055,0.27642902
-5.85592796,0.47941822,0.00519783,0.01133895,0.12964349,0.04139079,0.00006069,0.27535797
-5.84992496,0.47448742,0.00516660,0.01120094,0.12851008,0.04095806,0.00006048,0.27258215
-5.84392196,0.46664605,0.00510094,0.01099676,0.12656886,0.04027366,0.00005996,0.26812793
-5.83791896,0.45601366,0.00500291,0.01072852,0.12385940,0.03934759,0.00005914,0.26206587
-5.83191596,0.44278247,0.00487538,0.01040009,0.12044122,0.03819603,0.00005810,0.25450831
-5.82591296,0.42721068,0.00472193,0.01001687,0.11639197,0.03684086,0.00005688,0.24560549
-5.81990995,0.40961372,0.00454680,0.00958562,0.11180509,0.03530882,0.00005556,0.23554054
-5.81390695,0.39035392,0.00435475,0.00911424,0.10678709,0.03363066,0.00005422,0.22452353
-5.80790395,0.36982903,0.00415093,0.00861146,0.10145437,0.03184011,0.00005296,0.21278489
-5.80190095,0.34846012,0.00394078,0.00808662,0.09593002,0.02997289,0.00005187,0.20056842
-5.79589795,0.32667944,0.00372987,0.00754935,0.09034047,0.02806562,0.00005106,0.18812430
-5.78989495,0.30491854,0.00352378,0.00700929,0.08481219,0.02615478,0.00005063,0.17570221
-5.78389195,0.28359722,0.00332795,0.00647593,0.07946862,0.02427585,0.00005070,0.16354500
-5.77788894,0.26311352,0.00314758,0.00595828,0.07442726,0.02246236,0.00005139,0.15188282
-5.77188594,0.24383501,0.00298750,0.00546480,0.06979718,0.02074523,0.00005280,0.14092811
-5.76588294,0.22609161,0.00285207,0.00500316,0.06567675,0.01915212,0.00005503,0.13087139
-5.75987994,0.21016986,0.00274512,0.00458021,0.06215183,0.01770700,0.00005821,0.12187787
-5.75387694,0.19630875,0.00266984,0.00420184,0.05929430,0.01642981,0.00006242,0.11408503
-5.74787394,0.18469697,0.00262873,0.00387299,0.05716093,0.01533622,0.00006776,0.10760093
-5.74187094,0.17547150,0.00262355,0.00359761,0.05579261,0.01443763,0.00007433,0.10250334
-5.73586793,0.16871740,0.00265529,0.00337870,0.05521390,0.01374110,0.00008221,0.09883955
-5.72986493,0.16446859,0.00272413,0.00321827,0.05543290,0.01324949,0.00009149,0.09662682
-5.72386193,0.16270959,0.00282944,0.00311745,0.05644136,0.01296168,0.00010225,0.09585332
-5.71785893,0.16337805,0.00296978,0.00307648,0.05821512,0.01287278,0.00011460,0.09647961
-5.71185593,0.16636800,0.00314290,0.00309479,0.06071478,0.01297443,0.00012864,0.09844056
-5.70585293,0.17153375,0.00334578,0.00317105,0.06388675,0.01325519,0.00014453,0.10164762
-5.69984992,0.17869440,0.00357471,0.00330318,0.06766449,0.01370092,0.00016243,0.10599160
-5.69384692,0.18763911,0.00382529,0.00348845,0.07197019,0.01429524,0.00018259,0.11134579
-5.68784392,0.19813291,0.00409259,0.00372354,0.07671667,0.01501998,0.00020531,0.11756948
-5.68184092,0.20992323,0.00437120,0.00400456,0.08180973,0.01585577,0.00023101,0.12451198
-5.67583792,0.22274709,0.00465537,0.00432720,0.08715073,0.01678259,0.00026022,0.13201689
-5.66983492,0.23633888,0.00493916,0.00468676,0.09263956,0.01778038,0.00029361,0.13992692
-5.66383192,0.25043871,0.00521661,0.00507829,0.09817777,0.01882969,0.00033205,0.14808886
-5.65782891,0.26480112,0.00548185,0.00549675,0.10367201,0.01991239,0.00037662,0.15635883
-5.65182591,0.27920400,0.00572934,0.00593708,0.10903742,0.02101234,0.00042862,0.16460767
-5.64582291,0.29345740,0.00595398,0.00639447,0.11420113,0.02211604,0.00048964,0.17272613
-5.63981991,0.30741209,0.00615134,0.00686444,0.11910549,0.02321334,0.00056156,0.18062994
-5.63381691,0.32096724,0.00631775,0.00734310,0.12371110,0.02429797,0.00064656,0.18826433
-5.62781391,0.33407721,0.00645048,0.00782732,0.12799934,0.02536810,0.00074716,0.19560793
-5.62181091,0.34675671,0.00654781,0.00831485,0.13197434,0.02642672,0.00086619,0.20267569
-5.61580790,0.35908430,0.00660915,0.00880456,0.13566422,0.02748186,0.00100683,0.20952081
-5.60980490,0.37120374,0.00663504,0.00929652,0.13912158,0.02854676,0.00117252,0.21623534
-5.60380190,0.38332302,0.00662717,0.00979206,0.14242296,0.02963971,0.00136697,0.22294943
-5.59779890,0.39571091,0.00658836,0.01029385,0.14566754,0.03078381,0.00159410,0.22982907
-5.59179590,0.40869110,0.00652248,0.01080583,0.14897481,0.03200652,0.00185795,0.23707243
-5.58579290,0.42263381,0.00643434,0.01133315,0.15248138,0.03333893,0.00216265,0.24490480
-5.57978989,0.43794536,0.00632958,0.01188199,0.15633706,0.03481501,0.00251224,0.25357223
-5.57378689,0.45505579,0.00621449,0.01245936,0.16070026,0.03647056,0.00291063,0.26333419
-5.56778389,0.47440520,0.00609583,0.01307283,0.16573294,0.03834219,0.00336148,0.27445543
-5.56178089,0.49642912,0.00598070,0.01373018,0.17159533,0.04046613,0.00386802,0.28719740
-5.55577789,0.52154377,0.00587632,0.01443913,0.17844061,0.04287706,0.00443304,0.30180961
-5.54977489,0.55013168,0.00578984,0.01520688,0.18640974,0.04560699,0.00505867,0.31852124
-5.54377189,0.58252832,0.00572823,0.01603981,0.19562679,0.04868418,0.00574636,0.33753341
-5.53776888,0.61901040,0.00569807,0.01694316,0.20619485,0.05213223,0.00649677,0.35901249
-5.53176588,0.65978632,0.00570550,0.01792067,0.21819272,0.05596927,0.00730973,0.38308460
-5.52576288,0.70498907,0.00575605,0.01897437,0.23167252,0.06020747,0.00818418,0.40983165
-5.51975988,0.75467190,0.00585461,0.02010440,0.24665836,0.06485258,0.00911819,0.43928891
-5.51375688,0.80880689,0.00600538,0.02130893,0.26314586,0.06990388,0.01010898,0.47144430
-5.50775388,0.86728607,0.00621179,0.02258408,0.28110279,0.07535416,0.01115295,0.50623912
-5.50175088,0.92992512,0.00647654,0.02392407,0.30047038,0.08119003,0.01224575,0.54357021
-5.49574787,0.99646898,0.00680155,0.02532127,0.32116549,0.08739226,0.01338239,0.58329319
-5.48974487,1.06659891,0.00718798,0.02676645,0.34308314,0.09393627,0.01455729,0.62522648
-5.48374187,1.13994046,0.00763622,0.02824898,0.36609940,0.10079270,0.01576444,0.66915579
-5.47773887,1.21607155,0.00814591,0.02975719,0.39007431,0.10792787,0.01699740,0.71483854
-5.47173587,1.29453016,0.00871589,0.03127854,0.41485467,0.11530433,0.01824948,0.76200813
-5.46573287,1.37482118,0.00934420,0.03280003,0.44027649,0.12288121,0.01951372,0.81037754
-5.45972986,1.45642186,0.01002809,0.03430836,0.46616703,0.13061453,0.02078300,0.85964217
-5.45372686,1.53878591,0.01076393,0.03579022,0.49234635,0.13845736,0.02205002,0.90948190
-5.44772386,1.62134608,0.01154724,0.03723246,0.51862825,0.14635992,0.02330729,0.95956224
-5.44172086,1.70351565,0.01237264,0.03862224,0.54482097,0.15426955,0.02454717,1.00953492
-5.43571786,1.78468909,0.01323388,0.03994712,0.57072749,0.16213070,0.02576181,1.05903811
-5.42971486,1.86424267,0.01412379,0.04119512,0.59614575,0.16988492,0.02694310,1.10769660
-5.42371186,1.94153558,0.01503440,0.04235477,0.62086911,0.17747102,0.02808274,1.15512250
-5.41770885,2.01591239,0.01595700,0.04341517,0.64468711,0.18482531,0.02917217,1.20091681
-5.41170585,2.08670757,0.01688223,0.04436596,0.66738691,0.19188217,0.03020263,1.24467229
-5.40570285,2.15325250,0.01780027,0.04519749,0.68875550,0.19857478,0.03116528,1.28597790
-5.39969985,2.21488548,0.01870107,0.04590084,0.70858282,0.20483628,0.03205128,1.32442517
-5.39369685,2.27096473,0.01957451,0.04646804,0.72666586,0.21060115,0.03285196,1.35961630
-5.38769385,2.32088424,0.02041076,0.04689225,0.74281361,0.21580690,0.03355907,1.39117403
-5.38169085,2.36409181,0.02120048,0.04716806,0.75685275,0.22039594,0.03416497,1.41875276
-5.37568784,2.40010855,0.02193515,0.04729179,0.76863372,0.22431760,0.03466293,1.44205057
-5.36968484,2.42854873,0.02260729,0.04726183,0.77803692,0.22753015,0.03504741,1.46082128
-5.36368184,2.44913849,0.02321075,0.04707903,0.78497860,0.23000269,0.03531429,1.47488582
-5.35767884,2.46173240,0.02374084,0.04674701,0.78941589,0.23171677,0.03546111,1.48414215
-5.35167584,2.46632610,0.02419451,0.04627249,0.79135073,0.23266767,0.03548726,1.48857280
-5.34567284,2.46306412,0.02457035,0.04566552,0.79083217,0.23286515,0.03539409,1.48824935
-5.33966983,2.45224171,0.02486860,0.04493958,0.78795676,0.23233355,0.03518492,1.48333331
-5.33366683,2.43430018,0.02509101,0.04411158,0.78286689,0.23111140,0.03486500,1.47407302
-5.32766383,2.40981541,0.02524070,0.04320179,0.77574692,0.22925017,0.03444136,1.46079647
-5.32166083,2.37947989,0.02532188,0.04223346,0.76681731,0.22681255,0.03392257,1.44390026
-5.31565783,2.34407883,0.02533955,0.04123242,0.75632687,0.22387009,0.03331844,1.42383504
-5.30965483,2.30446152,0.02529918,0.04022645,0.74454344,0.22050044,0.03263963,1.40108828
-5.30365183,2.26150941,0.02520630,0.03924456,0.73174369,0.21678422,0.03189728,1.37616514
-5.29764882,2.21610244,0.02506625,0.03831614,0.71820231,0.21280186,0.03110253,1.34956854
-5.29164582,2.16908568,0.02488377,0.03746999,0.70418139,0.20863039,0.03026616,1.32177955
-5.28564282,2.12123784,0.02466278,0.03673336,0.68992042,0.20434049,0.02939816,1.29323920
-5.27963982,2.07324362,0.02440622,0.03613096,0.67562761,0.19999396,0.02850746,1.26433268
-5.27363682,2.02567112,0.02411585,0.03568397,0.66147284,0.19564166,0.02760164,1.23537686
-5.26763382,1.97895566,0.02379231,0.03540919,0.64758273,0.19132209,0.02668680,1.20661171
-5.26163082,1.93339059,0.02343513,0.03531826,0.63403796,0.18706067,0.02576748,1.17819610
-5.25562781,1.88912547,0.02304289,0.03541705,0.62087303,0.18286975,0.02484672,1.15020792
-5.24962481,1.84617144,0.02261344,0.03570521,0.60807826,0.17874926,0.02392616,1.12264859
-5.24362181,1.80441323,0.02214419,0.03617597,0.59560402,0.17468802,0.02300625,1.09545131
-5.23761881,1.76362685,0.02163238,0.03681613,0.58336673,0.17066553,0.02208652,1.06849267
-5.23161581,1.72350190,0.02107545,0.03760629,0.57125630,0.16665427,0.02116587,1.04160653
-5.22561281,1.68366688,0.02047136,0.03852134,0.55914458,0.16262211,0.02024290,1.01459963
-5.21960980,1.64371633,0.01981883,0.03953107,0.54689434,0.15853495,0.01931623,0.98726767
-5.21360680,1.60323805,0.01911766,0.04060113,0.53436819,0.15435930,0.01838480,0.95941122
-5.20760380,1.56183928,0.01836885,0.04169402,0.52143722,0.15006469,0.01744807,0.93085049
-5.20160080,1.51917047,0.01757478,0.04277027,0.50798873,0.14562584,0.01650629,0.90143832
-5.19559780,1.47494585,0.01673916,0.04378975,0.49393298,0.14102442,0.01556056,0.87107089
-5.18959480,1.42895988,0.01586706,0.04471294,0.47920848,0.13625049,0.01461295,0.83969565
-5.18359180,1.38109940,0.01496477,0.04550224,0.46378593,0.13130339,0.01366642,0.80731656
-5.17758879,1.33135110,0.01403959,0.04612324,0.44767052,0.12619223,0.01272482,0.77399629
-5.17158579,1.27980446,0.01309967,0.04654583,0.43090284,0.12093594,0.01179271,0.73985583
-5.16558279,1.22665038,0.01215365,0.04674519,0.41355831,0.11556289,0.01087522,0.70507156
-5.15957979,1.17217604,0.01121046,0.04670260,0.39574529,0.11011022,0.00997785,0.66987023
-5.15357679,1.11675636,0.01027900,0.04640601,0.37760214,0.10462277,0.00910627,0.63452227
-5.14757379,1.06084272,0.00936783,0.04585037,0.35929333,0.09915189,0.00826610,0.59933371
-5.14157079,1.00494964,0.00848499,0.04503770,0.34100485,0.09375401,0.00746275,0.56463744
-5.13556778,0.94963991,0.00763773,0.04397695,0.32293900,0.08848914,0.00670125,0.53078375
-5.12956478,0.89550880,0.00683237,0.04268357,0.30530894,0.08341927,0.00598610,0.49813099
-5.12356178,0.84316791,0.00607419,0.04117888,0.28833304,0.07860681,0.00532122,0.46703626
-5.11755878,0.79322902,0.00536738,0.03948930,0.27222913,0.07411305,0.00470990,0.43784656
-5.11155578,0.74628842,0.00471498,0.03764539,0.25720897,0.06999660,0.00415480,0.41089048
