energy_ev,total_up,total_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,5.89465187,-6.87298428,0.01712816,-0.02583527,0.00000000,-0.00000000,1.80989207,-2.07390412,1.15601770,-1.35760181,0.04712508,-0.04986482,1.30586900,-1.58285614,0.12881136,-0.14155485,1.99698381,-2.24163627
-5.99399700,5.82786904,-6.78782090,0.01693998,-0.02585386,0.00000000,-0.00000000,1.82020423,-2.07298677,1.13753763,-1.33128415,0.04544633,-0.04746883,1.29361999,-1.55189880,0.12960771,-0.14312881,1.97210916,-2.23054051
-5.98799400,5.77020084,-6.71333610,0.01681531,-0.02591791,0.00000000,-0.00000000,1.83412191,-2.07624561,1.12051033,-1.30736762,0.04376463,-0.04514112,1.28388761,-1.52407508,0.13055254,-0.14480529,1.94972627,-2.22175554
-5.98199100,5.72161308,-6.64950944,0.01675541,-0.02602341,0.00000000,-0.00000000,1.85146660,-2.08349250,1.10489174,-1.28592515,0.04208909,-0.04290132,1.27641805,-1.49926542,0.13162699,-0.14655441,1.93017736,-2.21544673
-5.97598799,5.68190325,-6.59598985,0.01676122,-0.02616462,0.00000000,-0.00000000,1.87199800,-2.09444248,1.09062215,-1.26696526,0.04042773,-0.04076627,1.27095020,-1.47730719,0.13280746,-0.14834096,1.91370431,-2.21163042
-5.96998499,5.65070715,-6.55210634,0.01683323,-0.02633418,0.00000000,-0.00000000,1.89541801,-2.10871834,1.07762944,-1.25043259,0.03878751,-0.03874981,1.26722270,-1.45799982,0.13406623,-0.15012545,1.90044289,-2.21017350
-5.96398199,5.62751087,-6.51689184,0.01697134,-0.02652333,0.00000000,-0.00000000,1.92137684,-2.12585891,1.06583283,-1.23621073,0.03717437,-0.03686250,1.26498083,-1.44111114,0.13537230,-0.15186533,1.89042062,-2.21079993
-5.95797899,5.61166778,-6.48911961,0.01717477,-0.02672210,0.00000000,-0.00000000,1.94948107,-2.14533115,1.05514697,-1.22412727,0.03559329,-0.03511155,1.26398315,-1.42638468,0.13669231,-0.15351649,1.88355828,-2.21310375
-5.95197599,5.60241966,-6.46735084,0.01744188,-0.02691965,0.00000000,-0.00000000,1.97930325,-2.16654534,1.04548608,-1.21396092,0.03404847,-0.03350083,1.26400750,-1.41354779,0.13799162,-0.15503481,1.87967499,-2.21656817
-5.94597299,5.59892107,-6.44999134,0.01777007,-0.02710463,0.00000000,-0.00000000,2.01039282,-2.18887300,1.03676814,-1.20545057,0.03254342,-0.03203097,1.26485625,-1.40232022,0.13923538,-0.15637776,1.87849660,-2.22058964
-5.93996998,5.60026590,-6.43535510,0.01815560,-0.02726555,0.00000000,-0.00000000,2.04228761,-2.21166663,1.02891876,-1.19830578,0.03108117,-0.03069962,1.26636047,-1.39242294,0.14038965,-0.15750606,1.87966698,-2.22450591
-5.93396698,5.60551505,-6.42173149,0.01859358,-0.02739119,0.00000000,-0.00000000,2.07452555,-2.23428040,1.02187469,-1.19221838,0.02966438,-0.02950167,1.26838300,-1.38358680,0.14142246,-0.15838515,1.88276170,-2.22762665
-5.92796398,5.61372422,-6.40745339,0.01907781,-0.02747103,0.00000000,-0.00000000,2.10665607,-2.25609073,1.01558678,-1.18687472,0.02829554,-0.02842966,1.27082016,-1.37556063,0.14230480,-0.15898660,1.88730375,-2.22926513
-5.92196098,5.62397077,-6.39096285,0.01960085,-0.02749567,0.00000000,-0.00000000,2.13825057,-2.27651592,1.01002240,-1.18196809,0.02697707,-0.02747422,1.27360221,-1.36811857,0.14301149,-0.15928917,1.89278052,-2.22876953
-5.91595798,5.63537880,-6.37087148,0.02015400,-0.02745712,0.00000000,-0.00000000,2.16891151,-2.29503358,1.00516713,-1.17721081,0.02571143,-0.02662447,1.27669245,-1.36106614,0.14352192,-0.15927976,1.89866160,-2.22555231
-5.90995498,5.64714184,-6.34601277,0.02072742,-0.02734915,0.00000000,-0.00000000,2.19827979,-2.31119531,1.00102593,-1.17234552,0.02450117,-0.02586856,1.28008505,-1.35424497,0.14382059,-0.15895387,1.90441675,-2.21911634
